Time	Fascicle Length R1_F1	Pennation Angle R1_F1	
0.055261	60.835	0.17331
0.11052	60.829	0.17393
0.16578	60.771	0.17484
0.22104	60.894	0.17457
0.2763	60.837	0.17435
0.33156	60.991	0.1734
0.38683	60.906	0.17313
0.44209	61.003	0.17208
0.49735	61.071	0.17181
0.55261	61.096	0.17108
0.60787	61.127	0.17051
0.66313	61.215	0.17048
0.71839	61.255	0.17022
0.77365	61.319	0.16913
0.82891	61.349	0.16917
0.88417	61.349	0.1683
0.93943	61.45	0.16775
0.99469	61.45	0.16692
1.05	61.514	0.16567
1.1052	61.582	0.16563
1.1605	61.548	0.16484
1.2157	61.475	0.16434
1.271	61.482	0.16431
1.3263	61.624	0.16308
1.3815	61.645	0.16312
1.4368	61.614	0.16279
1.492	61.614	0.16215
1.5473	61.746	0.16104
1.6026	61.723	0.16145
1.6578	61.783	0.1612
1.7131	61.802	0.16068
1.7683	61.903	0.15971
1.8236	61.923	0.15913
1.8789	61.986	0.15808
1.9341	61.978	0.15825
1.9894	61.984	0.1583
2.0447	62.082	0.15787
2.0999	62.154	0.15701
2.1552	62.163	0.15634
2.2104	62.244	0.15518
2.2657	62.174	0.15445
2.321	62.239	0.15436
2.3762	62.202	0.15444
2.4315	62.277	0.15419
2.4867	62.262	0.15332
2.542	62.295	0.15304
2.5973	62.379	0.1529
2.6525	62.387	0.15281
2.7078	62.457	0.15235
2.763	62.478	0.15244
2.8183	62.466	0.15281
2.8736	62.523	0.15281
2.9288	62.517	0.15195
2.9841	62.523	0.15095
3.0393	62.493	0.14996
3.0946	62.498	0.14965
3.1499	62.543	0.14944
3.2051	62.549	0.14931
3.2604	62.684	0.14986
3.3156	62.771	0.14949
3.3709	62.823	0.14967
3.4262	62.893	0.14945
3.4814	62.916	0.14808
3.5367	62.898	0.14593
3.592	62.738	0.14601
3.6472	62.803	0.14576
3.7025	62.814	0.14495
3.7577	62.893	0.14366
3.813	62.858	0.14387
3.8683	62.915	0.14334
3.9235	62.958	0.14293
3.9788	62.93	0.14238
4.034	63.001	0.14178
4.0893	63.058	0.14118
4.1446	63.082	0.14205
4.1998	63.141	0.14153
4.2551	63.151	0.14102
4.3103	63.147	0.14083
4.3656	63.211	0.14074
4.4209	63.206	0.1408
4.4761	63.312	0.13961
4.5314	63.264	0.13911
4.5866	63.238	0.1396
4.6419	63.265	0.13938
4.6972	63.288	0.13893
4.7524	63.302	0.13839
4.8077	63.332	0.13805
4.863	63.41	0.13895
4.9182	63.451	0.13868
4.9735	63.492	0.13868
5.0287	63.557	0.13881
5.084	63.638	0.13856
5.1393	63.786	0.139
5.1945	63.857	0.1394
5.2498	63.923	0.13923
5.305	63.95	0.13881
5.3603	63.988	0.1382
5.4156	63.97	0.13857
5.4708	63.883	0.13939
5.5261	63.942	0.1388
5.5813	63.926	0.1384
5.6366	63.983	0.13867
5.6919	64.004	0.13759
5.7471	63.972	0.13782
5.8024	64.066	0.13705
