Time	Fascicle Length R1_F1	Pennation Angle R1_F1	Fascicle Length R1_F2	Pennation Angle R1_F2	Fascicle Length R1_F3	Pennation Angle R1_F3	
0.055261	61.764	0.21612	60.19	0.22208	63.399	0.21433
0.11052	61.763	0.21603	60.189	0.22199	63.398	0.21425
0.16578	61.774	0.21566	60.201	0.22161	63.409	0.21388
0.22104	61.807	0.21552	60.235	0.22146	63.443	0.21374
0.2763	61.833	0.21507	60.261	0.221	63.47	0.21329
0.33156	61.806	0.21499	60.236	0.22093	63.441	0.21322
0.38683	61.884	0.21423	60.312	0.22014	63.521	0.21246
0.44209	61.897	0.21405	60.327	0.21996	63.534	0.21228
0.49735	61.881	0.21343	60.312	0.21933	63.518	0.21166
0.55261	61.912	0.2127	60.343	0.21859	63.549	0.21094
0.60787	61.904	0.21346	60.337	0.21936	63.541	0.2117
0.66313	61.871	0.21324	60.304	0.21913	63.506	0.21147
0.71839	61.992	0.21144	60.424	0.21731	63.63	0.20969
0.77365	62.004	0.21115	60.437	0.21701	63.642	0.20939
0.82891	62.04	0.21129	60.473	0.21715	63.679	0.20954
0.88417	62.05	0.21125	60.484	0.2171	63.688	0.2095
0.93943	62.095	0.21101	60.529	0.21686	63.735	0.20926
0.99469	62.114	0.21108	60.548	0.21693	63.753	0.20933
1.05	62.124	0.21076	60.558	0.21661	63.763	0.20901
1.1052	62.133	0.21021	60.568	0.21605	63.772	0.20846
1.1605	62.229	0.20982	60.662	0.21565	63.871	0.20807
1.2157	62.215	0.20983	60.65	0.21566	63.856	0.20809
1.271	62.238	0.2099	60.675	0.21573	63.88	0.20815
1.3263	62.298	0.20917	60.733	0.21499	63.94	0.20743
1.3815	62.38	0.2094	60.815	0.21521	64.024	0.20766
1.4368	62.361	0.20933	60.798	0.21514	64.004	0.20759
1.492	62.309	0.20962	60.748	0.21544	63.95	0.20788
1.5473	62.473	0.20896	60.909	0.21476	64.119	0.20722
1.6026	62.517	0.2089	60.953	0.21469	64.163	0.20717
1.6578	62.528	0.2083	60.965	0.21409	64.174	0.20657
1.7131	62.619	0.2075	61.054	0.21327	64.268	0.20577
1.7683	62.69	0.20648	61.124	0.21223	64.34	0.20476
1.8236	62.674	0.206	61.109	0.21176	64.323	0.20428
1.8789	62.782	0.20608	61.216	0.21183	64.434	0.20436
1.9341	62.78	0.20566	61.216	0.2114	64.432	0.20394
1.9894	62.757	0.20572	61.193	0.21146	64.408	0.204
2.0447	62.716	0.20562	61.154	0.21136	64.366	0.20391
2.0999	62.764	0.20514	61.201	0.21088	64.415	0.20342
2.1552	62.742	0.20488	61.181	0.21061	64.392	0.20316
2.2104	62.731	0.20461	61.17	0.21034	64.38	0.2029
2.2657	62.725	0.20433	61.164	0.21006	64.374	0.20262
2.321	62.717	0.20406	61.157	0.20978	64.366	0.20235
2.3762	62.759	0.20342	61.199	0.20913	64.409	0.20171
2.4315	62.819	0.20315	61.259	0.20886	64.47	0.20145
2.4867	62.769	0.20323	61.211	0.20894	64.418	0.20152
2.542	62.859	0.20303	61.3	0.20873	64.511	0.20133
2.5973	62.918	0.20259	61.358	0.20826	64.57	0.20089
2.6525	62.875	0.2017	61.316	0.20737	64.526	0.2
2.7078	62.907	0.20076	61.348	0.20642	64.559	0.19906
2.763	62.983	0.19987	61.424	0.20553	64.637	0.19818
2.8183	63.055	0.1989	61.495	0.20454	64.71	0.19721
2.8736	63.055	0.19833	61.496	0.20396	64.71	0.19664
2.9288	63.015	0.1985	61.457	0.20414	64.669	0.19681
2.9841	63.026	0.19671	61.468	0.20233	64.679	0.19502
3.0393	63.082	0.19628	61.524	0.2019	64.737	0.19459
3.0946	63.124	0.19608	61.566	0.2017	64.78	0.1944
3.1499	63.09	0.19587	61.534	0.20149	64.744	0.19419
3.2051	63.15	0.19504	61.594	0.20065	64.806	0.19336
3.2604	63.177	0.1948	61.62	0.20041	64.833	0.19313
3.3156	63.157	0.19489	61.602	0.2005	64.812	0.19321
3.3709	63.252	0.19475	61.696	0.20035	64.909	0.19308
3.4262	63.26	0.19464	61.705	0.20024	64.918	0.19297
3.4814	63.26	0.19457	61.705	0.20016	64.917	0.19289
3.5367	63.27	0.19395	61.716	0.19954	64.927	0.19228
3.592	63.236	0.19387	61.684	0.19946	64.892	0.19219
3.6472	63.271	0.19343	61.718	0.19901	64.927	0.19176
3.7025	63.322	0.19342	61.769	0.199	64.98	0.19175
3.7577	63.385	0.19235	61.831	0.19791	65.044	0.19068
3.813	63.348	0.19133	61.796	0.19689	65.006	0.18967
3.8683	63.334	0.19109	61.783	0.19665	64.991	0.18942
3.9235	63.484	0.19079	61.931	0.19633	65.144	0.18913
3.9788	63.408	0.1907	61.857	0.19625	65.066	0.18904
4.034	63.483	0.1901	61.931	0.19564	65.143	0.18844
4.0893	63.53	0.18991	61.977	0.19544	65.191	0.18825
4.1446	63.53	0.18935	61.978	0.19488	65.191	0.1877
4.1998	63.575	0.18923	62.024	0.19475	65.237	0.18758
4.2551	63.584	0.18905	62.033	0.19456	65.245	0.1874
4.3103	63.652	0.18856	62.1	0.19406	65.315	0.18691
4.3656	63.675	0.18866	62.123	0.19415	65.339	0.18701
4.4209	63.741	0.18819	62.188	0.19367	65.406	0.18655
4.4761	63.684	0.18788	62.134	0.19336	65.348	0.18624
4.5314	63.682	0.1879	62.132	0.19338	65.345	0.18626
4.5866	63.721	0.18696	62.171	0.19243	65.385	0.18533
4.6419	63.71	0.18674	62.161	0.19221	65.373	0.1851
4.6972	63.813	0.1864	62.264	0.19186	65.479	0.18477
4.7524	63.75	0.18619	62.203	0.19165	65.413	0.18456
4.8077	63.775	0.18614	62.229	0.19159	65.439	0.18451
4.863	63.81	0.18527	62.263	0.19071	65.474	0.18363
4.9182	63.779	0.1847	62.233	0.19015	65.443	0.18307
4.9735	63.874	0.18429	62.326	0.18972	65.54	0.18266
5.0287	63.859	0.18433	62.313	0.18976	65.525	0.1827
5.084	63.871	0.18433	62.325	0.18976	65.537	0.1827
5.1393	63.86	0.18406	62.315	0.18949	65.525	0.18244
5.1945	63.815	0.18356	62.272	0.18898	65.479	0.18193
5.2498	63.742	0.18365	62.201	0.18908	65.403	0.18202
5.305	63.703	0.18299	62.165	0.18842	65.363	0.18137
5.3603	63.745	0.18287	62.206	0.18829	65.406	0.18125
5.4156	63.779	0.18258	62.24	0.18798	65.44	0.18096
5.4708	63.76	0.18224	62.222	0.18764	65.42	0.18062
5.5261	63.772	0.182	62.235	0.1874	65.432	0.18038
5.5813	63.712	0.18174	62.178	0.18714	65.371	0.18013
5.6366	63.78	0.18114	62.245	0.18652	65.44	0.17952
5.6919	63.791	0.18068	62.256	0.18606	65.451	0.17906
5.7471	63.776	0.18037	62.243	0.18575	65.436	0.17876
5.8024	63.758	0.18014	62.226	0.18551	65.417	0.17853
5.8576	63.758	0.18003	62.227	0.1854	65.417	0.17842
5.9129	63.81	0.17963	62.278	0.185	65.47	0.17802
5.9682	63.82	0.17853	62.288	0.1839	65.48	0.17692
6.0234	63.77	0.1787	62.24	0.18408	65.429	0.17709
6.0787	63.836	0.17853	62.305	0.1839	65.496	0.17692
6.134	63.855	0.17856	62.325	0.18392	65.516	0.17695
6.1892	63.8	0.17835	62.272	0.18371	65.458	0.17674
6.2445	63.869	0.17731	62.34	0.18266	65.529	0.1757
6.2997	63.918	0.1772	62.389	0.18255	65.579	0.1756
6.355	63.904	0.17714	62.375	0.18249	65.564	0.17554
6.4103	63.885	0.17702	62.358	0.18236	65.545	0.17542
6.4655	63.962	0.17618	62.435	0.18152	65.623	0.17459
6.5208	63.997	0.17617	62.469	0.1815	65.659	0.17458
6.576	63.97	0.17627	62.443	0.1816	65.631	0.17468
6.6313	63.947	0.17624	62.422	0.18157	65.608	0.17464
6.6866	63.984	0.17604	62.458	0.18136	65.645	0.17444
6.7418	63.969	0.17584	62.444	0.18117	65.63	0.17425
6.7971	64.003	0.17526	62.477	0.18058	65.664	0.17366
6.8523	64.008	0.17484	62.483	0.18016	65.67	0.17324
6.9076	64.045	0.1745	62.519	0.17981	65.707	0.1729
6.9629	64.125	0.17335	62.597	0.17866	65.79	0.17176
7.0181	64.102	0.17371	62.575	0.17902	65.766	0.17212
7.0734	64.141	0.17282	62.614	0.17813	65.805	0.17123
7.1286	64.134	0.1719	62.608	0.17721	65.799	0.17031
