SOLend			SOLext		
t	x	y	t	x	y
8.763040238	3.98790625	8.673347741	8.763040238	-14.39464133	14.14591131
8.822652757	3.894936934	8.670546548	8.822652757	-14.39413563	14.14573032
8.882265276	3.895028616	8.669049096	8.882265276	-14.39262874	14.14589154
8.941877794	3.870781458	8.671544153	8.941877794	-14.39318283	14.1457924
9.001490313	3.870988109	8.671711474	9.001490313	-14.39085562	14.14561051
9.061102832	3.807977491	8.670513297	9.061102832	-14.3920673	14.14559179
9.12071535	3.787348283	8.668916768	9.12071535	-14.39048349	14.14558087
9.180327869	3.766105616	8.669305951	9.180327869	-14.38997832	14.14548555
9.239940387	3.711697546	8.668814886	9.239940387	-14.39136152	14.14564584
9.299552906	3.659691379	8.668229927	9.299552906	-14.39166966	14.14572106
9.359165425	3.563595443	8.66684012	9.359165425	-14.39037536	14.14557977
9.418777943	3.580867772	8.669232028	9.418777943	-14.38756872	14.14560069
9.478390462	3.590175714	8.669395187	9.478390462	-14.38467562	14.1453083
9.538002981	3.517957258	8.668683386	9.538002981	-14.38614007	14.14523758
9.597615499	3.37267395	8.666613415	9.597615499	-14.38719808	14.14540355
9.657228018	3.329665622	8.663958869	9.657228018	-14.38433572	14.14512294
9.716840537	3.304509812	8.667954698	9.716840537	-14.38189416	14.14502454
9.776453055	3.259702197	8.67005381	9.776453055	-14.38041943	14.14477773
9.836065574	3.334379946	8.669731139	9.836065574	-14.37956052	14.1449492
9.895678092	3.31417966	8.672695279	9.895678092	-14.37759822	14.14484168
9.955290611	3.320430673	8.671847628	9.955290611	-14.37680561	14.14481821
10.01490313	3.245105337	8.670529892	10.01490313	-14.38282205	14.14508181
10.07451565	3.075061857	8.665843199	10.07451565	-14.3844571	14.14517209
10.13412817	3.013050345	8.662479907	10.13412817	-14.38450276	14.14532463
10.19374069	2.972676451	8.665646823	10.19374069	-14.38232619	14.1453079
10.2533532	2.972734986	8.664061568	10.2533532	-14.37888034	14.14531787
10.31296572	2.892189441	8.654132184	10.31296572	-14.38357305	14.14577574
10.37257824	2.800557265	8.649135973	10.37257824	-14.38507876	14.14584675
10.43219076	2.698188753	8.654301392	10.43219076	-14.38576372	14.14575547
10.49180328	2.670603498	8.655982358	10.49180328	-14.38254121	14.14531675
10.5514158	2.654891158	8.65928508	10.5514158	-14.37747892	14.14507091
10.61102832	2.629954178	8.664111884	10.61102832	-14.37311059	14.1449705
10.67064083	2.638882281	8.664171206	10.67064083	-14.36886392	14.14488767
10.73025335	2.61066839	8.663498378	10.73025335	-14.37160419	14.14482513
10.78986587	2.567731124	8.662220609	10.78986587	-14.37737851	14.14499626
10.84947839	2.607272828	8.662057124	10.84947839	-14.37679883	14.14467214
10.90909091	2.675624007	8.662165976	10.90909091	-14.38191149	14.14476642
10.96870343	2.737400712	8.662153538	10.96870343	-14.38012242	14.14463467
11.02831595	2.69010332	8.66067804	11.02831595	-14.38443904	14.14495144
11.08792846	2.671719098	8.659586355	11.08792846	-14.38820295	14.14517399
11.14754098	2.655630568	8.658297826	11.14754098	-14.38603702	14.14500016
11.2071535	2.683159219	8.662442109	11.2071535	-14.38914681	14.14503052
11.26676602	2.664221451	8.663397321	11.26676602	-14.39082425	14.14503928
11.32637854	2.609788737	8.6638823	11.32637854	-14.38677302	14.14508747
11.38599106	2.618384996	8.668268906	11.38599106	-14.38109409	14.14487355
11.44560358	2.608438202	8.670218455	11.44560358	-14.38482594	14.1450912
11.5052161	2.535118072	8.670490796	11.5052161	-14.38634735	14.14524592
11.56482861	2.47609167	8.671271419	11.56482861	-14.38866537	14.14512315
11.62444113	2.454928824	8.670500914	11.62444113	-14.38873228	14.14532834
11.68405365	2.369038118	8.673811353	11.68405365	-14.39073196	14.14551908
11.74366617	2.384349074	8.674669019	11.74366617	-14.39062746	14.14550187
11.80327869	2.391754472	8.675979301	11.80327869	-14.38977916	14.14534874
11.86289121	2.400342554	8.675955832	11.86289121	-14.39047448	14.14559953
11.92250373	2.392919679	8.675528626	11.92250373	-14.39150226	14.14566894
11.98211624	2.349499154	8.67464904	11.98211624	-14.39175539	14.14563056
12.04172876	2.269385846	8.67265429	12.04172876	-14.39082014	14.14557273
12.10134128	2.251597871	8.672122757	12.10134128	-14.39030213	14.14565833
12.1609538	2.190900086	8.673788121	12.1609538	-14.39026012	14.14552024
12.22056632	2.173464521	8.674621399	12.22056632	-14.39123917	14.14561343
12.28017884	2.159008036	8.674381086	12.28017884	-14.39235134	14.14557797
12.33979136	2.14481837	8.674004704	12.33979136	-14.39193085	14.14563814
12.39940387	2.147716466	8.67525766	12.39940387	-14.39211541	14.14554686
12.45901639	2.184974929	8.676902835	12.45901639	-14.39088104	14.14558416
12.51862891	2.182180958	8.679165071	12.51862891	-14.39329656	14.14568801
12.57824143	2.187020812	8.682002143	12.57824143	-14.39312511	14.14555317
12.63785395	2.080644591	8.679960724	12.63785395	-14.39339585	14.14569876
12.69746647	2.038049686	8.679303502	12.69746647	-14.39499595	14.1457905
12.75707899	1.975884786	8.680834619	12.75707899	-14.39501544	14.14591729
12.81669151	1.984301678	8.680575044	12.81669151	-14.39668644	14.14565305
12.87630402	1.975749428	8.681480754	12.87630402	-14.3970304	14.14564806
12.93591654	1.946792021	8.681130076	12.93591654	-14.3992056	14.14574688
12.99552906	1.862527292	8.679969319	12.99552906	-14.40057152	14.14558543
13.05514158	1.836152511	8.680857356	13.05514158	-14.40223402	14.14553363
13.1147541	1.877039813	8.681498494	13.1147541	-14.39979264	14.14572212
13.17436662	1.894153156	8.68659884	13.17436662	-14.40094642	14.14571749
13.23397914	1.987780677	8.689797108	13.23397914	-14.39957065	14.14565977
13.29359165	2.011796475	8.690386111	13.29359165	-14.39800841	14.14561247
13.35320417	1.984018655	8.693993285	13.35320417	-14.40224118	14.1453609
13.41281669	1.943571556	8.690668652	13.41281669	-14.40268403	14.14569178
13.47242921	1.925328288	8.689438188	13.47242921	-14.40695442	14.14552518
13.53204173	1.992521248	8.689940936	13.53204173	-14.40645697	14.14564828
13.59165425	2.157109136	8.697746377	13.59165425	-14.40473465	14.1455133
13.65126677	2.168460425	8.695823114	13.65126677	-14.40759962	14.14563152
13.71087928	2.168594719	8.692844946	13.71087928	-14.40622153	14.14581691
13.7704918	2.188663718	8.689336927	13.7704918	-14.40740468	14.14604669
13.83010432	2.270267834	8.692192329	13.83010432	-14.40462282	14.14629157
13.88971684	2.367124309	8.692096896	13.88971684	-14.40404375	14.14596716
13.94932936	2.451466236	8.692546715	13.94932936	-14.4033015	14.14603801
14.00894188	2.466719302	8.688352259	14.00894188	-14.40180422	14.14621405
14.0685544	2.473931476	8.687445507	14.0685544	-14.4032532	14.14618987
14.12816692	2.475498363	8.685715475	14.12816692	-14.4051549	14.14605531
14.18777943	2.490672824	8.68526993	14.18777943	-14.40698182	14.14600528
14.24739195	2.552589996	8.686491013	14.24739195	-14.40909517	14.14600257
14.30700447	2.746969028	8.691250874	14.30700447	-14.4059263	14.14639694
14.36661699	2.867739729	8.692073618	14.36661699	-14.40539838	14.14620639
14.42622951	2.845220819	8.68642372	14.42622951	-14.40689867	14.14587257
14.48584203	2.286379461	8.657336688	14.48584203	-14.39849946	14.14561377
14.54545455	1.67575196	8.597591044	14.54545455	-14.37309298	14.14494426
14.60506706	1.684622241	8.539604211	14.60506706	-14.36245129	14.14460657
14.66467958	1.954423183	8.459316836	14.66467958	-14.37587441	14.14409924
14.7242921	2.001113518	8.382916178	14.7242921	-14.02535748	14.14391357
14.78390462	1.817781684	8.231724038	14.78390462	-12.90439744	14.14113604
14.84351714	1.424596932	8.087202508	14.84351714	-11.84499276	14.14434474
14.90312966	0.471574642	8.059044387	14.90312966	-11.63035469	14.14094572
14.96274218	0.461645458	8.107675961	14.96274218	-11.64357305	14.14240374
15.02235469	0.094654911	8.067247449	15.02235469	-11.64332247	14.14324621
15.08196721	0.093661879	8.031443763	15.08196721	-11.62507904	14.14388306
15.14157973	0.21386866	8.000307852	15.14157973	-11.60598848	14.14390862
15.20119225	-0.063941567	7.967925724	15.20119225	-11.58184895	14.14430919
15.26080477	-0.078225523	7.994189607	15.26080477	-11.605046	14.14485826
15.32041729	-0.252331506	7.989044306	15.32041729	-11.61277076	14.14478016
15.38002981	-0.205168008	7.918161681	15.38002981	-11.58909021	14.14486557
15.43964232	-0.640365148	7.809127645	15.43964232	-11.59148918	14.14407426
15.49925484	-0.315268879	7.432367343	15.49925484	-11.59708749	14.1441252
15.55886736	0.0833653	6.933582474	15.55886736	-11.46062454	14.14680866
