FASC_Dist_BEST			mass_A		
t	x	y	t	x	y
0.00000000000000	15.13080628000000	1.34116052500000	0.00000000000000	3.39635830500000	8.45503491100000
0.05961251863000	15.16029820000000	1.33865473300000	0.05961251863000	3.39538602300000	8.45497364200000
0.11922503730000	15.27750222000000	1.32582377900000	0.11922503730000	3.39547997700000	8.45525565400000
0.17883755590000	15.40488819000000	1.30903849700000	0.17883755590000	3.39723737700000	8.45517475800000
0.23845007450000	15.48867130000000	1.30156882100000	0.23845007450000	3.39646276300000	8.45528666400000
0.29806259310000	15.55274518000000	1.29924181000000	0.29806259310000	3.39882665400000	8.45507971500000
0.35767511180000	15.60792408000000	1.29515371300000	0.35767511180000	3.39878867300000	8.45475433400000
0.41728763040000	15.70356071000000	1.28611291100000	0.41728763040000	3.39903380300000	8.45490046000000
0.47690014900000	15.76015954000000	1.28054322300000	0.47690014900000	3.39665770000000	8.45525317200000
0.53651266770000	15.83057956000000	1.27483497000000	0.53651266770000	3.39757568600000	8.45471353300000
0.59612518630000	15.94070327000000	1.26325596000000	0.59612518630000	3.39772260000000	8.45414816900000
0.77496274220000	16.13295832000000	1.24152998600000	0.65573770490000	3.39743402600000	8.45423480100000
0.83457526080000	16.24373711000000	1.23055322400000	0.71535022350000	3.39611754500000	8.45441979800000
0.89418777940000	16.29234330000000	1.23244464400000	0.77496274220000	3.39844807300000	8.45453181800000
0.95380029810000	16.37665998000000	1.22798004300000	0.83457526080000	3.39703365600000	8.45450785700000
1.01341281700000	16.41730249000000	1.22627802900000	0.89418777940000	3.39697558200000	8.45450070300000
1.07302533500000	16.51683691000000	1.21732829600000	0.95380029810000	3.39750965200000	8.45481240700000
1.13263785400000	16.58677846000000	1.21204668500000	1.01341281700000	3.39747286000000	8.45471912800000
1.19225037300000	16.68104237000000	1.20276626100000	1.07302533500000	3.40062342200000	8.45404732900000
1.25186289100000	16.74863020000000	1.20057284300000	1.13263785400000	3.40266904000000	8.45390278300000
1.31147541000000	16.79412446000000	1.19669306000000	1.19225037300000	3.40311002500000	8.45374654700000
1.37108792800000	16.84203145000000	1.19316712900000	1.25186289100000	3.40493090600000	8.45411841000000
1.43070044700000	16.91708620000000	1.18921906800000	1.31147541000000	3.40472349100000	8.45410457000000
1.49031296600000	16.96674932000000	1.18215936000000	1.37108792800000	3.40426963400000	8.45410375500000
1.54992548400000	17.04689717000000	1.17553075700000	1.43070044700000	3.40234359200000	8.45437688300000
1.60953800300000	17.11677444000000	1.16696524700000	1.49031296600000	3.40165756800000	8.45467819800000
1.66915052200000	17.16613406000000	1.16135856600000	1.54992548400000	3.40054269900000	8.45479427600000
1.72876304000000	17.22267269000000	1.15770020000000	1.60953800300000	3.39946303200000	8.45502369600000
1.78837555900000	17.27566969000000	1.15073492600000	1.66915052200000	3.39836044200000	8.45486530500000
1.84798807700000	17.36665451000000	1.14455095700000	1.72876304000000	3.40060821300000	8.45524113700000
1.90760059600000	17.42168828000000	1.14165159600000	1.78837555900000	3.39921758100000	8.45477243700000
1.96721311500000	17.45712054000000	1.13933331600000	1.84798807700000	3.39973815400000	8.45495050500000
2.02682563300000	17.49863688000000	1.13516150300000	1.90760059600000	3.39901224900000	8.45472559500000
2.08643815200000	17.57008809000000	1.12801075600000	1.96721311500000	3.39708304500000	8.45474906500000
