Joint_angle	INT_1_STR_PRE_L	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_19_STR_PRE_R	INT_20_STR_PRE_L	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_29_STR_PRE_L	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_19_CON_PRE_L	INT_20_CON_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_29_CON_PRE_R	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_19_STR_POST_R	INT_20_STR_POST_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_29_STR_POST_L	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_19_CON_POST_L	INT_20_CON_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_29_CON_POST_R	INT_30_CON_POST_R	INT_31_CON_POST_L
-7.5	0.735431768759305	-0.50942307814144	9.54461096680565	2.77168824448442	7.49791950049367	1.61835734636551	0.476620412572403	0.31391309386084	9.87782202826254	10.0995613665586	5.13883962261395	7.0914846388025	5.52746449467542	0.806313632833923	3.44125087162507	2.65168926693151	1.16490087637086	0.448563248884236	-0.0364780334559367	-0.0810725146997396	1.15149688131254	3.69601775710746	6.66143586472143	4.36984845743833	NaN	NaN	NaN	NaN	0.772028927698974	7.21342026971549	5.07132570788437	2.60959575200003	7.51987731548412	0.892371618880831	-2.44422642935221	NaN	-0.515736733791154	2.95672013387617	NaN	-0.023469791392035	1.67135016257508	0.105385501076357	NaN	NaN	14.485129993079	4.89052890435543	6.35907310068388	5.35298821466867	2.29615950775255	4.05206831942068	2.58174261128558	7.86833947982923	-0.487662432027358	-0.571149487244231	6.332930296343	2.97348053387453	11.2080574234194	10.2019048339912	12.7944140925754	10.8779412985814	-0.536852414394048	3.11111750198581	NaN	-1.14464433743446	-1.21248962159915	0.61236212180754	-1.8225843181289	-2.05998545825121	-0.971440442241399	0.409241098828496	6.81634687811705	4.67433862373019	11.815482752595	7.80832600537354	-0.745877003812229	5.45968183965696	11.6584465344838	9.42514333394459	8.51261603121719	8.28606135846407	3.92861124215731	6.44412123571043	0.906528943266999	1.79408023589139	-0.644791865544305	3.18148858393245	8.36894151703817	11.0362412584577	-0.0284214977356659	5.49728175543846	2.13054728531116	7.17352672994127	4.50888617774824	3.05288768805954	-1.11640027935826	-1.64029961450227
-5	4.33430279703429	2.17882848202033	12.6916499586345	5.81723472853999	9.399144429612	3.11582750759226	3.79945102830466	2.21431182497252	12.0191344383144	12.4361790819585	8.46899887764712	9.91979571318332	7.97052884131174	3.9175738853535	5.61958200509963	5.85488726978475	4.58074551820451	3.74118722337322	2.93356886595392	2.35016212242005	5.96710352824373	7.83118250946536	10.0631274779738	7.19649007243817	NaN	NaN	NaN	NaN	1.75341070174831	9.64770067653312	7.7031443327597	5.08312427447614	10.7987717389207	4.43892463736328	-1.40177164143266	-2.30946224122443	1.44129520286109	6.55546282862741	-1.41414238387554	3.33980276450471	4.05718660916667	3.13246890313133	-0.0607193212505016	0.835164872360152	19.2885252426528	11.6531041448038	11.7504619822603	12.2350200765507	4.96480745951998	5.75988680361033	4.1595279672467	9.74074961258405	3.79878012805746	2.27367281587406	9.87692933907931	6.7292815145237	13.7933554823087	12.2085953052717	14.977666990582	14.3307975597983	3.54843351317937	8.47255032325589	NaN	3.5219434682504	3.28120695230991	4.57283666359638	0.523593736086063	1.0443388155414	0.543881848930576	3.0801876363113	9.72003969814842	7.64143191181833	15.1261196654501	12.3920022851314	4.43996189271312	12.0803098986553	14.6737940160881	14.4419951965612	10.308469853389	12.5239366698895	6.32288080575987	8.80824404800255	3.20688422992602	4.24507119286616	1.38907645207186	5.95487277461275	10.8902730507013	12.6844798502474	3.69447525569894	9.28310532493286	6.22563711637198	10.7561915751948	7.00323262197059	6.912069000275	1.89671841567947	2.02030488235674
-2.5	6.55715141379841	4.80503886930005	14.8441511973719	8.06579583190507	10.6429872917621	4.01144511548473	5.13823771518237	3.93303697164033	13.8805041007395	13.885358394783	10.9107061896684	11.8389789988134	9.71859076506893	6.21309948052837	6.99369025309007	7.22684183337916	8.06785572319644	6.25981090011694	4.96488412349798	5.11348990450335	9.10826996900757	10.5271669626241	12.6127813510916	9.34097927209272	NaN	NaN	NaN	NaN	2.72816976003907	10.9833964424261	9.42524606257232	7.22513161685735	13.1162668044156	8.25531211122915	0.725723299581698	-0.816468908817757	4.1227250253822	9.116727757991	0.784652181574476	6.25907658694064	6.02763653370195	5.71776903639263	1.06597812007821	1.6377122306891	22.9522466193215	16.2110300450302	15.8888990758111	17.4845607917136	6.2576893601936	7.09636983917256	5.46653807972591	11.0844874853588	7.53405819641445	4.89830164608968	12.0816251573784	9.15621023196488	15.5605292084273	13.8605979764993	16.1211915995524	16.6796350306784	8.13548310567436	12.2476534364624	0.495901084061964	7.39889947279567	7.27549798417807	7.87490347393835	4.20533378426034	4.99963283855047	2.01419926702606	4.71934147570411	11.9431075882091	9.64550872007358	16.9739861799448	16.1947054072582	10.3969254570605	16.4144578343882	16.4807871849395	17.4316663893052	12.1991247495952	14.3836343419651	8.01974767847675	10.3230002833763	4.85273138066139	5.92819472901683	3.41777890376211	7.82010161665909	12.5625297383757	13.8005839772417	6.73708676541805	11.9541860000805	10.1706823974662	13.3023311928378	8.94544034478356	9.02025029506942	4.90949528464869	5.10320936302857
0	7.90892139553847	7.07083240610953	16.603072862448	10.2811487466661	11.7216943672753	5.09991027682611	6.56846889556174	5.3491899232909	15.4195221506965	15.3140011231137	12.702232936636	13.4679285375451	11.4643101016786	7.92220098591404	7.77823713928047	8.57974620445359	10.7812667768873	7.89072013891815	7.38660748097278	8.14588717306737	9.79064908289977	12.6906136870201	14.4583667984403	11.5120211350329	NaN	NaN	NaN	NaN	3.47764198735513	12.3391487597028	10.8302958680993	8.95956268267904	14.7667722829451	11.3262278846531	3.31492427068246	1.15221809638135	6.63129466052763	11.3553010792718	3.14952039381723	8.86795788288172	7.60463864639668	7.7109349096383	3.03011410939185	1.52397081168634	25.4822771568785	20.0455615092832	20.2792540797388	21.9097272983926	7.38372501875361	7.98883742791245	6.37741342670803	12.045668407418	10.4589873485151	7.29419198303677	14.1287569703203	11.1849084807342	17.2028742313722	15.2973337826679	17.4303436824185	17.8888707766662	11.2156774757323	15.7216218036125	-3.05300082385489	11.3636898480679	10.4937531398532	10.6040264652965	7.88499776859278	8.6787308491866	3.52632777051676	5.74852786428	12.9424333448682	11.014773503636	18.8539194176763	19.7126309225411	14.0613533679678	18.951067575154	18.3183390012239	20.6258989357938	13.6383467802764	15.98568554079	9.50461883991933	11.6066350385232	6.10187988237892	7.42823031485967	5.28274679461817	9.50150245371506	13.7585540349739	14.7312278592157	9.30956218871162	14.5031149566093	13.1045371879997	15.5711360834815	11.0855306238314	10.8579342801225	7.42171346361882	7.62634046685799
2.5	9.40958473997858	8.75186287516535	17.7942987941651	11.7463201086597	12.3672363959195	6.31451655089625	7.64295802870909	6.54045482821094	16.6861664342628	16.3057313372288	14.2742373079411	15.0204190300431	12.9044991216663	9.60350871306174	8.3815791892405	9.48364017833155	12.0582635548259	9.29234986885029	9.89665352639865	10.6131927368004	10.0140998347487	14.4958431061827	15.9712389121317	13.1295903554782	NaN	NaN	NaN	NaN	4.59872712725384	12.8538807323559	12.0652541482786	10.4294603825595	15.8089651517545	13.2939727910727	5.42320498174918	3.4222962682532	8.18915904616307	12.6906242411933	5.56200762154621	11.033442442818	8.60011289008423	9.21247443080544	5.44047595806262	0.00116287660677224	27.2055156820775	22.5459468181355	23.1813063628803	25.1002403227648	8.10000738530754	8.75720410683707	6.81237712120284	12.666383164934	12.3638910912645	8.61377698925687	15.424430801899	12.7186826162125	18.4053087451794	16.1892918280971	18.2484171737317	18.2461912917588	13.4516736787141	18.6650692574949	0.829463199778659	14.171516369374	12.8221293458496	12.6631996187292	10.6195680258479	11.5440596822713	4.69767989175123	6.72315905511989	13.9734042428616	12.2153294924072	20.5293068565046	22.3495816005541	16.5906775351138	21.8820432898445	20.1667314232028	23.3597394558222	14.616588022474	17.444415007668	10.5960179346143	12.4232322946308	7.23965056034986	8.67543891118317	6.51134357921302	10.7341659652315	14.5332079273207	15.4751347792235	11.2186386245499	16.3060943557678	15.1095982063375	17.0336721509545	12.5686946084959	12.2383465673635	8.39197606871061	9.6018965836539
5	10.758424796394	10.3792349190344	18.5857706438394	12.8425059983809	12.8155472767348	7.29848608686464	8.67327452044695	7.16065274192769	17.7603350177213	17.3663539140321	15.3113319642027	15.8126253702954	13.9381615195185	10.9134949948549	8.62702685243585	10.393086477475	13.3421467516128	10.9214415951389	11.4954306848123	12.3657493205865	11.0442101726867	15.4816192098009	16.8765809367012	14.5140565890664	NaN	NaN	NaN	NaN	5.93258763420797	12.8722018992283	12.7933658350424	11.4416285049619	16.4761673312817	15.2655497522414	7.34245195677245	5.76749647030222	9.17705216291375	13.5304954338978	7.08671988830852	12.4538860500374	9.42995732708372	10.1105514949337	7.52654151014964	1.05698178809889	28.5335489059889	24.5069965454724	24.9310677283077	27.0915583511939	8.70021924228609	9.10090853805434	6.96244896480766	13.0408824171153	13.4919953401352	9.57459021091574	16.3357997318313	14.1618337136197	19.2000833411457	17.3596013697376	18.8315045205806	18.6006975971511	15.2782279752374	20.6741567677385	6.63342800953105	16.0373878559401	14.3386419886658	14.2429869757382	12.8112536758119	13.8042146458231	5.3478913185328	7.61793799494309	15.3413244513567	12.6471060665506	22.1082879159031	24.1982947407363	18.3255368501158	24.0878243885508	21.2062118275432	24.947175235434	15.4755668066567	18.7068915346914	11.3591177784068	13.2591005485934	8.10124300627409	9.60006190116951	7.64389831725867	11.5806055622624	14.8240532512081	16.1242137670296	12.0518637701123	17.8420840010417	16.5757719664664	18.1253472267286	13.3936185421544	13.4748440801667	8.74336134195304	10.7243486268152
7.5	11.5096555803959	11.9873707202077	19.3685086259597	13.659145525272	13.3365489002727	8.71945069727076	9.30802842218075	7.98276193352446	18.8058541978608	18.2629036171543	16.3130948234673	16.3272652302995	14.8467461768112	12.2229317885244	8.6525788650993	11.126853795774	14.4789862120129	11.315578245596	12.6788697290349	13.7099295704381	11.9509685825084	16.2941075468547	17.5189744356781	16.605054408036	NaN	NaN	NaN	NaN	6.7866567789908	12.7499024466788	13.1641465743311	12.4469567406622	17.2118105143684	16.5229204163165	9.00967314564345	7.57104534797616	9.99884529159296	13.8479282027029	8.38683407311886	13.5133949406697	10.2649949472612	10.7757794739596	8.82894148785181	2.69718359853374	29.8835436549381	26.0565076586337	26.2661310712704	28.6838211008964	9.15616855440023	9.43347655826722	7.59389907454489	13.511118306006	13.8950720521027	10.4770033766219	17.0379926975183	15.5087434195643	19.8985467977904	18.8839175909025	18.6009839653344	19.1361291597715	17.0545892906865	22.3158018442529	11.8115914757294	18.5023092270699	15.5873600406509	15.4097115232061	14.6994702581096	15.8776837276945	5.81029123924284	8.64974843145152	16.130362438365	13.1111987268819	23.4586852175861	25.7291983767429	19.748839473372	25.5954804100387	21.9142835385396	25.7448716799561	16.0244435560837	19.7311005597701	11.9573963198533	13.9134858794964	8.76313340605682	10.4653058132059	8.59009441478364	12.3384593275508	15.1346345065284	16.5216290750789	13.1367889674889	19.2101848357419	16.1269497358243	18.9805333894268	13.7751275350748	14.4183358814118	9.82761025521901	11.7605256117282
10	11.8420575795767	12.8883680676855	19.9990192760878	14.2269731264015	13.794026640833	10.543594053277	9.77472965697686	8.93666033410546	18.6091867314155	19.1423456446495	16.8138935010182	16.7923098630601	15.5616377367766	13.0876834733293	8.38960245287755	11.5831132160984	15.5555825831889	11.2083130490309	14.1064066157002	14.7381042233727	12.495985663908	16.7875781811419	17.9163008761888	18.3662995522696	NaN	NaN	NaN	NaN	7.67533895958868	12.793706801278	13.3071463890411	12.9758969324706	17.4032342780808	16.7627201586584	10.3938333403215	8.78058804520564	10.832170302663	14.005592024919	9.21261378825592	14.0437943774523	10.6420179183052	10.9725895553637	9.96085406815693	4.41255209603333	30.725437980706	27.5703559397375	27.8180447224731	29.7267257585746	9.30583214908349	9.55077180207554	8.25969933269445	13.7752354575453	13.468595928461	11.2196228111964	17.5816334595502	16.6044514607974	20.5592622001701	19.8434828378922	18.3959825352091	19.6764977878465	18.9154680535931	23.9437601216861	14.4664385300291	22.3457052748155	16.2055948672226	16.1333768409176	15.9535263151263	17.5472726029835	6.09061736442385	9.62284295489961	16.1631074433241	14.1316627376427	24.4445729047403	27.2102188869415	20.6435401478037	26.4298713227833	22.1986757372141	26.2390529815437	16.515962735242	20.6844523311455	12.4989868654168	14.4065491952503	9.28522005223625	11.0118678688846	9.36857120819928	12.7277017245916	15.4785026014144	16.5886936825983	14.1639629754919	19.8093354307211	15.1071394630879	19.6081158063729	13.9790070741444	15.0146702334813	10.7245934896684	12.5809764294179
12.5	12.2872898267881	13.6092495599294	20.3933921069241	14.6700012569621	13.8162528475409	11.4888118531042	10.0365503145231	9.52106227428722	18.2505456059898	20.094812565985	17.2240350817794	17.6836754208119	16.0153197875314	13.8603148355836	7.87307384652096	11.9345801415881	16.2912006082312	11.3182313874901	14.8630710064662	15.7225935358182	12.7650835223313	17.2935002114191	18.3311943573531	18.6039387615793	NaN	NaN	NaN	NaN	8.52518604808875	13.2129349916458	13.6831763848991	13.3503690301547	17.6260396197465	16.694274731513	11.4314891614098	9.89071917251843	11.1568174234602	13.8334485842875	9.91256042686213	14.6663583699006	10.9843972216893	10.9592296258498	10.7876387396694	5.62446151813004	30.5412654683131	28.8990456342742	29.4050981317702	31.4481329859219	9.45867612353456	9.71182819951383	8.4924942800573	13.706460504119	12.7486529144945	11.7668566244769	18.0378271518754	17.3153121778671	21.0641969667842	20.4343719306288	19.2411464927342	20.0900304970264	20.847157351014	25.1501721511104	16.1759988441346	24.7554746372548	16.5906067847362	16.8795399662041	16.8840578107737	18.6012796296096	6.38714363508936	10.133004270709	16.171449930454	14.9218287048615	25.3425416828802	28.5325066529829	21.3160550066329	27.2633154457147	22.1286742533883	26.291901567169	16.5825204457686	21.2465895343924	12.8510192905419	14.6956246253217	9.58001904042643	11.573191097648	10.0852439089781	13.1105951117223	15.8073700951074	16.7782060535292	15.0678593815733	20.1874389498603	14.749301094578	19.9826839782913	14.227419002366	15.4094113158083	11.3040549165814	13.3004920806726
15	12.6917106148101	14.2614991216883	20.3239616293679	15.3670440868576	13.5726132757743	12.1133769245004	10.2441764886048	9.67469236190686	18.2795481108827	20.3213901373016	17.6920245260724	18.3429357580256	16.0704138501855	14.3882614350483	7.60602200798735	12.1749988584998	16.6198681364208	12.0439781590582	15.3126562025714	16.2129655260572	12.7789975155182	17.3620363835673	18.5636798728718	18.0085666494863	NaN	NaN	NaN	NaN	9.20982121654204	13.5819297709902	13.6870545212866	13.5154407149891	17.9515370846771	16.6796641272067	12.0792746104604	10.7286016825124	11.429464866749	13.3784781492136	10.3973689420111	15.0961295851929	10.866492217867	10.6556531539777	11.3797999800758	6.74059761347229	30.3444901745354	29.8913467159906	29.7759253191026	32.4603099621772	9.40209559656532	9.72178695910428	8.64256595449388	13.3548609784863	12.7447446540634	12.0806087799839	18.2393594541776	17.5667246697565	21.1917660381821	20.691014930742	20.1059404435629	20.3979273949582	22.2458666216705	26.0476833372697	19.1396217339531	24.3889655605815	16.4584565005815	17.1115047807194	17.2554110112418	19.2839596900941	6.98059892703049	9.94136233202731	16.8532240588404	15.2171874160109	26.1511863055194	29.0809251805628	21.7964500104917	27.6250937073753	21.8860597238371	26.1595033222886	16.2932248794085	21.1002348341475	13.1948224730318	14.9225365738826	9.94857521779776	11.9254695092662	10.4854777565788	13.340445135075	16.0064579965889	16.9358475181613	15.7782953398359	20.5357557796377	14.5526471288936	20.484969370518	14.1795804804243	15.7178833042927	11.4704621295619	13.2341060668348
