Fasc BEST			SOLext		
3.278688525	21.74579111	-2.542188786	3.278688525	7.564753094	2.756028616
3.338301043	21.74250411	-2.541655209	3.338301043	7.555215499	2.756896979
3.397913562	21.74679459	-2.543373811	3.397913562	7.548008642	2.755360633
3.45752608	21.74604035	-2.544556171	3.45752608	7.499591069	2.758951493
3.517138599	21.77062298	-2.545317296	3.517138599	7.480807084	2.763272203
3.576751118	21.7754773	-2.545596533	3.576751118	7.47143651	2.763058314
3.636363636	21.78184742	-2.544093238	3.636363636	7.431854429	2.762313146
3.695976155	21.79217657	-2.541694251	3.695976155	7.415875405	2.759245037
3.755588674	21.83387485	-2.54003085	3.755588674	7.414851239	2.758550252
3.815201192	21.84003477	-2.539014953	3.815201192	7.399259288	2.756240014
3.874813711	21.83918757	-2.538036927	3.874813711	7.362522152	2.758099225
3.93442623	21.87072196	-2.54050476	3.93442623	7.355767373	2.758302704
3.994038748	21.91702562	-2.541654186	3.994038748	7.347064521	2.759221952
4.053651267	21.95018847	-2.54489535	4.053651267	7.340681199	2.759295909
4.113263785	21.9652684	-2.544305303	4.113263785	7.33602485	2.760192705
4.172876304	21.96160949	-2.544862442	4.172876304	7.321108912	2.757780419
4.232488823	21.96194431	-2.542574512	4.232488823	7.268758465	2.760616378
4.292101341	21.94826543	-2.539759622	4.292101341	7.239826049	2.758607253
4.35171386	21.94144473	-2.537622897	4.35171386	7.197972864	2.760372187
4.411326379	21.90967624	-2.528311383	4.411326379	7.15502696	2.760002858
4.470938897	21.88343503	-2.52861168	4.470938897	7.11497491	2.759078104
4.530551416	21.89096776	-2.532594599	4.530551416	7.093849215	2.757854171
4.590163934	21.90059233	-2.53753884	4.590163934	7.057862386	2.760313677
4.649776453	21.91066402	-2.543295164	4.649776453	7.028539461	2.762492162
4.709388972	21.92704678	-2.545400043	4.709388972	6.987433783	2.765518494
4.76900149	21.9468595	-2.546835413	4.76900149	6.94757629	2.764234225
4.828614009	21.95248416	-2.546966013	4.828614009	6.90132546	2.765490049
4.888226528	21.95716041	-2.546024043	4.888226528	6.878513642	2.764830775
4.947839046	21.97327246	-2.54541121	4.947839046	6.833782222	2.767232387
5.007451565	21.98339839	-2.544812008	5.007451565	6.789348538	2.766779073
5.067064083	21.97818262	-2.543144054	5.067064083	6.743371391	2.767721639
5.126676602	21.96828832	-2.544088743	5.126676602	6.70623167	2.768943809
5.186289121	21.98115416	-2.543497688	5.186289121	6.657366435	2.768818423
5.245901639	21.99004265	-2.544943384	5.245901639	6.602283168	2.772533856
5.305514158	21.96303608	-2.544367629	5.305514158	6.526883587	2.773020475
5.365126677	21.95394462	-2.543565646	5.365126677	6.460542291	2.773629062
5.424739195	21.95365112	-2.545639639	5.424739195	6.39196502	2.776445512
5.484351714	21.9502107	-2.546220964	5.484351714	6.321280279	2.778321459
5.543964232	21.94510813	-2.546596701	5.543964232	6.250453299	2.779899455
5.603576751	21.88904947	-2.541707533	5.603576751	6.176381529	2.779363402
5.66318927	21.88334255	-2.543085756	5.66318927	6.101512969	2.779940105
5.722801788	21.88518466	-2.544004851	5.722801788	6.037812241	2.780391207
5.782414307	21.88221369	-2.545622437	5.782414307	5.988033057	2.782287751
5.842026826	21.88652142	-2.546156184	5.842026826	5.945694653	2.78352622
5.901639344	21.8832764	-2.546908129	5.901639344	5.888923523	2.78487854
5.961251863	21.90650275	-2.544205181	5.961251863	5.845719185	2.786570805
6.020864382	21.90784449	-2.543614481	6.020864382	5.814009041	2.785052066
6.0804769	21.90862832	-2.542075944	6.0804769	5.763275985	2.786074986
6.140089419	21.88933054	-2.542806122	6.140089419	5.68866973	2.786009916
6.199701937	21.88030616	-2.543974155	6.199701937	5.631539901	2.789571216
6.259314456	21.8852131	-2.54252143	6.259314456	5.58443015	2.789033718
6.318926975	21.88624952	-2.544564548	6.318926975	5.52812931	2.789045115
6.378539493	21.88921095	-2.545106713	6.378539493	5.460228708	2.786738354
6.438152012	21.88839999	-2.547788202	6.438152012	5.390114562	2.786545261
6.497764531	21.88129545	-2.548986534	6.497764531	5.334078378	2.789054285
6.557377049	21.87597843	-2.549604475	6.557377049	5.279839487	2.789650413
6.616989568	21.87742952	-2.549410192	6.616989568	5.224274536	2.792976862
6.676602086	21.87134172	-2.548799478	6.676602086	5.179466553	2.793133263
6.736214605	21.87998822	-2.547730729	6.736214605	5.12466993	2.792157559
6.795827124	21.8606388	-2.547038257	6.795827124	5.049527139	2.79533444
6.855439642	21.85751411	-2.543847313	6.855439642	4.97457908	2.79501186
6.915052161	21.85886885	-2.543639782	6.915052161	4.894744524	2.795119789
6.97466468	21.85420657	-2.539825375	6.97466468	4.832576365	2.794374283
7.034277198	21.80558585	-2.537935049	7.034277198	4.770915914	2.796773877
7.093889717	21.78190089	-2.532686357	7.093889717	4.714517584	2.79710399
7.153502235	21.79470944	-2.53152124	7.153502235	4.64177237	2.800830727
7.213114754	21.80525835	-2.532454274	7.213114754	4.590870937	2.804450682
7.272727273	21.82160042	-2.536099231	7.272727273	4.573378579	2.805999246
7.332339791	21.8059563	-2.538890471	7.332339791	4.51970932	2.806202612
7.39195231	21.80213546	-2.541270711	7.39195231	4.475575206	2.805663858
7.451564829	21.81267566	-2.542710579	7.451564829	4.441772251	2.80599997
7.511177347	21.82198819	-2.544695134	7.511177347	4.412313675	2.807433821
7.570789866	21.82258534	-2.545055844	7.570789866	4.370486303	2.808568189
7.630402385	21.81270732	-2.544804904	7.630402385	4.297702295	2.81801156
7.690014903	21.79897005	-2.541639263	7.690014903	4.21166881	2.830905806
7.749627422	21.78553422	-2.541526923	7.749627422	4.121717354	2.821071028
7.80923994	21.79237065	-2.540844228	7.80923994	4.062000992	2.822770174
7.868852459	21.78721691	-2.54187029	7.868852459	3.98263343	2.822239409
7.928464978	21.77882068	-2.540665619	7.928464978	3.948984206	2.819185182
7.988077496	21.76417183	-2.540183287	7.988077496	3.911902437	2.820808431
8.047690015	21.75681843	-2.540447697	8.047690015	3.874221904	2.820415996
8.107302534	21.81432945	-2.542334345	8.107302534	3.8345823	2.82247067
8.166915052	21.94534104	-2.538476638	8.166915052	3.835186473	2.823026272
8.226527571	22.00437692	-2.537658592	8.226527571	3.807530142	2.824792256
8.286140089	22.04430839	-2.541489474	8.286140089	3.771557168	2.824107001
8.345752608	22.08871742	-2.542770973	8.345752608	3.75528267	2.823309337
8.405365127	22.15562153	-2.545051835	8.405365127	3.774620985	2.821119891
8.464977645	22.20629496	-2.546867137	8.464977645	3.77797108	2.820792716
8.524590164	22.25362977	-2.547399618	8.524590164	3.771508858	2.82016717
8.584202683	22.26934146	-2.549742547	8.584202683	3.772009594	2.819188357
8.643815201	22.30541971	-2.549545289	8.643815201	3.775130126	2.817637594
8.70342772	22.35968885	-2.552943566	8.70342772	3.774346518	2.817056427
8.763040238	22.3770757	-2.551868839	8.763040238	3.775336551	2.816518436
8.822652757	22.41664846	-2.553618196	8.822652757	3.775899795	2.815809094
8.882265276	22.46347599	-2.55242221	8.882265276	3.774382955	2.816553737
8.941877794	22.50178031	-2.555546287	8.941877794	3.776585391	2.816472106
9.001490313	22.51249958	-2.557490767	9.001490313	3.769547552	2.816068342
9.061102832	22.51037628	-2.557281432	9.061102832	3.769867274	2.816719623
9.12071535	22.50441036	-2.557974751	9.12071535	3.771268066	2.816870765
9.180327869	22.50877734	-2.557359308	9.180327869	3.771608834	2.816705067
9.239940387	22.4900629	-2.556407499	9.239940387	3.772255198	2.817542418
9.299552906	22.4865548	-2.556541686	9.299552906	3.769505474	2.81750318
9.359165425	22.47551213	-2.55543208	9.359165425	3.759303718	2.817188559
9.418777943	22.44971463	-2.554258616	9.418777943	3.75904205	2.81781401
9.478390462	22.47499642	-2.555614321	9.478390462	3.763074645	2.819908542
9.538002981	22.49227805	-2.555740963	9.538002981	3.760262085	2.820867958
9.597615499	22.49795551	-2.556084373	9.597615499	3.758645434	2.820786853
9.657228018	22.49904539	-2.55609998	9.657228018	3.753334851	2.820913901
9.716840537	22.48889231	-2.55536323	9.716840537	3.754356308	2.821161362
9.776453055	22.48353271	-2.556495734	9.776453055	3.759132432	2.819397045
9.836065574	22.48074932	-2.557033711	9.836065574	3.757673384	2.818330999
9.895678092	22.48185425	-2.557084682	9.895678092	3.759877233	2.818128425
9.955290611	22.47909794	-2.556130686	9.955290611	3.753686424	2.817933854
10.01490313	22.48298776	-2.556372553	10.01490313	3.755833177	2.817564059
10.07451565	22.48126338	-2.556337427	10.07451565	3.751971731	2.817792778
10.13412817	22.48853939	-2.557349339	10.13412817	3.755422898	2.81685234
10.19374069	22.47914783	-2.556015035	10.19374069	3.737848484	2.816933685
10.2533532	22.49029936	-2.557783822	10.2533532	3.710258302	2.818361043
10.31296572	22.48513291	-2.557229099	10.31296572	3.699575079	2.819516159
10.37257824	22.49895123	-2.559124238	10.37257824	3.69782381	2.819667533
10.43219076	22.5107497	-2.558734849	10.43219076	3.691596029	2.820498948
10.49180328	22.51103948	-2.558864649	10.49180328	3.699415239	2.819435376
10.5514158	22.5459698	-2.557478001	10.5514158	3.705381451	2.819572568
10.61102832	22.58968869	-2.557643235	10.61102832	3.695388264	2.815442079
10.67064083	22.60861614	-2.553309207	10.67064083	3.689369064	2.811441238
10.73025335	22.63802704	-2.555259081	10.73025335	3.678646825	2.810326821
10.78986587	22.67668409	-2.553251256	10.78986587	3.68046531	2.810152733
10.84947839	22.75365743	-2.554497695	10.84947839	3.689028506	2.811703093
10.90909091	22.78777243	-2.559325981	10.90909091	3.692212682	2.813594242
10.96870343	22.79688352	-2.56208333	10.96870343	3.691682251	2.814833068
11.02831595	22.78916204	-2.562277077	11.02831595	3.692746987	2.815660239
11.08792846	22.78763579	-2.562663182	11.08792846	3.695046311	2.816671887
11.14754098	22.78091151	-2.562199291	11.14754098	3.702119564	2.817431918
11.2071535	22.78447554	-2.562037409	11.2071535	3.706946328	2.81790491
11.26676602	22.80003262	-2.564959102	11.26676602	3.706030675	2.818727761
11.32637854	22.80960172	-2.566862246	11.32637854	3.710349893	2.818195734
11.38599106	22.80073505	-2.566802111	11.38599106	3.710567003	2.817702096
11.44560358	22.79628929	-2.567401309	11.44560358	3.711793501	2.81770438
11.5052161	22.79816509	-2.56705549	11.5052161	3.710005925	2.817892557
11.56482861	22.7918643	-2.567005563	11.56482861	3.709956866	2.818205808
11.62444113	22.79736727	-2.566909238	11.62444113	3.710127508	2.817839073
11.68405365	22.80634367	-2.567724216	11.68405365	3.710408879	2.818132494
11.74366617	22.82927686	-2.565952492	11.74366617	3.70992678	2.817535144
11.80327869	22.86420513	-2.568416086	11.80327869	3.712002122	2.818204262
11.86289121	22.86703625	-2.567636056	11.86289121	3.709436617	2.818444668
11.92250373	22.8615147	-2.567041247	11.92250373	3.710672995	2.818419166
11.98211624	22.87097537	-2.567005543	11.98211624	3.710680905	2.818407997
12.04172876	22.87764922	-2.567824943	12.04172876	3.709386634	2.818498329
12.10134128	22.87223074	-2.566399779	12.10134128	3.708648769	2.818382959
12.1609538	22.86830281	-2.565687016	12.1609538	3.705687613	2.81809583
12.22056632	22.86807381	-2.56570073	12.22056632	3.706977906	2.818197671
12.28017884	22.8678216	-2.566253709	12.28017884	3.705473991	2.818339667
12.33979136	22.86691478	-2.566576505	12.33979136	3.704347361	2.818840773
12.39940387	22.8767273	-2.567453743	12.39940387	3.7067228	2.818795033
12.45901639	22.87679829	-2.567116533	12.45901639	3.708675687	2.818811557
12.51862891	22.88473004	-2.56780811	12.51862891	3.708389474	2.81834505
12.57824143	22.88635593	-2.567897187	12.57824143	3.70707647	2.817905533
12.63785395	22.86315616	-2.566653081	12.63785395	3.706334038	2.817856469
12.69746647	22.87647393	-2.567039174	12.69746647	3.702179866	2.818403333
12.75707899	22.87988308	-2.567115797	12.75707899	3.703940419	2.817033113
12.81669151	22.88734627	-2.568038723	12.81669151	3.704099993	2.818154657
12.87630402	22.8848132	-2.568923215	12.87630402	3.703026512	2.819204319
12.93591654	22.87368672	-2.567218832	12.93591654	3.703121165	2.820081463
12.99552906	22.88351549	-2.569236123	12.99552906	3.704468074	2.819339284
13.05514158	22.88281441	-2.568863649	13.05514158	3.703627848	2.820579371
13.1147541	22.88042972	-2.568285089	13.1147541	3.70188155	2.82044308
13.17436662	22.90142512	-2.566477357	13.17436662	3.706222822	2.820121683
13.23397914	22.92761412	-2.567360285	13.23397914	3.705570103	2.819682389
13.29359165	22.93364372	-2.568426665	13.29359165	3.703785795	2.817199864
13.35320417	22.9306899	-2.569007072	13.35320417	3.703435838	2.815806155
13.41281669	22.91974315	-2.568459667	13.41281669	3.700794871	2.814731342
13.47242921	22.91264571	-2.567688123	13.47242921	3.699825551	2.815412103
13.53204173	22.92208239	-2.568744164	13.53204173	3.700141428	2.814819426
13.59165425	22.92715533	-2.567690304	13.59165425	3.700409279	2.815476278
13.65126677	22.93893557	-2.568950329	13.65126677	3.702831388	2.815117166
13.71087928	22.93171277	-2.567330053	13.71087928	3.700921355	2.815803121
13.7704918	22.94790023	-2.571123613	13.7704918	3.702932429	2.816014119
13.83010432	22.93392884	-2.569163091	13.83010432	3.701924108	2.816536075
13.88971684	22.93917335	-2.569339824	13.88971684	3.704618697	2.817099755
13.94932936	22.93796698	-2.567846515	13.94932936	3.69964462	2.816506537
14.00894188	22.94057772	-2.567998248	14.00894188	3.701661252	2.816920007
14.0685544	22.93547105	-2.567044713	14.0685544	3.70284935	2.817011652
14.12816692	22.93549529	-2.566233853	14.12816692	3.702637652	2.817272975
14.18777943	22.93558401	-2.566181498	14.18777943	3.701489083	2.818431062
14.24739195	22.93724845	-2.566353853	14.24739195	3.703837776	2.818525691
14.30700447	22.94718445	-2.567774567	14.30700447	3.705116631	2.819927276
14.36661699	22.94983733	-2.568632237	14.36661699	3.707318883	2.819448585
14.42622951	22.950435	-2.568688985	14.42622951	3.704833324	2.819332471
14.48584203	22.94733826	-2.56849869	14.48584203	3.704870783	2.820401278
14.54545455	22.94730817	-2.570424565	14.54545455	3.70089918	2.821389547
14.60506706	22.94287408	-2.568136411	14.60506706	3.69108286	2.822253253
14.66467958	22.93355537	-2.566901553	14.66467958	3.694364895	2.821194791
14.7242921	22.940993	-2.566483239	14.7242921	3.69341728	2.821476925
14.78390462	22.95001222	-2.567565355	14.78390462	3.696728251	2.821383042
14.84351714	22.95846752	-2.568449958	14.84351714	3.698456369	2.821343738
14.90312966	22.96426879	-2.569027386	14.90312966	3.698074569	2.8213901
14.96274218	22.96044302	-2.5689257	14.96274218	3.697407788	2.819294951
15.02235469	22.96303802	-2.571354692	15.02235469	3.703192398	2.820286624
15.08196721	22.96332744	-2.569597963	15.08196721	3.703891745	2.819775973
15.14157973	22.97591197	-2.568330356	15.14157973	3.703719979	2.819334104
15.20119225	23.00816499	-2.56848647	15.20119225	3.707519221	2.819209862
15.26080477	23.01018529	-2.569968733	15.26080477	3.70443322	2.818580629
15.32041729	23.00817702	-2.568443888	15.32041729	3.707287442	2.818932572
15.38002981	23.01738759	-2.568508034	15.38002981	3.707053845	2.818839029
15.43964232	23.02201926	-2.567581748	15.43964232	3.707843691	2.818610358
15.49925484	23.02452342	-2.567714352	15.49925484	3.709957969	2.818611628
15.55886736	23.03068006	-2.567853469	15.55886736	3.708768377	2.818531767
15.61847988	23.02426896	-2.567083964	15.61847988	3.709067713	2.818249798
15.6780924	23.01538149	-2.566846055	15.6780924	3.707419874	2.818021347
15.73770492	23.00680602	-2.566799732	15.73770492	3.708617816	2.818165221
15.79731744	23.01798387	-2.566297146	15.79731744	3.708611164	2.818323228
15.85692996	23.0252147	-2.565822878	15.85692996	3.711284625	2.818569245
15.91654247	23.02344243	-2.567701243	15.91654247	3.709400026	2.818226489
15.97615499	23.01823732	-2.567139867	15.97615499	3.709978182	2.818121285
16.03576751	23.01652787	-2.566800172	16.03576751	3.710356239	2.818111211
16.09538003	23.01345318	-2.565968009	16.09538003	3.708469712	2.818460295
16.15499255	23.01422889	-2.566242321	16.15499255	3.709555243	2.818224226
16.21460507	23.01334624	-2.565080094	16.21460507	3.71040661	2.817938547
16.27421759	23.01571518	-2.566632929	16.27421759	3.709535486	2.817974962
16.3338301	23.02146356	-2.567419308	16.3338301	3.708220503	2.818281195
16.39344262	23.02774707	-2.56817288	16.39344262	3.708014167	2.818094298
16.45305514	23.02899265	-2.568415284	16.45305514	3.711515969	2.817755772
16.51266766	23.04001127	-2.568303207	16.51266766	3.713466749	2.818239069
16.57228018	23.04218	-2.562395945	16.57228018	3.711857553	2.818592196
16.6318927	23.07069418	-2.565129617	16.6318927	3.710714919	2.818118469
16.69150522	23.0876978	-2.565406356	16.69150522	3.713782193	2.818231928
16.75111773	23.10315038	-2.564898395	16.75111773	3.716838953	2.818934827
16.81073025	23.09989631	-2.568079815	16.81073025	3.712973472	2.818464691
16.87034277	23.1037427	-2.569081107	16.87034277	3.718422145	2.819284412
16.92995529	23.10178346	-2.569361804	16.92995529	3.717024308	2.819117179
16.98956781	23.11430151	-2.569184577	16.98956781	3.718626915	2.818626369
17.04918033	23.10755179	-2.568633938	17.04918033	3.718286167	2.818962879
17.10879285	23.11302452	-2.568827515	17.10879285	3.715440097	2.818189466
17.16840537	23.09361367	-2.569887091	17.16840537	3.710606805	2.818321514
17.22801788	23.10312738	-2.570646937	17.22801788	3.70759685	2.8179903
17.2876304	23.1075532	-2.571685918	17.2876304	3.712037699	2.817920316
17.34724292	23.12285993	-2.569483423	17.34724292	3.715895483	2.818609764
17.40685544	23.15306978	-2.56955792	17.40685544	3.722356934	2.818334841
17.46646796	23.18356821	-2.571958299	17.46646796	3.72156878	2.818153847
17.52608048	23.21200998	-2.56763496	17.52608048	3.719700283	2.818692551
17.585693	23.25615139	-2.570761718	17.585693	3.712060173	2.817212464
17.64530551	23.30001134	-2.570320673	17.64530551	3.707278806	2.816102852
17.70491803	23.36489988	-2.5714708	17.70491803	3.701036346	2.813367086
17.76453055	23.39579485	-2.572840102	17.76453055	3.71555063	2.813116076
17.82414307	23.43221302	-2.56902032	17.82414307	3.71349853	2.813723256
17.88375559	23.45822156	-2.57015113	17.88375559	3.70953874	2.81607903
17.94336811	23.49502174	-2.567936958	17.94336811	3.71265622	2.81524956
18.00298063	23.52292555	-2.571080942	18.00298063	3.717192861	2.817036326
18.06259314	23.5323157	-2.574171048	18.06259314	3.718182422	2.817275962
18.12220566	23.53933198	-2.572981068	18.12220566	3.71455357	2.817696685
18.18181818	23.53112652	-2.573168197	18.18181818	3.711785542	2.817745239
18.2414307	23.52965793	-2.574020649	18.2414307	3.710698275	2.818202663
18.30104322	23.53004174	-2.572212332	18.30104322	3.711756653	2.818822229
18.36065574	23.5305734	-2.572490422	18.36065574	3.710917488	2.819275658
18.42026826	23.53011549	-2.571663834	18.42026826	3.711514517	2.820464486
18.47988077	23.52687882	-2.570434084	18.47988077	3.711063657	2.820333787
18.53949329	23.53660097	-2.569965878	18.53949329	3.715937133	2.819694748
18.59910581	23.53360141	-2.570416591	18.59910581	3.70863335	2.818993271
18.65871833	23.53196543	-2.571937732	18.65871833	3.709530189	2.818896718
18.71833085	23.52895784	-2.572853984	18.71833085	3.709105844	2.818145909
18.77794337	23.52212157	-2.573573662	18.77794337	3.707924763	2.81807663
18.83755589	23.52296187	-2.574540722	18.83755589	3.704544231	2.818245873
18.89716841	23.52711158	-2.574535703	18.89716841	3.704667884	2.817114183
18.95678092	23.53364074	-2.57529075	18.95678092	3.701597376	2.817311584
19.01639344	23.52530454	-2.574616564	19.01639344	3.704533213	2.817342514
19.07600596	23.53257503	-2.574338241	19.07600596	3.703228862	2.817406272
19.13561848	23.52986666	-2.574505016	19.13561848	3.706784751	2.817742146
19.195231	23.53091896	-2.574224668	19.195231	3.703541517	2.81722681
19.25484352	23.53461383	-2.574594295	19.25484352	3.702815594	2.815659637
19.31445604	23.53813975	-2.574564823	19.31445604	3.701050218	2.814192544
19.37406855	23.54942761	-2.575885488	19.37406855	3.70538393	2.81490887
19.43368107	23.54390237	-2.57454719	19.43368107	3.706788303	2.814835951
19.49329359	23.54133623	-2.573542182	19.49329359	3.707580632	2.81556084
19.55290611	23.53517502	-2.57476408	19.55290611	3.704401044	2.815834327
19.61251863	23.53988642	-2.574872517	19.61251863	3.701972399	2.815655805
19.67213115	23.53674496	-2.57401608	19.67213115	3.701862843	2.816539078
19.73174367	23.53548539	-2.573292054	19.73174367	3.699308183	2.816154778
19.79135618	23.53291336	-2.573026143	19.79135618	3.702501433	2.816211333
19.8509687	23.52893887	-2.572073449	19.8509687	3.705998868	2.815810439
19.91058122	23.53051564	-2.572997673	19.91058122	3.706775164	2.816905942
19.97019374	23.52955225	-2.572966508	19.97019374	3.706702171	2.816442253
20.02980626	23.52616349	-2.570956941	20.02980626	3.702468499	2.816110859
20.08941878	23.53290155	-2.571717362	20.08941878	3.709884232	2.816490064
20.1490313	23.53329005	-2.573424134	20.1490313	3.712433493	2.817015743
20.20864382	23.53324523	-2.575442173	20.20864382	3.713550661	2.817162088
20.26825633	23.53571951	-2.577736024	20.26825633	3.714135591	2.817932912
20.32786885	23.5331526	-2.577307268	20.32786885	3.712198847	2.817902347
20.38748137	23.52948283	-2.576498549	20.38748137	3.707385608	2.818217167
20.44709389	23.53027856	-2.576382974	20.44709389	3.707067261	2.818270447
20.50670641	23.52886521	-2.576163694	20.50670641	3.70389156	2.81881892
20.56631893	23.5324574	-2.578295475	20.56631893	3.703735752	2.819244315
20.62593145	23.53265589	-2.576696221	20.62593145	3.703918276	2.81985317
20.68554396	23.53017081	-2.576830646	20.68554396	3.704311822	2.81974522
20.74515648	23.53062059	-2.574843512	20.74515648	3.703201869	2.818994279
20.804769	23.52640242	-2.573569956	20.804769	3.70550312	2.818778471
20.86438152	23.52565551	-2.573322364	20.86438152	3.708564553	2.81880359
20.92399404	23.52590957	-2.571359995	20.92399404	3.707953931	2.818657228
20.98360656	23.52354135	-2.570756246	20.98360656	3.708907745	2.819030891
21.04321908	23.51771811	-2.569386791	21.04321908	3.706417849	2.818284516
21.10283159	23.52520923	-2.569915244	21.10283159	3.708623389	2.818296624
21.16244411	23.52093011	-2.569447329	21.16244411	3.705056395	2.817874114
21.22205663	23.52502525	-2.569812188	21.22205663	3.706577178	2.818045574
21.28166915	23.53467132	-2.572309797	21.28166915	3.706930494	2.817652441
21.34128167	23.53351064	-2.572601217	21.34128167	3.710566268	2.818173279
21.40089419	23.53235829	-2.572657437	21.40089419	3.709676563	2.818004728
21.46050671	23.53436637	-2.575096145	21.46050671	3.70955641	2.818011512
21.52011923	23.53503996	-2.575851662	21.52011923	3.710012286	2.817840029
21.57973174	23.53541861	-2.575866692	21.57973174	3.710918661	2.817975904
21.63934426	23.53243117	-2.576782375	21.63934426	3.709757056	2.817538179
21.69895678	23.52974008	-2.577098153	21.69895678	3.709346058	2.81738148
21.7585693	23.52523938	-2.576901257	21.7585693	3.705771099	2.817118966
21.81818182	23.52598552	-2.576972175	21.81818182	3.707877119	2.8174493
21.87779434	23.52402504	-2.575950812	21.87779434	3.708105778	2.817197022
21.93740686	23.52327089	-2.575675923	21.93740686	3.705299855	2.817315316
21.99701937	23.52169149	-2.575245099	21.99701937	3.706845022	2.817461456
22.05663189	23.51997557	-2.575356621	22.05663189	3.705749533	2.816935998
22.11624441	23.51957344	-2.575230263	22.11624441	3.705799114	2.817026648
22.17585693	23.5202353	-2.575462483	22.17585693	3.707078954	2.816828954
22.23546945	23.5210068	-2.5751871	22.23546945	3.709273712	2.817409624
22.29508197	23.51960404	-2.57422271	22.29508197	3.709536961	2.817633086
22.35469449	23.51860968	-2.573838089	22.35469449	3.711370745	2.817968736
22.414307	23.51346012	-2.573165453	22.414307	3.70985429	2.817927952
