Fasc BEST			SOLext		
t	x	y	t	x	y
0	20.98964241	-2.534200919	0	8.336705533	2.739945023
0.059612519	21.00193873	-2.541613095	0.059612519	8.335327803	2.741683424
0.119225037	21.00490689	-2.544656916	0.119225037	8.31764677	2.744237354
0.178837556	21.00426479	-2.5394436	0.178837556	8.26494684	2.746741641
0.238450075	21.07419467	-2.52868426	0.238450075	8.203889218	2.747007468
0.298062593	21.11037528	-2.521982633	0.298062593	8.164066686	2.748738753
0.357675112	21.12610826	-2.524308584	0.357675112	8.15452168	2.747292007
0.41728763	21.15205898	-2.521817172	0.41728763	8.143593171	2.745937385
0.476900149	21.17787643	-2.512354915	0.476900149	8.116947178	2.745447165
0.536512668	21.25737343	-2.510549823	0.536512668	8.103071112	2.744965786
0.596125186	21.27906162	-2.513775398	0.596125186	8.087957628	2.74709563
0.655737705	21.29031414	-2.516612543	0.655737705	8.076688665	2.748061496
0.715350224	21.28531071	-2.524562361	0.715350224	8.075430048	2.748443539
0.774962742	21.30262953	-2.529998718	0.774962742	8.032904283	2.751150696
0.834575261	21.29487194	-2.530428291	0.834575261	8.028008415	2.751032324
0.894187779	21.29412284	-2.530549991	0.894187779	8.0202034	2.750633779
0.953800298	21.29164026	-2.531549085	0.953800298	8.011319041	2.750426018
1.013412817	21.29653854	-2.531842885	1.013412817	8.010480564	2.750517371
1.073025335	21.36443557	-2.52481659	1.073025335	8.014856873	2.75113741
1.132637854	21.37717766	-2.524379333	1.132637854	8.019027382	2.751276743
1.192250373	21.37343369	-2.529713695	1.192250373	8.017077602	2.750561012
1.251862891	21.32482568	-2.534499903	1.251862891	8.018466668	2.748605476
1.31147541	21.27044743	-2.53787782	1.31147541	8.007675607	2.75004552
1.371087928	21.292895	-2.545632696	1.371087928	8.016019909	2.746613259
1.430700447	21.33610084	-2.558405659	1.430700447	8.007511136	2.743554295
1.490312966	21.39197475	-2.549285679	1.490312966	7.991923757	2.742051305
1.549925484	21.38845244	-2.543165586	1.549925484	7.955681158	2.7450694
1.609538003	21.40291504	-2.541012854	1.609538003	7.965417976	2.744019822
1.669150522	21.43492155	-2.540264867	1.669150522	7.959272807	2.742915675
1.72876304	21.43305193	-2.538838626	1.72876304	7.953828139	2.738607873
1.788375559	21.45472576	-2.535155577	1.788375559	7.945774524	2.737464722
1.847988077	21.42154394	-2.537386731	1.847988077	7.942693014	2.733152044
1.907600596	21.44889291	-2.535270264	1.907600596	7.951956973	2.732780858
1.967213115	21.43650636	-2.532896692	1.967213115	7.93970347	2.72551388
2.026825633	21.39914393	-2.532554172	2.026825633	7.941540683	2.719302141
2.086438152	21.27658078	-2.530240545	2.086438152	7.939146548	2.722587685
2.146050671	21.26366963	-2.533492992	2.146050671	7.943799098	2.73038003
2.205663189	21.28608085	-2.534914809	2.205663189	7.936070654	2.736290975
2.265275708	21.3188129	-2.536124197	2.265275708	7.938186921	2.73876554
2.324888227	21.33398174	-2.536351416	2.324888227	7.924831779	2.741397256
2.384500745	21.41878719	-2.538527623	2.384500745	7.88665663	2.749023411
2.444113264	21.44398476	-2.539969855	2.444113264	7.870835679	2.749361492
2.503725782	21.44685743	-2.538709787	2.503725782	7.865014807	2.749397474
2.563338301	21.45739741	-2.540532958	2.563338301	7.846219085	2.750483841
2.62295082	21.53601039	-2.547297124	2.62295082	7.797206006	2.756561473
2.682563338	21.60733452	-2.555284201	2.682563338	7.757511397	2.762529137
2.742175857	21.62685343	-2.553034007	2.742175857	7.708381419	2.761939674
2.801788376	21.67971904	-2.548067392	2.801788376	7.687443188	2.76114767
2.861400894	21.66463015	-2.545352534	2.861400894	7.653718788	2.758880659
2.921013413	21.67246738	-2.544510083	2.921013413	7.6430828	2.757294839
2.980625931	21.68569088	-2.545285637	2.980625931	7.630014585	2.756971986
3.04023845	21.71987125	-2.544889684	3.04023845	7.604924952	2.755020627
3.099850969	21.75161084	-2.545949518	3.099850969	7.586244518	2.755358598
3.159463487	21.73837016	-2.542828772	3.159463487	7.581318569	2.755459782
3.219076006	21.75148506	-2.543075295	3.219076006	7.576633809	2.755710862
