Gfsup			Ext		
t	x	y	t	x	y
0	24.80902694	17.58758322	0	21.88416242	23.98134733
0.055260831	24.80717666	17.58635547	0.055260831	21.88397001	23.98121943
0.110521662	24.81018937	17.58687638	0.110521662	21.88421733	23.98136448
0.165782493	24.81872135	17.5863076	0.165782493	21.88454678	23.98132046
0.221043324	24.81748576	17.58683332	0.221043324	21.88475313	23.98141084
0.276304156	24.82025643	17.58678602	0.276304156	21.88458151	23.98133957
0.331564987	24.81954663	17.58683763	0.331564987	21.88523499	23.98128581
0.386825818	24.8142977	17.5868631	0.386825818	21.88443877	23.98126004
0.442086649	24.8108349	17.58712007	0.442086649	21.88465131	23.98116236
0.49734748	24.80480447	17.58735161	0.49734748	21.88400689	23.98129238
0.552608311	24.81644098	17.58678885	0.552608311	21.88425316	23.98130453
0.607869142	24.81086518	17.58699408	0.607869142	21.88428663	23.9814769
0.663129973	24.80810623	17.58738492	0.663129973	21.88404991	23.98138293
0.718390805	24.80566491	17.58762324	0.718390805	21.88463129	23.9811534
0.773651636	24.80359144	17.58706453	0.773651636	21.88349245	23.9813007
0.828912467	24.80529165	17.58726956	0.828912467	21.88444724	23.98132543
0.884173298	24.80399674	17.58726766	0.884173298	21.88404685	23.98146746
0.939434129	24.81336585	17.58701418	0.939434129	21.88421872	23.98139308
0.99469496	24.81839958	17.58672061	0.99469496	21.88519487	23.98118868
1.049955791	24.81214205	17.58708344	1.049955791	21.88434309	23.98132231
1.105216622	24.81508324	17.58681047	1.105216622	21.88543975	23.98122976
1.160477454	24.80646395	17.58729623	1.160477454	21.88535878	23.98127607
1.215738285	24.80512638	17.58734222	1.215738285	21.88471722	23.98124338
1.270999116	24.79672493	17.58802573	1.270999116	21.88415447	23.98139975
1.326259947	24.80614569	17.58770716	1.326259947	21.88392931	23.98124534
1.381520778	24.80686712	17.58784384	1.381520778	21.8839201	23.98131969
1.436781609	24.80770274	17.58783707	1.436781609	21.88391984	23.98130321
1.49204244	24.80779248	17.58773864	1.49204244	21.88351206	23.98133127
1.547303271	24.80572917	17.58802198	1.547303271	21.88322104	23.98128639
1.602564103	24.80179055	17.5888136	1.602564103	21.88398125	23.98140756
