GM fasc Prox			Ext		
t	x	y	t	x	y
0	25.22453875	2.098057122	0	25.016849	25.79617386
0.055260831	25.25307434	2.099029474	0.055260831	25.01592474	25.79550521
0.110521662	25.41480202	2.075280373	0.110521662	25.01628625	25.79576798
0.165782493	25.50060714	2.070778356	0.165782493	25.01638968	25.79567718
0.221043324	25.66276051	2.04580694	0.221043324	25.0167531	25.79581176
0.276304156	25.7172968	2.042025746	0.276304156	25.01686045	25.79573994
0.331564987	25.82541808	2.028178854	0.331564987	25.01713826	25.79576266
0.386825818	25.90988913	2.01490843	0.386825818	25.01665034	25.79560611
0.442086649	25.96134899	2.010396283	0.442086649	25.01702583	25.79544183
0.49734748	25.99512671	2.007224435	0.49734748	25.01592927	25.79563231
0.552608311	26.17181891	1.981867619	0.552608311	25.01633073	25.79548706
0.607869142	26.2017871	1.980474841	0.607869142	25.01608824	25.79561398
0.663129973	26.24138071	1.977511288	0.663129973	25.01504262	25.79577583
0.718390805	26.36134969	1.961090411	0.718390805	25.01630262	25.7954412
0.773651636	26.41761674	1.951555254	0.773651636	25.01474899	25.79557116
0.828912467	26.47333626	1.948610619	0.828912467	25.0155371	25.79573318
0.884173298	26.57038276	1.935092402	0.884173298	25.01533702	25.7958768
0.939434129	26.68363499	1.921416524	0.939434129	25.01576817	25.79570872
0.99469496	26.78520577	1.909221223	0.99469496	25.01640775	25.79561126
1.049955791	26.86514039	1.896745706	1.049955791	25.01607495	25.79561216
1.105216622	26.96074907	1.888969327	1.105216622	25.01629631	25.79556904
1.160477454	27.01039678	1.879639554	1.160477454	25.01598913	25.79574666
1.215738285	27.11438038	1.864676054	1.215738285	25.01554738	25.79559854
1.270999116	27.15694665	1.860289701	1.270999116	25.01486912	25.79601341
1.326259947	27.24919103	1.848261884	1.326259947	25.01550822	25.79568807
1.381520778	27.35349091	1.835669797	1.381520778	25.01509549	25.79568585
1.436781609	27.43635561	1.829066754	1.436781609	25.01468466	25.79576956
1.49204244	27.52423327	1.815754086	1.49204244	25.01440196	25.79582136
1.547303271	27.61503991	1.802579671	1.547303271	25.01479125	25.7957188
1.602564103	27.65806459	1.798530199	1.602564103	25.01573206	25.79583727
1.657824934	27.73745725	1.787460804	1.657824934	25.01577301	25.79548792
1.713085765	27.86153094	1.773853263	1.713085765	25.01613595	25.79581981
1.768346596	27.99069248	1.760604934	1.768346596	25.01557062	25.79576079
1.823607427	28.12879489	1.744933725	1.823607427	25.01628035	25.79565061
1.878868258	28.22268739	1.732198199	1.878868258	25.01663579	25.79561801
1.934129089	28.35831675	1.715000315	1.934129089	25.01618288	25.79579702
1.98938992	28.42422487	1.709850697	1.98938992	25.0163769	25.79570771
2.044650752	28.52614325	1.694256326	2.044650752	25.01658193	25.79555339
2.099911583	28.62295574	1.682666008	2.099911583	25.01651225	25.79550781
2.155172414	28.69972603	1.669341062	2.155172414	25.01601387	25.79555513
2.210433245	28.84495683	1.653371563	2.210433245	25.01644455	25.79567481
2.265694076	28.91548002	1.650548747	2.265694076	25.01620758	25.79545929
2.320954907	28.89205382	1.647301678	2.320954907	25.01539269	25.79575816
2.376215738	28.91688328	1.639183591	2.376215738	25.01399178	25.79593154
2.431476569	29.0650454	1.620512321	2.431476569	25.01388121	25.79572735
2.486737401	29.11926062	1.615991052	2.486737401	25.01431597	25.79573915
2.541998232	29.20136102	1.604989256	2.541998232	25.01432826	25.79573179
2.597259063	29.27884762	1.594693618	2.597259063	25.01440626	25.79576525
2.652519894	29.38198872	1.586567207	2.652519894	25.01607751	25.79565373
2.707780725	29.46823199	1.573530711	2.707780725	25.01392324	25.79589922
2.763041556	29.55890249	1.560191153	2.763041556	25.01657599	25.79556118
2.818302387	29.67173471	1.546080836	2.818302387	25.01598804	25.79547526
2.873563218	29.74793682	1.538631799	2.873563218	25.0152573	25.79565616
2.92882405	29.81436737	1.528896031	2.92882405	25.01744567	25.79550771
2.984084881	29.86463193	1.523681013	2.984084881	25.01537707	25.79569595
3.039345712	29.94480488	1.511092544	3.039345712	25.01575748	25.795384
3.094606543	30.06699419	1.498966558	3.094606543	25.0158267	25.79566748
3.149867374	30.12446477	1.488862009	3.149867374	25.01822562	25.79520768
3.205128205	30.17808239	1.481558321	3.205128205	25.01663228	25.79535977
3.260389036	30.1903038	1.473270059	3.260389036	25.01498317	25.79545854
3.315649867	30.16555215	1.45375702	3.315649867	25.01382647	25.79543148
3.370910698	30.19726271	1.45448182	3.370910698	25.01309044	25.79606267
3.42617153	30.25228112	1.456246902	3.42617153	25.01309706	25.79594342
3.481432361	30.43134642	1.44715251	3.481432361	25.01473589	25.79583517
3.536693192	30.56771954	1.435610495	3.536693192	25.01489683	25.79592468
3.591954023	30.70132971	1.429566427	3.591954023	25.01501578	25.79576701
3.647214854	30.81323103	1.416933748	3.647214854	25.01687609	25.79539802
3.702475685	30.91348853	1.406388074	3.702475685	25.01771312	25.79532307
3.757736516	30.9947347	1.397531935	3.757736516	25.01840832	25.79536599
3.812997347	31.10920674	1.382066071	3.812997347	25.01998732	25.79526479
