Gfsup			Ext		
t	x	y	t	x	y
0	-8.461985516	23.38350196	0	-3.423551392	17.69911474
0.055260831	-8.459948854	23.38250199	0.055260831	-3.378764002	17.70229006
0.110521662	-8.457773381	23.38261667	0.110521662	-3.299365265	17.7037626
0.165782493	-8.455855679	23.38260594	0.165782493	-3.265530111	17.70475194
0.221043324	-8.45587765	23.38232489	0.221043324	-3.264263396	17.7045378
0.276304156	-8.451497299	23.38214971	0.276304156	-3.239313025	17.70009435
0.331564987	-8.441746652	23.38120814	0.331564987	-3.125566084	17.69921771
0.386825818	-8.440547435	23.38216671	0.386825818	-3.07756562	17.70104396
0.442086649	-8.428329217	23.38297154	0.442086649	-3.024567968	17.69737093
0.49734748	-8.409341183	23.38229904	0.49734748	-2.941239596	17.69978216
0.552608311	-8.416914283	23.38190041	0.552608311	-2.962813816	17.70212419
0.607869142	-8.426615591	23.3815753	0.607869142	-2.987371298	17.70077324
0.663129973	-8.436025919	23.38207628	0.663129973	-2.98707011	17.699632
0.718390805	-8.443417106	23.38215907	0.718390805	-2.952822132	17.70315076
0.773651636	-8.440665361	23.38270144	0.773651636	-2.8437492	17.70086169
0.828912467	-8.435381086	23.38288281	0.828912467	-2.73481919	17.70064542
0.884173298	-8.428583881	23.38237279	0.884173298	-2.610764567	17.70144101
0.939434129	-8.423140004	23.38243121	0.939434129	-2.547381629	17.70227703
0.99469496	-8.434144533	23.38241951	0.99469496	-2.548177094	17.70201382
1.049955791	-8.436954446	23.38253855	1.049955791	-2.543452669	17.69932468
1.105216622	-8.443981985	23.3824208	1.105216622	-2.565071843	17.69609389
1.160477454	-8.448651791	23.38258906	1.160477454	-2.551918069	17.69561177
1.215738285	-8.451647807	23.38270294	1.215738285	-2.540937029	17.69775665
1.270999116	-8.453834671	23.38264176	1.270999116	-2.552059459	17.69576359
1.326259947	-8.455029453	23.38297172	1.326259947	-2.550114774	17.69360179
1.381520778	-8.457788778	23.38291986	1.381520778	-2.559074864	17.69465511
1.436781609	-8.456808501	23.38296934	1.436781609	-2.579349767	17.69506628
1.49204244	-8.457618099	23.38316124	1.49204244	-2.558176522	17.69612544
1.547303271	-8.458146873	23.38302294	1.547303271	-2.555639958	17.69557178
1.602564103	-8.458870905	23.38291369	1.602564103	-2.562923025	17.69234568
1.657824934	-8.458588308	23.38314358	1.657824934	-2.556525836	17.69381757
1.713085765	-8.459556512	23.38310743	1.713085765	-2.565202681	17.69296845
1.768346596	-8.46016916	23.383033	1.768346596	-2.572635177	17.69273851
1.823607427	-8.460378202	23.38307497	1.823607427	-2.560892712	17.69652728
1.878868258	-8.458914361	23.38311872	1.878868258	-2.556024491	17.69745055
1.934129089	-8.461732837	23.38289057	1.934129089	-2.54430812	17.69802779
1.98938992	-8.461061458	23.38299418	1.98938992	-2.543448633	17.69772438
2.044650752	-8.460312261	23.38298975	2.044650752	-2.529141937	17.69950206
2.099911583	-8.455466912	23.38323082	2.099911583	-2.496797653	17.70281392
2.155172414	-8.457709969	23.38307596	2.155172414	-2.507516292	17.70174432
