GM fasc			Ext		
t	x	y	t	x	y
0	15.4406415	1.189593749	0	26.02432304	22.51445584
0.055260831	15.45640813	1.189675788	0.055260831	26.02317223	22.51484847
0.110521662	15.56042362	1.179293606	0.110521662	26.02050286	22.51520906
0.165782493	15.67082084	1.167081948	0.165782493	26.02141737	22.51497134
0.221043324	15.75230955	1.158795863	0.221043324	26.01894941	22.51569692
0.276304156	15.84755462	1.143569507	0.276304156	26.01952678	22.51581159
0.331564987	15.91810513	1.136908898	0.331564987	26.02170489	22.51554488
0.386825818	15.96462976	1.132653703	0.386825818	26.02151589	22.51550427
0.442086649	16.04811499	1.121583854	0.442086649	26.02139374	22.51576658
0.49734748	16.10536768	1.113885805	0.49734748	26.01993748	22.51627546
0.552608311	16.22999486	1.098172291	0.552608311	26.01674617	22.51633788
0.607869142	16.25620577	1.095549502	0.607869142	26.01598611	22.51679081
0.663129973	16.3128557	1.089601481	0.663129973	26.02064013	22.51615113
0.718390805	16.36942731	1.082207726	0.718390805	26.02018363	22.51559706
0.773651636	16.41557438	1.078732843	0.773651636	26.02033613	22.51624187
0.828912467	16.49428697	1.070502685	0.828912467	26.0178639	22.5162476
0.884173298	16.55535503	1.062506631	0.884173298	26.01590962	22.51581711
0.939434129	16.64165497	1.054234231	0.939434129	26.00982713	22.51699092
0.99469496	16.72670608	1.044617791	0.99469496	26.01430917	22.51622751
1.049955791	16.78191899	1.033856701	1.049955791	26.0194305	22.51586998
1.105216622	16.87048767	1.026420389	1.105216622	26.02045349	22.5162366
1.160477454	16.90675467	1.018925961	1.160477454	26.02153526	22.51597787
1.215738285	16.96410902	1.014084703	1.215738285	26.02131207	22.51625571
1.270999116	17.00941982	1.006350859	1.270999116	26.02277859	22.51624119
1.326259947	17.10888772	0.994973926	1.326259947	26.02211816	22.51637492
1.381520778	17.16063308	0.989492976	1.381520778	26.020214	22.51653373
1.436781609	17.2234156	0.981720354	1.436781609	26.01902986	22.51602651
1.49204244	17.29858102	0.974299481	1.49204244	26.02468317	22.51558294
1.547303271	17.37110669	0.966151868	1.547303271	26.02454587	22.51612707
1.602564103	17.43050242	0.95688644	1.602564103	26.02483197	22.51589059
1.657824934	17.50508531	0.948816214	1.657824934	26.02401129	22.51595776
1.713085765	17.58306372	0.943207703	1.713085765	26.0226367	22.51625889
1.768346596	17.65669101	0.931210558	1.768346596	26.02291841	22.51645225
1.823607427	17.7676975	0.91828842	1.823607427	26.02294952	22.51729147
1.878868258	17.83380196	0.91261892	1.878868258	26.0261037	22.51767847
1.934129089	17.90836422	0.905665015	1.934129089	26.02940049	22.51700347
1.98938992	17.98124245	0.893264631	1.98938992	26.03127298	22.51788524
2.044650752	18.05461188	0.88796876	2.044650752	26.03086351	22.51734935
2.099911583	18.15954624	0.875305533	2.099911583	26.03081672	22.51667662
2.155172414	18.21560233	0.867047234	2.155172414	26.02908956	22.51640579
2.210433245	18.30051789	0.858458396	2.210433245	26.02829081	22.51609848
2.265694076	18.34730929	0.856332054	2.265694076	26.02704696	22.51571837
2.320954907	18.39458514	0.84605167	2.320954907	26.02392705	22.51624921
2.376215738	18.43311841	0.839645457	2.376215738	26.02492025	22.51578832
2.431476569	18.54986064	0.826257153	2.431476569	26.02384772	22.51606286
2.486737401	18.62403268	0.817499962	2.486737401	26.02272011	22.51600372
2.541998232	18.63835588	0.815941924	2.541998232	26.02483201	22.51594352
2.597259063	18.71719899	0.809744123	2.597259063	26.02593296	22.51606031
2.652519894	18.81791789	0.797753144	2.652519894	26.02570749	22.51606685
2.707780725	18.87313911	0.789770222	2.707780725	26.02432042	22.5160926
2.763041556	18.95668302	0.780216746	2.763041556	26.02383071	22.51597192
2.818302387	19.04923716	0.769468645	2.818302387	26.02401596	22.51620715
2.873563218	19.12850865	0.760825172	2.873563218	26.021584	22.51649314
2.92882405	19.19338819	0.751625776	2.92882405	26.01860673	22.51723304
2.984084881	19.25360707	0.744869565	2.984084881	26.02084099	22.51676358
3.039345712	19.35860147	0.73253847	3.039345712	26.02156366	22.516416
3.094606543	19.4534874	0.722779774	3.094606543	26.01909865	22.51660721
3.149867374	19.52727179	0.711710787	3.149867374	26.01738445	22.5168397
3.205128205	19.56020785	0.70774636	3.205128205	26.01550967	22.51667387
3.260389036	19.6727754	0.685450797	3.260389036	26.01485455	22.51684767
3.315649867	19.49468821	0.633187816	3.315649867	26.01701821	22.51702129
3.370910698	19.55656611	0.612400138	3.370910698	26.01934205	22.51714829
3.42617153	19.61030896	0.601835135	3.42617153	26.02193423	22.51734842
3.481432361	19.71345182	0.594521134	3.481432361	26.02322663	22.51789306
3.536693192	19.78227157	0.594082783	3.536693192	26.0241412	22.51782214
3.591954023	19.83465359	0.588343634	3.591954023	26.02363636	22.51674278
3.647214854	19.88271893	0.580096868	3.647214854	26.01871615	22.51712024
3.702475685	19.96664246	0.557222367	3.702475685	26.01637823	22.51687101
3.757736516	19.99037581	0.56153312	3.757736516	26.01873969	22.51688763
3.812997347	20.06032472	0.549130844	3.812997347	26.02307386	22.51685403
3.868258179	20.04723471	0.548708643	3.868258179	26.02701448	22.51883095
3.92351901	20.14253827	0.534317219	3.92351901	26.03302314	22.51885236
3.978779841	20.11117343	0.538680727	3.978779841	26.03699059	22.51903211
4.034040672	20.11881435	0.53316169	4.034040672	26.0322442	22.51870534
4.089301503	20.18007307	0.524912694	4.089301503	26.02799231	22.51777548
4.144562334	20.21820643	0.521058319	4.144562334	26.02212257	22.51714457
