Joint_angle	int_1_CON_PRE_R	int_1_CON_POST_R	int_1_STR_PRE_L	int_1_STR_POST_L	int_3_CON_PRE_L	int_3_CON_POST_L	int_3_STR_PRE_R	int_3_STR_POST_R	int_4_CON_PRE_L	int_4_CON_POST_L	int_4_STR_PRE_R	int_4_STR_POST_R	int_5_CON_PRE_L	int_5_CON_POST_L	int_5_STR_PRE_R	int_5_STR_POST_R	int_6_CON_PRE_L	int_6_CON_POST_L	int_6_STR_PRE_R	int_6_STR_POST_R	int_7_CON_PRE_R	int_7_CON_POST_R	int_7_STR_PRE_L	int_7_STR_POST_L	int_8_CON_PRE_L	int_8_CON_POST_L	int_8_STR_PRE_R	int_8_STR_POST_R	int_9_CON_PRE_L	int_9_CON_POST_L	int_9_STR_PRE_R	int_9_STR_POST_R	int_10_CON_PRE_L	int_10_CON_POST_L	int_10_STR_PRE_R	int_10_STR_POST_R	int_11_CON_PRE_L	int_11_CON_POST_L	int_11_STR_PRE_R	int_11_STR_POST_R	int_13_CON_PRE_R	int_13_CON_POST_R	int_13_STR_PRE_L	int_13_STR_POST_L	int_15_CON_PRE_L	int_15_CON_POST_L	int_15_STR_PRE_R	int_15_STR_POST_R	int_16_CON_PRE_R	int_16_CON_POST_R	int_16_STR_PRE_L	int_16_STR_POST_L	int_19_CON_PRE_L	int_19_CON_POST_L	int_19_STR_PRE_R	int_19_STR_POST_R	int_20_CON_PRE_R	int_20_CON_POST_R	int_20_STR_PRE_L	int_20_STR_POST_L	int_21_CON_PRE_L	int_21_CON_POST_L	int_21_STR_PRE_R	int_21_STR_POST_R	int_22_CON_PRE_R	int_22_CON_POST_R	int_22_STR_PRE_L	int_22_STR_POST_L	int_24_CON_PRE_R	int_24_CON_POST_R	int_24_STR_PRE_L	int_24_STR_POST_L	int_25_CON_PRE_L	int_25_CON_POST_L	int_25_STR_PRE_R	int_25_STR_POST_R	int_26_CON_PRE_L	int_26_CON_POST_L	int_26_STR_PRE_R	int_26_STR_POST_R	int_28_CON_PRE_L	int_28_CON_POST_L	int_28_STR_PRE_R	int_28_STR_POST_R	int_29_CON_PRE_R	int_29_CON_POST_R	int_29_STR_PRE_L	int_29_STR_POST_L	int_30_CON_PRE_R	int_30_CON_POST_R	int_30_STR_PRE_L	int_30_STR_POST_L	int_31_CON_PRE_L	int_31_CON_POST_L	int_31_STR_PRE_R	int_31_STR_POST_R
-7.5	55.0831194888374	55.5570534914434	75.0885120034037	72.21134073581	31.7127868299315	40.1703735774541	38.6388393349758	38.1418736842605	35.518968523016	67.8913010054788	52.9765353437599	63.3595505580578	26.0923812126744	21.3681814985372	34.796888844844	39.4479141547435	40.780437994387	55.5307978828106	37.9337423607002	76.2977127059219	43.5882511586939	58.1158716190687	43.3689763317421	49.3356685501124	NaN	NaN	NaN	NaN	67.9062018583763	70.3500842842247	30.101466093221	61.9493379251619	47.96953715999	53.6381414171112	28.5610918990006	27.7373734569366	42.648233807976	58.0722788515848	NaN	52.6941597019143	54.0421992938703	84.4066480505741	37.9226602018021	56.0520972485181	NaN	96.9857478226119	123.997198182617	104.38479477592	44.2696807309474	36.3146924700827	41.8484295418039	40.6085555355049	27.3167582922922	37.7426316086343	85.1255036288858	82.824685519404	78.3664945234216	87.8261177955394	82.9834181576461	86.781605256955	13.946499425352	35.2489243666856	NaN	20.7148703406182	10.2345052730174	69.3915234175148	NaN	38.5757172324217	41.6938126820093	58.8267951734797	33.4434959125134	13.8805787595058	64.6435102528702	68.3730280994679	67.9775977632145	50.9330707602172	70.9683331244681	63.3120314157374	38.3586507570895	61.7543609193634	55.7306871069286	61.9391597863131	57.1905379347484	66.1275774957196	64.5174133840177	61.8416058306202	53.4254094231814	60.2064272041989	43.077493517656	73.1311416466214	68.3872962279524	73.049176975987	42.3227183426342	35.7752117775815	17.7763616528601	42.1608930293354
-5	76.1042841974599	74.6325727585898	92.6307001360169	92.8553210991386	41.3450253822485	49.2960518100692	50.0527983869065	50.790901632144	54.3407335730592	85.9445869899838	76.4953110835439	82.9519764922139	37.7287893648668	29.7723351345215	44.0550145060875	49.7975760681207	64.3250973783721	78.2835804037075	59.5072802029912	97.7324060017405	59.4039260075108	73.4004737717799	58.8524208662321	65.3076654552667	NaN	NaN	NaN	NaN	87.9043830608979	89.5300270046989	50.1044028567134	78.9464701159287	66.5557131256213	72.5315513378041	44.8127143315804	45.9320915982965	64.6286029201493	80.3143144294337	29.0518047012421	74.1108749845368	82.1309066339894	112.717566964187	61.076857916204	81.1871991911818	NaN	125.161056442691	147.730896181529	131.382884326945	56.6847173720058	49.6451384644569	54.3983417853787	52.7218226851453	54.1238312555184	59.0914479924125	104.434938173396	103.919172068366	104.052301180795	111.448736766242	112.035062652229	107.931100319965	47.4907347617694	60.435162295843	43.9802573871897	65.5589615687204	31.9140564138786	95.4926752109015	33.2431295085109	64.4027601298034	57.6442710057461	75.1566149059557	48.5997511712579	20.502876913886	90.462930098646	88.8102028814053	92.047543121389	72.342791848184	88.6396311565945	86.4631884399043	61.8646372535575	84.5319506797062	72.7690913706378	75.6207252215426	74.7958209169977	79.2823941426844	82.0878339448343	79.1413906298693	70.6943000239225	73.9313187271629	66.235977347422	90.8535445757142	91.2172700594888	96.2767085106504	56.5570592331223	51.7384178163685	25.6814144161781	61.1044675676831
-2.5	92.6155233781906	90.8413234287549	104.9087656988	107.20154085033	50.0392732510321	55.5500410882577	59.520576277337	61.3898530565489	73.4557675498919	98.6715606259756	96.2403804398021	98.0459281817582	47.2166575213306	38.4493873264813	50.5711993843307	58.0073920224529	85.7345849582025	96.735468216439	80.8027294525683	114.769893408824	72.3787632737297	84.3732678932732	70.6897542463128	77.5842901193133	NaN	NaN	NaN	NaN	101.783038942753	102.336939895261	70.3129611244046	90.6833160386309	82.5366555795117	87.5276882440591	59.989937488464	66.6359542296257	87.0439398941587	98.6481098484143	48.4839319465869	92.1577514667645	106.641409389146	134.092777687139	84.143606346071	102.195256564216	131.144374368337	140.651198277737	159.009039106122	147.142415909811	65.5420890706167	61.0330286426018	63.2257295634002	62.5090567753334	76.3086597208045	81.7894770381542	115.114563791259	116.466499814053	121.348805155878	127.174484684275	131.878002916896	120.079688546821	78.7876897831772	86.7627015940466	72.2268500531106	98.5741938928266	53.5426610741052	117.052134695165	61.5029718669854	91.3640558691449	70.507947888885	86.3562323095109	62.4304048104775	30.0264628243596	112.443116958654	102.322104967231	110.312043614019	91.99131823662	102.561365640594	101.745981756729	86.4502047958706	103.440522268659	83.8282297001573	83.0707937182589	85.2407466630848	85.0114069829799	92.5159759352772	90.6201709679678	82.8216378916633	82.4054181722674	87.7226848151363	104.415564316815	109.925882501137	111.323242870765	70.6371144309589	67.3365557813863	35.7929700986529	77.2485703095812
0	103.809720210619	104.014011885886	112.787083828333	116.444670972199	56.6794165288176	59.3292383709355	66.3260711880573	69.219992310696	88.4163759225931	105.184231262286	110.333883220787	107.907297592704	53.708940553009	45.6700857998208	54.6591573229647	63.2926082954337	103.060657658007	109.058383536688	99.5929971290773	126.417987801635	81.0510308501248	90.6159819013963	79.5815371150428	85.1128704303657	NaN	NaN	NaN	NaN	110.579101712854	110.009194931752	84.747134360648	97.1365182541527	93.4406370327465	98.4314191117262	75.4835559971711	84.6561533511366	103.953450016069	110.145242854839	70.7009639258266	104.918898234348	123.757329350484	148.308282630207	104.210851288593	117.115623124481	136.858920367523	148.322398080425	163.041612214333	154.706517803948	70.9468645719567	69.5564545153239	68.0147989253273	68.9812770693948	96.7943377326146	99.9454378486485	119.657209541794	121.668136042165	130.086132385324	135.602140400357	141.033603032459	125.192158612906	110.690628126331	110.789282661827	101.849051941162	127.23816456932	79.1819444597963	131.789248126156	93.4176736759472	115.865480215573	80.310245146398	92.6640917044688	73.0895599184334	41.3059654453723	124.681809277653	109.226991781989	121.895843419175	106.456676330687	112.652286284624	109.19098838133	104.521950517799	115.076101353494	91.1492106581628	86.4356970046022	90.920397471935	87.19676838318	97.6772955542703	97.1791470828645	90.0860950468143	87.5422134016896	104.418436429484	114.20094026034	123.081775237273	120.472886678	83.3764600371309	79.5044099783849	46.8207253782424	90.0078397787167
2.5	109.549350655668	113.799255676268	116.633741899307	121.109466719456	61.2186997229798	60.9636706891308	69.861748397998	73.5517225595611	96.1767301543681	106.216177266522	116.78872561104	112.314376004034	58.0138507461688	50.4051046944892	56.5055406527265	65.3844900416901	112.563795904489	115.501181005426	112.815060196936	131.552710175241	85.1006435890269	92.3116269302145	84.65756425016	88.1851416522649	NaN	NaN	NaN	NaN	114.453567498659	113.507061531975	92.0372542742249	99.4551247733583	99.2076257906707	104.707987691499	87.8130750694115	96.7209794501775	113.002614677556	114.356258187324	90.5808305496514	111.382717327495	133.136017513806	156.149188794523	117.320826619058	125.304390203018	135.5997151099	150.679549537998	161.65340664075	156.137346015462	73.0338826533064	74.3583167260106	69.5407030574725	72.4896345024674	113.961882667332	109.61213659665	120.00258057764	121.020054600056	130.575219578667	137.350181133457	140.635694244421	125.153702513502	135.549737417864	127.996861007018	129.412651129475	147.338249922841	102.986009586466	138.922948177376	119.549750677619	133.737266782312	86.0821322023586	95.0476719321505	78.3789648819806	52.0641354885175	129.128562735014	111.286863441394	126.134114076255	113.200321764075	117.374359045409	110.245594342645	112.744138722657	117.689877129062	94.4918629842305	87.2024692047935	93.2628452545005	87.7238101747959	98.9009293031972	99.9457931204553	93.6242347880971	90.0052398335495	114.507525642192	119.472067865984	129.947743835471	124.871126592591	92.2329012763264	86.8430936133364	56.2500367661408	98.3138278137531
5	110.358306981543	118.752718781723	117.517425042046	121.313946945024	63.7142193090072	61.1496030696278	70.876232891671	74.7839520251691	98.847500426641	103.841985767877	118.040345277779	112.366989135439	60.457988936067	52.6269986750597	56.2644161951625	65.1458565643099	115.61045669981	117.097441623969	119.535597381527	131.236058922751	85.5204542162021	90.5464582711364	86.2196561579702	87.9371929338595	NaN	NaN	NaN	NaN	114.145570109649	113.650065985904	93.5838858098447	98.8150715514221	99.9112149887391	106.214815572029	95.9927663991736	102.963409479646	115.624305229939	113.687051365627	103.346797223521	112.995520075229	136.681802884624	158.742592703282	123.287683910378	128.453951051289	128.9447332082	148.549600512439	156.055295164654	152.458410516636	72.6723537706762	76.0945568888647	68.9462182961003	73.2014332445201	125.22636931142	111.276398501046	116.980168252086	116.211096566775	125.86517178779	133.885337849877	134.983649411231	121.302392985641	148.194438657798	138.423129447832	147.159779447241	157.157626329126	120.024898709043	140.453555709378	134.919568852091	143.141749128306	87.8004286856832	93.8771269494216	79.3536842660184	61.0079824116821	128.300348385832	110.118995901773	125.529419090197	112.961547827135	116.612603767398	107.339377674638	113.298128613706	113.356102754735	95.1492737200392	86.0480328296153	93.3362260340626	86.5464041674684	97.3630246314203	99.9050924450508	93.9312471540927	89.9432351863361	117.487924357012	120.575912366622	132.048899389982	125.313140450472	96.3397255720224	89.7736058118314	62.3523658403982	101.601039564757
7.5	107.644816747462	118.437434847823	115.84332172017	117.297679803443	63.9594498108463	60.5478173041141	70.382607860004	73.5989299263469	98.4660877727281	100.187829735069	116.989790526379	109.504198021331	60.8717055241608	52.9846515460097	54.320671933261	63.4860850636576	114.174289024329	115.491859321866	121.550707934571	127.766725543012	83.5973121181391	86.5558095396958	85.0139644247511	85.4718379995689	NaN	NaN	NaN	NaN	110.664243512134	111.155192742307	92.5466086916925	96.5232138407761	97.2787806724676	103.884349252622	99.6261861905384	104.749639273854	114.399112869246	110.262150871072	108.753260656661	111.367816589453	136.557924668537	156.908548334597	124.715716145608	128.199553273896	119.862313660811	142.19133340398	147.698564627922	144.713589843851	71.0423850649541	75.705184821717	67.0688618413762	71.634067729256	130.686698538817	108.095455084095	111.342172953603	108.363063084615	119.429139649564	126.726156702707	126.84109698626	114.640747897301	153.144582475684	144.028103163132	155.56270013671	158.778712561155	129.15332348167	138.402186788724	141.125217408359	145.254932371229	86.2265572611202	90.0396685605942	77.8826395911023	66.9345846522134	125.071233259553	107.041532594651	122.26906132013	107.931875325043	111.800908517036	102.191877782233	109.457422176545	105.843884567605	93.5053035488559	83.4410391689528	91.4163205429807	83.4376046290906	93.6554163994825	97.8118633745946	91.9701253314754	87.5794835799795	115.559184192419	118.311169588538	130.755404508338	122.13863913436	96.5202511966386	89.3138551967586	64.7830234277169	100.888510871325
10	103.006706521614	114.00365740374	112.423124465958	110.332383861865	62.4739959185061	59.6449123294075	68.8817569487288	70.8749090546528	96.5435534236991	96.5821762318678	115.232006019139	105.283625609928	59.6590615826843	52.1708129392702	51.3147498330725	61.0217001937032	110.527487031382	112.099416999783	120.387264022357	123.454536943227	79.960735346973	81.509312453933	82.2596155189159	81.7591983376816	NaN	NaN	NaN	NaN	105.346493761154	106.909390958732	90.4289447069669	93.3521922845983	92.8695364696352	99.4075354460343	99.6359695983608	103.647325651483	111.131922049991	105.311850289387	109.499420322184	107.782825324266	133.724880716865	151.854248189014	123.975820463198	125.784169439671	110.84163661192	133.604529549909	138.703443318801	135.200807999337	69.0369134532658	74.0511424972278	64.4290311267923	68.6002942065651	131.826564828852	103.559780148761	104.491943146324	98.0025359299144	112.627167336331	117.808032735862	118.111690332807	106.299125702686	154.777109058206	146.817951540231	157.354814235646	156.420281652894	132.919607470326	134.472897036077	141.262717132317	142.953754042465	82.8214723418155	84.8413224808028	75.6960294757179	69.9332722898968	120.31126290018	102.791500141752	118.122471245794	100.964404303347	104.797395520744	95.8134320152135	102.779959898072	98.4908957683907	90.5819530209188	80.0565148081933	88.08739283836	79.2280907443152	88.6605130227155	94.3252088635739	88.6098448656474	83.9196900145869	111.984631093013	114.16983685824	127.243639614088	116.21129459242	94.6942992227472	86.7235172324969	64.7505418361195	97.8859165374727
12.5	97.4799536137759	107.445880420116	107.910234317209	102.390264711917	60.1900673253713	58.4967793469121	66.6877626333806	67.5214771507244	93.6518810964532	93.2119425459672	112.325307596472	100.800079838878	57.5991917158409	50.7350345202803	47.8541616043985	57.9082230469801	105.873569928617	107.963469797317	116.971787258163	118.891854312587	75.3112736770514	76.0986563020839	78.7786161903148	77.4171383312787	NaN	NaN	NaN	NaN	98.8965351782675	101.61940507567	87.668276177993	89.6777506711119	88.2719476846143	94.2729953738689	97.382825805813	100.751212769344	106.646471542964	99.1397388267232	107.972486882683	102.869237510364	128.246838540545	145.048505748183	121.817613960128	121.806041869628	102.634304122927	124.859726435319	130.010373783751	126.109645496758	66.78573021192	71.6962431546862	61.4217999270977	65.1496285311181	129.968992076413	99.2389700932016	97.9950501245399	85.2206644711168	106.40501785014	109.001471497907	108.810796325716	97.4838637639177	155.115051370233	147.498049280213	156.225883173851	153.191060618122	134.115778100945	129.635546564557	138.333410713082	138.761566001444	78.8120909616374	80.125445149798	73.1447080596523	71.0460073941982	114.565649290639	98.3846468470075	113.061088992986	94.1091253966344	97.4714665108406	88.6720344321322	94.9989178700367	92.4176388006937	87.124826283605	76.241740045392	84.02085980116	75.0521913492091	83.1490493358306	89.9176368556673	84.7711245502995	79.8869335105396	108.734695365573	109.442453367829	122.444355758284	109.22484237414	92.1540759866047	83.1094480305145	63.5471306116164	93.9493669875166
15	91.6293720697909	100.43806268615	102.724431543034	94.614394608614	58.0314084868415	56.7758066476764	63.7869588665879	64.0271321366938	90.4092005648694	89.4642897644297	108.127117331754	96.3572210779491	55.2778664734209	48.9778053343919	44.2232244945479	53.9604964957882	101.096632581318	103.584166372308	112.01918719047	113.651600853487	69.8757776648234	70.4483423956691	75.172683138748	72.9539481231175	NaN	NaN	NaN	NaN	91.6097516447936	95.4075787062303	83.7318408050497	85.4531826050326	83.7903971006621	88.9300451825618	93.3291420804991	96.5555854228753	101.309066578817	92.1721166649323	105.085044998782	96.9304694517505	120.240293821912	137.33485754432	117.586212375525	116.508254397396	95.1982120021311	117.03337537608	121.547899468053	118.371237129918	63.512250059746	68.8957373917297	58.4647194916315	61.753311418382	125.178501265511	94.5442956235574	91.4437237241735	70.4530905403413	99.675557561271	101.18178531317	99.3800811316924	89.1616415002352	153.000082732604	145.863567722607	153.77402327876	149.688525723872	133.403109075186	124.045253333018	134.048471652987	133.955693512634	74.7033017202756	76.5367005308856	70.6770760777121	71.1038376107274	108.593082969563	94.1093246569673	107.300380602259	87.9477966373692	88.5424954535194	81.1485344321972	86.7427583017286	86.854088637723	83.7956521586689	72.0529076523596	79.6974932533172	71.2865656242273	77.1135949625654	84.6821303618213	80.8463106912619	75.9228418002736	105.830923010006	104.396920492441	117.172441622902	102.249478808516	88.7053744125043	79.2293251157631	61.4829673615428	89.3708171746941
