Joint_angle	INT_1_STR_PRE_L	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_19_STR_PRE_R	INT_20_STR_PRE_L	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_29_STR_PRE_L	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_19_CON_PRE_L	INT_20_CON_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_29_CON_PRE_R	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_19_STR_POST_R	INT_20_STR_POST_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_29_STR_POST_L	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_19_CON_POST_L	INT_20_CON_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_29_CON_POST_R	INT_30_CON_POST_R	INT_31_CON_POST_L
-7.5	NaN	62.8966403853448	84.7611074068432	78.503026115314	41.6662968962423	42.7718204481736	36.0087225730425	35.5858031450711	46.2261823981091	79.2223102106514	43.9854486308844	74.8703346210269	29.9643543538016	18.246080124234	33.3145010400395	42.0093070993655	51.3378175555334	47.1361416057104	34.7930866649448	86.6034384977586	47.522598009815	63.0833168295524	48.5107925499784	57.7968876175736	NaN	NaN	NaN	NaN	78.5495356440908	83.018450243962	40.4844262222527	53.4906666923739	59.9736421693035	66.3123935251156	NaN	60.7375911789079	43.4485997775357	77.2714084129574	5.92752102268316	67.2009774741695	81.5408158772399	92.0736603100393	80.5919377078217	73.1012572637983	80.0419122579592	102.046462871738	123.364671369775	132.841491975896	40.8966696008889	44.4791949859852	47.4680067737285	50.5225364049975	NaN	44.1858991099441	74.3137290055102	90.8285520103594	81.2804852526136	93.1458720551708	101.957080661479	78.8276644536722	18.9594612727838	19.944792068721	NaN	0.897691557689421	19.2429790051151	52.910271073483	17.3079834138963	NaN	42.805429349641	36.5930493572013	36.3600872850249	32.2372950377608	61.4680093873632	66.1696312621029	73.6254742858091	78.8895702279882	73.7839643165016	68.0597110214288	72.3819152499387	81.282875893882	63.0661708735599	70.0731875136681	63.8529424764661	89.4313874046039	19.7499076725013	72.8425917574891	60.2637252157503	68.8912595666616	44.6212111674675	85.7236652526163	92.1211761422793	90.1836033297087	42.4018886784377	40.9486435233129	15.9886366217823	40.049254847398
-5	83.2617489682967	91.7918819249042	106.583847958216	109.618732358081	54.868552361602	58.5043607133331	48.0127950870299	50.6939045181946	70.3725273089288	101.673932728553	69.9696663878141	99.4488229187344	45.7269623067908	26.1837947949649	48.0881334844985	54.3927495301752	82.7358048780649	76.1306083205983	71.7236201503449	112.930736529123	71.9604183143716	83.7541481810052	68.7116903535889	77.8369369056684	NaN	NaN	NaN	NaN	98.0555211004921	105.771160402685	65.3137407894412	75.7067047019666	83.9600171962523	93.485928362721	36.4487517530258	89.40476532178	75.1086059001869	99.9609450143127	24.2387622596112	96.2973295184907	112.759826569685	125.67354954165	112.869852343	103.82137653081	110.586347484343	135.966089105805	150.374315824207	158.881210202604	57.8167327496483	61.5276434544711	63.8443256885298	64.4299407468465	47.7416610973334	73.7118980709045	103.791662756699	102.332984134978	111.673725478632	121.781971040836	132.110214936033	105.396073648636	56.0042456507288	53.8525919522544	25.4906549242128	42.0516955756634	44.7507055143142	92.0771600170139	45.3946339132996	24.3460720179331	64.8801609935441	56.4283318091303	52.9510719113013	52.703805644921	93.8640827394585	95.3730962314827	108.561635960881	111.57416739445	100.013797330817	99.7494879023603	107.235229550503	112.386320653126	82.7652595844787	87.3030523369451	81.8164574317558	96.2551140894037	43.0409861994531	93.1936094923994	78.2419426706719	85.322996155951	74.9222175765674	107.774973747664	123.655412193774	115.048334957481	63.8466907170364	60.5280399981851	22.8892328795305	65.3134702099999
-2.5	102.542787880429	115.169969220245	122.278931929405	130.340835532489	65.358906560055	69.6526247991666	60.8205089826582	63.2265951298177	90.2828853391892	115.575252436565	93.4651898922089	114.624692653743	57.3394537025037	35.0876225691511	59.8528668823169	63.3879598684953	107.193650737959	99.42679154975	101.098679420162	130.099776544842	91.2822372310092	96.5049225563659	83.8682727073522	90.9796121344218	NaN	NaN	NaN	NaN	110.293029859696	118.169317387656	84.3284255000249	91.9430890468409	100.016827211821	111.788925352322	61.9023274236144	108.772031151123	101.673586658925	113.288813401895	54.4235519441388	116.249535644593	133.784780802122	148.343158201153	136.073623211647	126.925662452048	128.660099623168	155.94038054217	163.503193400288	168.56003131625	69.6865403113616	73.199888163781	75.0295579855994	73.451732916421	71.9169064552584	100.27793570941	118.883336896046	104.307839977971	129.95296018206	138.271492623234	147.970113898174	122.798739147489	102.21882010252	89.541059903813	67.1287173449004	92.3145026314533	81.0475099273517	122.02012838453	84.0408768965447	59.5836330751039	82.395100049684	74.8914005676919	68.9186864547651	69.9608841784266	118.45334743757	115.98578436587	132.845067084673	134.447332222309	115.384304290026	119.724495769722	130.401596873502	130.332666778276	92.9875230057988	96.0307325798977	90.165917488163	98.0958516040206	61.3365252113516	105.279717939068	89.4196750232178	95.3054631123229	102.276705261505	122.905436641402	144.410920068845	127.511801423425	83.4011088852169	79.3839492887356	31.1913384905391	86.9931821884434
0	114.405815918719	129.992730775479	131.230861185857	141.427586429964	72.2256579706871	74.7451799363406	70.7867605792794	71.0463620836175	102.17450383802	120.114245386576	108.675455401528	121.594933621398	63.351606804348	43.3482818763233	66.1547245637251	68.0189089564849	119.684433095789	112.652642456223	120.50528596961	139.068601871735	99.5256492721268	100.948165762441	92.3786688248077	97.0933746696137	NaN	NaN	NaN	NaN	116.64324107462	123.106596056316	93.6022101256066	99.6803968507623	107.970453999175	120.332907842077	86.7744936458684	116.46861365417	116.466277204126	119.353987632221	86.1924824900512	126.040834543008	145.286663122277	161.046641832492	148.44910933023	140.301922193806	139.927787804929	164.560575034195	167.171849661826	171.155329290238	75.8269779702736	80.0115630149771	80.640220598691	78.1876262173145	95.0089807822088	116.889122950947	124.336715695745	104.731197636611	135.629355224709	144.897017095482	152.156176658367	130.239942573151	136.949846182205	121.585376762021	113.609704298571	135.297685461628	111.602735496287	136.519786553961	123.905111565902	103.630007641455	93.4639993955143	88.0546952189137	81.084193193226	80.3520562548095	131.369130474288	124.505362126828	141.042274113955	144.820365962564	121.188842730276	126.29621462182	139.977206652022	135.215341490834	97.4846095260108	98.9025235209219	93.7726678294253	98.6842424143722	73.5881715647508	110.713047449402	95.4084818367332	100.579709507338	119.778628841908	131.04765292669	154.041785014095	135.028773008446	97.9740616590795	92.910725686903	43.5243965243257	102.094311905396
2.5	120.458888880786	135.357273718666	134.550398217026	145.444546662123	75.6316161831337	75.5777966417358	76.3025413872802	74.877239328127	107.763888559991	119.591985002751	115.267597392551	123.735574387067	66.4083967216038	49.7232204732555	67.6602357340637	69.2952150460103	123.238785214378	118.357096346013	129.250345067902	142.109189027286	100.801768460645	100.110028260052	95.6096829977825	98.7153158950273	NaN	NaN	NaN	NaN	118.244315216902	123.284485724592	96.8204602456625	103.611424313489	108.795312355543	121.494071026833	101.408942451781	117.519510713884	121.277287267235	120.056239263197	106.353393953835	128.406323142095	150.509404440374	165.944269394168	153.566681265891	147.269399319019	141.688822491569	162.945179753169	166.305634845089	168.506836307405	78.0958207041684	83.0033721426508	82.1931294501127	79.1108927407638	117.812539277645	122.951070286833	126.015141059229	103.720031324943	133.702287472679	145.125128553008	148.909834627571	131.252699749873	154.454017526509	142.702193786133	146.556365950256	160.42245608903	129.20872692812	141.884774637773	149.79765647769	137.267492962491	99.1144174538682	96.4118440505283	89.3483073959298	87.3590711476216	135.202625851112	125.433728548159	139.682249320412	145.577669169651	122.381707028731	125.456746556644	140.286938715915	132.312588217015	98.4134962134312	98.1372000754082	94.944736483116	96.9278570383021	79.8121768648739	111.238080603432	97.18331541373	101.056679121816	128.130277629212	133.417810343326	153.577406670924	138.526247115108	105.529107123196	99.6148034307342	56.8769587845104	109.771909291693
5	122.216088602419	133.163246731932	133.627370553076	144.722105469065	76.1789061112763	74.1444405995739	78.2901830836078	76.5583176860754	108.632922330324	118.181256821847	117.172657848768	123.423932999553	67.0715623173986	53.7237483910209	66.7062435488757	69.3606957641959	122.88073822409	120.20631444908	131.311726322722	141.339439609933	99.4926270216066	96.2914999418664	96.0061877541807	97.9675707251339	NaN	NaN	NaN	NaN	116.841452346047	120.511504343968	99.2383268189815	105.994804308196	106.129493816288	118.858752876618	108.394652688939	115.680720713308	121.624379238495	117.570934941638	116.354184259274	126.868125426837	151.674133346989	165.850818009985	154.311990621395	150.216329910206	133.052587496683	155.625254912182	162.268875804052	159.20098373827	78.5170275634801	82.6360680889964	81.0690401249915	77.6987259705998	134.107221974327	123.058909536694	126.798329917756	99.4369847613835	129.764633932793	140.584967625302	141.469257236106	128.569909045134	164.467301170465	155.333209635029	161.634376122882	172.38396099036	136.961390113747	143.416902954565	160.191409615392	154.200038589409	100.053472692986	100.929915605706	93.3103767568729	94.5994846832906	135.229620710488	122.517585123574	135.941795004295	141.247312321332	120.401615549017	121.988598863697	136.696339916135	125.987862102513	97.3915414973274	95.2751336700068	93.8863443206975	93.2887960065372	82.8112693107402	109.191023677807	96.5346206346412	98.6537398020509	131.759118299492	132.341214431236	147.0493204081	137.354155719712	107.040427018138	101.303505547292	67.6193869839529	111.41037852774
7.5	120.612041825146	127.86332237098	130.011107534166	140.972837503286	74.4170670697198	71.6023688558464	78.6015302158145	76.2565570083134	107.254197579382	115.991505211206	116.404437567005	120.88384722666	65.4644782035814	54.7881745620395	64.018102567956	68.8487916839526	120.232167403893	118.841443483485	130.040405642898	137.978169532557	96.5016052963046	90.9254486509833	94.4139210395669	95.3059265769244	NaN	NaN	NaN	NaN	113.167832274234	115.393755369258	99.9067350095147	104.316971545183	102.496407074033	114.297719693653	110.602017978621	111.56064840924	118.560301291921	113.056182449745	120.392317116348	122.808281653042	149.449977262716	162.884839497081	151.854593767262	149.047076153435	120.35492215539	146.872617001106	155.159070065238	146.415801035753	77.3361841923506	79.2759259908922	78.2114158115313	75.4681845506692	140.181367570537	119.926057406102	125.328804046805	92.9758386023506	124.22097979797	132.920791725823	131.689904281095	122.8708007551	172.045178545746	162.449631329376	166.418211599769	177.039337247749	140.817171297899	141.523400026418	161.08759779783	159.927413292214	96.5454579829634	101.639465473707	93.7501691879597	98.8579575843705	133.096783929919	117.133549798164	131.074024434164	133.400059821634	113.631940793467	116.147902787218	131.518511164004	118.206008051762	95.1485378539037	91.1672693158099	91.3960863282574	88.9326027027077	84.0051821844603	105.275247832746	94.7375381444702	95.4521466973878	131.686754493361	129.104748012814	139.053403056754	133.203661462341	105.43452035407	99.5321517690001	74.3833856829299	109.389402800186
10	116.968153458911	122.124930499283	124.326080141201	135.786012520556	71.4860227306311	68.7004099105442	77.7800526317494	74.0734072071715	104.856129056549	111.849226339402	113.546948007915	116.250603010659	62.53585990986	53.437401413328	59.9170129022774	66.8518179283389	115.530856742106	115.079158974173	126.416321161073	133.142329402764	91.756814300987	85.2626980858438	90.9388062824496	91.1197586155825	NaN	NaN	NaN	NaN	107.613050902333	108.394223531816	96.3457354999518	97.6904584085853	97.2087969696338	108.147055757188	107.933798006673	105.86222305559	113.12743301531	107.518062149889	120.342169267312	117.290987462846	143.392816846145	157.99212923247	147.114618160821	144.435053535535	111.231489474945	137.940759660333	145.824597163731	135.010768707314	74.6201872634325	75.2136925783887	74.4611765994893	72.475815683937	140.121467201678	114.938144156754	120.027081397107	86.3909759262818	116.380480419536	125.396242512219	121.358266930956	115.106480679863	174.839447323955	163.678239047303	168.353510463631	177.594887529436	141.364269120131	137.335732551688	158.524810988098	159.953754291809	91.4023012354477	100.062924425711	91.6913871608929	97.3568401900949	128.984623912851	110.829767085764	124.690997852038	123.287088240513	102.636685678006	108.463898619068	124.90256293179	110.480644357896	92.2977064259231	86.5127946750628	88.4770384080285	83.9641960655286	82.917184667744	98.8274889545544	91.8504567110883	91.4310396510037	128.03478696053	123.941227307933	132.930809099248	128.364928427752	102.963749560692	95.6916516322732	77.4213211532033	104.872439075217
12.5	111.958522664893	115.006264796577	117.381861083277	129.491222672951	67.6647673425084	65.2759521200854	75.1416168735403	71.0509307113212	101.876547969486	106.218026877227	109.382209545803	110.015056614974	59.2772147953643	51.5737235345599	55.242523447912	62.8356180503111	108.954616193395	111.044243632008	121.162389256386	127.110133171075	85.5610377149876	79.2239288593543	86.0234485128645	85.9270293864034	NaN	NaN	NaN	NaN	100.353872610396	100.244999047217	89.312493652906	89.3679451154598	90.5134904697197	101.253085429126	100.855638314447	99.0333319367243	106.521409492987	101.242489264434	116.171601120091	110.716582988338	132.59143056009	150.486614002937	140.159947811933	137.373533759755	104.427123315202	127.873050374816	136.281913377151	125.501623842194	70.6411982795009	71.9490883059096	70.2093198267474	68.5040663641318	135.666787696481	108.264095108832	111.767095067345	78.794438249932	107.428915331786	118.404237652478	111.146850280634	106.410727359667	171.839097424671	159.857317630879	167.467112635348	175.272265132199	139.054542203238	132.258558851278	155.118270685204	156.084662764827	86.5559456237915	97.3235526242475	87.058619775365	90.9831556650979	122.693832609465	105.096799407555	117.077573880041	112.562662894366	91.8350423751372	99.7431372955155	114.814835682812	101.987776654297	88.770182347815	81.2026810575625	84.6323787817392	78.497047679739	79.5711329614606	90.4001945344816	88.0146507349554	85.5767632479138	121.792564132743	116.587506379007	128.051272631914	122.810028943026	99.2196491041676	91.1410981011555	76.3439963022139	98.9714463616804
15	105.510184030599	106.009928395389	109.581696196955	121.460279091501	63.5299997780994	61.6238408462161	70.9864620621041	68.0863456648828	97.738828478393	100.331606214302	104.281462361614	103.218240438448	56.25092943825	50.2127420762784	50.7531546392783	57.9025799618465	100.822810335018	107.677554319296	114.81235676911	120.484415332238	78.4388116131117	72.8470634841907	80.2851702017003	80.4714295234939	NaN	NaN	NaN	NaN	92.4802137505023	91.9429389702835	81.5353451710726	82.1189478923854	82.6737425963427	94.5277659457272	92.1465022553503	91.5512075692175	98.9040887379896	94.552139375788	109.801050255842	102.768666637927	117.577210946013	140.711886443261	131.617385464241	129.038895096547	97.9701687609519	117.263786848082	126.627079717188	116.116305920434	66.1180383289997	68.9412769891074	65.9449626040441	63.9304695402643	127.332478575586	99.6657521470453	100.922287094479	69.2848274703102	98.3485747236328	111.244953392637	100.607483496401	97.5861083199702	166.489828416191	154.565346608339	160.080682085098	170.366284780052	136.407998656184	126.666864628479	150.782751803288	149.872336192533	82.276872221475	92.8712510278974	79.7731864760525	82.2958149563102	114.180400482214	100.360462726158	111.083387175338	102.808295070118	83.3406733978294	90.1482055067781	101.39598533926	92.5488723410895	84.6490409794992	75.6577969409582	80.3760002173987	73.2833571854304	74.7170865790395	82.2299185003703	83.5566932224258	78.790343378169	114.256238030717	108.128835349152	123.436483353952	115.539459776552	93.7969469213419	85.9310263530477	71.5095294920769	92.146874155983
