GMfas1			EXT		
t	x	y	t	x	y
0	21.7847769	7.80839895	0	9.317585302	29.85564304
0.055260831	21.80384745	7.809288554	0.055260831	9.317723122	29.85144794
0.110521662	21.84204721	7.808793338	0.110521662	9.315174629	29.85120572
0.165782493	21.92776195	7.810435603	0.165782493	9.312742179	29.85105496
0.221043324	21.96875621	7.811358237	0.221043324	9.311556932	29.85080246
0.276304156	22.02914013	7.812377272	0.276304156	9.311745115	29.85096861
0.331564987	22.12512363	7.815272816	0.331564987	9.306659749	29.85091797
0.386825818	22.18754708	7.81443944	0.386825818	9.307203239	29.85091404
0.442086649	22.25836167	7.817752669	0.442086649	9.305195987	29.85036883
0.49734748	22.24936341	7.818622678	0.49734748	9.298433777	29.84946647
0.552608311	22.32676309	7.823946138	0.552608311	9.301903398	29.84942112
0.607869142	22.41861442	7.824232499	0.607869142	9.303602433	29.84971622
0.663129973	22.4744106	7.822277968	0.663129973	9.304286244	29.84890365
0.718390805	22.54157764	7.823136514	0.718390805	9.305195544	29.84926522
0.773651636	22.63131349	7.823343003	0.773651636	9.30633	29.84946479
0.828912467	22.68239167	7.819831303	0.828912467	9.307385547	29.84921147
0.884173298	22.70428622	7.817569361	0.884173298	9.30404779	29.84869442
0.939434129	22.76954195	7.817175457	0.939434129	9.305869059	29.84916979
0.99469496	22.80375654	7.81740755	0.99469496	9.297647817	29.84780568
1.049955791	22.91274248	7.816133541	1.049955791	9.30188268	29.84919297
1.105216622	22.99891588	7.81579051	1.105216622	9.304221824	29.84944167
1.160477454	23.09626224	7.815798728	1.160477454	9.308781201	29.85087112
1.215738285	23.13740458	7.813490893	1.215738285	9.306381583	29.84985859
1.270999116	23.18665012	7.813370288	1.270999116	9.306900314	29.85023594
1.326259947	23.27796298	7.815427546	1.326259947	9.307203804	29.85033368
1.381520778	23.27393281	7.815879709	1.381520778	9.306786087	29.84968627
1.436781609	23.35551961	7.821010308	1.436781609	9.305403033	29.85007173
1.49204244	23.46672981	7.819191409	1.49204244	9.30938602	29.85069181
1.547303271	23.54133041	7.817683561	1.547303271	9.311515968	29.85071803
1.602564103	23.61311131	7.816614001	1.602564103	9.311396024	29.85064485
1.657824934	23.66848623	7.816403874	1.657824934	9.311927733	29.85107962
1.713085765	23.70112487	7.817144829	1.713085765	9.31024445	29.85100091
1.768346596	23.77044016	7.819379447	1.768346596	9.310315569	29.85108125
1.823607427	23.80924485	7.816335116	1.823607427	9.307171182	29.85045436
1.878868258	23.88151772	7.818637933	1.878868258	9.308020792	29.85042622
1.934129089	23.9451652	7.821945927	1.934129089	9.306318044	29.85047572
1.98938992	24.04447152	7.823776403	1.98938992	9.308578376	29.85113397
2.044650752	24.10868007	7.822394471	2.044650752	9.311569245	29.85098134
2.099911583	24.15166493	7.819631322	2.099911583	9.310114816	29.85096063
2.155172414	24.18056553	7.818821779	2.155172414	9.307544396	29.8507891
2.210433245	24.22514325	7.823020281	2.210433245	9.304162323	29.84911085
2.265694076	24.26420004	7.823903128	2.265694076	9.303883378	29.84927382
2.320954907	24.3622143	7.830968125	2.320954907	9.304730744	29.84981765
2.376215738	24.38813071	7.829951159	2.376215738	9.298103312	29.84903187
