GMfas1			EXT		
t	x	y	t	x	y
0.000000000	27.520221840	-3.626133851	0.000000000	14.513199460	24.634180450
0.055260832	27.520221840	-3.626133851	0.055260832	14.513199460	24.634180450
0.110521663	27.520221840	-3.626133851	0.110521663	14.513199460	24.634180450
0.165782494	27.520221840	-3.626133851	0.165782494	14.513199460	24.634180450
0.221043325	27.520221840	-3.626133851	0.221043325	14.513199460	24.634180450
0.276304156	27.520221840	-3.626133851	0.276304156	14.513199460	24.634180450
0.331564987	26.384203550	-3.189167228	0.331564987	13.565130560	24.653160660
0.386825818	26.334877730	-2.829089700	0.386825818	13.403947800	24.667777830
0.442086649	25.888919910	-2.252404067	0.442086649	13.048370770	24.680997940
0.497347480	26.308405920	-1.988912441	0.497347480	13.074872960	24.685532440
0.552608311	26.636396180	-1.728257023	0.552608311	13.111912740	24.679620300
0.607869142	27.752875760	-1.493375360	0.607869142	13.350824850	24.665440520
0.663129973	28.114802900	-1.289179850	0.663129973	13.414164100	24.661739680
0.718390805	27.809278090	-1.071553438	0.718390805	13.360867760	24.662365460
0.773651636	27.728838920	-0.964109981	0.773651636	13.347665140	24.661856760
0.828912467	27.686943150	-0.882040035	0.828912467	13.310977400	24.659895610
0.884173298	27.806047210	-0.832417492	0.884173298	13.311281380	24.657669200
0.939434129	27.805724860	-0.726852843	0.939434129	13.296991820	24.658768050
0.994694960	28.030174340	-0.632105521	0.994694960	13.300169740	24.659980410
1.049955791	28.172690240	-0.610337532	1.049955791	13.302311260	24.660823980
1.105216622	28.299503900	-0.554873901	1.105216622	13.308986720	24.660773800
1.160477454	28.470693660	-0.416419289	1.160477454	13.307063310	24.661334740
1.215738285	28.585241820	-0.194750254	1.215738285	13.300001570	24.662146250
1.270999116	28.730078610	0.084348853	1.270999116	13.310475410	24.663170140
1.326259947	28.849059080	0.328100016	1.326259947	13.333464370	24.663655190
1.381520778	29.010688280	0.541038954	1.381520778	13.344840640	24.660946130
1.436781609	29.110575550	0.743597410	1.436781609	13.324743790	24.660484800
1.492042440	29.364986920	0.908827320	1.492042440	13.325074530	24.660351680
1.547303271	29.580270350	1.015851357	1.547303271	13.338582470	24.658965610
1.602564103	29.844197790	1.064214099	1.602564103	13.380867490	24.658991860
1.657824934	29.902346750	1.107491687	1.657824934	13.429056480	24.661112790
1.713085765	30.203120360	1.164738213	1.713085765	13.459308610	24.662599090
1.768346596	30.349772500	1.201223828	1.768346596	13.463317610	24.664280190
1.823607427	30.440605090	1.210289392	1.823607427	13.507216020	24.662925370
1.878868258	30.619339050	1.233839327	1.878868258	13.527667030	24.660150850
1.934129089	30.665927670	1.249040005	1.934129089	13.521951140	24.659013940
1.989389920	30.725364640	1.279512752	1.989389920	13.517712010	24.658222930
2.044650752	30.843475100	1.282853360	2.044650752	13.524478760	24.657041980
2.099911583	30.975511730	1.293308077	2.099911583	13.531912680	24.656102680
2.155172414	31.113089170	1.298803206	2.155172414	13.542406410	24.655425950
2.210433245	31.158585460	1.302449353	2.210433245	13.530062700	24.655709200
2.265694076	31.209025100	1.300107852	2.265694076	13.527776310	24.655464740
2.320954907	31.251895800	1.311599443	2.320954907	13.524929000	24.655507980
2.376215738	31.316399550	1.334195460	2.376215738	13.522289580	24.655717240
