GMfas1			EXT		
t	x	y	t	x	y
2.763041556	25.99159375	8.975226257	2.763041556	20.04661955	29.8841371
2.818302387	26.07202009	8.976057004	2.818302387	20.04782536	29.88417825
2.873563218	26.18747253	8.968413805	2.873563218	20.0487284	29.88420257
2.92882405	26.26409049	8.9722127	2.92882405	20.04874796	29.88426696
2.984084881	26.33611309	8.977118887	2.984084881	20.04989799	29.88418092
3.039345712	26.36206054	8.966252892	3.039345712	20.04940189	29.88392343
3.094606543	26.4354192	8.957200586	3.094606543	20.04992931	29.88428115
3.149867374	26.4951858	8.959468473	3.149867374	20.04927297	29.88418244
3.205128205	26.55802589	8.957933769	3.205128205	20.05070391	29.88421182
3.260389036	26.60702822	8.959218003	3.260389036	20.04944062	29.8843394
3.315649867	26.69801049	8.950437023	3.315649867	20.04892604	29.88408932
3.370910698	26.75209565	8.962935263	3.370910698	20.04917945	29.88418076
3.42617153	26.80762929	8.960057092	3.42617153	20.05042146	29.88402733
3.481432361	26.83680009	8.969397458	3.481432361	20.05007497	29.88431937
3.536693192	26.89964667	8.96422667	3.536693192	20.04977533	29.88398014
3.591954023	26.94532423	8.971796508	3.591954023	20.05037548	29.88401396
3.647214854	27.00307675	8.963201308	3.647214854	20.0503248	29.88409374
3.702475685	27.062414	8.96591448	3.702475685	20.04922955	29.88393286
3.757736516	27.14720298	8.953808912	3.757736516	20.05116182	29.8841744
3.812997347	27.18149428	8.95742749	3.812997347	20.05134302	29.88403951
3.868258179	27.20298942	8.954101382	3.868258179	20.0488943	29.88415282
3.92351901	27.26093472	8.948442888	3.92351901	20.04945448	29.88411949
3.978779841	27.31045134	8.955350405	3.978779841	20.05072678	29.88397935
4.034040672	27.37545734	8.957443176	4.034040672	20.05149811	29.8839483
4.089301503	27.45688744	8.947830845	4.089301503	20.05146347	29.88388427
4.144562334	27.53555727	8.950913773	4.144562334	20.05142088	29.88381302
4.199823165	27.56845602	8.953171114	4.199823165	20.05248049	29.88409727
4.255083996	27.58334215	8.949476439	4.255083996	20.05235019	29.88417824
4.310344828	27.6106145	8.9561769	4.310344828	20.05056682	29.88393643
4.365605659	27.69871449	8.946100061	4.365605659	20.05208162	29.88416537
4.42086649	27.76963035	8.944934538	4.42086649	20.04975887	29.88418423
4.476127321	27.8393227	8.951952385	4.476127321	20.05267539	29.88422488
4.531388152	27.9158637	8.948892884	4.531388152	20.05118613	29.88414377
4.586648983	27.94637508	8.954983125	4.586648983	20.05141232	29.8842323
4.641909814	27.9889236	8.949839605	4.641909814	20.05141399	29.88423114
4.697170645	28.03292028	8.943283168	4.697170645	20.05076792	29.88421705
4.752431477	28.09932748	8.948453249	4.752431477	20.05181227	29.88412812
4.807692308	28.17859765	8.951071669	4.807692308	20.05195939	29.884099
4.862953139	28.23821627	8.945435359	4.862953139	20.05317888	29.88425923
4.91821397	28.26951883	8.95139607	4.91821397	20.05120739	29.88433796
4.973474801	28.33432103	8.943580334	4.973474801	20.05214642	29.88416691
5.028735632	28.38498027	8.951027276	5.028735632	20.0537609	29.88418641
5.083996463	28.43799227	8.947493333	5.083996463	20.05203479	29.88409342
5.139257294	28.46128949	8.943055136	5.139257294	20.0521135	29.88413992
5.194518126	28.50021247	8.953190709	5.194518126	20.05404732	29.88416527
5.249778957	28.57442144	8.951400193	5.249778957	20.05321385	29.88428501
5.305039788	28.61469377	8.958160549	5.305039788	20.05385711	29.88421487
