1	31.21128833	32.43808626	39.64602167	39.9256775	31.21128833	5.51173398	27.45	25.75	35.75	35.6	25.75	3.25
2	31.58361596	21.24316133	40.01954476	29.47261005	21.24316133	5.51173398	26.9	18.2	31.35	26.85	18.2	3.25
3	20.70883242	38.21303808	29.98004725	29.49065651	20.70883242	5.51173398	9.5	25.95	26.95	24.55	9.5	3.25
4	39.57747633	38.74770525	39.65340286	39.71040712	38.74770525	5.51173398	15.3	31.25	28.4	31.35	15.3	3.25
5	17.47014271	18.67716319	29.67821184	28.73249413	17.47014271	5.51173398	16.95	11.8	27.5	24.7	11.8	3.25
6	19.22520051	15.02814311	25.04531401	14.28683384	14.28683384	5.51173398	16.25	13.1	21.3	12.1	12.1	3.25
7	22.79565301	25.31466702	32.24600731	37.67427581	22.79565301	5.51173398	16	14.85	25.15	27.2	14.85	3.25
8	10.96753303	16.5060047	28.77494485	14.90453336	10.96753303	5.51173398	7	14.05	22.8	12.55	7	3.25
9	30.36403825	31.38554948	39.50896573	30.29936211	30.29936211	5.51173398	18.75	20.5	31.75	22.6	18.75	3.25
10	14.42353977	19.79233732	34.26310658	28.2044773	14.42353977	5.51173398	10.95	18.65	29.1	23.25	10.95	3.25
11	19.95457132	24.66990707	35.42590382	28.16068814	19.95457132	5.51173398	14.3	23.35	34.9	26.55	14.3	3.25
100	100	100	100	100	100	5.51173398	100	100	100	100	100	3.25
13	13.10360386	17.22877563	17.53087089	20.59952408	13.10360386	5.51173398	6.8	13.15	15.85	16.3	6.8	3.25
100	100	100	100	100	100	5.51173398	100	100	100	100	100	3.25
15	13.47768943	21.2548014	22.87724686	19.04356112	13.47768943	5.51173398	11.95	16.15	19.75	16.95	11.95	3.25
16	20.31920523	10.61342864	15.1212367	22.55048854	10.61342864	5.51173398	15.35	6.85	13.25	23.8	6.85	3.25
100	100	100	100	100	100	5.51173398	100	100	100	100	100	3.25
18	21.37843209	17.81519854	29.59406666	17.32192185	17.32192185	5.51173398	12.85	10.6	21.65	15.05	10.6	3.25
19	15.21373737	13.0371293	14.79829693	11.32168236	11.32168236	5.51173398	11.45	11.9	12.8	9.8	9.8	3.25
20	17.08307693	23.91007869	18.03867339	15.3099812	15.3099812	5.51173398	7.3	17.05	16.35	13.6	7.3	3.25
21	10.140122	14.64324125	9.731148593	12.64545566	9.731148593	5.51173398	7.1	8.3	7.95	10.45	7.1	3.25
22	11.48993444	11.52517685	25.99258682	24.95575506	11.48993444	5.51173398	5.45	9.55	25.5	24.5	5.45	3.25
100	100	100	100	100	100	5.51173398	100	100	100	100	100	3.25
24	12.65891159	10.72365037	11.89404328	15.88411975	10.72365037	5.51173398	8	5.8	9.2	12.6	5.8	3.25
25	8.607481514	18.08882454	26.52781788	16.56629881	8.607481514	5.51173398	5.3	14.45	23.45	14.25	5.3	3.25
26	17.52054885	27.32843385	29.61767634	34.21117038	17.52054885	5.51173398	11.5	24.15	25.45	29.6	11.5	3.25
100	100	100	100	100	100	5.51173398	100	100	100	100	100	3.25
28	13.23952977	24.18319568	36.56777357	18.56285669	13.23952977	5.51173398	8.8	16.45	27.1	15.35	8.8	3.25
29	5.51173398	9.286812746	22.96436387	38.45264703	5.51173398	5.51173398	3.25	8.35	18.55	33.85	3.25	3.25
30	11.99396843	9.044295272	22.89066359	20.75088406	9.044295272	5.51173398	8.65	7.65	20.5	20	7.65	3.25
31	6.623970386	5.630367659	14.06405712	13.75983533	5.630367659	5.51173398	5.1	4.65	11.15	13.15	4.65	3.25
