Joint_angle	INT_1_STR_PRE_L	INT_2_STR_PRE_R	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_18_STR_PRE_R	INT_19_STR_PRE_R	INT_20_STR_PRE_R	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_2_CON_PRE_L	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_18_CON_PRE_L	INT_19_CON_PRE_L	INT_20_CON_PRE_L	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_2_STR_POST_R	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_18_STR_POST_R	INT_19_STR_POST_R	INT_20_STR_POST_R	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_2_CON_POST_L	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_18_CON_POST_L	INT_19_CON_POST_L	INT_20_CON_POST_L	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	2.06192878162721	0.704644784082466	1.46478959278479	2.51964534696358	1.72953219289366	2.59772690560471	5.44372970562012	2.54896771377347	2.20954924050953	2.36602015285453	0.974373421559033	1.20787948944285	0.19442099148482	2.81772547557357	0.609027880159971	0.669836946534441	2.44678073182484	0.6991453839045	1.07382638987728	3.94860388710324	3.0697045628442	0.126933534038979	0.267343305417451	0.550601553664995	NaN	1.18516554072846	2.71526846694614	2.31390032255341	1.18170277585541	1.22554835703129	0.726748252523729	1.20781195896836	0.197801712744157	2.21560271233254	3.08362150304815	1.45323048984366	0.811454131132535	0.235828916721095	1.87185467279119	0.577839924497292	0.208272857790892	1.85869617099434	0.796588847993691	0.608216045680266	1.56253644845533	3.62518031052064	0.782096579062746	0.331393393417382	0.790916380378184	1.4284308353373	0.486456053888918	0.414585821011711	2.70209210557754	1.93158746749789	3.08507414045582	3.63547240315304	4.96798767028035	0.0814615078428869	3.803089223404	2.8235971362722	0.576063731909911	1.47705518696319	NaN	2.27050657472013	0.45057097525041	1.3085776628519	3.11140655777435	1.95961724192165	2.48419074015323	1.1067541503699	6.65215821370804	0.985872691263417	0.229446175159075	0.392976815282122	NaN	1.06674230937598	0.264271245883363	3.36182894963569	0.601261666074033	0.839576759502012	3.13475398876006	3.75396207742792	0.165111966435188	4.45831491045015	3.84339462844257	1.14881531761834	0.874665333483967	0.157468592917918	2.54064159968959	1.66231593246461	1.59541534342351	0.645264573107857	0.466531587708019	0.525382024710912	0.960942373494015	4.05188396326393	0.467989437179556	0.336788642822506	0.273226784332362	1.19715882776462
0.5	2.22650184541117	0.696722325065643	1.44719266808399	2.98298846122472	1.83417399210516	2.84843438550073	5.59060218853837	2.61345642167507	2.28755025071722	2.56802823528053	1.08085518860766	1.37136033688223	0.201812730764743	2.88033008842282	0.632409203022981	0.727856774748325	2.46336958265417	0.716311423669676	1.04247441503336	4.06805919391536	2.96204955666712	0.152357975086995	0.266874964646937	0.555038092420224	NaN	1.24166821177714	2.69440211485492	2.42551387733691	1.27289013717928	1.21870786722181	0.76901176666543	1.29171737151314	0.223935824451367	2.30309268165428	3.15921102485438	1.42695837476749	0.791747015315229	0.233009787120553	1.90646955596661	0.615517127259	0.164210952736209	1.89513233523617	0.853034406041106	0.65755310430399	1.60045563819867	4.10099341097203	0.57242450081538	0.332095950096646	0.845803383428644	1.58062456865294	0.458940754271815	0.460862085451461	3.07166362067952	2.01474092053711	3.25865588292832	3.54319689244969	5.05657012140319	0.138414827154967	4.19347684708186	2.94794504694296	0.585192299697416	1.6795255094256	NaN	2.22915780369512	0.483204094944209	1.21536370046902	3.13137952990513	2.22020996724326	2.5618348032694	1.27027826698817	6.65636239537925	1.00497087808847	0.233502867057359	0.398996564431405	NaN	1.03248224072409	0.307029447657851	3.43586651147736	0.601273823642886	0.741648013569682	3.12344681433228	3.76215333765936	0.145979243899363	4.94502482849054	3.88872797765461	1.12961204520736	0.866421771072222	0.175920772412987	2.51971511261397	1.72550310963238	1.53647769766545	0.6305010430517	0.438274569094517	0.524501389369385	0.936954499246969	4.25422254533587	0.471825260910532	0.336886021210396	0.269593031860723	1.20157466155394
1	2.24581336472218	0.737240551470269	1.53637112192055	2.84919386371238	1.9942045681733	2.88082508260965	5.69706355839858	2.53875091249285	2.35848905372937	2.69372843787113	1.12364117703819	1.35458606139372	0.192576762275178	2.98756737393451	0.643290882740772	0.780919074610126	2.42839175479736	0.828112020354637	1.21993258745798	4.23853214198323	3.19313880379427	0.17480570573354	0.296339834314907	0.562227365130463	NaN	1.21150014452889	2.84296232183044	2.3235496365869	1.39234568312698	1.30122337191444	0.793054125135285	1.35923196421751	0.239739620398109	2.26182136066417	3.23172630769412	1.40468845517964	0.930467312562413	0.231000110863476	1.78151770222768	0.64062334197423	0.209136144042536	1.91850863573894	0.975382414355839	0.588742080800933	1.56927611473812	4.40706921511528	0.51126016477492	0.361603063300403	0.873168006431644	1.70294711161907	0.457611278517324	0.465981261907979	3.0428591761024	2.19880105345832	3.25572303367198	3.38102095700699	5.21538049657545	0.19854752956049	3.63003878001725	3.22195173315092	0.585439576990312	1.76875984406645	NaN	2.23166743341962	0.520570609443991	1.28617105601973	3.15406419980635	2.58722062640531	2.64911674350361	1.33433753402547	6.74682296883433	1.03268550812849	0.233880324944563	0.400447099580008	NaN	1.05686057986196	0.271455664363713	3.51421224783949	0.573550038080764	1.11945266709775	3.12705437931814	3.60362838801412	0.146790691226774	4.97790494960023	4.13495988154243	1.20653670075752	0.914982917554278	0.157092792598878	2.55669689789286	1.7955650800938	1.4608203578691	0.605404012853926	0.355640137442151	0.734614442874701	0.937233965648216	4.29945659231131	0.501612009232263	0.33865356796567	0.273618999928961	1.20839191873707
1.5	2.5269370771219	0.690208840382979	1.56917811442364	2.50667388368449	1.92400415056531	2.81360986348843	5.81130798937497	2.82903038796786	2.35143084639328	2.85849608915055	1.13069409873292	1.37159168651528	0.197829149686543	2.85742375553123	0.673968459140696	0.745362458743423	2.36155087681934	1.09763969121249	1.21965145562586	4.33599612048597	3.48130813673097	0.184089566437434	0.325659389806201	0.567253027841829	NaN	1.2205457980482	2.83681720968875	2.27965359216372	1.38498736425855	1.32216590315197	0.726441506614967	1.47652905335473	0.26907505317301	2.15888493942565	3.29825814904599	1.40614839119846	1.04104485105942	0.227118243939703	1.90636061318287	0.65009549225799	0.264959485947244	1.86176180136302	0.918838727789617	0.510023156438535	1.55763037089739	4.6789781155496	0.429143272695507	0.380598247699608	0.962655454863428	1.89437225263373	0.503301009078202	0.514422310913817	3.30702601737763	2.37627568292765	3.59307360481291	3.40899374461986	5.27471694832783	0.234000426453472	3.95260036860671	3.42614428823702	0.624710231095993	1.76331110874381	NaN	2.17044660696822	0.553119552337195	1.26839584733538	3.21854458804587	2.98356121536223	2.20073566621434	1.39022704768705	6.85554149252246	1.05327498271176	0.227764499274892	0.397452011616681	NaN	1.19319020915945	0.34252893552474	3.62801130935696	0.624254394980484	1.2431467915971	3.11719988764272	3.73445216702645	0.145505599458036	4.9361875046451	4.23262804566349	1.19852171620481	0.888328530145265	0.157865220476439	2.58118073113054	1.82095352872791	1.39255402095902	0.485232838350256	0.448322423287747	0.883858969615446	0.96940059454624	4.66907897374363	0.539652103540529	0.332901608732794	0.269132038433168	1.24338342931738
2	2.65701572105941	0.707808348761106	1.57815371210111	2.59062500862164	1.95291593272351	2.78789571601188	5.9470252998613	2.8287392194313	2.47309640003651	2.89069954318328	1.18804705940084	1.41222492449364	0.199322999714997	2.9207618586882	0.804134740006894	0.752318839194764	2.44853196469677	1.21880069183365	1.20669913565372	4.5796573078148	3.61262240903095	0.193162879016732	0.382364310293631	0.591132729942767	NaN	1.27184399012355	2.73056745801355	2.48687376040373	1.4292670307782	1.28489218901144	0.778784491578758	1.5347399623224	0.340704512102325	2.28088412932912	3.38627863081084	1.39391239031019	1.09269957153604	0.234763040707516	1.95433700806792	0.652892913446118	0.295333773264942	1.88316680981098	1.06788162217172	0.474713200072316	1.59950558465262	4.84322009425323	0.465386243452351	0.382363759706958	1.04381878473491	2.00974322035577	0.495820265712992	0.545573616261081	3.57406975538565	2.39692178923072	4.15939560113405	3.31202730107413	5.23672856837155	0.245373339444699	4.14511314820858	3.46506005456733	0.604912825777045	1.79078152668812	NaN	2.01963740545414	0.57329471016148	1.26990024753025	3.07265303077153	3.26279914538001	2.23094574511783	1.56515889125901	7.07562399144533	1.14097871808226	0.231487870589252	0.393265014048698	NaN	1.20580291899283	0.273894721997689	3.57092501219429	0.650794612530297	1.24800836364286	3.09802586973746	3.74060379960116	0.153531370897823	4.84476469520034	4.30588356836571	1.2198224053329	0.936738513556875	0.15876432270889	2.64189191987414	1.8992427887372	1.43777610394182	0.557380184588179	0.517228301767364	0.991666350888565	0.959568348836141	4.777381122866	0.578494165361107	0.34026520675459	0.271693753881219	1.29462772698606
2.5	2.42433057979017	0.805443722593485	1.66665750385305	3.07937090893355	2.01855759350218	2.92042763958332	5.963983512797	2.71113971230611	2.46036663691552	2.94241685566506	1.20388191969619	1.48195156901071	0.19730022176967	3.07736261441724	0.809333712783581	0.798297613323076	2.44361455419778	1.25748307532367	1.1060414667243	4.62047152215047	4.04538614674054	0.202036281369848	0.451355984921487	0.585671286042557	NaN	1.18932478782558	2.79001706005811	2.58203017842014	1.49851610801219	1.33336771256471	0.740559851196634	1.5899994375206	0.323131035735124	2.29126419988303	3.47271827932432	1.39405613574604	1.09298317055606	0.23208871255899	1.9527489700927	0.694727819482111	0.278088190251906	1.86070904955397	1.14149353503615	0.529580244233035	1.48485000468755	5.34195854301581	0.486413703101172	0.399914461746947	1.12448123334356	2.04377426856916	0.492548237061849	0.609119478120343	3.53472337320212	2.56193585606622	4.55955270488155	3.14761739388663	5.67884833476695	0.288266356178815	4.33253463731039	3.58467197931065	0.682210496820261	1.95906219622927	NaN	1.98982836983785	0.668303888047753	1.39806464029778	3.18279030453517	3.5784414483757	2.37987861313949	1.65215458273353	7.6183456590551	1.24635310455852	0.233877037606639	0.418242334142389	NaN	1.24377890915847	0.276037810636898	3.66040313790368	0.702908321199286	1.34668412643715	3.05781300244368	3.7073241161386	0.144743068540316	5.25870130516291	4.47866760144678	1.17271846994542	1.14212000395068	0.156474835208716	2.6034658074529	1.92223442471074	1.32169824978825	0.498234998110503	0.605560436325284	1.1828819769208	0.98610671450507	5.05517357257863	0.576840343465873	0.346234177526673	0.268009796551974	1.28283601274568
3	2.39635031105395	0.807311508654652	1.68860166495773	3.41677687514998	2.04508402635973	2.79993956776642	6.08479225540572	2.75708977818819	2.73015092492156	3.20754103008487	1.21219039637172	1.70883670290264	0.198190512731724	3.1725710857375	0.803989387119774	0.851953438814772	2.51381804122409	1.4294552184462	0.985709118757257	4.68373701844074	4.4165445131284	0.2437914197823	0.528023042729998	0.693482873246392	NaN	1.33026033930041	2.73855980135633	2.62210874765224	1.55284654077852	1.27456311538085	0.729098111513531	1.70885902533827	0.421771647839536	2.30007525564106	3.56703876706456	1.39943969771469	1.14879623788362	0.234936000806192	2.04707893529583	0.766985925029864	0.279931835747741	1.84610068120174	1.11293497017752	0.574915970700627	1.50197451371375	5.72592703317103	0.485261819188634	0.413956820408148	1.19395767766365	2.12509547531011	0.497802012431827	0.645785440268856	3.68932732607827	2.6177129309877	5.0748282377584	3.30588655689602	5.72522796904109	0.401252074218396	4.48771671840137	3.82287085172668	0.614775004649529	2.01791023811309	NaN	2.11615940443256	0.761582958287631	1.41501560764002	3.1301731214275	3.73140613023284	2.32338651494729	1.73290979133975	7.74987036629035	1.26309015005525	0.232276438236791	0.404303796341505	NaN	1.31273085413236	0.271410975066863	3.71871411784237	0.719331173149676	1.48931681595119	3.17919388318911	3.79591934151324	0.406643288522037	5.3691741605983	4.67482049082279	1.17374587228385	1.35161936077258	0.161525417922676	2.56187673802564	2.00110448016471	1.35827893878631	0.517790790480042	0.74131159911181	1.327773426135	0.973149493591836	5.17944354984041	0.578021552410329	0.350439854749174	0.272072852428555	1.2663091351102
3.5	2.42730021495529	0.792841648712532	1.75544732579624	3.61510885826969	2.17725437424216	3.04532291975635	6.2142449881777	2.85869459867926	2.53732111318415	3.44110701429833	1.2622792387619	1.7889806995076	0.198214371084483	3.35687108153323	1.03066742665891	0.890020238982007	2.6054401331004	1.98666065022233	0.656718656318568	4.84169083604203	4.96216307952418	0.232012124058727	0.623896716994306	0.783259418573632	NaN	1.25948584755933	2.95222855253229	2.65736977046486	1.56664951094856	1.29462031129496	0.726277512357806	1.84354915216713	0.451146957190333	2.25877108211458	3.77099170996581	1.36586780655186	1.29533335392694	0.23661784489187	2.1508190253781	0.898341078678459	0.312812531705089	1.8316611562118	1.10037180214195	0.712649843925537	1.52088605494386	5.75216393189421	0.519074677537126	0.433439850090108	1.29512188579683	2.22553332171905	0.524754645144803	0.726582611886721	3.66049826662484	2.79540928792248	5.2091431591238	3.44896182108077	5.85464159665746	0.389506627409566	4.48156343192223	3.91142118184575	0.591193582998601	2.06491857622481	NaN	2.0401799885418	0.82155150437507	1.42926418761284	3.33230675853221	4.37427182435773	2.5155378287892	1.87860277323022	7.77064133312529	1.3261918363905	0.222840112092819	0.400150759166176	NaN	1.25700650495282	0.290418069737563	3.78031849703604	0.782518777425293	1.58272163058291	3.0581964576625	3.88583307549405	0.581498036010689	5.58482719114322	4.95845351422281	1.18210959499466	1.40380639461293	0.158449457021016	2.49709333056066	1.92619808658139	1.35652816823054	0.625217092787182	0.900366524338938	1.34976347141065	0.984507231281872	5.26719158930412	0.585503995556108	0.353008402005824	0.274956803091034	1.31019699312489
4	2.69207732195598	0.868959967018103	1.82502890523584	3.71533192898666	2.1363629158133	3.01638986994552	6.30668469424409	2.82203453654941	2.67917449946776	3.48902355241614	1.3336494642212	1.9734089770296	0.194404320147389	3.29451985212205	1.07753487165054	1.05700015649046	2.43459117245865	1.73093648258212	0.612311274759415	4.94603532196514	5.32507160562884	0.229505506720123	0.660128005476592	0.864847969798719	NaN	1.15187590599153	3.18544650017995	2.8771693592623	1.73931837668443	1.3603703687564	0.77771267326538	1.90502378599276	0.531348300949382	2.38433226311255	3.88530072459034	1.42641975713457	1.33380386828337	0.228216920542752	2.23615839850798	0.877239309851196	0.200577638120413	1.96283953148735	1.18020831143697	0.803064813296601	1.59837535597987	5.84647030743827	0.567483308970534	0.452058573703156	1.2899861953589	2.4734307114881	0.548613708723742	0.705767645455034	4.0842612329478	3.03474498877401	5.53351268717465	3.44478859597064	5.7662245395086	0.535643265597922	4.57100690310493	4.11170973822799	0.631081225679088	2.11134371903609	NaN	2.12625735863367	0.89836003343334	1.45259567828839	3.42205852143902	4.9294149396377	3.21645547926015	2.00994070359992	7.99695059612034	1.35795812780963	0.223795830667984	0.397239050992324	NaN	1.27214080650663	0.305610412412804	3.75707331006889	0.767766995756711	1.66347339221547	3.06434321055462	3.69453141889677	0.647605887787393	5.42531667797875	5.03303379082286	1.15019410458258	1.4215970745364	0.154603581295444	2.45251072158428	1.92446867191872	1.44894720474777	0.817544361549447	1.03634612831229	1.48492682092139	1.0121078310346	5.67208935040635	0.612912057099993	0.349813903705007	0.26368306623463	1.38249671317409
4.5	2.6695423445796	0.825381949022091	1.78925505721877	4.02780417647888	2.19432625856944	2.96785649937073	6.59363901875901	2.85991099110143	2.80839580284636	3.69543397309296	1.38543198394969	1.87642300942865	0.195926491153682	3.31014068268908	1.16519555932414	1.01255182171122	2.6094613553819	2.02644047217483	0.466314761940206	5.20769441332159	5.99969132445848	0.254058632995773	0.748030111605044	0.93767686887971	NaN	1.21558595638251	3.305200367723	2.7765982224276	1.94819298022297	1.24607578659221	0.758793147254106	2.1138932151436	0.520305471275674	2.49865736153234	3.90248622925274	1.44005590288515	1.41355693493039	0.22804462458089	2.36698619420439	0.936810330738677	0.192434517938523	1.96067503110642	1.13104699243096	0.679595521317995	1.60724944619512	6.30394068967773	0.56079724305842	0.501143946890798	1.383297603315	2.70355851484953	0.518704969354948	0.787813066695509	4.03941675635912	2.94928148218111	5.98881844873714	3.43189164981338	5.77742698678169	0.607779877510163	4.68948329036399	4.30660674627628	0.61658331895905	2.21769948275673	NaN	2.26157157067005	0.929297184305612	1.40656975265578	3.29199073776362	5.3657433309192	3.30448387319327	2.18033585103543	8.31232944604625	1.47942882229789	0.240631354803794	0.397375065490042	NaN	1.30053872388445	0.332372606028103	3.90797710674215	0.802208071277285	1.92955252194135	3.0309331185726	3.79597858209481	0.519400902917975	5.24700077421416	5.42062874630413	1.15691194765717	1.33556213882635	0.158938566545298	2.50657783078553	1.96737714742989	1.34656355563691	0.82585310067171	1.22002302491535	1.8308166540899	1.02979286538054	5.51423258233089	0.663661087947385	0.372364848370729	0.267177682441093	1.34367872396781
