Joint_angle	INT_1_STR_PRE_L	INT_2_STR_PRE_R	INT_3_STR_PRE_R	INT_4_STR_PRE_R	INT_5_STR_PRE_R	INT_6_STR_PRE_R	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_9_STR_PRE_R	INT_10_STR_PRE_R	INT_11_STR_PRE_R	INT_13_STR_PRE_L	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_18_STR_PRE_R	INT_19_STR_PRE_R	INT_20_STR_PRE_R	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_1_CON_PRE_R	INT_2_CON_PRE_L	INT_3_CON_PRE_L	INT_4_CON_PRE_L	INT_5_CON_PRE_L	INT_6_CON_PRE_L	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_9_CON_PRE_L	INT_10_CON_PRE_L	INT_11_CON_PRE_L	INT_13_CON_PRE_R	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_18_CON_PRE_L	INT_19_CON_PRE_L	INT_20_CON_PRE_L	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_1_STR_POST_L	INT_2_STR_POST_R	INT_3_STR_POST_R	INT_4_STR_POST_R	INT_5_STR_POST_R	INT_6_STR_POST_R	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_9_STR_POST_R	INT_10_STR_POST_R	INT_11_STR_POST_R	INT_13_STR_POST_L	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_18_STR_POST_R	INT_19_STR_POST_R	INT_20_STR_POST_R	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_1_CON_POST_R	INT_2_CON_POST_L	INT_3_CON_POST_L	INT_4_CON_POST_L	INT_5_CON_POST_L	INT_6_CON_POST_L	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_9_CON_POST_L	INT_10_CON_POST_L	INT_11_CON_POST_L	INT_13_CON_POST_R	INT_15_CON_POST_L	INT_16_CON_POST_R	INT_18_CON_POST_L	INT_19_CON_POST_L	INT_20_CON_POST_L	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	4.63265600608133	2.12436536338506	19.9360007945987	21.5825044655129	6.17411107663184	15.113935028988	-10.1851433591275	3.37842976205002	16.4045989085693	34.2775804745668	22.0546239267646	-8.56830934378289	8.41704958220724	-16.4337546292411	13.04805474126	6.62992281712987	-11.63021454795	20.670251295462	26.99764561015	9.77128029177706	18.5748871872587	-5.26748259773228	-8.47769672394252	26.9179191387211	13.306818571558	14.477647636692	11.9572222610477	26.9781335224676	22.2560675313243	17.7702669480411	10.1126114285931	3.90861502468856	0.395468736357069	13.6363923404486	25.5880249602988	15.177990519342	7.85191667173922	5.99003482437226	-19.3565795018089	19.272961845061	-1.91236042735657	-11.1710934885064	38.1036977833411	19.4930981394712	11.1020391039679	10.4266467992804	-2.43376413010594	-3.38401601812907	10.614697890592	31.4487423733353	1.04715431053523	4.75525231526555	11.2743486041436	25.6500075956572	8.31536077409378	4.60533282187671	6.89970334819264	20.3958052191564	14.7574798352466	3.6498268594645	2.11849491068586	-1.95356220872034	13.5293467644561	NaN	21.9397897256988	-2.71651643649312	-7.30813699915761	NaN	24.3550345561681	-5.23715735121036	8.80115419555478	-19.0944727590639	-2.28316332224198	23.4245687241381	11.1106256234664	13.5610198890734	6.61430477686851	-5.54930571444895	21.0348501237916	5.41471601610834	12.329853028727	13.415344225931	15.6006480643014	13.1676861709791	11.4973951316779	15.4686117298146	-7.6021513567711	11.2624587683296	NaN	28.298840362659	22.5215621130467	17.9733877806874	27.8190654265975	23.0738661489836	5.17680856602721	8.41323119366322	-5.90069783267003	0.746449127164022	17.1283285390279	27.96014540643
0.5	4.70318618684174	2.31394735619616	20.2030263183385	22.5378989310073	6.46650599288834	15.5484839684658	-10.0165534721728	3.46254695227054	16.5088738832075	34.377675413123	22.2851716789969	-8.36396070894675	8.636759152166	-16.007482892194	13.3155909482165	6.78028989904551	-11.4208385190816	20.984104552881	27.33081330351	10.0795293190445	19.1581879742092	-5.04499737877155	-8.33914580653852	27.4168834024313	13.8370721419007	14.869970283525	12.2390608044564	27.2454997584778	22.6221707816057	18.2868809857249	10.5644994696396	4.153116052084	0.565987995558434	14.0806875328513	26.2614459728377	15.5646589040436	8.17685481860456	6.33938509161072	-19.0384010657468	19.9476718592642	-1.37526420726206	-11.1228813939419	38.5926938548068	20.0647524109657	11.4426395750738	10.2510510228873	-1.84615313927745	-3.06479164899211	10.8970281454993	31.9041338135921	1.00098200380945	5.0398187378344	11.7712490273021	25.8630583233868	8.63095009108257	4.89162672078594	6.99385499777624	20.4284461330772	14.853557444063	3.73668150097069	2.22008080756042	-1.58671097742555	13.6051954076055	NaN	21.8979308229744	-2.66507809046674	-6.88190530391322	NaN	24.3603392213297	-4.9874951462525	9.17300311133033	-18.637738952317	-2.11252608621213	23.8204752772112	11.6693063110971	13.9362046111055	7.17449668983101	-5.1851976669857	21.4568735762287	5.77429178279199	12.6905963524459	13.7782785466394	16.0674881198114	13.5465219455996	11.8732670787597	15.752664080336	-7.47616199337999	11.7329135346458	NaN	28.6757445359536	23.0115189178982	18.1953864587798	28.1859966169485	23.7258850683535	5.58358024470327	8.91023074825854	-5.3808415099401	1.19826108579676	17.6694002845666	28.4110766749562
1	4.71639397267238	2.52142306886509	20.4710163419256	24.2032765822462	6.69626230001583	15.7405246847262	-9.83439519664928	3.5277968538159	16.743829945432	34.4241985784965	22.5547640560332	-8.12085313960561	8.82895109520588	-15.5840268721924	13.6294815848893	6.89959231848155	-11.2207885323375	21.3274852886771	27.569604434433	10.2749263535652	19.0457951599542	-4.94876815888465	-8.09237187963056	27.9867834558966	14.4148365326055	15.3062858941949	12.5297035626544	27.44757432584	23.0739823257336	18.7861224228501	11.0589014320715	4.45289231340471	0.773260209129724	14.4476258854275	26.9294783050688	15.8819905961666	8.45718214243254	6.77965382076127	-18.7817680203898	20.5945929227549	-0.972903344338722	-11.0431867708103	39.0302402763347	20.4769161522687	11.7360203968118	10.7027590317728	-1.50379897710076	-2.77267581053697	11.1506140715898	32.4491925351517	0.948724139101165	5.23684956612666	12.3907900128554	26.0425144616856	8.60573819097271	5.30533362526548	6.99981917057891	20.6906685408686	15.1588654481246	3.86557590846023	2.294505713675	-1.39535046792379	13.6671763112204	NaN	21.8787659845754	-2.59654562435096	-6.50397892861187	NaN	24.7063269236216	-4.74596104624908	9.83021122728017	-18.463846315875	-1.87744945626843	24.0867240617919	12.2334498758332	14.3728349384703	7.72876844152655	-4.95758672543614	21.8317130265553	6.11392852618613	12.9661054096252	14.2285176542488	16.4413800951024	14.0388165682203	12.2997247250372	16.0014862393446	-7.34086331895025	12.1468174757755	NaN	29.0307611969478	23.4555589978067	18.3569488299215	28.5498193613989	23.8845036079951	6.07961914015384	9.1691911423728	-4.86575023948858	1.64058213496809	18.0382394235567	28.8541173923385
1.5	4.78173120082595	2.70469688755175	20.6344265969263	25.976579600834	6.95537421723875	15.9613205071203	-9.67387555864043	3.62277971728064	17.0243290758458	34.6136253527676	22.8094875092267	-7.95360540437579	9.06571337107576	-14.9668778362384	14.0935992629962	7.0675439052955	-10.9162613294333	21.7203717579089	27.9047308344582	10.4969306765169	19.1928372650033	-4.7440152731434	-7.87891358800233	28.5261420469463	14.8851360453376	15.552123815737	12.9132031470746	27.8631882024645	23.5403865071483	19.2178649982449	11.4660704091076	4.73610116752569	0.92634384089422	14.8684092870849	27.5085390013499	16.197739737513	8.77122418549032	7.25795950638265	-18.5104784198687	21.238762811627	-0.541374676447092	-10.9409861200153	39.1969752843743	20.9975421746084	12.0113037022933	10.4453071601744	-1.28953589484697	-2.53487549916624	11.429185325959	32.9939864962705	1.02446548862486	5.15436099211579	12.8380959156375	26.2640761889301	8.97046543911491	5.66668234923587	7.04211381701983	20.851532267058	15.3970567837317	4.08378850730337	2.47868198907407	-1.03793108181577	13.8577074003957	NaN	21.9263887238422	-2.50298622919256	-6.11584746783949	NaN	25.0052822489181	-4.4722890796979	10.3683514110919	-18.3039256059669	-1.59655501361812	24.3997041524752	12.8038089686061	14.814505825035	8.21347357190723	-4.74693313906306	22.1204814828919	6.395438519082	13.2842417032282	14.6176870671943	16.841500342738	14.508655109289	12.5880381219054	15.979534962441	-7.22189765656707	12.5748318351497	NaN	29.2597924253316	23.7926443957679	18.5448535072894	28.6698109403531	23.8210026281594	6.54180273775205	8.99987900175751	-4.39036885514597	2.10060535051902	18.4581198651306	29.3341535768503
2	4.766865894652	2.93570632174178	20.8904913176778	27.2088915610842	7.16641200372188	16.1541338635483	-9.4541235640442	3.66496908635186	17.2132678687524	34.9063030478087	23.0745048283213	-7.79847061708567	9.28684091163928	-14.5567701861809	14.5838332024347	7.13282150563748	-10.6868838838052	22.1329954005471	28.3016172225017	10.8088331495173	19.5719324595717	-4.58869561794963	-7.72992000602301	28.9791913117307	15.3996718799932	15.9760907119137	13.2688140698206	28.0759410531596	23.928621456819	19.7133462245567	11.9263879230926	5.07241418582457	1.12821429735995	15.2185629220238	27.9412739957875	16.47724431742	9.1256723958363	7.63819167327069	-18.1289299476361	21.8556293705044	-0.189104099734349	-10.7734095567698	39.6105938773146	21.3970564191417	12.3440117941165	10.3644036065805	-1.07875505376515	-2.29232079469231	11.6331934607457	33.4413103471532	1.04127517597503	5.1828077320249	13.3112989008494	26.4862010210805	9.2264148870234	5.78640594111741	7.22262639297728	21.0580424145543	15.4900325722205	4.26166194634129	2.55818389001	-0.760642607475118	14.0467540668602	NaN	22.0455032618249	-2.44592897171261	-5.73599687803498	NaN	25.2053920946254	-4.20530724299592	10.9333414530338	-18.0405530507329	-1.52203977511704	24.8263661101003	13.3157764982272	15.1969973461511	8.85348480406105	-4.50232208615753	22.641386290738	6.68778414083996	13.6755421685119	14.9745431498859	17.2559486290444	15.1166284480308	12.9537911139545	16.1646468612395	-7.07212900029689	13.0455014820675	NaN	29.6850927621775	24.1026792452857	18.6271801212327	29.0611568113437	24.0783321893915	6.93839448273984	8.97925865487698	-4.02929647650647	2.58212346327039	18.9297183265699	29.8025428299361
2.5	4.96145026478416	3.17483655919125	21.3210495588007	27.6617331274767	7.4378724981278	16.4614864902098	-9.29123344887826	3.75766511429002	17.4883004469277	35.2493540434751	23.297877503092	-7.60200171408339	9.47208679342536	-14.0500713626008	15.0136514350383	7.21734392252027	-10.3055831784496	22.6872907780522	28.7258237296073	11.0802252557464	19.5914542161808	-4.45017819101366	-7.55656646315495	29.456003290579	15.9031619709599	16.4343774538765	13.7182224623688	28.2696625598211	24.3853351308177	20.1072737613657	12.4207328228034	5.38584863642643	1.27340360592511	15.5650718354932	28.4979868527229	16.7391930129611	9.32929246550624	8.07584220770941	-17.7886410846035	22.4693452916387	0.2369910878028	-10.6990464232323	39.8577975198775	21.766434774856	12.7069173777996	10.7932010308197	-0.715439547373612	-2.03074880697161	11.9079032856039	33.922749662982	1.15726914742169	5.31040670837148	13.586348869589	26.7003851709741	9.40396646712676	5.94467640377601	7.34789708731873	21.098639522442	15.6254550728406	4.38711010631528	2.79731958530767	-0.679240411056653	14.1511442818688	NaN	22.2402611266273	-2.28146706645309	-5.44810895076179	NaN	25.5772901327403	-3.98307453993169	11.3884049121284	-17.8003868327156	-1.56063554628929	25.2059389537883	13.8068938573577	15.6074032528601	9.38053152360922	-4.20656799415458	23.1941889626702	6.92193856817317	14.1142062734287	15.3216170023181	17.7590570339636	15.6160951534991	13.3104505925682	16.340425346568	-6.93407051041225	13.4504009788802	NaN	30.3148541807001	24.3660974508863	18.8258968848728	29.2938597602124	24.3616544657757	7.3725380502068	9.36290708112138	-3.58378736137199	2.92422103506159	19.4319920369075	30.1359244345428
3	5.20295230850934	3.45978385211619	21.7859279002389	30.075492482455	7.64791382374868	16.7456236321414	-9.04811865419914	3.93790100998077	17.7938212816778	35.7863950948393	23.5232761480641	-7.33574617499477	9.66690176735295	-13.8400393182716	15.4277363702252	7.35575694284367	-10.0077648792847	22.8812874880051	29.0217701747195	11.3882106434448	20.0675347406146	-4.20532135331639	-7.38124960745013	29.985364258235	16.4264314963745	16.8902859400077	14.0554867403254	28.6058779056916	24.8290839569357	20.471286553161	12.8845984558228	5.68452856081779	1.47226864910073	15.8789030419744	29.0698493120658	16.9813024358702	9.66420943380379	8.49572263266088	-17.5573807395571	23.1832560166412	0.61316445619073	-10.5453732193233	40.2370919077184	22.1919958068815	13.1285292650531	11.0896618871643	-0.275041501353781	-1.77428397845807	12.2107563369184	34.4773601650078	1.28065299380883	5.32849787806239	13.9361383210522	26.8527390164263	9.75319710138245	6.19677480742765	7.40330522847046	21.2632035009481	15.7698920424111	4.51760103706116	2.93386777239662	-0.637944241573169	14.3101636523282	NaN	22.1665741321295	-2.07359109837038	-5.06027592881298	NaN	25.866701993849	-3.70793842523224	11.462749561009	-17.5255146486978	-1.50279150100607	25.626656280837	14.2888431465686	16.0392953934133	9.80960962668918	-3.81057896753936	23.7058469303562	7.15102984794455	14.724079555843	15.7961892707851	18.2162686300928	16.117786739186	13.6137073209776	16.5282243005503	-6.89563231461571	13.7902270740223	NaN	30.8028671840489	24.5978755096327	19.0024208101784	29.4621734367748	24.6044277423978	7.77646261207571	9.41210709942707	-3.08101314413045	3.41275573549621	19.8542608705576	30.4819135826462
3.5	5.46809686275395	3.72413130991431	22.2465085242231	32.3079565965223	7.89192640153353	17.1668821055934	-8.76377778734981	4.06024618703931	18.1692113657504	35.8749187684664	23.7570182220398	-7.14188765209801	9.88325036796641	-13.6384644545639	15.8667449118913	7.45921766017521	-9.66819544071908	22.7954477431745	29.3564513220031	11.6993495957234	20.2671492547962	-3.96734812295792	-7.13003721213871	30.4499578728301	16.8525128775377	17.1227316197674	14.4933554290626	28.9886225634391	25.2101655183045	20.8977322660241	13.3602669142598	5.88893954570614	1.66727148546308	16.2680472792429	29.5976109269363	17.2769983002212	9.97424698361272	8.94432039831155	-17.2636892132715	24.0275953022458	0.993980810821292	-10.3116717258351	40.3670587296584	22.5582674831277	13.4768188198807	11.7364924219809	0.170350145037083	-1.54839091000446	12.4296022752551	35.0229725352648	1.32355650385641	5.33725787326544	14.507017917144	27.0144730358712	10.1042150355601	6.32346695653708	7.41226709315201	21.3551331645024	15.9572827273791	4.66474423224902	3.12394179110411	-0.285344685789727	14.4322625040797	NaN	22.1706071441142	-2.03010289456781	-4.68074451381936	NaN	26.2907625503321	-3.4787229510502	11.9129040759228	-17.1895989541648	-1.53148840692019	25.9607909637719	14.7718931753264	16.5877263897305	10.3664538362353	-3.31104871975599	24.2609913702522	7.44643963136661	14.9373928024785	16.2045849421744	18.6646938983567	16.564735272526	13.9602468935587	16.782170646193	-6.77003256702811	14.2677430099841	NaN	31.0813227256647	24.9629153473387	19.1836052076603	29.6391230711047	24.9366878507002	8.15521148933915	9.6754117663001	-2.58280012112795	3.81828315617486	20.2101165349375	30.941534169559
4	5.60698531090459	4.03325610809866	22.8683447356491	33.1585775101158	8.17575719557376	17.4522278546528	-8.58821576734135	4.15185726738296	18.5252921977107	36.1765267865686	24.024803082962	-7.00793599840029	10.1141466340628	-12.6246756712275	16.3135453959823	7.5855030656916	-9.23784896663835	22.7744697459282	29.5994197443758	11.9393518203311	20.3278820648707	-3.79439243847081	-6.91561199398124	30.8661766020847	17.270609080181	17.6278543149402	15.0321074355479	29.3416058039911	25.6425288676775	21.2703580433785	13.8489282934466	6.09730692938797	1.85609279538322	16.787136022908	30.0713875508599	17.6618934868402	10.2820123311277	9.39496444588617	-16.9233730758728	24.8016107972753	1.43201674211931	-10.0724507047562	40.6180545124283	22.9483513171302	13.84161860983	11.8833370884692	0.59050443748621	-1.2686691010896	12.606815841328	35.6231805213595	1.48937671271454	5.45020973669426	14.9021774287206	27.2804849072861	10.5727120894085	6.54211223648091	7.51485839440611	21.7173418978214	16.2250302316282	4.91937326575215	3.30428670138639	-0.162143411680174	14.5899346608137	NaN	22.052696789532	-1.89537740452792	-4.36150171228588	NaN	26.3611760483429	-3.20638680639407	11.8693100071677	-16.8788308390659	-1.37071627357551	26.3369171075209	15.1926464180281	17.0915219481748	10.8561398897162	-2.82319216413415	24.6009930895464	7.69154406184695	15.1220011274312	16.5949867136022	19.0401997655532	17.0424529945059	14.4632511800331	17.0840769852561	-6.58232643399928	14.7159550394074	NaN	31.1826508865771	25.3249403795936	19.3890338429213	29.7122869805616	25.1550133343765	8.58112527886645	10.3508635122393	-1.96030651239753	4.19404174302002	20.6142202235669	31.3118844902196
4.5	5.76586063612685	4.31198052476541	23.445626020111	33.5443187621202	8.44119604301018	17.5932436417384	-8.37848900617953	4.29563275945534	18.6484147292525	36.2459716286177	24.2688834404991	-6.99922225123461	10.3676778378801	-11.762939061986	16.8686280437168	7.71905408199005	-8.87550750312936	22.9203569578193	29.8485197576191	12.0940178656728	20.7186954015395	-3.52292014403778	-6.68373640737577	31.279152398926	17.7358763663582	18.0440207935311	15.609067282112	29.5617732434445	25.9296808419206	21.6319753928339	14.3541342300208	6.3429093372045	2.04337945570794	17.2680585138383	30.5188570576203	18.042690832572	10.7557964495922	9.91039568387124	-16.645695688334	25.4775911848808	1.88801507400323	-9.91850258011238	40.7417305198358	23.3291144327747	14.2839729754399	12.1682424695238	1.05891259513974	-0.962607173912693	12.8718017045425	36.1996103040463	1.60209706490556	5.56801427955117	15.377853821787	27.4684903606266	11.105566218565	6.70913609476566	7.7306985366735	21.7401195102682	16.4655646384222	5.13443742928358	3.52095845042089	-0.123568499562494	14.6770572734771	NaN	22.0774291904258	-1.73537772401326	-3.9908506627152	NaN	26.0315631621455	-2.90996806160647	11.9446141760152	-16.6030530565396	-1.19324772619917	26.6717125085644	15.6799367032112	17.5239038571568	11.3069863051168	-2.44402958184523	25.1499439202247	7.95181792969537	15.4578765622204	16.9402876979108	19.3985216431339	17.5154181385215	14.7740618235671	17.3072879433127	-6.49864631854226	15.08960857769	NaN	31.3587903930314	25.7595464629371	19.6557486780389	29.9214437544614	25.5739623709578	9.02697729460603	10.6882208594829	-1.38521956642488	4.631956499524	21.0026747695457	31.6670953156982
