mass_E			mass_B		
2.914775072	5.865630735	0	2.914775072	31.02361854	0
2.940569542	5.848709037	0	2.940569542	31.01743689	0
2.966364012	5.701064325	0	2.966364012	30.98157232	0
2.992158481	5.651119581	0	2.992158481	30.94705186	0
3.017952951	5.567696167	0	3.017952951	30.92374897	0
3.043747421	5.492430705	0	3.043747421	30.88548919	0
3.06954189	5.384652709	0	3.06954189	30.83170487	0
3.09533636	5.277196796	0	3.09533636	30.79717135	0
3.12113083	5.187246728	0	3.12113083	30.779287	0
3.146925299	5.149535225	0	3.146925299	30.76871603	0
3.172719769	5.136130843	0	3.172719769	30.7688316	0
3.198514239	5.127368514	0	3.198514239	30.7691275	0
3.224308708	5.122243647	0	3.224308708	30.76500768	0
3.250103178	5.109403229	0	3.250103178	30.76383474	0
3.275897648	5.111827178	0	3.275897648	30.7727983	0
3.301692117	5.068109825	0	3.301692117	30.74676052	0
3.327486587	5.030317907	0	3.327486587	30.71739455	0
3.353281057	4.992826537	0	3.353281057	30.69784995	0
3.379075526	4.981625729	0	3.379075526	30.69773987	0
3.404869996	4.906075961	0	3.404869996	30.68594861	0
3.430664466	4.877414003	0	3.430664466	30.65763616	0
3.456458935	4.837686054	0	3.456458935	30.64254432	0
3.482253405	4.813148158	0	3.482253405	30.63139096	0
3.508047875	4.786214233	0	3.508047875	30.6236126	0
3.533842344	4.74520943	0	3.533842344	30.59473273	0
3.559636814	4.74890922	0	3.559636814	30.57196449	0
3.585431284	4.718368777	0	3.585431284	30.54528637	0
3.611225753	4.6837048	0	3.611225753	30.53073561	0
3.637020223	4.685376607	0	3.637020223	30.51121987	0
3.662814693	4.671990349	0	3.662814693	30.49308977	0
3.688609162	4.666168501	0	3.688609162	30.49238678	0
3.714403632	4.657010878	0	3.714403632	30.47684719	0
3.740198102	4.666502783	0	3.740198102	30.47892441	0
3.765992571	4.667552576	0	3.765992571	30.47678507	0
3.791787041	4.671455384	0	3.791787041	30.48174965	0
3.817581511	4.677115412	0	3.817581511	30.47491336	0
3.84337598	4.680712834	0	3.84337598	30.48094379	0
3.86917045	4.682844677	0	3.86917045	30.4842031	0
3.89496492	4.681379294	0	3.89496492	30.47759325	0
3.920759389	4.682309881	0	3.920759389	30.48276404	0
3.946553859	4.678826288	0	3.946553859	30.47998981	0
3.972348329	4.686338854	0	3.972348329	30.48138596	0
3.998142798	4.687119667	0	3.998142798	30.48416625	0
4.023937268	4.689266356	0	4.023937268	30.48772965	0
4.049731738	4.687228086	0	4.049731738	30.48184721	0
4.075526207	4.685131866	0	4.075526207	30.4778853	0
4.101320677	4.693790862	0	4.101320677	30.48458619	0
4.127115147	4.697094498	0	4.127115147	30.48735895	0
4.152909616	4.696705988	0	4.152909616	30.49056649	0
4.178704086	4.697420938	0	4.178704086	30.49315362	0
4.204498556	4.697410297	0	4.204498556	30.49499963	0
4.230293025	4.710845117	0	4.230293025	30.49478627	0
4.256087495	4.720291517	0	4.256087495	30.49731106	0
4.281881965	4.715720243	0	4.281881965	30.49916661	0
4.307676434	4.724924737	0	4.307676434	30.49907401	0
4.333470904	4.731659524	0	4.333470904	30.50011855	0
4.359265374	4.763760204	0	4.359265374	30.5011723	0
4.385059843	4.764002503	0	4.385059843	30.49997104	0
4.410854313	4.767869443	0	4.410854313	30.49994988	0
4.436648783	4.763265813	0	4.436648783	30.50001071	0
4.462443252	4.764774774	0	4.462443252	30.49955021	0
4.488237722	4.762963594	0	4.488237722	30.49922652	0
4.514032191	4.767051939	0	4.514032191	30.49827995	0
4.539826661	4.769327015	0	4.539826661	30.49990221	0
4.565621131	4.7666023	0	4.565621131	30.49880265	0
4.5914156	4.764424116	0	4.5914156	30.4978409	0
4.61721007	4.765616739	0	4.61721007	30.4948568	0
4.64300454	4.763140809	0	4.64300454	30.49320964	0
4.668799009	4.762301316	0	4.668799009	30.49457928	0
4.694593479	4.764995472	0	4.694593479	30.49533623	0
4.720387949	4.755555019	0	4.720387949	30.49518978	0
4.746182418	4.753654829	0	4.746182418	30.49264357	0
4.771976888	4.759826343	0	4.771976888	30.4903571	0
4.797771358	4.763396712	0	4.797771358	30.49401697	0
4.823565827	4.772935747	0	4.823565827	30.4949856	0
4.849360297	4.778375681	0	4.849360297	30.49760365	0
4.875154767	4.78245171	0	4.875154767	30.49972227	0
4.900949236	4.830367582	0	4.900949236	30.5020516	0
4.926743706	4.846620998	0	4.926743706	30.50317938	0
4.952538176	4.8450084	0	4.952538176	30.50350907	0
4.978332645	4.83338801	0	4.978332645	30.50141799	0
5.004127115	4.834153482	0	5.004127115	30.50037514	0
5.029921585	4.85368822	0	5.029921585	30.5022788	0
5.055716054	4.849941133	0	5.055716054	30.50261952	0
5.081510524	4.845471468	0	5.081510524	30.5016944	0
5.107304994	4.849136456	0	5.107304994	30.50192467	0
5.133099463	4.863720976	0	5.133099463	30.50285221	0
5.158893933	4.863981461	0	5.158893933	30.5036178	0
5.184688403	4.853559327	0	5.184688403	30.50269049	0
5.210482872	4.852219877	0	5.210482872	30.50149702	0
5.236277342	4.845858741	0	5.236277342	30.50217709	0
5.262071812	4.848527458	0	5.262071812	30.50180531	0
5.287866281	4.853011172	0	5.287866281	30.50180356	0
5.313660751	4.846905548	0	5.313660751	30.50284707	0
5.339455221	4.846965722	0	5.339455221	30.50182108	0
5.36524969	4.851729005	0	5.36524969	30.50309727	0
5.39104416	4.850392473	0	5.39104416	30.50371955	0
5.41683863	4.844306379	0	5.41683863	30.50188096	0
5.442633099	4.846363277	0	5.442633099	30.50133492	0
5.468427569	4.848848799	0	5.468427569	30.50206551	0
5.494222039	4.85550893	0	5.494222039	30.50346822	0
5.520016508	4.852546883	0	5.520016508	30.50382479	0
5.545810978	4.856374717	0	5.545810978	30.50411221	0
5.571605448	4.849942201	0	5.571605448	30.50264598	0
5.597399917	4.868497834	0	5.597399917	30.50559292	0
5.623194387	4.860312635	0	5.623194387	30.50552644	0
5.648988857	4.855174287	0	5.648988857	30.50461676	0
5.674783326	4.854647606	0	5.674783326	30.50385078	0
5.700577796	4.863513017	0	5.700577796	30.50293634	0
5.726372266	4.861161457	0	5.726372266	30.50408572	0
5.752166735	4.857756654	0	5.752166735	30.50386548	0
5.777961205	4.873515401	0	5.777961205	30.50379363	0
5.803755675	4.932581077	0	5.803755675	30.50581616	0
5.829550144	5.021862968	0	5.829550144	30.5111105	0
5.855344614	5.304830502	0	5.855344614	30.52726257	0
5.881139084	6.388158458	0	5.881139084	30.67310217	0
5.906933553	6.906475981	0	5.906933553	30.76706765	0
5.932728023	7.361898281	0	5.932728023	30.840506	0
5.958522493	7.55767358	0	5.958522493	30.90019037	0
5.984316962	8.798034279	0	5.984316962	31.00457773	0
6.010111432	9.358053635	0	6.010111432	31.06366531	0
6.035905902	9.792364849	0	6.035905902	31.1866746	0
6.061700371	10.41588476	0	6.061700371	31.32893872	0
6.087494841	10.76681337	0	6.087494841	31.31110106	0
6.113289311	11.03862263	0	6.113289311	31.31778132	0
6.13908378	11.74425811	0	6.13908378	31.44589606	0
6.16487825	11.90812948	0	6.16487825	31.52785079	0
6.19067272	12.48102802	0	6.19067272	31.72630012	0
6.216467189	11.73070354	0	6.216467189	31.79727651	0
6.242261659	9.608155442	0	6.242261659	31.7938846	0
6.268056129	10.01970155	0	6.268056129	31.92558363	0
6.293850598	10.11713004	0	6.293850598	31.95810652	0
6.319645068	10.34710745	0	6.319645068	32.0243535	0
6.345439538	10.20720327	0	6.345439538	32.18065607	0
6.371234007	10.51069268	0	6.371234007	32.22902237	0
6.397028477	8.558079119	0	6.397028477	32.28538386	0
6.422822947	9.604404252	0	6.422822947	32.34737883	0
6.448617416	9.43917097	0	6.448617416	32.36143612	0
6.474411886	9.547285139	0	6.474411886	28.14509139	0
6.500206356	9.601038366	0	6.500206356	28.13282893	0
6.526000825	9.625719872	0	6.526000825	28.14489696	0
6.551795295	9.668898528	0	6.551795295	26.71573374	0
6.577589765	9.691947761	0	6.577589765	28.12506065	0
6.603384234	9.73523284	0	6.603384234	28.15214331	0
6.629178704	9.756247044	0	6.629178704	28.17744453	0
6.654973174	9.742953768	0	6.654973174	28.21113717	0
6.680767643	9.729125263	0	6.680767643	28.37005958	0
6.706562113	9.722892115	0	6.706562113	28.3711717	0
6.732356583	9.741611682	0	6.732356583	28.37735138	0
6.758151052	9.752699073	0	6.758151052	28.409693	0
6.783945522	9.790484912	0	6.783945522	28.48949532	0
6.809739992	9.808321518	0	6.809739992	28.528258	0
6.835534461	9.92402124	0	6.835534461	28.6306418	0
6.861328931	9.967999341	0	6.861328931	28.68649668	0
6.887123401	10.03368473	0	6.887123401	27.92577084	0
6.91291787	10.08318799	0	6.91291787	28.98645746	0
6.93871234	10.11055997	0	6.93871234	29.12023175	0
6.96450681	10.22097369	0	6.96450681	29.26920729	0
6.990301279	10.22487485	0	6.990301279	28.19956385	0
