mass_E			mass_B		
t	x	y	t	x	y
0	14.30204082	0	0	32.06705539	0
0.02579447	14.30341992	0	0.02579447	32.06640907	0
0.051588939	14.29940077	0	0.051588939	32.06667324	0
0.077383409	14.30205345	0	0.077383409	32.0669498	0
0.103177879	14.297589	0	0.103177879	32.06730911	0
0.128972348	14.3001878	0	0.128972348	32.06703999	0
0.154766818	14.30132573	0	0.154766818	32.06663374	0
0.180561288	14.29047426	0	0.180561288	32.06749609	0
0.206355757	14.29197574	0	0.206355757	32.06796667	0
0.232150227	14.29263203	0	0.232150227	32.06674172	0
0.257944697	14.29126244	0	0.257944697	32.06807238	0
0.283739166	14.29264713	0	0.283739166	32.06727977	0
0.309533636	14.29151988	0	0.309533636	32.06780814	0
0.335328106	14.28487551	0	0.335328106	32.0685845	0
0.361122575	14.29024644	0	0.361122575	32.06703218	0
0.386917045	14.29579369	0	0.386917045	32.06882786	0
0.412711515	14.30443871	0	0.412711515	32.06945885	0
0.438505984	14.30281504	0	0.438505984	32.06912236	0
0.464300454	14.30542229	0	0.464300454	32.06963388	0
0.490094924	14.30131641	0	0.490094924	32.06960213	0
0.515889393	14.29266985	0	0.515889393	32.07017973	0
0.541683863	14.28866018	0	0.541683863	32.07017105	0
0.567478333	14.1724112	0	0.567478333	32.06749975	0
0.593272802	14.1299903	0	0.593272802	32.06589541	0
0.619067272	14.12936884	0	0.619067272	32.05889272	0
0.644861742	14.10957398	0	0.644861742	32.05900777	0
0.670656211	14.17535722	0	0.670656211	32.05423442	0
0.696450681	14.12619123	0	0.696450681	32.05666381	0
0.722245151	14.03633117	0	0.722245151	32.07138884	0
0.74803962	13.9458519	0	0.74803962	32.04903963	0
0.77383409	13.93540922	0	0.77383409	32.05165368	0
0.79962856	13.85776171	0	0.79962856	32.03829571	0
0.825423029	13.77512928	0	0.825423029	32.06443126	0
0.851217499	13.58837144	0	0.851217499	32.07162468	0
0.877011969	13.27051061	0	0.877011969	32.07579847	0
0.902806438	13.0936492	0	0.902806438	32.04509562	0
0.928600908	12.83185514	0	0.928600908	32.05000352	0
0.954395378	12.76893209	0	0.954395378	32.04653112	0
0.980189847	12.58290959	0	0.980189847	32.04272926	0
1.005984317	12.3540461	0	1.005984317	32.02042814	0
1.031778787	12.32202312	0	1.031778787	31.9968483	0
1.057573256	12.01325578	0	1.057573256	31.96551159	0
1.083367726	11.76107777	0	1.083367726	31.93538927	0
1.109162196	11.71620335	0	1.109162196	31.91797938	0
1.134956665	11.46291528	0	1.134956665	31.87353071	0
1.160751135	11.34468991	0	1.160751135	31.83208102	0
1.186545605	11.28442308	0	1.186545605	31.82470678	0
1.212340074	11.02233094	0	1.212340074	31.80267461	0
1.238134544	10.90240241	0	1.238134544	31.77626364	0
1.263929014	10.73201025	0	1.263929014	31.76610428	0
1.289723483	10.61127536	0	1.289723483	31.76515267	0
1.315517953	10.45039326	0	1.315517953	31.75658761	0
1.341312423	10.349832	0	1.341312423	31.74162877	0
1.367106892	10.27867526	0	1.367106892	31.73896296	0
1.392901362	10.16801391	0	1.392901362	31.74021109	0
1.418695832	10.06874397	0	1.418695832	31.7406527	0
1.444490301	10.01401632	0	1.444490301	31.74719176	0
1.470284771	9.804086962	0	1.470284771	31.73427168	0
1.496079241	9.681430871	0	1.496079241	31.7200038	0
1.52187371	9.529323944	0	1.52187371	31.68042069	0
1.54766818	9.441852031	0	1.54766818	31.67379474	0
1.57346265	9.313452771	0	1.57346265	31.65519384	0
1.599257119	9.252568448	0	1.599257119	31.62675068	0
1.625051589	9.110598155	0	1.625051589	31.60947159	0
1.650846059	8.910167101	0	1.650846059	31.57917467	0
1.676640528	8.871138077	0	1.676640528	31.55740629	0
1.702434998	8.746698766	0	1.702434998	31.54309792	0
1.728229468	8.540711087	0	1.728229468	31.50393212	0
1.754023937	8.510126748	0	1.754023937	31.47759239	0
1.779818407	8.425119287	0	1.779818407	31.46206214	0
1.805612877	8.298213054	0	1.805612877	31.44626252	0
1.831407346	8.214941697	0	1.831407346	31.44472309	0
1.857201816	8.140582146	0	1.857201816	31.4465413	0
1.882996286	8.056127721	0	1.882996286	31.44491101	0
1.908790755	7.994580414	0	1.908790755	31.44030558	0
1.934585225	7.880297893	0	1.934585225	31.4301088	0
1.960379695	7.824506505	0	1.960379695	31.40253069	0
1.986174164	7.698306091	0	1.986174164	31.37708513	0
2.011968634	7.640167165	0	2.011968634	31.37612197	0
2.037763104	7.514383806	0	2.037763104	31.34203891	0
2.063557573	7.468646335	0	2.063557573	31.32012848	0
2.089352043	7.434879215	0	2.089352043	31.31489569	0
2.115146513	7.38974591	0	2.115146513	31.30791288	0
2.140940982	7.341838776	0	2.140940982	31.30619278	0
2.166735452	7.306499075	0	2.166735452	31.29401572	0
2.192529922	7.242320315	0	2.192529922	31.28596511	0
2.218324391	7.214087089	0	2.218324391	31.29313545	0
2.244118861	7.139865901	0	2.244118861	31.28708822	0
2.269913331	7.124744438	0	2.269913331	31.29542671	0
2.2957078	7.108507112	0	2.2957078	31.3003025	0
2.32150227	7.072650372	0	2.32150227	31.29909101	0
2.34729674	7.028314924	0	2.34729674	31.29189735	0
2.373091209	6.914976835	0	2.373091209	31.26559747	0
2.398885679	6.837307669	0	2.398885679	31.23865625	0
2.424680149	6.75486942	0	2.424680149	31.22710736	0
2.450474618	6.62466867	0	2.450474618	31.21146926	0
2.476269088	6.567597418	0	2.476269088	31.20961218	0
2.502063558	6.536086472	0	2.502063558	31.17552079	0
2.527858027	6.559389862	0	2.527858027	31.16950932	0
2.553652497	6.562298043	0	2.553652497	31.16775243	0
2.579446967	6.555362416	0	2.579446967	31.16626799	0
2.605241436	6.549654053	0	2.605241436	31.16563176	0
2.631035906	6.532531573	0	2.631035906	31.16254201	0
2.656830376	6.435331075	0	2.656830376	31.15360029	0
2.682624845	6.394802667	0	2.682624845	31.15181532	0
2.708419315	6.32441704	0	2.708419315	31.14524453	0
2.734213785	6.278568966	0	2.734213785	31.13799782	0
2.760008254	6.228524594	0	2.760008254	31.13753258	0
2.785802724	6.160564669	0	2.785802724	31.12327097	0
2.811597194	6.08872489	0	2.811597194	31.07884766	0
2.837391663	6.045811482	0	2.837391663	31.07042218	0
2.863186133	6.019041619	0	2.863186133	31.07475542	0
2.888980603	5.909049524	0	2.888980603	31.0495925	0
