mass_C			ExtMarker		
t	x	y	t	x	y
0	40.37406873	0	0	19.33222005	0
0.023958408	40.37323327	0	0.023958408	19.32843152	0
0.047916816	40.37315237	0	0.047916816	19.32915173	0
0.071875225	40.37022649	0	0.071875225	19.31120731	0
0.095833633	40.36897191	0	0.095833633	19.31079661	0
0.119792041	40.36894062	0	0.119792041	19.31408302	0
0.143750449	40.37149217	0	0.143750449	19.31383194	0
0.167708857	40.3726206	0	0.167708857	19.31731232	0
0.191667266	40.37341984	0	0.191667266	19.32232645	0
0.215625674	40.37392807	0	0.215625674	19.33025799	0
0.239584082	40.37367536	0	0.239584082	19.32516979	0
0.26354249	40.37452014	0	0.26354249	19.32938799	0
0.287500898	40.37432088	0	0.287500898	19.32715905	0
0.311459307	40.37348906	0	0.311459307	19.32951026	0
0.335417715	40.37261373	0	0.335417715	19.32935657	0
0.359376123	40.37062819	0	0.359376123	19.32291878	0
0.383334531	40.36840796	0	0.383334531	19.31556907	0
0.40729294	40.36694256	0	0.40729294	19.31002483	0
0.431251348	40.37009897	0	0.431251348	19.31446069	0
0.455209756	40.37143995	0	0.455209756	19.32109532	0
0.479168164	40.37319242	0	0.479168164	19.32566939	0
0.503126572	40.37172529	0	0.503126572	19.32768298	0
0.527084981	40.36670168	0	0.527084981	19.32102208	0
0.551043389	40.36791378	0	0.551043389	19.32657916	0
0.575001797	40.37034714	0	0.575001797	19.3284185	0
0.598960205	40.37025186	0	0.598960205	19.32818268	0
0.622918613	40.36850021	0	0.622918613	19.32627683	0
0.646877022	40.37157799	0	0.646877022	19.33063202	0
0.67083543	40.37309064	0	0.67083543	19.33065381	0
0.694793838	40.3737993	0	0.694793838	19.33230609	0
0.718752246	40.37378725	0	0.718752246	19.33277472	0
0.742710654	40.37399571	0	0.742710654	19.33331207	0
0.766669063	40.37542737	0	0.766669063	19.33207672	0
0.790627471	40.37507903	0	0.790627471	19.33138799	0
0.814585879	40.3750949	0	0.814585879	19.33107183	0
0.838544287	40.37497885	0	0.838544287	19.33252861	0
0.862502695	40.37384953	0	0.862502695	19.33045705	0
0.886461104	40.37314621	0	0.886461104	19.32857326	0
0.910419512	40.37383252	0	0.910419512	19.32774093	0
0.93437792	40.37449669	0	0.93437792	19.3303524	0
0.958336328	40.37680933	0	0.958336328	19.33394347	0
0.982294736	40.3771436	0	0.982294736	19.33374325	0
1.006253145	40.37672196	0	1.006253145	19.33294854	0
1.030211553	40.37517637	0	1.030211553	19.3330277	0
1.054169961	40.37657338	0	1.054169961	19.3344661	0
1.078128369	40.37702776	0	1.078128369	19.33288429	0
1.102086777	40.37552119	0	1.102086777	19.33177755	0
1.126045186	40.37527081	0	1.126045186	19.33213218	0
1.150003594	40.37505572	0	1.150003594	19.3304482	0
1.173962002	40.37654552	0	1.173962002	19.3270549	0
1.19792041	40.37754621	0	1.19792041	19.32988891	0
1.221878818	40.37819865	0	1.221878818	19.32813354	0
1.245837227	40.37601546	0	1.245837227	19.33156766	0
1.269795635	40.37519227	0	1.269795635	19.3332149	0
1.293754043	40.37486285	0	1.293754043	19.33490464	0
1.317712451	40.3762733	0	1.317712451	19.33752955	0
1.341670859	40.37748267	0	1.341670859	19.34362908	0
1.365629268	40.37780402	0	1.365629268	19.34555048	0
1.389587676	40.37427484	0	1.389587676	19.34545219	0
1.413546084	40.3738434	0	1.413546084	19.34609748	0
1.437504492	40.37410108	0	1.437504492	19.34062914	0
1.4614629	40.37402188	0	1.4614629	19.34090559	0
1.485421309	40.37447764	0	1.485421309	19.33815223	0
1.509379717	40.3740958	0	1.509379717	19.33972083	0
1.533338125	40.37377561	0	1.533338125	19.33951512	0
1.557296533	40.37500375	0	1.557296533	19.33888115	0
1.581254941	40.37355615	0	1.581254941	19.34013005	0
1.60521335	40.37230886	0	1.60521335	19.33782242	0
1.629171758	40.37200627	0	1.629171758	19.33760543	0
1.653130166	40.36492398	0	1.653130166	19.32564345	0
1.677088574	40.36236631	0	1.677088574	19.32180485	0
1.701046982	40.3647694	0	1.701046982	19.32509972	0
1.725005391	40.35764457	0	1.725005391	19.32196335	0
1.748963799	40.30358824	0	1.748963799	19.30824601	0
1.772922207	40.2863386	0	1.772922207	19.31199858	0
1.796880615	40.25325786	0	1.796880615	19.30697424	0
1.820839023	40.21886496	0	1.820839023	19.30804935	0
1.844797432	40.17224239	0	1.844797432	19.27678137	0
1.86875584	40.13181384	0	1.86875584	19.25458982	0
1.892714248	40.08272014	0	1.892714248	19.23062658	0
1.916672656	39.97837067	0	1.916672656	19.20482768	0
1.940631064	39.9743212	0	1.940631064	19.1876922	0
1.964589473	39.92126371	0	1.964589473	19.16528349	0
1.988547881	39.85489103	0	1.988547881	19.15333585	0
2.012506289	39.80047295	0	2.012506289	19.14949878	0
2.036464697	39.72291642	0	2.036464697	19.1119876	0
2.060423105	39.66241614	0	2.060423105	19.0840934	0
2.084381514	39.50378682	0	2.084381514	19.03055787	0
2.108339922	39.4278119	0	2.108339922	19.01731459	0
2.13229833	39.2950197	0	2.13229833	18.99242403	0
2.156256738	39.10034774	0	2.156256738	18.97351159	0
2.180215147	39.0130108	0	2.180215147	18.97902929	0
2.204173555	38.90007918	0	2.204173555	18.97861553	0
2.228131963	38.81014018	0	2.228131963	18.96208145	0
2.252090371	38.67189694	0	2.252090371	18.95870825	0
2.276048779	38.66594922	0	2.276048779	18.9549391	0
2.300007188	38.5735296	0	2.300007188	18.94106263	0
2.323965596	38.53380685	0	2.323965596	18.94569169	0
2.347924004	38.52655857	0	2.347924004	18.95124466	0
2.371882412	38.52202456	0	2.371882412	18.95311052	0
2.39584082	38.50921037	0	2.39584082	18.95354501	0
2.419799229	38.40300383	0	2.419799229	18.95220938	0
2.443757637	38.40049754	0	2.443757637	18.95607115	0
2.467716045	38.40598651	0	2.467716045	18.96368963	0
2.491674453	38.40124345	0	2.491674453	18.96728441	0
2.515632861	38.40961212	0	2.515632861	18.97776826	0
2.53959127	38.40846866	0	2.53959127	18.97301621	0
2.563549678	38.40660351	0	2.563549678	18.97436868	0
2.587508086	38.40867587	0	2.587508086	18.97246524	0
2.611466494	38.40155275	0	2.611466494	18.96802854	0
