FASC_Prox			mass_A		
t	x	y	t	x	y
0.00000000	24.04880004	0.00000000	0.00000000	47.75552811	0.00000000
0.02529212	24.04938729	0.00000000	0.02480774	47.75610518	0.00000000
0.05058425	24.04884721	0.00000000	0.04961548	47.75581453	0.00000000
0.07587637	24.04976335	0.00000000	0.07442322	47.75608354	0.00000000
0.10116850	24.05025013	0.00000000	0.09923096	47.75543434	0.00000000
0.12646062	24.05001327	0.00000000	0.12403870	47.75550483	0.00000000
0.15175274	24.04981672	0.00000000	0.14884644	47.75559227	0.00000000
0.17704487	24.04795704	0.00000000	0.17365418	47.75554790	0.00000000
0.20233699	24.04814185	0.00000000	0.19846192	47.75477484	0.00000000
0.22762912	24.04765370	0.00000000	0.22326966	47.75583153	0.00000000
0.25292124	24.04729099	0.00000000	0.24807740	47.75520460	0.00000000
0.27821336	24.04603922	0.00000000	0.27288514	47.75473082	0.00000000
0.30350549	24.04659555	0.00000000	0.29769288	47.75513333	0.00000000
0.32879761	24.04647564	0.00000000	0.32250062	47.75566988	0.00000000
0.35408974	24.04716093	0.00000000	0.34730836	47.75519509	0.00000000
0.37938186	24.04747266	0.00000000	0.37211610	47.75561940	0.00000000
0.40467398	24.04733528	0.00000000	0.39692384	47.75527311	0.00000000
0.42996611	24.04843639	0.00000000	0.42173158	47.75564595	0.00000000
0.45525823	24.04861691	0.00000000	0.44653932	47.75500340	0.00000000
0.48055036	24.04712329	0.00000000	0.47134706	47.75599447	0.00000000
0.50584248	24.04677497	0.00000000	0.49615480	47.75530028	0.00000000
0.53113460	24.04781085	0.00000000	0.52096254	47.75553612	0.00000000
0.55642673	24.04699344	0.00000000	0.54577028	47.75560521	0.00000000
0.58171885	24.04715403	0.00000000	0.57057802	47.75457623	0.00000000
0.60701098	24.04661542	0.00000000	0.59538576	47.75538207	0.00000000
0.63230310	24.04668303	0.00000000	0.62019350	47.75563654	0.00000000
0.65759522	24.04641172	0.00000000	0.64500124	47.75523249	0.00000000
0.68288735	24.04592196	0.00000000	0.66980898	47.75557885	0.00000000
0.70817947	24.04673145	0.00000000	0.69461672	47.75515154	0.00000000
0.73347160	24.04704111	0.00000000	0.71942446	47.75512601	0.00000000
0.75876372	24.04861730	0.00000000	0.74423220	47.75515929	0.00000000
0.78405585	24.04996034	0.00000000	0.76903994	47.75530200	0.00000000
0.80934797	24.04970660	0.00000000	0.79384768	47.75565104	0.00000000
0.83464009	24.05111784	0.00000000	0.81865542	47.75551579	0.00000000
0.85993222	24.05437353	0.00000000	0.84346316	47.75514208	0.00000000
0.88522434	24.05389087	0.00000000	0.86827090	47.75551126	0.00000000
0.91051647	24.05471686	0.00000000	0.89307864	47.75558268	0.00000000
0.93580859	24.05466426	0.00000000	0.91788638	47.75574352	0.00000000
0.96110071	24.05300325	0.00000000	0.94269412	47.75589657	0.00000000
0.98639284	24.05238581	0.00000000	0.96750186	47.75580568	0.00000000
1.01168496	24.05155142	0.00000000	0.99230960	47.75533379	0.00000000
1.03697709	24.05130072	0.00000000	1.01711734	47.75582593	0.00000000
1.06226921	24.05066090	0.00000000	1.04192508	47.75552536	0.00000000
1.08756133	24.05114002	0.00000000	1.06673282	47.75525859	0.00000000
1.11285346	24.05108290	0.00000000	1.09154056	47.75541117	0.00000000
1.13814558	24.04969857	0.00000000	1.11634830	47.75554149	0.00000000
1.16343771	24.05058496	0.00000000	1.14115604	47.75586757	0.00000000
1.18872983	24.05013454	0.00000000	1.16596378	47.75546149	0.00000000
1.21402195	24.05016686	0.00000000	1.19077152	47.75515033	0.00000000
1.23931408	24.05036954	0.00000000	1.21557926	47.75565021	0.00000000
1.26460620	24.04987852	0.00000000	1.24038700	47.75562209	0.00000000
1.28989833	24.04888799	0.00000000	1.26519474	47.75571927	0.00000000
1.31519045	24.04779195	0.00000000	1.29000248	47.75628732	0.00000000
1.34048257	24.04486240	0.00000000	1.31481022	47.75555754	0.00000000
1.36577470	24.04491342	0.00000000	1.33961796	47.75537092	0.00000000
1.39106682	24.04536082	0.00000000	1.36442570	47.75604012	0.00000000
1.41635895	24.04609986	0.00000000	1.38923344	47.75597591	0.00000000
1.44165107	24.04568678	0.00000000	1.41404118	47.75577239	0.00000000
1.46694319	24.04646746	0.00000000	1.43884892	47.75554638	0.00000000
1.49223532	24.04774491	0.00000000	1.46365666	47.75612584	0.00000000
1.51752744	24.04691936	0.00000000	1.48846440	47.75609656	0.00000000
1.54281957	24.04752446	0.00000000	1.51327214	47.75567845	0.00000000
1.56811169	24.04962063	0.00000000	1.53807988	47.75565357	0.00000000
1.59340381	24.04949174	0.00000000	1.56288762	47.75562283	0.00000000
1.61869594	24.04919867	0.00000000	1.58769536	47.75556267	0.00000000
1.64398806	24.04971756	0.00000000	1.61250310	47.75547056	0.00000000
1.66928019	24.05111550	0.00000000	1.63731084	47.75443104	0.00000000
1.69457231	24.05042217	0.00000000	1.66211858	47.75496258	0.00000000
1.71986443	24.05018437	0.00000000	1.68692632	47.75521459	0.00000000
1.74515656	24.04949381	0.00000000	1.71173406	47.75529978	0.00000000
1.77044868	24.04835075	0.00000000	1.73654180	47.75605251	0.00000000
1.79574081	24.04915954	0.00000000	1.76134954	47.75551993	0.00000000
1.82103293	24.04992744	0.00000000	1.78615728	47.75613911	0.00000000
1.84632505	24.04998197	0.00000000	1.81096502	47.75472131	0.00000000
1.87161718	24.05020268	0.00000000	1.83577276	47.75590847	0.00000000
1.89690930	24.04938104	0.00000000	1.86058050	47.75526856	0.00000000
1.92220143	24.04908677	0.00000000	1.88538824	47.75541105	0.00000000
