FASC_Prox			mass_A		
1.94749355	24.04098005	0.00000000	1.91019598	47.75511438	0.00000000
1.97278568	23.93408435	0.00000000	1.93500372	47.75550834	0.00000000
1.99807780	23.77456861	0.00000000	1.95981146	47.75437008	0.00000000
2.02336992	23.69852898	0.00000000	1.98461920	47.75496107	0.00000000
2.04866205	23.54193224	0.00000000	2.00942694	47.75543033	0.00000000
2.07395417	23.31455563	0.00000000	2.03423468	47.75573156	0.00000000
2.09924630	23.20266934	0.00000000	2.05904242	47.75590937	0.00000000
2.12453842	22.90988827	0.00000000	2.08385016	47.75497488	0.00000000
2.14983054	22.81383690	0.00000000	2.10865790	47.75536570	0.00000000
2.17512267	22.58865549	0.00000000	2.13346564	47.75656649	0.00000000
2.20041479	22.40035034	0.00000000	2.15827338	47.75544704	0.00000000
2.22570692	22.33340262	0.00000000	2.18308112	47.75577046	0.00000000
2.25099904	22.25996978	0.00000000	2.20788886	47.75627974	0.00000000
2.27629116	22.18421265	0.00000000	2.23269660	47.75588506	0.00000000
2.30158329	22.05652741	0.00000000	2.25750434	47.75504015	0.00000000
2.32687541	21.93011652	0.00000000	2.28231208	47.75487678	0.00000000
2.35216754	21.73772806	0.00000000	2.30711982	47.75611722	0.00000000
2.37745966	21.61927477	0.00000000	2.33192756	47.75565935	0.00000000
2.40275178	21.52309111	0.00000000	2.35673530	47.75605986	0.00000000
2.42804391	21.35915660	0.00000000	2.38154304	47.75550571	0.00000000
2.45333603	21.32886888	0.00000000	2.40635078	47.75628863	0.00000000
2.47862816	21.26757122	0.00000000	2.43115852	47.75625526	0.00000000
2.50392028	21.13302586	0.00000000	2.45596626	47.75636195	0.00000000
2.52921240	21.10402251	0.00000000	2.48077400	47.75622789	0.00000000
2.55450453	20.93180306	0.00000000	2.50558174	47.75647731	0.00000000
2.57979665	20.82354095	0.00000000	2.53038948	47.75601890	0.00000000
2.60508878	20.56920514	0.00000000	2.55519722	47.75614197	0.00000000
2.63038090	20.43128253	0.00000000	2.58000496	47.75675088	0.00000000
2.65567302	20.26857719	0.00000000	2.60481270	47.75571381	0.00000000
2.68096515	20.10759876	0.00000000	2.62962044	47.75648272	0.00000000
2.70625727	19.93099654	0.00000000	2.65442818	47.75704730	0.00000000
2.73154940	19.67497873	0.00000000	2.67923592	47.75577650	0.00000000
2.75684152	19.51528735	0.00000000	2.70404366	47.75539614	0.00000000
2.78213364	19.24422583	0.00000000	2.72885140	47.75640662	0.00000000
2.80742577	19.17689980	0.00000000	2.75365914	47.75608566	0.00000000
2.83271789	19.03005567	0.00000000	2.77846688	47.75648002	0.00000000
2.85801002	18.89604812	0.00000000	2.80327462	47.75657387	0.00000000
2.88330214	18.77709821	0.00000000	2.82808236	47.75565416	0.00000000
2.90859426	18.63250043	0.00000000	2.85289010	47.75568969	0.00000000
2.93388639	18.53639303	0.00000000	2.87769784	47.75597890	0.00000000
2.95917851	18.43008569	0.00000000	2.90250558	47.75589723	0.00000000
2.98447064	18.24892925	0.00000000	2.92731332	47.75593143	0.00000000
3.00976276	18.04751185	0.00000000	2.95212106	47.75567101	0.00000000
3.03505488	17.94478117	0.00000000	2.97692880	47.75610375	0.00000000
3.06034701	17.85403842	0.00000000	3.00173654	47.75740426	0.00000000
3.08563913	17.81788615	0.00000000	3.02654428	47.75540460	0.00000000
3.11093126	17.72057987	0.00000000	3.05135202	47.75573233	0.00000000
3.13622338	17.61991436	0.00000000	3.07615976	47.75611003	0.00000000
3.16151550	17.45544597	0.00000000	3.10096750	47.75592541	0.00000000
3.18680763	17.20635067	0.00000000	3.12577524	47.75587364	0.00000000
3.21209975	17.06813273	0.00000000	3.15058298	47.75591945	0.00000000
3.23739188	16.80029377	0.00000000	3.17539072	47.75636126	0.00000000
3.26268400	16.74898036	0.00000000	3.20019846	47.75608404	0.00000000
3.28797612	16.61705377	0.00000000	3.22500620	47.75748140	0.00000000
3.31326825	16.47321649	0.00000000	3.24981394	47.75674572	0.00000000
3.33856037	16.33517579	0.00000000	3.27462168	47.75648294	0.00000000
3.36385250	16.15923885	0.00000000	3.29942942	47.75664230	0.00000000
3.38914462	16.00776687	0.00000000	3.32423716	47.75697099	0.00000000
3.41443674	15.74642669	0.00000000	3.34904490	47.75684672	0.00000000
3.43972887	15.56799081	0.00000000	3.37385264	47.75650076	0.00000000
3.46502099	15.28259576	0.00000000	3.39866038	47.75693040	0.00000000
3.49031312	15.21315236	0.00000000	3.42346812	47.75666938	0.00000000
3.51560524	15.07420198	0.00000000	3.44827586	47.75639811	0.00000000
3.54089737	14.91964406	0.00000000	3.47308360	47.75587867	0.00000000
3.56618949	14.70103749	0.00000000	3.49789134	47.75609740	0.00000000
3.59148161	14.42357253	0.00000000	3.52269908	47.75670685	0.00000000
3.61677374	14.30322421	0.00000000	3.54750682	47.75690757	0.00000000
3.64206586	14.19712985	0.00000000	3.57231456	47.75680232	0.00000000
3.66735799	14.06033371	0.00000000	3.59712230	47.75701608	0.00000000
3.69265011	13.94883696	0.00000000	3.62193004	47.75744887	0.00000000
3.71794223	13.82805353	0.00000000	3.64673778	47.75698902	0.00000000
3.74323436	13.71322305	0.00000000	3.67154552	47.75707716	0.00000000
3.76852648	13.54960063	0.00000000	3.69635326	47.75778785	0.00000000
3.79381861	13.43206209	0.00000000	3.72116100	47.75789551	0.00000000
3.81911073	13.18118230	0.00000000	3.74596874	47.75906517	0.00000000
3.84440285	13.13489408	0.00000000	3.77077648	47.76140515	0.00000000
3.86969498	12.85820482	0.00000000	3.79558422	47.76566863	0.00000000
3.89498710	12.71121806	0.00000000	3.82039196	47.76638968	0.00000000
3.92027923	12.64492273	0.00000000	3.84519970	47.76426374	0.00000000
3.94557135	12.48981452	0.00000000	3.87000744	47.76620578	0.00000000
3.97086347	12.29302368	0.00000000	3.89481518	47.76620610	0.00000000
3.99615560	12.13926574	0.00000000	3.91962292	47.76750510	0.00000000
4.02144772	11.91679564	0.00000000	3.94443066	47.76859777	0.00000000
4.04673985	11.77299384	0.00000000	3.96923840	47.77239370	0.00000000
4.07203197	11.50681938	0.00000000	3.99404614	47.77476496	0.00000000
4.09732409	11.45527231	0.00000000	4.01885388	47.77774984	0.00000000
4.12261622	11.33874951	0.00000000	4.04366162	47.77593938	0.00000000
4.14790834	11.18425983	0.00000000	4.06846936	47.77776310	0.00000000
4.17320047	10.91591935	0.00000000	4.09327710	47.77283827	0.00000000
4.19849259	10.83990276	0.00000000	4.11808484	47.78170389	0.00000000
4.22378471	10.66307623	0.00000000	4.14289258	47.77992957	0.00000000
4.24907684	10.27640852	0.00000000	4.16770032	47.78466655	0.00000000
4.27436896	10.18272590	0.00000000	4.19250806	47.78208151	0.00000000
4.29966109	9.80110558	0.00000000	4.21731580	47.79009572	0.00000000
4.32495321	9.53510085	0.00000000	4.24212354	47.77870686	0.00000000
4.35024533	9.35221653	0.00000000	4.26693128	47.77826185	0.00000000
4.37553746	9.17632453	0.00000000	4.29173902	47.79468296	0.00000000
4.40082958	9.03223960	0.00000000	4.31654676	47.81934714	0.00000000
4.42612171	8.88563713	0.00000000	4.34135450	47.83490899	0.00000000
4.45141383	8.67582290	0.00000000	4.36616224	47.85102361	0.00000000
4.47670595	8.57117402	0.00000000	4.39096998	47.85685260	0.00000000
4.50199808	8.48042827	0.00000000	4.41577772	47.86057173	0.00000000
4.52729020	8.29633726	0.00000000	4.44058546	47.85419131	0.00000000
4.55258233	8.13336084	0.00000000	4.46539320	47.85167024	0.00000000
4.57787445	7.84157439	0.00000000	4.49020094	47.85370468	0.00000000
4.60316657	7.74579859	0.00000000	4.51500868	47.85106658	0.00000000
4.62845870	7.56434304	0.00000000	4.53981642	47.84973678	0.00000000
4.65375082	7.36231991	0.00000000	4.56462416	47.85316104	0.00000000
4.67904295	7.10550389	0.00000000	4.58943190	47.85297967	0.00000000
4.70433507	6.84111296	0.00000000	4.61423964	47.85329912	0.00000000
4.72962719	6.62424367	0.00000000	4.63904738	47.84718754	0.00000000
4.75491932	6.15481510	0.00000000	4.66385512	47.85927914	0.00000000
4.78021144	6.03490039	0.00000000	4.68866286	47.85586871	0.00000000
4.80550357	5.79256506	0.00000000	4.71347060	47.85423689	0.00000000
4.83079569	5.56456351	0.00000000	4.73827834	47.85836012	0.00000000
4.85608781	5.34988659	0.00000000	4.76308608	47.85705122	0.00000000
4.88137994	5.02441578	0.00000000	4.78789382	47.85045241	0.00000000
4.90667206	4.83050489	0.00000000	4.81270156	47.84886394	0.00000000
4.93196419	4.64954855	0.00000000	4.83750930	47.85523359	0.00000000
4.95725631	4.40698743	0.00000000	4.86231704	47.84640435	0.00000000
4.98254843	4.27900877	0.00000000	4.88712478	47.84686111	0.00000000
5.00784056	4.00934617	0.00000000	4.91193252	47.84917716	0.00000000
5.03313268	3.89679009	0.00000000	4.93674026	47.84352224	0.00000000
5.05842481	3.84110838	0.00000000	4.96154800	47.84054382	0.00000000
5.08371693	3.55507066	0.00000000	4.98635574	47.83858843	0.00000000
5.10900906	3.36250142	0.00000000	5.01116348	47.83707311	0.00000000
5.13430118	3.20874068	0.00000000	5.03597122	47.83655937	0.00000000
5.15959330	3.14742061	0.00000000	5.06077896	47.83513983	0.00000000
5.18488543	3.11419759	0.00000000	5.08558670	47.83789501	0.00000000
5.21017755	2.95585677	0.00000000	5.11039444	47.83604752	0.00000000
5.23546968	2.85297141	0.00000000	5.13520218	47.83662409	0.00000000
5.26076180	2.80067562	0.00000000	5.16000992	47.83440223	0.00000000
5.28605392	2.77983838	0.00000000	5.18481766	47.83513858	0.00000000
5.31134605	2.77960485	0.00000000	5.20962540	47.83500296	0.00000000
5.33663817	2.78747621	0.00000000	5.23443314	47.83859791	0.00000000
5.36193030	2.79460144	0.00000000	5.25924088	47.84350007	0.00000000
5.38722242	2.80189859	0.00000000	5.28404862	47.84463186	0.00000000
5.41251454	2.79937541	0.00000000	5.30885636	47.84841908	0.00000000
5.43780667	2.91520492	0.00000000	5.33366410	47.84881482	0.00000000
5.46309879	2.93235669	0.00000000	5.35847184	47.84761331	0.00000000
5.48839092	2.93349416	0.00000000	5.38327958	47.85003514	0.00000000
5.51368304	2.93007370	0.00000000	5.40808732	47.84794757	0.00000000
5.53897516	2.93003322	0.00000000	5.43289506	47.84747562	0.00000000
5.56426729	2.93138879	0.00000000	5.45770280	47.84633627	0.00000000
5.58955941	2.93533970	0.00000000	5.48251054	47.84525012	0.00000000
5.61485154	3.00200529	0.00000000	5.50731828	47.84772388	0.00000000
5.64014366	3.01349500	0.00000000	5.53212602	47.84422481	0.00000000
5.66543578	3.02841541	0.00000000	5.55693376	47.84261623	0.00000000
5.69072791	3.03686127	0.00000000	5.58174150	47.84367259	0.00000000
5.71602003	3.03142979	0.00000000	5.60654924	47.84038349	0.00000000
5.74131216	3.05875605	0.00000000	5.63135698	47.84117371	0.00000000
5.76660428	3.11838031	0.00000000	5.65616472	47.83888172	0.00000000
5.79189640	3.15406544	0.00000000	5.68097246	47.83790886	0.00000000
5.81718853	3.14740617	0.00000000	5.70578020	47.83624519	0.00000000
5.84248065	3.13704535	0.00000000	5.73058794	47.83598135	0.00000000
5.86777278	3.15558037	0.00000000	5.75539568	47.83500245	0.00000000
5.89306490	3.15911012	0.00000000	5.78020342	47.83428113	0.00000000
5.91835702	3.23879363	0.00000000	5.80501116	47.83386561	0.00000000
5.94364915	3.23645904	0.00000000	5.82981890	47.83388009	0.00000000
5.96894127	3.23665238	0.00000000	5.85462664	47.83369493	0.00000000
5.99423340	3.24449533	0.00000000	5.87943438	47.83302390	0.00000000
6.01952552	3.23781512	0.00000000	5.90424212	47.83295537	0.00000000
6.04481764	3.22750106	0.00000000	5.92904986	47.83354260	0.00000000
6.07010977	3.24109846	0.00000000	5.95385760	47.83256614	0.00000000
6.09540189	3.23982688	0.00000000	5.97866534	47.83217557	0.00000000
6.12069402	3.24802326	0.00000000	6.00347308	47.83254972	0.00000000
6.14598614	3.28732690	0.00000000	6.02828082	47.83283882	0.00000000
6.17127826	3.31562384	0.00000000	6.05308856	47.83260914	0.00000000
6.19657039	3.31324316	0.00000000	6.07789630	47.83216446	0.00000000
6.22186251	3.32152748	0.00000000	6.10270404	47.83290860	0.00000000
6.24715464	3.32059321	0.00000000	6.12751178	47.83357292	0.00000000
6.27244676	3.32246472	0.00000000	6.15231952	47.83262901	0.00000000
6.29773888	3.33568454	0.00000000	6.17712726	47.83284403	0.00000000
6.32303101	3.33575963	0.00000000	6.20193500	47.83239856	0.00000000
6.34832313	3.32545701	0.00000000	6.22674274	47.83240436	0.00000000
6.37361526	3.31940221	0.00000000	6.25155048	47.83211040	0.00000000
6.39890738	3.31233725	0.00000000	6.27635822	47.83185095	0.00000000
6.42419950	3.30053376	0.00000000	6.30116596	47.83123487	0.00000000
6.44949163	3.30287872	0.00000000	6.32597370	47.83134739	0.00000000
6.47478375	3.30694846	0.00000000	6.35078144	47.83058845	0.00000000
6.50007588	3.32326915	0.00000000	6.37558918	47.83149093	0.00000000
6.52536800	3.33479803	0.00000000	6.40039692	47.83125317	0.00000000
6.55066012	3.36356040	0.00000000	6.42520466	47.83084975	0.00000000
6.57595225	3.40299421	0.00000000	6.45001240	47.83072777	0.00000000
6.60124437	3.40935944	0.00000000	6.47482014	47.83088036	0.00000000
6.62653650	3.41665898	0.00000000	6.49962788	47.83159251	0.00000000
6.65182862	3.43549088	0.00000000	6.52443562	47.82977693	0.00000000
6.67712075	3.46932476	0.00000000	6.54924336	47.83033913	0.00000000
6.70241287	3.48052579	0.00000000	6.57405110	47.83076302	0.00000000
6.72770499	3.48110259	0.00000000	6.59885884	47.83059996	0.00000000
6.75299712	3.48244123	0.00000000	6.62366658	47.82932657	0.00000000
6.77828924	3.48054290	0.00000000	6.64847432	47.82924111	0.00000000
6.80358137	3.48287372	0.00000000	6.67328206	47.82720280	0.00000000
6.82887349	3.47721628	0.00000000	6.69808980	47.82743414	0.00000000
6.85416561	3.50568442	0.00000000	6.72289754	47.82624615	0.00000000
6.87945774	3.53006492	0.00000000	6.74770528	47.82583629	0.00000000
6.90474986	3.53874605	0.00000000	6.77251302	47.82716106	0.00000000
6.93004199	3.53370301	0.00000000	6.79732076	47.82856170	0.00000000
6.95533411	3.56332649	0.00000000	6.82212850	47.82516621	0.00000000
6.98062623	3.59272402	0.00000000	6.84693624	47.82686285	0.00000000
			6.872	47.828	0
			6.897	47.827	0
			6.921	47.826	0
			6.946	47.826	0
			6.971	47.827	0
