Best track			ExtMarker		
t	x	y	t	x	x
0.00000000	82.29123094	0.00000000	0.00000000	156.10580510	82.29123094
0.01860569	82.29383380	0.00000000	0.01860569	156.10781080	82.29383380
0.03721138	82.28305613	0.00000000	0.03721138	156.10682770	82.28305613
0.05581707	82.26812236	0.00000000	0.05581707	156.10314230	82.26812236
0.07442276	86.56615888	0.00000000	0.07442276	156.10359340	86.56615888
0.09302845	86.54193097	0.00000000	0.09302845	156.10397160	86.54193097
0.11163414	86.53556678	0.00000000	0.11163414	156.10314610	86.53556678
0.13023983	86.56204122	0.00000000	0.13023983	156.10247260	86.56204122
0.14884552	86.57697842	0.00000000	0.14884552	156.10403890	86.57697842
0.16745121	86.59260884	0.00000000	0.16745121	156.10467470	86.59260884
0.18605690	86.60224931	0.00000000	0.18605690	156.10563780	86.60224931
0.20466259	86.60541548	0.00000000	0.20466259	156.10358450	86.60541548
0.22326828	86.60939625	0.00000000	0.22326828	156.10433830	86.60939625
0.24187397	86.61640870	0.00000000	0.24187397	156.10558210	86.61640870
0.26047965	86.62668420	0.00000000	0.26047965	156.10478570	86.62668420
0.27908534	86.62977991	0.00000000	0.27908534	156.10400910	86.62977991
0.29769103	86.63402290	0.00000000	0.29769103	156.10424740	86.63402290
0.31629672	86.64077795	0.00000000	0.31629672	156.10297850	86.64077795
0.33490241	86.63637311	0.00000000	0.33490241	156.10349490	86.63637311
0.35350810	86.63148662	0.00000000	0.35350810	156.10541440	86.63148662
0.37211379	86.63606967	0.00000000	0.37211379	156.10472130	86.63606967
0.39071948	86.63039311	0.00000000	0.39071948	156.10468740	86.63039311
0.40932517	86.62755158	0.00000000	0.40932517	156.10422690	86.62755158
0.42793086	86.62479865	0.00000000	0.42793086	156.10335180	86.62479865
0.44653655	86.62639518	0.00000000	0.44653655	156.10382800	86.62639518
0.46514224	86.62758219	0.00000000	0.46514224	156.10399420	86.62758219
0.48374793	86.62654841	0.00000000	0.48374793	156.10484560	86.62654841
0.50235362	86.62843680	0.00000000	0.50235362	156.10469060	86.62843680
0.52095931	86.62861910	0.00000000	0.52095931	156.10539160	86.62861910
0.53956500	86.62961260	0.00000000	0.53956500	156.10546470	86.62961260
0.55817069	86.63261548	0.00000000	0.55817069	156.10403110	86.63261548
0.57677638	86.63398187	0.00000000	0.57677638	156.10488820	86.63398187
0.59538207	86.63277520	0.00000000	0.59538207	156.10402590	86.63277520
0.61398776	86.63246070	0.00000000	0.61398776	156.10455420	86.63246070
0.63259345	86.63024531	0.00000000	0.63259345	156.10477800	86.63024531
0.65119914	86.63369532	0.00000000	0.65119914	156.10441670	86.63369532
0.66980483	86.63568025	0.00000000	0.66980483	156.10574170	86.63568025
0.68841052	86.63306623	0.00000000	0.68841052	156.10542880	86.63306623
0.70701621	86.62943570	0.00000000	0.70701621	156.10576680	86.62943570
0.72562190	86.63076376	0.00000000	0.72562190	156.10489340	86.63076376
0.74422758	86.62674295	0.00000000	0.74422758	156.10547010	86.62674295
0.76283327	86.62399403	0.00000000	0.76283327	156.10561100	86.62399403
0.78143896	86.61621141	0.00000000	0.78143896	156.10869100	86.61621141
0.80004465	86.60702833	0.00000000	0.80004465	156.10620390	86.60702833
0.81865034	86.59906994	0.00000000	0.81865034	156.10613240	86.59906994
0.83725603	86.59951673	0.00000000	0.83725603	156.10502650	86.59951673
0.85586172	86.59047094	0.00000000	0.85586172	156.10662810	86.59047094
0.87446741	86.57200651	0.00000000	0.87446741	156.10803720	86.57200651
0.89307310	86.54546203	0.00000000	0.89307310	156.10713750	86.54546203
0.91167879	86.19057122	0.00000000	0.91167879	156.10810310	86.19057122
0.93028448	86.16617899	0.00000000	0.93028448	156.10913110	86.16617899
0.94889017	86.12902455	0.00000000	0.94889017	156.11157430	86.12902455
0.96749586	86.10531256	0.00000000	0.96749586	156.11178390	86.10531256
0.98610155	86.05245871	0.00000000	0.98610155	156.11094890	86.05245871
1.00470724	86.04664190	0.00000000	1.00470724	156.11043310	86.04664190
1.02331293	85.64903296	0.00000000	1.02331293	156.10992080	85.64903296
1.04191862	85.59742650	0.00000000	1.04191862	156.10836670	85.59742650
1.06052431	85.47122251	0.00000000	1.06052431	156.10878380	85.47122251
1.07913000	85.29360444	0.00000000	1.07913000	156.10644520	85.29360444
1.09773569	85.16599149	0.00000000	1.09773569	156.10637260	85.16599149
1.11634138	85.00767263	0.00000000	1.11634138	156.10646470	85.00767263
1.13494707	84.75863474	0.00000000	1.13494707	156.10610050	84.75863474
1.15355276	84.59694511	0.00000000	1.15355276	156.10576590	84.59694511
1.17215845	84.52638274	0.00000000	1.17215845	156.10686490	84.52638274
1.19076414	84.36932653	0.00000000	1.19076414	156.10657900	84.36932653
1.20936983	84.08625694	0.00000000	1.20936983	156.10473570	84.08625694
1.22797552	83.78751898	0.00000000	1.22797552	156.10357200	83.78751898
1.24658121	83.54390879	0.00000000	1.24658121	156.10535050	83.54390879
1.26518689	83.21351319	0.00000000	1.26518689	156.10543450	83.21351319
1.28379258	83.08409684	0.00000000	1.28379258	156.10638110	83.08409684
1.30239827	82.86923086	0.00000000	1.30239827	156.10766580	82.86923086
1.32100396	82.66036733	0.00000000	1.32100396	156.10900730	82.66036733
1.33960965	82.45655754	0.00000000	1.33960965	156.10944960	82.45655754
1.35821534	82.33951229	0.00000000	1.35821534	156.10728230	82.33951229
1.37682103	82.14689206	0.00000000	1.37682103	156.10861720	82.14689206
1.39542672	81.90824691	0.00000000	1.39542672	156.10859150	81.90824691
1.41403241	81.63046677	0.00000000	1.41403241	156.10947060	81.63046677
1.43263810	81.52568318	0.00000000	1.43263810	156.11018160	81.52568318
1.45124379	81.25611789	0.00000000	1.45124379	156.10905450	81.25611789
1.46984948	81.03292066	0.00000000	1.46984948	156.11087490	81.03292066
1.48845517	80.78252700	0.00000000	1.48845517	156.11128100	80.78252700
1.50706086	80.51624028	0.00000000	1.50706086	156.10966080	80.51624028
1.52566655	80.35553425	0.00000000	1.52566655	156.10924090	80.35553425
1.54427224	80.21909981	0.00000000	1.54427224	156.10871960	80.21909981
1.56287793	80.00945313	0.00000000	1.56287793	156.10956090	80.00945313
1.58148362	79.81931525	0.00000000	1.58148362	156.10948460	79.81931525
1.60008931	79.77882868	0.00000000	1.60008931	156.11117300	79.77882868
1.61869500	79.42321458	0.00000000	1.61869500	156.10893670	79.42321458
1.63730069	79.10417149	0.00000000	1.63730069	156.10990190	79.10417149
1.65590638	78.79542218	0.00000000	1.65590638	156.10786190	78.79542218
1.67451207	78.54362805	0.00000000	1.67451207	156.10977010	78.54362805
1.69311776	78.24855007	0.00000000	1.69311776	156.11308420	78.24855007
1.71172345	78.08510375	0.00000000	1.71172345	156.11264260	78.08510375
1.73032914	77.75346232	0.00000000	1.73032914	156.11176530	77.75346232
1.74893482	77.38990187	0.00000000	1.74893482	156.11015410	77.38990187
1.76754051	77.07522587	0.00000000	1.76754051	156.11016080	77.07522587
1.78614620	76.97495967	0.00000000	1.78614620	156.11075600	76.97495967
1.80475189	76.67206207	0.00000000	1.80475189	156.11105790	76.67206207
1.82335758	76.39061504	0.00000000	1.82335758	156.11438630	76.39061504
1.84196327	76.14279146	0.00000000	1.84196327	156.11151310	76.14279146
1.86056896	76.05372670	0.00000000	1.86056896	156.11126030	76.05372670
