Best track			ExtMarker		
1.87917465	75.71552717	0.00000000	1.87917465	156.11160920	75.71552717
1.89778034	75.47052717	0.00000000	1.89778034	156.11059720	75.47052717
1.91638603	75.05609617	0.00000000	1.91638603	156.11097320	75.05609617
1.93499172	74.74152175	0.00000000	1.93499172	156.10960600	74.74152175
1.95359741	74.56752845	0.00000000	1.95359741	156.11151980	74.56752845
1.97220310	74.14122573	0.00000000	1.97220310	156.10883010	74.14122573
1.99080879	73.72666206	0.00000000	1.99080879	156.11072240	73.72666206
2.00941448	72.70133864	0.00000000	2.00941448	156.11258030	72.70133864
2.02802017	72.60420955	0.00000000	2.02802017	156.11114390	72.60420955
2.04662586	72.28028494	0.00000000	2.04662586	156.10969330	72.28028494
2.06523155	72.07388340	0.00000000	2.06523155	156.10962140	72.07388340
2.08383724	71.77219961	0.00000000	2.08383724	156.10570990	71.77219961
2.10244293	71.56775264	0.00000000	2.10244293	156.10550900	71.56775264
2.12104862	71.44886067	0.00000000	2.12104862	156.10151940	71.44886067
2.13965431	71.20000209	0.00000000	2.13965431	156.10185750	71.20000209
2.15826000	70.91824875	0.00000000	2.15826000	156.10360490	70.91824875
2.17686569	70.77617896	0.00000000	2.17686569	156.10758530	70.77617896
2.19547138	70.53054686	0.00000000	2.19547138	156.10800750	70.53054686
2.21407707	66.00880195	0.00000000	2.21407707	156.10778740	66.00880195
2.23268275	65.95138321	0.00000000	2.23268275	156.10817140	65.95138321
2.25128844	65.57097758	0.00000000	2.25128844	156.10953050	65.57097758
2.26989413	65.03734260	0.00000000	2.26989413	156.11109110	65.03734260
2.28849982	64.83985533	0.00000000	2.28849982	156.11126860	64.83985533
2.30710551	64.46201579	0.00000000	2.30710551	156.11710310	64.46201579
2.32571120	63.98591184	0.00000000	2.32571120	156.11448540	63.98591184
2.34431689	63.59173590	0.00000000	2.34431689	156.11692530	63.59173590
2.36292258	63.19531980	0.00000000	2.36292258	156.11425660	63.19531980
2.38152827	62.75475710	0.00000000	2.38152827	156.11724000	62.75475710
2.40013396	62.61219736	0.00000000	2.40013396	156.11234380	62.61219736
2.41873965	62.26084065	0.00000000	2.41873965	156.11582290	62.26084065
2.43734534	61.94179517	0.00000000	2.43734534	156.11409040	61.94179517
2.45595103	61.61312624	0.00000000	2.45595103	156.11383800	61.61312624
2.47455672	61.47975310	0.00000000	2.47455672	156.11285240	61.47975310
2.49316241	61.20327852	0.00000000	2.49316241	156.11134580	61.20327852
2.51176810	60.91073866	0.00000000	2.51176810	156.11069430	60.91073866
2.53037379	60.19164852	0.00000000	2.53037379	156.11305360	60.19164852
2.54897948	60.06486764	0.00000000	2.54897948	156.11217200	60.06486764
2.56758517	59.75658727	0.00000000	2.56758517	156.10868810	59.75658727
2.58619086	59.51801111	0.00000000	2.58619086	156.11099020	59.51801111
2.60479655	59.21148132	0.00000000	2.60479655	156.10871300	59.21148132
2.62340224	58.85819467	0.00000000	2.62340224	156.10681940	58.85819467
2.64200793	58.68777658	0.00000000	2.64200793	156.10679290	58.68777658
2.66061362	58.27766098	0.00000000	2.66061362	156.10659850	58.27766098
2.67921931	57.95099274	0.00000000	2.67921931	156.10878620	57.95099274
2.69782500	57.54714432	0.00000000	2.69782500	156.10740920	57.54714432
2.71643069	57.34625068	0.00000000	2.71643069	156.10811250	57.34625068
2.73503637	56.94328914	0.00000000	2.73503637	156.10966840	56.94328914
2.75364206	56.49002926	0.00000000	2.75364206	156.11210730	56.49002926
2.77224775	56.07734935	0.00000000	2.77224775	156.11150840	56.07734935
2.79085344	55.68615453	0.00000000	2.79085344	156.10865720	55.68615453
2.80945913	55.48173237	0.00000000	2.80945913	156.11224850	55.48173237
2.82806482	55.07413485	0.00000000	2.82806482	156.11133980	55.07413485
2.84667051	54.78398937	0.00000000	2.84667051	156.11151400	54.78398937
2.86527620	54.50973302	0.00000000	2.86527620	156.11401080	54.50973302
2.88388189	54.30946264	0.00000000	2.88388189	156.11540060	54.30946264
2.90248758	53.98557096	0.00000000	2.90248758	156.11584080	53.98557096
2.92109327	53.82386966	0.00000000	2.92109327	156.11636610	53.82386966
2.93969896	53.15100393	0.00000000	2.93969896	156.11948360	53.15100393
2.95830465	52.94902002	0.00000000	2.95830465	156.12019940	52.94902002
2.97691034	52.57462682	0.00000000	2.97691034	156.12017290	52.57462682
2.99551603	52.24263267	0.00000000	2.99551603	156.11938650	52.24263267
3.01412172	51.86068936	0.00000000	3.01412172	156.12007290	51.86068936
3.03272741	51.55809987	0.00000000	3.03272741	156.11760070	51.55809987
3.05133310	51.25722183	0.00000000	3.05133310	156.12212600	51.25722183
3.06993879	51.08220046	0.00000000	3.06993879	156.11914830	51.08220046
3.08854448	50.66401283	0.00000000	3.08854448	156.11638120	50.66401283
3.10715017	50.18766190	0.00000000	3.10715017	156.11484290	50.18766190
3.12575586	49.71582499	0.00000000	3.12575586	156.11388700	49.71582499
3.14436155	49.24576408	0.00000000	3.14436155	156.11305300	49.24576408
3.16296724	49.11188547	0.00000000	3.16296724	156.11238850	49.11188547
3.18157293	48.68483115	0.00000000	3.18157293	156.11363250	48.68483115
3.20017862	48.24223307	0.00000000	3.20017862	156.11608390	48.24223307
3.21878430	47.89966557	0.00000000	3.21878430	156.12011960	47.89966557
3.23738999	47.70389275	0.00000000	3.23738999	156.11640570	47.70389275
3.25599568	47.24419284	0.00000000	3.25599568	156.11953080	47.24419284
3.27460137	46.90614488	0.00000000	3.27460137	156.12259630	46.90614488
3.29320706	46.47427373	0.00000000	3.29320706	156.12359110	46.47427373
3.31181275	46.30331944	0.00000000	3.31181275	156.12240440	46.30331944
3.33041844	45.93806589	0.00000000	3.33041844	156.12112990	45.93806589
3.34902413	45.31540553	0.00000000	3.34902413	156.13070270	45.31540553
3.36762982	44.95381430	0.00000000	3.36762982	156.12810220	44.95381430
3.38623551	44.82985052	0.00000000	3.38623551	156.12200660	44.82985052
3.40484120	44.44828652	0.00000000	3.40484120	156.11796310	44.44828652
3.42344689	44.08164726	0.00000000	3.42344689	156.11854030	44.08164726
3.44205258	43.79487066	0.00000000	3.44205258	156.11935530	43.79487066
3.46065827	43.41285587	0.00000000	3.46065827	156.12096170	43.41285587
3.47926396	43.23249189	0.00000000	3.47926396	156.11600310	43.23249189
3.49786965	42.79417198	0.00000000	3.49786965	156.11659390	42.79417198
3.51647534	42.30492887	0.00000000	3.51647534	156.11576150	42.30492887
3.53508103	41.72879113	0.00000000	3.53508103	156.12228640	41.72879113
3.55368672	41.38680864	0.00000000	3.55368672	156.11661640	41.38680864
3.57229241	40.80008093	0.00000000	3.57229241	156.11616550	40.80008093
3.59089810	40.06861022	0.00000000	3.59089810	156.12388830	40.06861022
3.60950379	38.69993678	0.00000000	3.60950379	156.13243170	38.69993678
3.62810948	38.25439736	0.00000000	3.62810948	156.12957170	38.25439736
3.64671517	37.52388310	0.00000000	3.64671517	156.13327780	37.52388310
3.66532086	36.79415931	0.00000000	3.66532086	156.13436360	36.79415931
3.68392655	36.16953912	0.00000000	3.68392655	156.14522030	36.16953912
3.70253223	35.54964154	0.00000000	3.70253223	156.14597610	35.54964154
3.72113792	34.63969730	0.00000000	3.72113792	156.14595190	34.63969730
3.73974361	34.32437863	0.00000000	3.73974361	156.13691550	34.32437863
3.75834930	33.75569000	0.00000000	3.75834930	156.13893510	33.75569000
3.77695499	33.16239749	0.00000000	3.77695499	156.13304370	33.16239749
3.79556068	32.52974886	0.00000000	3.79556068	156.13429690	32.52974886
3.81416637	32.21632559	0.00000000	3.81416637	156.12019160	32.21632559
3.83277206	31.56699607	0.00000000	3.83277206	156.12080620	31.56699607
3.85137775	30.90670714	0.00000000	3.85137775	156.11882400	30.90670714
3.86998344	30.25900665	0.00000000	3.86998344	156.11058670	30.25900665
3.88858913	29.97226345	0.00000000	3.88858913	156.10950020	29.97226345
3.90719482	29.45246395	0.00000000	3.90719482	156.10506180	29.45246395
3.92580051	28.86244841	0.00000000	3.92580051	156.11046050	28.86244841
3.94440620	28.35599756	0.00000000	3.94440620	156.11122440	28.35599756
3.96301189	27.73835632	0.00000000	3.96301189	156.10447040	27.73835632
3.98161758	26.99812173	0.00000000	3.98161758	156.09833770	26.99812173
4.00022327	26.55573436	0.00000000	4.00022327	156.09385370	26.55573436
4.01882896	26.13472547	0.00000000	4.01882896	156.09548190	26.13472547
4.03743465	25.66516324	0.00000000	4.03743465	156.10464170	25.66516324
4.05604034	25.48206784	0.00000000	4.05604034	156.09182180	25.48206784
4.07464603	25.09577982	0.00000000	4.07464603	156.08760140	25.09577982
4.09325172	24.70217191	0.00000000	4.09325172	156.08529150	24.70217191
4.11185741	24.38088154	0.00000000	4.11185741	156.08910130	24.38088154
4.13046310	24.21109398	0.00000000	4.13046310	156.09154820	24.21109398
4.14906879	23.94012847	0.00000000	4.14906879	156.08920720	23.94012847
4.16767448	23.61198315	0.00000000	4.16767448	156.09414860	23.61198315
4.18628016	23.33189345	0.00000000	4.18628016	156.08967000	23.33189345
4.20488585	23.03992672	0.00000000	4.20488585	156.09539290	23.03992672
4.22349154	22.69860835	0.00000000	4.22349154	156.09845320	22.69860835
4.24209723	22.54702590	0.00000000	4.24209723	156.09598650	22.54702590
4.26070292	22.19396338	0.00000000	4.26070292	156.10302510	22.19396338
4.27930861	21.93428864	0.00000000	4.27930861	156.10136860	21.93428864
4.29791430	21.54806415	0.00000000	4.29791430	156.10088740	21.54806415
4.31651999	21.35376435	0.00000000	4.31651999	156.10085950	21.35376435
4.33512568	21.09552659	0.00000000	4.33512568	156.10155080	21.09552659
4.35373137	20.85927146	0.00000000	4.35373137	156.10132310	20.85927146
4.37233706	20.56588167	0.00000000	4.37233706	156.10518930	20.56588167
4.39094275	20.28032595	0.00000000	4.39094275	156.10322020	20.28032595
4.40954844	20.14418102	0.00000000	4.40954844	156.10448200	20.14418102
4.42815413	19.78443256	0.00000000	4.42815413	156.10230350	19.78443256
4.44675982	19.39623821	0.00000000	4.44675982	156.09659060	19.39623821
4.46536551	19.07520049	0.00000000	4.46536551	156.10419010	19.07520049
4.48397120	18.77040349	0.00000000	4.48397120	156.10454830	18.77040349
4.50257689	18.22903914	0.00000000	4.50257689	156.09820580	18.22903914
4.52118258	17.85440518	0.00000000	4.52118258	156.11081890	17.85440518
4.53978827	17.44297956	0.00000000	4.53978827	156.11019370	17.44297956
4.55839396	17.05764303	0.00000000	4.55839396	156.10249800	17.05764303
4.57699965	16.90962856	0.00000000	4.57699965	156.11020940	16.90962856
4.59560534	16.49622155	0.00000000	4.59560534	156.11303770	16.49622155
4.61421103	16.24337671	0.00000000	4.61421103	156.10124600	16.24337671
4.63281672	16.11174409	0.00000000	4.63281672	156.11336230	16.11174409
4.65142241	15.79233075	0.00000000	4.65142241	156.10306480	15.79233075
4.67002810	15.55454598	0.00000000	4.67002810	156.10933800	15.55454598
4.68863378	15.30435190	0.00000000	4.68863378	156.10134590	15.30435190
4.70723947	15.09534399	0.00000000	4.70723947	156.09803880	15.09534399
4.72584516	15.01492136	0.00000000	4.72584516	156.10582670	15.01492136
4.74445085	14.90319799	0.00000000	4.74445085	156.09974890	14.90319799
4.76305654	14.75159414	0.00000000	4.76305654	156.09872490	14.75159414
4.78166223	14.67129418	0.00000000	4.78166223	156.10331620	14.67129418
4.80026792	14.58875247	0.00000000	4.80026792	156.09510980	14.58875247
4.81887361	14.55174246	0.00000000	4.81887361	156.08984620	14.55174246
4.83747930	14.53910889	0.00000000	4.83747930	156.09923100	14.53910889
4.85608499	14.50901962	0.00000000	4.85608499	156.08451450	14.50901962
4.87469068	14.48638641	0.00000000	4.87469068	156.09306110	14.48638641
4.89329637	14.44976298	0.00000000	4.89329637	156.08774290	14.44976298
4.91190206	14.47236044	0.00000000	4.91190206	156.09283310	14.47236044
4.93050775	14.42032521	0.00000000	4.93050775	156.09765300	14.42032521
4.94911344	14.30896283	0.00000000	4.94911344	156.09008830	14.30896283
4.96771913	14.25798075	0.00000000	4.96771913	156.09467570	14.25798075
4.98632482	14.18304913	0.00000000	4.98632482	156.08925340	14.18304913
5.00493051	14.08444637	0.00000000	5.00493051	156.09184250	14.08444637
5.02353620	14.06926431	0.00000000	5.02353620	156.09834130	14.06926431
5.04214189	14.03452411	0.00000000	5.04214189	156.09591650	14.03452411
5.06074758	14.03593437	0.00000000	5.06074758	156.09842480	14.03593437
5.07935327	14.03843462	0.00000000	5.07935327	156.09048100	14.03843462
5.09795896	14.05143747	0.00000000	5.09795896	156.08862450	14.05143747
5.11656465	14.07344309	0.00000000	5.11656465	156.08747870	14.07344309
5.13517034	14.10776808	0.00000000	5.13517034	156.09038330	14.10776808
5.15377603	14.17384946	0.00000000	5.15377603	156.08842180	14.17384946
5.17238171	14.18988679	0.00000000	5.17238171	156.09260910	14.18988679
5.19098740	14.27934067	0.00000000	5.19098740	156.08669250	14.27934067
5.20959309	14.36435420	0.00000000	5.20959309	156.07911040	14.36435420
5.22819878	14.39888427	0.00000000	5.22819878	156.07971250	14.39888427
5.24680447	14.52280796	0.00000000	5.24680447	156.07497040	14.52280796
5.26541016	14.56418780	0.00000000	5.26541016	156.06685500	14.56418780
5.28401585	14.60124103	0.00000000	5.28401585	156.06867410	14.60124103
5.30262154	14.62087420	0.00000000	5.30262154	156.07621630	14.62087420
5.32122723	14.61748142	0.00000000	5.32122723	156.08175900	14.61748142
5.33983292	14.62355695	0.00000000	5.33983292	156.08121700	14.62355695
5.35843861	14.62738913	0.00000000	5.35843861	156.08240950	14.62738913
5.37704430	14.65481773	0.00000000	5.37704430	156.08520860	14.65481773
5.39564999	14.68550862	0.00000000	5.39564999	156.08634140	14.68550862
5.41425568	14.72785336	0.00000000	5.41425568	156.08073650	14.72785336
5.43286137	14.81255585	0.00000000	5.43286137	156.08486800	14.81255585
5.45146706	14.89510901	0.00000000	5.45146706	156.07769310	14.89510901
5.47007275	15.00901495	0.00000000	5.47007275	156.07417400	15.00901495
5.48867844	15.14508581	0.00000000	5.48867844	156.08229030	15.14508581
5.50728413	15.27396048	0.00000000	5.50728413	156.07458050	15.27396048
5.52588982	15.34303082	0.00000000	5.52588982	156.08361730	15.34303082
5.54449551	15.47011759	0.00000000	5.54449551	156.07394220	15.47011759
5.56310120	15.65620714	0.00000000	5.56310120	156.06406970	15.65620714
5.58170689	15.77631363	0.00000000	5.58170689	156.07283600	15.77631363
5.60031258	15.88644400	0.00000000	5.60031258	156.06880560	15.88644400
5.61891827	16.04813897	0.00000000	5.61891827	156.05569580	16.04813897
5.63752396	16.13795078	0.00000000	5.63752396	156.06827430	16.13795078
5.65612964	16.31611652	0.00000000	5.65612964	156.06772910	16.31611652
5.67473533	16.47780750	0.00000000	5.67473533	156.06838450	16.47780750
5.69334102	16.64508387	0.00000000	5.69334102	156.05578210	16.64508387
5.71194671	16.72039321	0.00000000	5.71194671	156.07187540	16.72039321
5.73055240	16.86657465	0.00000000	5.73055240	156.07505960	16.86657465
5.74915809	16.92725766	0.00000000	5.74915809	156.07969060	16.92725766
5.76776378	16.97664188	0.00000000	5.76776378	156.07642270	16.97664188
5.78636947	17.10968920	0.00000000	5.78636947	156.08241540	17.10968920
5.80497516	17.13189825	0.00000000	5.80497516	156.08474050	17.13189825
5.82358085	17.18431408	0.00000000	5.82358085	156.08587120	17.18431408
5.84218654	17.24868432	0.00000000	5.84218654	156.08726080	17.24868432
5.86079223	17.36033134	0.00000000	5.86079223	156.08056800	17.36033134
5.87939792	17.41211141	0.00000000	5.87939792	156.07542500	17.41211141
5.89800361	17.40949510	0.00000000	5.89800361	156.08425380	17.40949510
5.91660930	17.48515673	0.00000000	5.91660930	156.09018210	17.48515673
5.93521499	17.57432433	0.00000000	5.93521499	156.09533750	17.57432433
5.95382068	17.67810423	0.00000000	5.95382068	156.08631010	17.67810423
5.97242637	17.74337386	0.00000000	5.97242637	156.08893980	17.74337386
5.99103206	17.80020395	0.00000000	5.99103206	156.09718040	17.80020395
6.00963775	17.85627988	0.00000000	6.00963775	156.09519680	17.85627988
6.02824344	17.90793850	0.00000000	6.02824344	156.08950570	17.90793850
6.04684913	17.98915509	0.00000000	6.04684913	156.09047620	17.98915509
6.06545482	18.09162347	0.00000000	6.06545482	156.09478760	18.09162347
6.08406051	18.14933602	0.00000000	6.08406051	156.08878900	18.14933602
6.10266620	18.15642070	0.00000000	6.10266620	156.09554330	18.15642070
6.12127189	18.24146208	0.00000000	6.12127189	156.08983410	18.24146208
6.13987758	18.37099693	0.00000000	6.13987758	156.09077520	18.37099693
6.15848326	18.46870063	0.00000000	6.15848326	156.09301070	18.46870063
6.17708895	18.55470226	0.00000000	6.17708895	156.09228540	18.55470226
6.19569464	18.60999665	0.00000000	6.19569464	156.09559520	18.60999665
6.21430033	18.66089580	0.00000000	6.21430033	156.09456840	18.66089580
6.23290602	18.80518861	0.00000000	6.23290602	156.09629030	18.80518861
6.25151171	19.00842215	0.00000000	6.25151171	156.09881710	19.00842215
6.27011740	19.17571130	0.00000000	6.27011740	156.09631560	19.17571130
6.28872309	19.26021897	0.00000000	6.28872309	156.09720380	19.26021897
6.30732878	19.59973003	0.00000000	6.30732878	156.10126380	19.59973003
6.32593447	20.04012539	0.00000000	6.32593447	156.09930490	20.04012539
6.34454016	20.57692178	0.00000000	6.34454016	156.10303800	20.57692178
6.36314585	20.77980678	0.00000000	6.36314585	156.10543820	20.77980678
6.38175154	21.39747136	0.00000000	6.38175154	156.10103780	21.39747136
6.40035723	21.91523470	0.00000000	6.40035723	156.10196810	21.91523470
6.41896292	22.54809790	0.00000000	6.41896292	156.10147050	22.54809790
6.43756861	23.13706476	0.00000000	6.43756861	156.10106440	23.13706476
6.45617430	23.43083969	0.00000000	6.45617430	156.10634890	23.43083969
6.47477999	24.19145083	0.00000000	6.47477999	156.10217260	24.19145083
6.49338568	24.95223338	0.00000000	6.49338568	156.10562700	24.95223338
6.51199137	25.72817110	0.00000000	6.51199137	156.10251300	25.72817110
6.53059706	26.73230879	0.00000000	6.53059706	156.10143880	26.73230879
6.54920275	27.19802643	0.00000000	6.54920275	156.10015880	27.19802643
6.56780844	28.12024907	0.00000000	6.56780844	156.09480320	28.12024907
6.58641413	29.13365739	0.00000000	6.58641413	156.10267770	29.13365739
6.60501982	30.18827381	0.00000000	6.60501982	156.09968590	30.18827381
6.62362551	31.32031509	0.00000000	6.62362551	156.08958400	31.32031509
6.64223119	31.85707114	0.00000000	6.64223119	156.08730650	31.85707114
6.66083688	32.90411372	0.00000000	6.66083688	156.06810470	32.90411372
6.67944257	33.55372710	0.00000000	6.67944257	156.06707020	33.55372710
6.69804826	34.21276360	0.00000000	6.69804826	156.07522430	34.21276360
6.71665395	34.90212212	0.00000000	6.71665395	156.08039800	34.90212212
6.73525964	35.19784543	0.00000000	6.73525964	156.08395190	35.19784543
6.75386533	35.77622034	0.00000000	6.75386533	156.08169850	35.77622034
6.77247102	36.31052580	0.00000000	6.77247102	156.07158640	36.31052580
6.79107671	36.76002351	0.00000000	6.79107671	156.07491740	36.76002351
6.80968240	37.24982853	0.00000000	6.80968240	156.08426670	37.24982853
6.82828809	37.42525275	0.00000000	6.82828809	156.08795100	37.42525275
6.84689378	37.83538689	0.00000000	6.84689378	156.09938560	37.83538689
6.86549947	38.26736133	0.00000000	6.86549947	156.10203190	38.26736133
6.88410516	38.67171282	0.00000000	6.88410516	156.09603610	38.67171282
6.90271085	38.77736478	0.00000000	6.90271085	156.09733120	38.77736478
6.92131654	39.14271456	0.00000000	6.92131654	156.10216700	39.14271456
6.93992223	39.83186540	0.00000000	6.93992223	156.10299200	39.83186540
6.95852792	40.23006515	0.00000000	6.95852792	156.09882560	40.23006515
6.97713361	40.40758262	0.00000000	6.97713361	156.10004460	40.40758262
