mass_B			ExtMarker		
t	x	y	t	x	y
0.00000000	25.99262856	0.00000000	0.00000000	48.35701105	0.00000000
0.01862822	25.99270149	0.00000000	0.01862822	48.35581967	0.00000000
0.03725644	25.99156093	0.00000000	0.03725644	48.35545971	0.00000000
0.05588465	25.99248453	0.00000000	0.05588465	48.35595519	0.00000000
0.07451287	25.99238270	0.00000000	0.07451287	48.35572530	0.00000000
0.09314109	25.99252506	0.00000000	0.09314109	48.35595571	0.00000000
0.11176931	25.99248085	0.00000000	0.11176931	48.35606430	0.00000000
0.13039753	25.99279572	0.00000000	0.13039753	48.35544602	0.00000000
0.14902574	25.99266288	0.00000000	0.14902574	48.35616350	0.00000000
0.16765396	25.99265038	0.00000000	0.16765396	48.35558331	0.00000000
0.18628218	25.99274923	0.00000000	0.18628218	48.35603305	0.00000000
0.20491040	25.99224575	0.00000000	0.20491040	48.35555135	0.00000000
0.22353862	25.99281757	0.00000000	0.22353862	48.35604894	0.00000000
0.24216683	25.99253303	0.00000000	0.24216683	48.35595844	0.00000000
0.26079505	25.99260183	0.00000000	0.26079505	48.35604222	0.00000000
0.27942327	25.99229294	0.00000000	0.27942327	48.35616547	0.00000000
0.29805149	25.99221694	0.00000000	0.29805149	48.35601572	0.00000000
0.31667971	25.99264052	0.00000000	0.31667971	48.35626346	0.00000000
0.33530792	25.99253274	0.00000000	0.33530792	48.35621194	0.00000000
0.35393614	25.99245753	0.00000000	0.35393614	48.35604366	0.00000000
0.37256436	25.99186090	0.00000000	0.37256436	48.35586587	0.00000000
0.39119258	25.99208497	0.00000000	0.39119258	48.35587766	0.00000000
0.40982080	25.99289822	0.00000000	0.40982080	48.35603498	0.00000000
0.42844901	25.99189205	0.00000000	0.42844901	48.35602329	0.00000000
0.44707723	25.99227979	0.00000000	0.44707723	48.35570202	0.00000000
0.46570545	25.99180286	0.00000000	0.46570545	48.35614313	0.00000000
0.48433367	25.99319561	0.00000000	0.48433367	48.35641935	0.00000000
0.50296189	25.99257864	0.00000000	0.50296189	48.35632010	0.00000000
0.52159010	25.99277315	0.00000000	0.52159010	48.35607864	0.00000000
0.54021832	25.99220508	0.00000000	0.54021832	48.35566514	0.00000000
0.55884654	25.99249618	0.00000000	0.55884654	48.35634847	0.00000000
0.57747476	25.99216385	0.00000000	0.57747476	48.35592780	0.00000000
0.59610298	25.99125630	0.00000000	0.59610298	48.35611742	0.00000000
0.61473119	25.98954302	0.00000000	0.61473119	48.35597039	0.00000000
0.63335941	25.99026076	0.00000000	0.63335941	48.35596328	0.00000000
0.65198763	25.98762012	0.00000000	0.65198763	48.35610868	0.00000000
0.67061585	25.98932424	0.00000000	0.67061585	48.35595259	0.00000000
0.68924407	25.98756046	0.00000000	0.68924407	48.35618357	0.00000000
0.70787228	25.98527769	0.00000000	0.70787228	48.35585877	0.00000000
0.72650050	25.98568979	0.00000000	0.72650050	48.35594316	0.00000000
0.74512872	25.98070307	0.00000000	0.74512872	48.35581875	0.00000000
0.76375694	25.97548449	0.00000000	0.76375694	48.35567303	0.00000000
0.78238516	25.97589912	0.00000000	0.78238516	48.35588311	0.00000000
0.80101338	25.84831551	0.00000000	0.80101338	48.35611257	0.00000000
0.81964159	25.84774354	0.00000000	0.81964159	48.35618000	0.00000000
0.83826981	25.83946790	0.00000000	0.83826981	48.35629575	0.00000000
0.85689803	25.79968104	0.00000000	0.85689803	48.35583305	0.00000000
0.87552625	25.68303249	0.00000000	0.87552625	48.35484807	0.00000000
0.89415447	25.53190666	0.00000000	0.89415447	48.35489892	0.00000000
0.91278268	25.42486481	0.00000000	0.91278268	48.35408847	0.00000000
0.93141090	25.24703170	0.00000000	0.93141090	48.35346153	0.00000000
0.95003912	25.09827978	0.00000000	0.95003912	48.35292914	0.00000000
0.96866734	24.97605926	0.00000000	0.96866734	48.35357230	0.00000000
0.98729556	24.82257862	0.00000000	0.98729556	48.35405468	0.00000000
1.00592377	24.77446366	0.00000000	1.00592377	48.35397994	0.00000000
1.02455199	24.62405220	0.00000000	1.02455199	48.35313413	0.00000000
1.04318021	24.46356391	0.00000000	1.04318021	48.35279668	0.00000000
1.06180843	24.31914562	0.00000000	1.06180843	48.35160776	0.00000000
1.08043665	24.16500269	0.00000000	1.08043665	48.35385380	0.00000000
1.09906486	24.07170584	0.00000000	1.09906486	48.35314483	0.00000000
1.11769308	23.88953466	0.00000000	1.11769308	48.35281482	0.00000000
1.13632130	23.78819115	0.00000000	1.13632130	48.35284035	0.00000000
1.15494952	23.60929026	0.00000000	1.15494952	48.35286440	0.00000000
1.17357774	23.47946032	0.00000000	1.17357774	48.35279117	0.00000000
1.19220595	23.30064300	0.00000000	1.19220595	48.35360412	0.00000000
1.21083417	23.16818933	0.00000000	1.21083417	48.35461608	0.00000000
1.22946239	23.00129045	0.00000000	1.22946239	48.35376803	0.00000000
1.24809061	22.92125754	0.00000000	1.24809061	48.35386801	0.00000000
1.26671883	22.73230125	0.00000000	1.26671883	48.35365580	0.00000000
1.28534704	22.58797626	0.00000000	1.28534704	48.35416635	0.00000000
1.30397526	22.41434996	0.00000000	1.30397526	48.35479460	0.00000000
1.32260348	22.26722750	0.00000000	1.32260348	48.35483167	0.00000000
1.34123170	22.19784567	0.00000000	1.34123170	48.35561594	0.00000000
1.35985992	22.04080295	0.00000000	1.35985992	48.35588032	0.00000000
1.37848813	21.89759632	0.00000000	1.37848813	48.35529923	0.00000000
1.39711635	21.73377225	0.00000000	1.39711635	48.35536104	0.00000000
1.41574457	21.60627852	0.00000000	1.41574457	48.35539803	0.00000000
1.43437279	21.55504239	0.00000000	1.43437279	48.35543565	0.00000000
1.45300101	21.42554918	0.00000000	1.45300101	48.35550171	0.00000000
1.47162922	21.29376028	0.00000000	1.47162922	48.35520597	0.00000000
1.49025744	21.16656171	0.00000000	1.49025744	48.35481532	0.00000000
1.50888566	21.07507564	0.00000000	1.50888566	48.35522216	0.00000000
