mass_C			mass_B		
t	x	y	t	x	y
2.371195727	18.33332763	0	2.371195727	36.66723248	0
2.394217045	18.26430142	0	2.394217045	36.666793	0
2.417238363	18.2288397	0	2.417238363	36.66651862	0
2.44025968	18.20714754	0	2.44025968	36.67020692	0
2.463280998	18.18300595	0	2.463280998	36.67364916	0
2.486302316	18.18507225	0	2.486302316	36.67880038	0
2.509323634	18.18680072	0	2.509323634	36.68347558	0
2.532344951	18.20290535	0	2.532344951	36.68732474	0
2.555366269	18.22005927	0	2.555366269	36.69071727	0
2.578387587	18.23471789	0	2.578387587	36.69236368	0
2.601408905	18.23179772	0	2.601408905	36.69293752	0
2.624430222	18.22530442	0	2.624430222	36.69220952	0
2.64745154	18.21819867	0	2.64745154	36.69308648	0
2.670472858	18.20809878	0	2.670472858	36.69109461	0
2.693494176	18.16014587	0	2.693494176	36.68731502	0
2.716515493	18.0917635	0	2.716515493	36.6826573	0
2.739536811	18.04382515	0	2.739536811	36.68017487	0
2.762558129	17.93849561	0	2.762558129	36.67707218	0
2.785579447	17.89117408	0	2.785579447	36.6739453	0
2.808600764	17.81949953	0	2.808600764	36.67082987	0
2.831622082	17.72645845	0	2.831622082	36.66679684	0
2.8546434	17.69136712	0	2.8546434	36.66716241	0
2.877664718	17.56419858	0	2.877664718	36.65208129	0
2.900686035	17.28429084	0	2.900686035	36.62566012	0
2.923707353	17.1551192	0	2.923707353	36.61081657	0
2.946728671	17.0222996	0	2.946728671	36.57684694	0
2.969749988	16.85050472	0	2.969749988	36.55823022	0
2.992771306	16.70572107	0	2.992771306	36.54582784	0
3.015792624	16.55961402	0	3.015792624	36.53057814	0
3.038813942	16.4937365	0	3.038813942	36.49927695	0
3.061835259	16.34282491	0	3.061835259	36.4674594	0
3.084856577	16.0611432	0	3.084856577	36.39956545	0
3.107877895	15.85875343	0	3.107877895	36.37748106	0
3.130899213	15.83339432	0	3.130899213	36.77571043	0
3.15392053	15.78564547	0	3.15392053	36.75867197	0
3.176941848	15.65149531	0	3.176941848	36.75850045	0
3.199963166	15.53150042	0	3.199963166	36.7553971	0
3.222984484	15.42144606	0	3.222984484	36.73685628	0
3.246005801	15.33074318	0	3.246005801	36.71318745	0
3.269027119	15.2837108	0	3.269027119	36.70521984	0
3.292048437	15.07707603	0	3.292048437	36.67942677	0
3.315069755	15.00388898	0	3.315069755	36.69216592	0
3.338091072	14.95027045	0	3.338091072	36.69961263	0
3.36111239	14.78343758	0	3.36111239	36.69443786	0
3.384133708	14.70377237	0	3.384133708	36.694306	0
3.407155026	14.61903008	0	3.407155026	36.68777754	0
3.430176343	14.58291361	0	3.430176343	36.69523048	0
3.453197661	14.50784754	0	3.453197661	36.69576256	0
3.476218979	14.4279516	0	3.476218979	36.69856986	0
3.499240297	14.25228551	0	3.499240297	36.69362239	0
3.522261614	14.2205313	0	3.522261614	36.69888322	0
3.545282932	14.02382828	0	3.545282932	36.69337664	0
3.56830425	13.93047104	0	3.56830425	36.6821531	0
3.591325567	13.83842574	0	3.591325567	36.68435246	0
3.614346885	13.74583287	0	3.614346885	36.66399444	0
3.637368203	13.60682498	0	3.637368203	36.63622568	0
3.660389521	13.57346478	0	3.660389521	36.63829138	0
3.683410838	13.5339159	0	3.683410838	36.639979	0
3.706432156	13.45280863	0	3.706432156	36.64633606	0
3.729453474	13.38442224	0	3.729453474	36.63955175	0
3.752474792	13.34908448	0	3.752474792	36.63538283	0
3.775496109	13.26769516	0	3.775496109	36.63246558	0
3.798517427	13.20939985	0	3.798517427	36.63514602	0
3.821538745	13.10857669	0	3.821538745	36.63141379	0
3.844560063	13.06661517	0	3.844560063	36.63661124	0
3.86758138	12.99908015	0	3.86758138	36.63691044	0
3.890602698	12.93159432	0	3.890602698	36.63573144	0
3.913624016	12.87671693	0	3.913624016	36.64206513	0
3.936645334	12.84162317	0	3.936645334	36.64798884	0
3.959666651	12.67720454	0	3.959666651	36.64567972	0
3.982687969	12.59206994	0	3.982687969	36.60982494	0
4.005709287	12.45013318	0	4.005709287	36.62873709	0
4.028730605	12.38367823	0	4.028730605	36.62753457	0
4.051751922	12.29139149	0	4.051751922	36.63127779	0
4.07477324	12.23103412	0	4.07477324	36.63147486	0
4.097794558	12.21130773	0	4.097794558	36.63353027	0
4.120815876	12.13070813	0	4.120815876	36.63889318	0
4.143837193	12.00551491	0	4.143837193	36.58366383	0
4.166858511	11.94076226	0	4.166858511	36.54131933	0
4.189879829	11.83016937	0	4.189879829	36.55135154	0
4.212901146	11.79335462	0	4.212901146	36.55025648	0
4.235922464	11.75294536	0	4.235922464	36.53997319	0
4.258943782	11.64267732	0	4.258943782	36.50557769	0
4.2819651	11.59854511	0	4.2819651	36.49102044	0
4.304986417	11.48093773	0	4.304986417	36.46338799	0
4.328007735	11.45454351	0	4.328007735	36.46963746	0
4.351029053	11.40132939	0	4.351029053	36.46673613	0
4.374050371	11.35304721	0	4.374050371	36.44965877	0
4.397071688	11.22550305	0	4.397071688	36.41058949	0
4.420093006	11.21389901	0	4.420093006	36.39545672	0
4.443114324	11.17222334	0	4.443114324	36.38731435	0
4.466135642	11.09562194	0	4.466135642	36.38754019	0
4.489156959	10.94724515	0	4.489156959	36.34555447	0
4.512178277	10.91634894	0	4.512178277	36.31700489	0
4.535199595	10.80088024	0	4.535199595	36.29640051	0
4.558220913	10.77917086	0	4.558220913	36.29794406	0
4.58124223	10.73601839	0	4.58124223	36.29666695	0
4.604263548	10.70692205	0	4.604263548	36.29534549	0
4.627284866	10.6202547	0	4.627284866	36.23964977	0
4.650306184	10.58423592	0	4.650306184	36.21684502	0
4.673327501	10.50551192	0	4.673327501	36.18402752	0
4.696348819	10.45226549	0	4.696348819	36.14157349	0
4.719370137	10.41061798	0	4.719370137	36.13028566	0
4.742391454	10.3735986	0	4.742391454	36.12809504	0
4.765412772	10.32823868	0	4.765412772	36.1342714	0
4.78843409	10.29914829	0	4.78843409	36.13050128	0
4.811455408	10.26867561	0	4.811455408	36.1203566	0
4.834476725	10.24931993	0	4.834476725	36.12275424	0
4.857498043	10.23386669	0	4.857498043	36.10410564	0
4.880519361	10.21951645	0	4.880519361	36.10615323	0
4.903540679	10.15447539	0	4.903540679	36.10506543	0
4.926561996	10.10625871	0	4.926561996	36.10494831	0
4.949583314	10.05764594	0	4.949583314	36.09182462	0
4.972604632	10.01180083	0	4.972604632	36.05090558	0
4.99562595	9.981619091	0	4.99562595	36.04207863	0
5.018647267	9.933292392	0	5.018647267	36.03571058	0
5.041668585	9.892193478	0	5.041668585	36.03553218	0
5.064689903	9.84674006	0	5.064689903	36.02645607	0
5.087711221	9.823152692	0	5.087711221	36.03483149	0
5.110732538	9.746694962	0	5.110732538	36.01213306	0
5.133753856	9.724069027	0	5.133753856	35.98630823	0
5.156775174	9.676695457	0	5.156775174	35.96868336	0
5.179796492	9.646523849	0	5.179796492	35.96349257	0
5.202817809	9.61709565	0	5.202817809	35.95924894	0
5.225839127	9.57643718	0	5.225839127	35.94717375	0
5.248860445	9.568407877	0	5.248860445	35.94905329	0
5.271881763	9.542296507	0	5.271881763	35.9391346	0
5.29490308	9.497637177	0	5.29490308	35.92533117	0
5.317924398	9.440117275	0	5.317924398	35.89719957	0
5.340945716	9.346164151	0	5.340945716	35.85346506	0
5.363967033	9.324915115	0	5.363967033	35.86277391	0
5.386988351	9.322980063	0	5.386988351	35.86559581	0
5.410009669	9.330057924	0	5.410009669	35.8707323	0
5.433030987	9.329061633	0	5.433030987	35.86504601	0
5.456052304	9.316389751	0	5.456052304	35.85661083	0
5.479073622	9.308924859	0	5.479073622	35.84310979	0
5.50209494	9.269739557	0	5.50209494	35.81624219	0
5.525116258	9.229220533	0	5.525116258	35.80985261	0
5.548137575	9.197452235	0	5.548137575	35.80455709	0
5.571158893	9.170404061	0	5.571158893	35.80079239	0
5.594180211	9.161038056	0	5.594180211	35.79637731	0
5.617201529	9.155594959	0	5.617201529	35.79611347	0
5.640222846	9.152491133	0	5.640222846	35.79394477	0
5.663244164	9.157776202	0	5.663244164	35.79389651	0
5.686265482	9.171399335	0	5.686265482	35.79455518	0
5.7092868	9.169837628	0	5.7092868	35.79907554	0
5.732308117	9.155962696	0	5.732308117	35.79295834	0
5.755329435	9.143457658	0	5.755329435	35.78830383	0
5.778350753	9.141561477	0	5.778350753	35.78277827	0
5.801372071	9.145055795	0	5.801372071	35.78703941	0
5.824393388	9.141948671	0	5.824393388	35.7866095	0
5.847414706	9.144076813	0	5.847414706	35.7867452	0
5.870436024	9.14472837	0	5.870436024	35.79280841	0
5.893457341	9.135802016	0	5.893457341	35.79362072	0
5.916478659	9.10740399	0	5.916478659	35.79534579	0
5.939499977	9.105183552	0	5.939499977	35.7963358	0
5.962521295	9.144794728	0	5.962521295	35.79855921	0
5.985542612	9.156758871	0	5.985542612	35.7990618	0
6.00856393	9.172904685	0	6.00856393	35.80169622	0
6.031585248	9.17301811	0	6.031585248	35.80214824	0
6.054606566	9.175638239	0	6.054606566	35.80285716	0
6.077627883	9.173274601	0	6.077627883	35.80367557	0
6.100649201	9.170825491	0	6.100649201	35.80235907	0
6.123670519	9.168196205	0	6.123670519	35.80220104	0
6.146691837	9.168777104	0	6.146691837	35.80267278	0
6.169713154	9.165533954	0	6.169713154	35.80296452	0
6.192734472	9.166727372	0	6.192734472	35.80271118	0
6.21575579	9.168879771	0	6.21575579	35.80397853	0
6.238777108	9.173531664	0	6.238777108	35.80511145	0
6.261798425	9.172312398	0	6.261798425	35.80342474	0
6.284819743	9.17270348	0	6.284819743	35.80372329	0
6.307841061	9.173327469	0	6.307841061	35.80273041	0
6.330862379	9.182632593	0	6.330862379	35.80228776	0
6.353883696	9.180041729	0	6.353883696	35.80283288	0
6.376905014	9.178341581	0	6.376905014	35.80062652	0
6.399926332	9.18070337	0	6.399926332	35.8016328	0
6.42294765	9.186443172	0	6.42294765	35.80243099	0
6.445968967	9.187220613	0	6.445968967	35.80224981	0
6.468990285	9.194976987	0	6.468990285	35.80400943	0
6.492011603	9.206923451	0	6.492011603	35.80460925	0
6.51503292	9.354798159	0	6.51503292	35.80391601	0
6.538054238	9.382572268	0	6.538054238	35.80509945	0
6.561075556	9.540306991	0	6.561075556	35.7995545	0
6.584096874	9.735821431	0	6.584096874	35.80152372	0
6.607118191	10.00667826	0	6.607118191	35.82315113	0
6.630139509	10.50400962	0	6.630139509	35.83470441	0
6.653160827	10.94541079	0	6.653160827	35.89005971	0
6.676182145	11.68670355	0	6.676182145	35.98903984	0
6.699203462	12.34022987	0	6.699203462	35.9968763	0
6.72222478	13.30741789	0	6.72222478	35.98035642	0
6.745246098	14.66022113	0	6.745246098	36.11968259	0
6.768267416	14.98249532	0	6.768267416	36.11243205	0
6.791288733	15.61956422	0	6.791288733	36.1246485	0
6.814310051	16.51305877	0	6.814310051	36.26525329	0
6.837331369	18.20807062	0	6.837331369	36.43076544	0
