FACSC_Prox			mass_A		
t	x	y	t	x	y
0.00000000	29.24260262	0.00000000	0.00000000	47.75552811	0.00000000
0.02480774	29.24013102	0.00000000	0.02480774	47.75610518	0.00000000
0.04961548	29.24127472	0.00000000	0.04961548	47.75581453	0.00000000
0.07442322	29.24166298	0.00000000	0.07442322	47.75608354	0.00000000
0.09923096	29.23899475	0.00000000	0.09923096	47.75543434	0.00000000
0.12403870	29.23510820	0.00000000	0.12403870	47.75550483	0.00000000
0.14884644	29.23203453	0.00000000	0.14884644	47.75559227	0.00000000
0.17365418	29.23258836	0.00000000	0.17365418	47.75554790	0.00000000
0.19846192	29.22957582	0.00000000	0.19846192	47.75477484	0.00000000
0.22326966	29.21979874	0.00000000	0.22326966	47.75583153	0.00000000
0.24807740	29.21163779	0.00000000	0.24807740	47.75520460	0.00000000
0.27288514	29.17809436	0.00000000	0.27288514	47.75473082	0.00000000
0.29769288	29.16450122	0.00000000	0.29769288	47.75513333	0.00000000
0.32250062	29.15256491	0.00000000	0.32250062	47.75566988	0.00000000
0.34730836	29.14094715	0.00000000	0.34730836	47.75519509	0.00000000
0.37211610	29.13837550	0.00000000	0.37211610	47.75561940	0.00000000
0.39692384	29.15248625	0.00000000	0.39692384	47.75527311	0.00000000
0.42173158	29.15735657	0.00000000	0.42173158	47.75564595	0.00000000
0.44653932	29.15269430	0.00000000	0.44653932	47.75500340	0.00000000
0.47134706	29.15726617	0.00000000	0.47134706	47.75599447	0.00000000
0.49615480	29.15564310	0.00000000	0.49615480	47.75530028	0.00000000
0.52096254	29.15635071	0.00000000	0.52096254	47.75553612	0.00000000
0.54577028	29.15909095	0.00000000	0.54577028	47.75560521	0.00000000
0.57057802	29.16009508	0.00000000	0.57057802	47.75457623	0.00000000
0.59538576	29.15602892	0.00000000	0.59538576	47.75538207	0.00000000
0.62019350	29.15703943	0.00000000	0.62019350	47.75563654	0.00000000
0.64500124	29.15335336	0.00000000	0.64500124	47.75523249	0.00000000
0.66980898	29.15626586	0.00000000	0.66980898	47.75557885	0.00000000
0.69461672	29.15172621	0.00000000	0.69461672	47.75515154	0.00000000
0.71942446	29.15377799	0.00000000	0.71942446	47.75512601	0.00000000
0.74423220	29.15417324	0.00000000	0.74423220	47.75515929	0.00000000
0.76903994	29.15571667	0.00000000	0.76903994	47.75530200	0.00000000
0.79384768	29.15626505	0.00000000	0.79384768	47.75565104	0.00000000
0.81865542	29.14901556	0.00000000	0.81865542	47.75551579	0.00000000
0.84346316	29.15373547	0.00000000	0.84346316	47.75514208	0.00000000
0.86827090	29.15342393	0.00000000	0.86827090	47.75551126	0.00000000
0.89307864	29.15318862	0.00000000	0.89307864	47.75558268	0.00000000
0.91788638	29.15557737	0.00000000	0.91788638	47.75574352	0.00000000
0.94269412	29.15590983	0.00000000	0.94269412	47.75589657	0.00000000
0.96750186	29.15847837	0.00000000	0.96750186	47.75580568	0.00000000
0.99230960	29.16015971	0.00000000	0.99230960	47.75533379	0.00000000
1.01711734	29.16163803	0.00000000	1.01711734	47.75582593	0.00000000
1.04192508	29.16424511	0.00000000	1.04192508	47.75552536	0.00000000
1.06673282	29.16413513	0.00000000	1.06673282	47.75525859	0.00000000
1.09154056	29.16020757	0.00000000	1.09154056	47.75541117	0.00000000
1.11634830	29.15999490	0.00000000	1.11634830	47.75554149	0.00000000
1.14115604	29.16446914	0.00000000	1.14115604	47.75586757	0.00000000
1.16596378	29.16311494	0.00000000	1.16596378	47.75546149	0.00000000
1.19077152	29.16293717	0.00000000	1.19077152	47.75515033	0.00000000
1.21557926	29.16132438	0.00000000	1.21557926	47.75565021	0.00000000
1.24038700	29.16289328	0.00000000	1.24038700	47.75562209	0.00000000
1.26519474	29.16251205	0.00000000	1.26519474	47.75571927	0.00000000
1.29000248	29.16278842	0.00000000	1.29000248	47.75628732	0.00000000
1.31481022	29.16509795	0.00000000	1.31481022	47.75555754	0.00000000
1.33961796	29.16488654	0.00000000	1.33961796	47.75537092	0.00000000
1.36442570	29.16495036	0.00000000	1.36442570	47.75604012	0.00000000
1.38923344	29.16415046	0.00000000	1.38923344	47.75597591	0.00000000
1.41404118	29.16421685	0.00000000	1.41404118	47.75577239	0.00000000
1.43884892	29.16375330	0.00000000	1.43884892	47.75554638	0.00000000
1.46365666	29.16277324	0.00000000	1.46365666	47.75612584	0.00000000
1.48846440	29.16241683	0.00000000	1.48846440	47.75609656	0.00000000
1.51327214	29.16434684	0.00000000	1.51327214	47.75567845	0.00000000
1.53807988	29.16353757	0.00000000	1.53807988	47.75565357	0.00000000
1.56288762	29.16221609	0.00000000	1.56288762	47.75562283	0.00000000
1.58769536	29.16271845	0.00000000	1.58769536	47.75556267	0.00000000
1.61250310	29.16310981	0.00000000	1.61250310	47.75547056	0.00000000
1.63731084	29.16319630	0.00000000	1.63731084	47.75443104	0.00000000
1.66211858	29.16452655	0.00000000	1.66211858	47.75496258	0.00000000
1.68692632	29.16445274	0.00000000	1.68692632	47.75521459	0.00000000
1.71173406	29.16423910	0.00000000	1.71173406	47.75529978	0.00000000
1.73654180	29.16422963	0.00000000	1.73654180	47.75605251	0.00000000
1.76134954	29.13928277	0.00000000	1.76134954	47.75551993	0.00000000
1.78615728	29.11131028	0.00000000	1.78615728	47.75613911	0.00000000
