FACSC_Prox			mass_A		
1.81096502	28.94076895	0.00000000	1.81096502	47.75472131	0.00000000
1.83577276	28.82703739	0.00000000	1.83577276	47.75590847	0.00000000
1.86058050	28.74757236	0.00000000	1.86058050	47.75526856	0.00000000
1.88538824	28.64571870	0.00000000	1.88538824	47.75541105	0.00000000
1.91019598	28.27214668	0.00000000	1.91019598	47.75511438	0.00000000
1.93500372	28.18042200	0.00000000	1.93500372	47.75550834	0.00000000
1.95981146	27.87897662	0.00000000	1.95981146	47.75437008	0.00000000
1.98461920	27.70777006	0.00000000	1.98461920	47.75496107	0.00000000
2.00942694	27.41853553	0.00000000	2.00942694	47.75543033	0.00000000
2.03423468	27.26064185	0.00000000	2.03423468	47.75573156	0.00000000
2.05904242	26.98827678	0.00000000	2.05904242	47.75590937	0.00000000
2.08385016	26.94075900	0.00000000	2.08385016	47.75497488	0.00000000
2.10865790	26.80894944	0.00000000	2.10865790	47.75536570	0.00000000
2.13346564	26.54962576	0.00000000	2.13346564	47.75656649	0.00000000
2.15827338	26.41209965	0.00000000	2.15827338	47.75544704	0.00000000
2.18308112	26.22842689	0.00000000	2.18308112	47.75577046	0.00000000
2.20788886	26.09332636	0.00000000	2.20788886	47.75627974	0.00000000
2.23269660	25.93705083	0.00000000	2.23269660	47.75588506	0.00000000
2.25750434	25.87608147	0.00000000	2.25750434	47.75504015	0.00000000
2.28231208	25.74220652	0.00000000	2.28231208	47.75487678	0.00000000
2.30711982	25.73318375	0.00000000	2.30711982	47.75611722	0.00000000
2.33192756	25.61517811	0.00000000	2.33192756	47.75565935	0.00000000
2.35673530	25.40165630	0.00000000	2.35673530	47.75605986	0.00000000
2.38154304	25.32574918	0.00000000	2.38154304	47.75550571	0.00000000
2.40635078	25.04747805	0.00000000	2.40635078	47.75628863	0.00000000
2.43115852	24.90996981	0.00000000	2.43115852	47.75625526	0.00000000
2.45596626	24.65939045	0.00000000	2.45596626	47.75636195	0.00000000
2.48077400	24.48636993	0.00000000	2.48077400	47.75622789	0.00000000
2.50558174	24.31982821	0.00000000	2.50558174	47.75647731	0.00000000
2.53038948	24.09797606	0.00000000	2.53038948	47.75601890	0.00000000
2.55519722	23.94140099	0.00000000	2.55519722	47.75614197	0.00000000
2.58000496	23.65993929	0.00000000	2.58000496	47.75675088	0.00000000
2.60481270	23.51679297	0.00000000	2.60481270	47.75571381	0.00000000
2.62962044	23.43702542	0.00000000	2.62962044	47.75648272	0.00000000
2.65442818	23.19313740	0.00000000	2.65442818	47.75704730	0.00000000
2.67923592	23.10549052	0.00000000	2.67923592	47.75577650	0.00000000
2.70404366	23.04766180	0.00000000	2.70404366	47.75539614	0.00000000
2.72885140	22.93146931	0.00000000	2.72885140	47.75640662	0.00000000
2.75365914	22.82451283	0.00000000	2.75365914	47.75608566	0.00000000
2.77846688	22.61765566	0.00000000	2.77846688	47.75648002	0.00000000
2.80327462	22.57477703	0.00000000	2.80327462	47.75657387	0.00000000
2.82808236	22.35728701	0.00000000	2.82808236	47.75565416	0.00000000
2.85289010	22.26488954	0.00000000	2.85289010	47.75568969	0.00000000
2.87769784	22.03640052	0.00000000	2.87769784	47.75597890	0.00000000
2.90250558	21.91710645	0.00000000	2.90250558	47.75589723	0.00000000
2.92731332	21.62572352	0.00000000	2.92731332	47.75593143	0.00000000
2.95212106	21.57591779	0.00000000	2.95212106	47.75567101	0.00000000
2.97692880	21.45845585	0.00000000	2.97692880	47.75610375	0.00000000
3.00173654	21.33758794	0.00000000	3.00173654	47.75740426	0.00000000
3.02654428	21.12604722	0.00000000	3.02654428	47.75540460	0.00000000
3.05135202	21.05868690	0.00000000	3.05135202	47.75573233	0.00000000
3.07615976	20.74674651	0.00000000	3.07615976	47.75611003	0.00000000
3.10096750	20.69024046	0.00000000	3.10096750	47.75592541	0.00000000
3.12577524	20.53908292	0.00000000	3.12577524	47.75587364	0.00000000
3.15058298	20.39464110	0.00000000	3.15058298	47.75591945	0.00000000
3.17539072	20.12009573	0.00000000	3.17539072	47.75636126	0.00000000
3.20019846	20.05963112	0.00000000	3.20019846	47.75608404	0.00000000
3.22500620	19.83677171	0.00000000	3.22500620	47.75748140	0.00000000
3.24981394	19.52721432	0.00000000	3.24981394	47.75674572	0.00000000
3.27462168	19.29297686	0.00000000	3.27462168	47.75648294	0.00000000
3.29942942	19.13162595	0.00000000	3.29942942	47.75664230	0.00000000
3.32423716	18.97018007	0.00000000	3.32423716	47.75697099	0.00000000
3.34904490	18.72831507	0.00000000	3.34904490	47.75684672	0.00000000
3.37385264	18.66385407	0.00000000	3.37385264	47.75650076	0.00000000
3.39866038	18.54491366	0.00000000	3.39866038	47.75693040	0.00000000
3.42346812	18.43217104	0.00000000	3.42346812	47.75666938	0.00000000
3.44827586	18.26031188	0.00000000	3.44827586	47.75639811	0.00000000
3.47308360	18.18106898	0.00000000	3.47308360	47.75587867	0.00000000
3.49789134	18.04044825	0.00000000	3.49789134	47.75609740	0.00000000
3.52269908	17.96796652	0.00000000	3.52269908	47.75670685	0.00000000
3.54750682	17.92361648	0.00000000	3.54750682	47.75690757	0.00000000
3.57231456	17.82279793	0.00000000	3.57231456	47.75680232	0.00000000
3.59712230	17.61401404	0.00000000	3.59712230	47.75701608	0.00000000
3.62193004	17.54679700	0.00000000	3.62193004	47.75744887	0.00000000
3.64673778	17.39031712	0.00000000	3.64673778	47.75698902	0.00000000
3.67154552	17.20053669	0.00000000	3.67154552	47.75707716	0.00000000
3.69635326	16.84164084	0.00000000	3.69635326	47.75778785	0.00000000
3.72116100	16.75245422	0.00000000	3.72116100	47.75789551	0.00000000
3.74596874	16.36378670	0.00000000	3.74596874	47.75906517	0.00000000
3.77077648	16.18447780	0.00000000	3.77077648	47.76140515	0.00000000
3.79558422	15.95670886	0.00000000	3.79558422	47.76566863	0.00000000
3.82039196	15.89146102	0.00000000	3.82039196	47.76638968	0.00000000
3.84519970	15.85156529	0.00000000	3.84519970	47.76426374	0.00000000
3.87000744	15.71556094	0.00000000	3.87000744	47.76620578	0.00000000
3.89481518	15.66728140	0.00000000	3.89481518	47.76620610	0.00000000
3.91962292	15.56628418	0.00000000	3.91962292	47.76750510	0.00000000
3.94443066	15.49525101	0.00000000	3.94443066	47.76859777	0.00000000
3.96923840	15.43241930	0.00000000	3.96923840	47.77239370	0.00000000
3.99404614	15.34577428	0.00000000	3.99404614	47.77476496	0.00000000
4.01885388	15.27109149	0.00000000	4.01885388	47.77774984	0.00000000
4.04366162	15.17908368	0.00000000	4.04366162	47.77593938	0.00000000
4.06846936	15.10993112	0.00000000	4.06846936	47.77776310	0.00000000
4.09327710	15.06518335	0.00000000	4.09327710	47.77283827	0.00000000
4.11808484	14.88467433	0.00000000	4.11808484	47.78170389	0.00000000
4.14289258	14.78065552	0.00000000	4.14289258	47.77992957	0.00000000
4.16770032	14.57578265	0.00000000	4.16770032	47.78466655	0.00000000
4.19250806	14.46400882	0.00000000	4.19250806	47.78208151	0.00000000
4.21731580	14.19245534	0.00000000	4.21731580	47.79009572	0.00000000
4.24212354	14.15019639	0.00000000	4.24212354	47.77870686	0.00000000
4.26693128	14.05372616	0.00000000	4.26693128	47.77826185	0.00000000
4.29173902	13.87499397	0.00000000	4.29173902	47.79468296	0.00000000
4.31654676	13.88866377	0.00000000	4.31654676	47.81934714	0.00000000
4.34135450	13.96401479	0.00000000	4.34135450	47.83490899	0.00000000
4.36616224	13.97546079	0.00000000	4.36616224	47.85102361	0.00000000
4.39096998	13.93747295	0.00000000	4.39096998	47.85685260	0.00000000
4.41577772	13.81577098	0.00000000	4.41577772	47.86057173	0.00000000
4.44058546	13.75728560	0.00000000	4.44058546	47.85419131	0.00000000
4.46539320	13.72014568	0.00000000	4.46539320	47.85167024	0.00000000
4.49020094	13.60021196	0.00000000	4.49020094	47.85370468	0.00000000
4.51500868	13.49816225	0.00000000	4.51500868	47.85106658	0.00000000
4.53981642	13.38413139	0.00000000	4.53981642	47.84973678	0.00000000
4.56462416	13.21907102	0.00000000	4.56462416	47.85316104	0.00000000
4.58943190	13.09603256	0.00000000	4.58943190	47.85297967	0.00000000
4.61423964	12.78288220	0.00000000	4.61423964	47.85329912	0.00000000
4.63904738	12.68305042	0.00000000	4.63904738	47.84718754	0.00000000
4.66385512	12.36022831	0.00000000	4.66385512	47.85927914	0.00000000
4.68866286	12.20462857	0.00000000	4.68866286	47.85586871	0.00000000
4.71347060	11.99763277	0.00000000	4.71347060	47.85423689	0.00000000
4.73827834	11.87390598	0.00000000	4.73827834	47.85836012	0.00000000
4.76308608	11.78298808	0.00000000	4.76308608	47.85705122	0.00000000
4.78789382	11.75847207	0.00000000	4.78789382	47.85045241	0.00000000
4.81270156	11.72697668	0.00000000	4.81270156	47.84886394	0.00000000
4.83750930	11.60486296	0.00000000	4.83750930	47.85523359	0.00000000
4.86231704	11.55485259	0.00000000	4.86231704	47.84640435	0.00000000
4.88712478	11.33813260	0.00000000	4.88712478	47.84686111	0.00000000
4.91193252	11.21272472	0.00000000	4.91193252	47.84917716	0.00000000
4.93674026	10.81590351	0.00000000	4.93674026	47.84352224	0.00000000
4.96154800	10.72483862	0.00000000	4.96154800	47.84054382	0.00000000
4.98635574	10.50905564	0.00000000	4.98635574	47.83858843	0.00000000
5.01116348	10.28825159	0.00000000	5.01116348	47.83707311	0.00000000
5.03597122	10.10615442	0.00000000	5.03597122	47.83655937	0.00000000
5.06077896	10.02542177	0.00000000	5.06077896	47.83513983	0.00000000
5.08558670	9.60329252	0.00000000	5.08558670	47.83789501	0.00000000
5.11039444	9.14961743	0.00000000	5.11039444	47.83604752	0.00000000
5.13520218	9.03743106	0.00000000	5.13520218	47.83662409	0.00000000
5.16000992	8.81487184	0.00000000	5.16000992	47.83440223	0.00000000
5.18481766	8.38659647	0.00000000	5.18481766	47.83513858	0.00000000
5.20962540	8.27900186	0.00000000	5.20962540	47.83500296	0.00000000
5.23443314	8.08233007	0.00000000	5.23443314	47.83859791	0.00000000
5.25924088	7.81060689	0.00000000	5.25924088	47.84350007	0.00000000
5.28404862	7.68342452	0.00000000	5.28404862	47.84463186	0.00000000
5.30885636	7.50230709	0.00000000	5.30885636	47.84841908	0.00000000
5.33366410	7.36737934	0.00000000	5.33366410	47.84881482	0.00000000
5.35847184	7.28573614	0.00000000	5.35847184	47.84761331	0.00000000
5.38327958	7.24372290	0.00000000	5.38327958	47.85003514	0.00000000
5.40808732	7.10539508	0.00000000	5.40808732	47.84794757	0.00000000
5.43289506	6.95828654	0.00000000	5.43289506	47.84747562	0.00000000
5.45770280	6.87905406	0.00000000	5.45770280	47.84633627	0.00000000
5.48251054	6.82223165	0.00000000	5.48251054	47.84525012	0.00000000
5.50731828	6.75718851	0.00000000	5.50731828	47.84772388	0.00000000
5.53212602	6.70283722	0.00000000	5.53212602	47.84422481	0.00000000
5.55693376	6.64860232	0.00000000	5.55693376	47.84261623	0.00000000
5.58174150	6.57483906	0.00000000	5.58174150	47.84367259	0.00000000
5.60654924	6.50798751	0.00000000	5.60654924	47.84038349	0.00000000
5.63135698	6.42251967	0.00000000	5.63135698	47.84117371	0.00000000
5.65616472	6.35614633	0.00000000	5.65616472	47.83888172	0.00000000
5.68097246	6.31795546	0.00000000	5.68097246	47.83790886	0.00000000
5.70578020	6.23969978	0.00000000	5.70578020	47.83624519	0.00000000
5.73058794	6.20320359	0.00000000	5.73058794	47.83598135	0.00000000
5.75539568	6.15604090	0.00000000	5.75539568	47.83500245	0.00000000
5.78020342	6.12333890	0.00000000	5.78020342	47.83428113	0.00000000
5.80501116	6.16520819	0.00000000	5.80501116	47.83386561	0.00000000
5.82981890	6.17336908	0.00000000	5.82981890	47.83388009	0.00000000
5.85462664	6.19035241	0.00000000	5.85462664	47.83369493	0.00000000
5.87943438	6.17063385	0.00000000	5.87943438	47.83302390	0.00000000
5.90424212	6.15857891	0.00000000	5.90424212	47.83295537	0.00000000
5.92904986	6.06667444	0.00000000	5.92904986	47.83354260	0.00000000
5.95385760	6.08928793	0.00000000	5.95385760	47.83256614	0.00000000
5.97866534	6.13871748	0.00000000	5.97866534	47.83217557	0.00000000
6.00347308	6.16030063	0.00000000	6.00347308	47.83254972	0.00000000
6.02828082	6.17118509	0.00000000	6.02828082	47.83283882	0.00000000
6.05308856	6.17245577	0.00000000	6.05308856	47.83260914	0.00000000
6.07789630	6.17133642	0.00000000	6.07789630	47.83216446	0.00000000
6.10270404	6.17169287	0.00000000	6.10270404	47.83290860	0.00000000
6.12751178	6.16473945	0.00000000	6.12751178	47.83357292	0.00000000
6.15231952	6.15874060	0.00000000	6.15231952	47.83262901	0.00000000
6.17712726	6.15923976	0.00000000	6.17712726	47.83284403	0.00000000
6.20193500	6.15937717	0.00000000	6.20193500	47.83239856	0.00000000
6.22674274	6.18595388	0.00000000	6.22674274	47.83240436	0.00000000
6.25155048	6.24787576	0.00000000	6.25155048	47.83211040	0.00000000
6.27635822	6.25458105	0.00000000	6.27635822	47.83185095	0.00000000
6.30116596	6.25350815	0.00000000	6.30116596	47.83123487	0.00000000
6.32597370	6.25960436	0.00000000	6.32597370	47.83134739	0.00000000
6.35078144	6.27152384	0.00000000	6.35078144	47.83058845	0.00000000
6.37558918	6.29035010	0.00000000	6.37558918	47.83149093	0.00000000
6.40039692	6.32895865	0.00000000	6.40039692	47.83125317	0.00000000
6.42520466	6.33124146	0.00000000	6.42520466	47.83084975	0.00000000
6.45001240	6.33688190	0.00000000	6.45001240	47.83072777	0.00000000
6.47482014	6.33633543	0.00000000	6.47482014	47.83088036	0.00000000
6.49962788	6.35034063	0.00000000	6.49962788	47.83159251	0.00000000
6.52443562	6.37610139	0.00000000	6.52443562	47.82977693	0.00000000
6.54924336	6.38256174	0.00000000	6.54924336	47.83033913	0.00000000
6.57405110	6.37649578	0.00000000	6.57405110	47.83076302	0.00000000
6.59885884	6.35103888	0.00000000	6.59885884	47.83059996	0.00000000
6.62366658	6.29936346	0.00000000	6.62366658	47.82932657	0.00000000
6.64847432	6.29724780	0.00000000	6.64847432	47.82924111	0.00000000
6.67328206	6.31375731	0.00000000	6.67328206	47.82720280	0.00000000
6.69808980	6.31022832	0.00000000	6.69808980	47.82743414	0.00000000
6.72289754	6.31689673	0.00000000	6.72289754	47.82624615	0.00000000
6.74770528	6.38968815	0.00000000	6.74770528	47.82583629	0.00000000
6.77251302	6.47191339	0.00000000	6.77251302	47.82716106	0.00000000
6.79732076	6.57814984	0.00000000	6.79732076	47.82856170	0.00000000
6.82212850	6.76963643	0.00000000	6.82212850	47.82516621	0.00000000
6.84693624	6.80842445	0.00000000	6.84693624	47.82686285	0.00000000
6.87174398	6.96607425	0.00000000	6.87174398	47.82760618	0.00000000
6.89655172	7.09931004	0.00000000	6.89655172	47.82686151	0.00000000
6.92135946	7.22745471	0.00000000	6.92135946	47.82649225	0.00000000
6.94616720	7.42197118	0.00000000	6.94616720	47.82635149	0.00000000
6.97097494	7.55779498	0.00000000	6.97097494	47.82664940	0.00000000
