mass_B			mass_A		
t	x	y	t	x	y
1.927070665	35.01744828	0	1.927070665	45.46546634	0
1.945780089	34.91285953	0	1.945780089	45.46024185	0
1.964489513	34.80206354	0	1.964489513	45.47262097	0
1.983198937	34.71909892	0	1.983198937	45.47978914	0
2.001908361	34.68406578	0	2.001908361	45.47454664	0
2.020617785	34.60519532	0	2.020617785	45.47307418	0
2.039327209	34.50138414	0	2.039327209	45.46858166	0
2.058036633	34.42440395	0	2.058036633	45.46421848	0
2.076746057	34.38977562	0	2.076746057	45.46547684	0
2.095455481	34.29098382	0	2.095455481	45.45821295	0
2.114164905	34.20838606	0	2.114164905	45.45936409	0
2.132874329	34.08514123	0	2.132874329	45.4630713	0
2.151583753	33.99404319	0	2.151583753	45.46233753	0
2.170293177	33.89363347	0	2.170293177	45.46275612	0
2.189002601	33.79769584	0	2.189002601	45.45466183	0
2.207712025	33.74311342	0	2.207712025	45.45417609	0
2.226421448	33.63506139	0	2.226421448	45.44900215	0
2.245130872	33.55482575	0	2.245130872	45.44600468	0
2.263840296	33.44646237	0	2.263840296	45.44899936	0
2.28254972	33.41172288	0	2.28254972	45.45854812	0
2.301259144	33.31823308	0	2.301259144	45.45921984	0
2.319968568	33.2345757	0	2.319968568	45.46400103	0
2.338677992	33.16708381	0	2.338677992	45.46711819	0
2.357387416	33.09069947	0	2.357387416	45.47429463	0
2.37609684	33.05633013	0	2.37609684	45.47703164	0
2.394806264	33.00519048	0	2.394806264	45.48046598	0
2.413515688	32.95021051	0	2.413515688	45.48548303	0
2.432225112	32.89668769	0	2.432225112	45.48663869	0
2.450934536	32.87759934	0	2.450934536	45.48599868	0
2.46964396	32.82361848	0	2.46964396	45.48625286	0
2.488353384	32.77188069	0	2.488353384	45.48514162	0
2.507062808	32.70631757	0	2.507062808	45.48538495	0
2.525772231	32.67908633	0	2.525772231	45.48223899	0
2.544481655	32.62103363	0	2.544481655	45.48072711	0
2.563191079	32.55178999	0	2.563191079	45.48412947	0
2.581900503	32.47296754	0	2.581900503	45.48612314	0
2.600609927	32.40169259	0	2.600609927	45.48286665	0
2.619319351	32.36832016	0	2.619319351	45.48141021	0
2.638028775	32.28127766	0	2.638028775	45.47696949	0
2.656738199	32.22632977	0	2.656738199	45.47403281	0
2.675447623	32.15981516	0	2.675447623	45.47078302	0
2.694157047	32.11783359	0	2.694157047	45.47078591	0
2.712866471	32.03580092	0	2.712866471	45.46819911	0
2.731575895	31.87227164	0	2.731575895	45.45814474	0
2.750285319	31.79690596	0	2.750285319	45.4556472	0
2.768994743	31.76095288	0	2.768994743	45.45728779	0
2.787704167	31.68992406	0	2.787704167	45.45587857	0
2.806413591	31.62938729	0	2.806413591	45.45576699	0
2.825123014	31.57111051	0	2.825123014	45.45336555	0
2.843832438	31.49955459	0	2.843832438	45.45349814	0
2.862541862	31.4620691	0	2.862541862	45.45367652	0
2.881251286	31.3838969	0	2.881251286	45.45374819	0
2.89996071	31.32025864	0	2.89996071	45.45746674	0
2.918670134	31.23508183	0	2.918670134	45.46045974	0
2.937379558	31.15867359	0	2.937379558	45.45835344	0
2.956088982	31.11817743	0	2.956088982	45.46655379	0
2.974798406	31.0119472	0	2.974798406	45.47091482	0
2.99350783	30.92679646	0	2.99350783	45.47118321	0
3.012217254	30.8236703	0	3.012217254	45.48175937	0
3.030926678	30.77988857	0	3.030926678	45.4737083	0
3.049636102	30.67445214	0	3.049636102	45.47602116	0
3.068345526	30.5765675	0	3.068345526	45.47241465	0
3.08705495	30.47653437	0	3.08705495	45.46926855	0
3.105764374	30.37978571	0	3.105764374	45.46582598	0
3.124473797	30.32684213	0	3.124473797	45.46568292	0
3.143183221	30.22131729	0	3.143183221	45.46104413	0
3.161892645	30.13103843	0	3.161892645	45.45854775	0
3.180602069	30.03064435	0	3.180602069	45.45811211	0
3.199311493	29.99988138	0	3.199311493	45.46565978	0
3.218020917	29.91469103	0	3.218020917	45.46348934	0
3.236730341	29.83323941	0	3.236730341	45.45286052	0
3.255439765	29.75198967	0	3.255439765	45.44798055	0
3.274149189	29.68382042	0	3.274149189	45.4205113	0
3.292858613	29.64177127	0	3.292858613	45.39289527	0
3.311568037	29.57682459	0	3.311568037	45.36221848	0
3.330277461	29.52274742	0	3.330277461	45.34245702	0
3.348986885	29.45823863	0	3.348986885	45.31288367	0
