"subj"	"time"	"leg"	"trial"	"isomet+10-1"	"isomet+10-2"	"isomet0-1"	"isomet0-2"	"isomet-5-1"	"isomet-5-2"	"isomet-10-1"	"isomet-10-2"	"isomet-15-1"	"isomet-15-2"	"DF 30°/s"	"PF 30°/s"	"PF 45°/s"	"PF60°/s"	"PF 90°/s"	"calc CPM Noraxon"	"SOL CPM Noraxon"	"leg length (cm)"
3	PRE	L	STRNG	03_PRE_isometric_2L_trial1.tsv	03_PRE_isometric_2L_trial9.tsv	03_PRE_isometric_2L_trial10.tsv	03_PRE_isometric_2L_trial11.tsv	03_PRE_isometric_2L_trial12.tsv	03_PRE_isometric_2L_trial13.tsv	03_PRE_isometric_2L_trial15.tsv	03_PRE_isometric_2L_trial16.tsv	03_PRE_isometric_2L_trial17.tsv	03_PRE_isometric_2L_trial18.tsv	03_PRE_isokinetic_2L_trial1.tsv	03_PRE_isokinetic_2L_trial3.tsv	03_PRE_isokinetic_2L_trial4.tsv	03_PRE_isokinetic_2L_trial5.tsv	03_PRE_isokinetic_2L_trial7.tsv	03_POST_CPM_5L_trial3.tsv	03_POST_CPM_5L_trial1.tsv	40.75
5	PRE	L	STRNG	05_PRE_isometric_2L_trial2.tsv	05_PRE_isometric_2L_trial3.tsv	05_PRE_isometric_2L_trial6.tsv	05_PRE_isometric_2L_trial7.tsv	05_PRE_isometric_2L_trial8.tsv	05_PRE_isometric_2L_trial9.tsv	05_PRE_isometric_2L_trial12.tsv	05_PRE_isometric_2L_trial17.tsv	05_PRE_isometric_2L_trial18.tsv	05_PRE_isometric_2L_trial21.tsv	05_PRE_isokinetic_2L_trial1.tsv	05_PRE_isokinetic_2L_trial3.tsv	05_PRE_isokinetic_2L_trial4.tsv	05_PRE_isokinetic_2L_trial5.tsv	05_PRE_isokinetic_2L_trial7.tsv	05_POST_CPM_5L_trial1.tsv	05_POST_CPM_5L_trial2.tsv	43.25
6	PRE	L	STRNG	06_PRE_isometric_2L_trial1.tsv	06_PRE_isometric_2L_trial4.tsv	06_PRE_isometric_2L_trial5.tsv	06_PRE_isometric_2L_trial6.tsv	06_PRE_isometric_2L_trial7.tsv	06_PRE_isometric_2L_trial8.tsv	06_PRE_isometric_2L_trial9.tsv	06_PRE_isometric_2L_trial10.tsv	null	null	06_PRE_isokinetic_2L_trial2.tsv	06_PRE_isokinetic_2L_trial3.tsv	06_PRE_isokinetic_2L_trial5.tsv	06_PRE_isokinetic_2L_trial6.tsv	06_PRE_isokinetic_2L_trial7.tsv	06_POST_CPM_5L_trial1.tsv	06_POST_CPM_5L_trial3.tsv	45.75
7	PRE	L	STRNG	07_PRE_isometric_2L_trial2.tsv	07_PRE_isometric_2L_trial3.tsv	07_PRE_isometric_2L_trial4.tsv	07_PRE_isometric_2L_trial5.tsv	07_PRE_isometric_2L_trial7.tsv	07_PRE_isometric_2L_trial8.tsv	07_PRE_isometric_2L_trial9.tsv	07_PRE_isometric_2L_trial10.tsv	07_PRE_isometric_2L_trial11.tsv	07_PRE_isometric_2L_trial12.tsv	07_PRE_isokinetic_2L_trial1.tsv	07_PRE_isokinetic_2L_trial2.tsv	07_PRE_isokinetic_2L_trial3.tsv	07_PRE_isokinetic_2L_trial4.tsv	07_PRE_isokinetic_2L_trial5.tsv	07_POST_CPM_5L_trial3.tsv	07_POST_CPM_5L_trial1.tsv	46
10	PRE	L	STRNG	10_PRE_isometric_2L_trial1.tsv	10_PRE_isometric_2L_trial2.tsv	10_PRE_isometric_2L_trial3.tsv	10_PRE_isometric_2L_trial4.tsv	10_PRE_isometric_2L_trial5.tsv	10_PRE_isometric_2L_trial6.tsv	10_PRE_isometric_2L_trial7.tsv	10_PRE_isometric_2L_trial9.tsv	10_PRE_isometric_2L_trial10.tsv	10_PRE_isometric_2L_trial12.tsv	10_PRE_isokinetic_2L_trial1.tsv	10_PRE_isokinetic_2L_trial2.tsv	10_PRE_isokinetic_2L_trial3.tsv	10_PRE_isokinetic_2L_trial4.tsv	10_PRE_isokinetic_2L_trial5.tsv	10_POST_CPM_5L_trial1.tsv	10_POST_CPM_5L_trial2.tsv	46.75
13	PRE	L	STRNG	13_PRE_isometric_2L_trial1.tsv	13_PRE_isometric_2L_trial2.tsv	13_PRE_isometric_2L_trial3.tsv	13_PRE_isometric_2L_trial4.tsv	13_PRE_isometric_2L_trial5.tsv	13_PRE_isometric_2L_trial6.tsv	13_PRE_isometric_2L_trial7.tsv	13_PRE_isometric_2L_trial8.tsv	13_PRE_isometric_2L_trial9.tsv	13_PRE_isometric_2L_trial10.tsv	13_PRE_isokinetic_2L_part1_trial1.tsv	13_PRE_isokinetic_2L_part1_trial2.tsv	13_PRE_isokinetic_2L_part2_trial1.tsv	13_PRE_isokinetic_2L_part2_trial2.tsv	13_PRE_isokinetic_2L_part2_trial3.tsv	13_POST_CPM_5L_trial1.tsv	13_POST_CPM_5L_trial2.tsv	49.75
24	PRE	L	STRNG	24_PRE_isometric_2L_trial3.tsv	24_PRE_isometric_2L_trial4.tsv	24_PRE_isometric_2L_trial5.tsv	24_PRE_isometric_2L_trial6.tsv	24_PRE_isometric_2L_trial7.tsv	24_PRE_isometric_2L_trial8.tsv	24_PRE_isometric_2L_trial9.tsv	24_PRE_isometric_2L_trial10.tsv	null	null	24_PRE_isokinetic_2L_trial1.tsv	24_PRE_isokinetic_2L_trial2.tsv	24_PRE_isokinetic_2L_trial3.tsv	24_PRE_isokinetic_2L_trial4.tsv	24_PRE_isokinetic_2L_trial6.tsv	24_POST_CPM_5L_trial2.tsv	24_POST_CPM_5L_trial1.tsv	42.5
28	PRE	L	STRNG	28_PRE_isometric_2L_trial1.tsv	28_PRE_isometric_2L_trial2.tsv	28_PRE_isometric_2L_trial3.tsv	28_PRE_isometric_2L_trial4.tsv	28_PRE_isometric_2L_trial5.tsv	28_PRE_isometric_2L_trial6.tsv	28_PRE_isometric_2L_trial7.tsv	28_PRE_isometric_2L_trial8.tsv	28_PRE_isometric_2L_trial9.tsv	28_PRE_isometric_2L_trial10.tsv	28_PRE_isokinetic_2L_trial1.tsv	28_PRE_isokinetic_2L_trial2.tsv	28_PRE_isokinetic_2L_trial3.tsv	28_PRE_isokinetic_2L_trial6.tsv	28_PRE_isokinetic_2L_trial7.tsv	28_POST_CPM_5L_trial1.tsv	28_POST_CPM_5L_trial2.tsv	42.75
29	PRE	L	STRNG	29_PRE_isometric_2L_trial1.tsv	29_PRE_isometric_2L_trial2.tsv	29_PRE_isometric_2L_trial3.tsv	29_PRE_isometric_2L_trial4.tsv	29_PRE_isometric_2L_trial5.tsv	29_PRE_isometric_2L_trial6.tsv	null	null	null	null	29_PRE_isokinetic_2L_trial1.tsv	29_PRE_isokinetic_2L_trial2.tsv	29_PRE_isokinetic_2L_trial3.tsv	29_PRE_isokinetic_2L_trial4.tsv	29_PRE_isokinetic_2L_trial5.tsv	29_POST_CPM_5L_trial1.tsv	29_POST_CPM_5L_trial2.tsv	44.5
31	PRE	L	STRNG	31_PRE_isometric_2L_trial1.tsv	31_PRE_isometric_2L_trial2.tsv	31_PRE_isometric_2L_trial3.tsv	31_PRE_isometric_2L_trial4.tsv	31_PRE_isometric_2L_trial5.tsv	31_PRE_isometric_2L_trial6.tsv	null	null	null	null	31_PRE_isokinetic_2L_trial1.tsv	31_PRE_isokinetic_2L_trial2.tsv	31_PRE_isokinetic_2L_trial3.tsv	31_PRE_isokinetic_2L_trial4.tsv	31_PRE_isokinetic_2L_trial5.tsv	31_POST_CPM_5L_trial3.tsv	31_POST_CPM_5L_trial2.tsv	43.5
