Joint_angle	f24_1_CON_PRE_R	f24_1_CON_POST_R	f24_1_STR_PRE_L	f24_1_STR_POST_L	f24_3_CON_PRE_L	f24_3_CON_POST_L	f24_3_STR_PRE_R	f24_3_STR_POST_R	f24_4_CON_PRE_L	f24_4_CON_POST_L	f24_4_STR_PRE_R	f24_4_STR_POST_R	f24_5_CON_PRE_L	f24_5_CON_POST_L	f24_5_STR_PRE_R	f24_5_STR_POST_R	f24_6_CON_PRE_L	f24_6_CON_POST_L	f24_6_STR_PRE_R	f24_6_STR_POST_R	f24_7_CON_PRE_R	f24_7_CON_POST_R	f24_7_STR_PRE_L	f24_7_STR_POST_L	f24_8_CON_PRE_L	f24_8_CON_POST_L	f24_8_STR_PRE_R	f24_8_STR_POST_R	f24_9_CON_PRE_L	f24_9_CON_POST_L	f24_9_STR_PRE_R	f24_9_STR_POST_R	f24_10_CON_PRE_L	f24_10_CON_POST_L	f24_10_STR_PRE_R	f24_10_STR_POST_R	f24_11_CON_PRE_L	f24_11_CON_POST_L	f24_11_STR_PRE_R	f24_11_STR_POST_R	f24_13_CON_PRE_R	f24_13_CON_POST_R	f24_13_STR_PRE_L	f24_13_STR_POST_L	f24_15_CON_PRE_L	f24_15_CON_POST_L	f24_15_STR_PRE_R	f24_15_STR_POST_R	f24_16_CON_PRE_R	f24_16_CON_POST_R	f24_16_STR_PRE_L	f24_16_STR_POST_L	f24_19_CON_PRE_L	f24_19_CON_POST_L	f24_19_STR_PRE_R	f24_19_STR_POST_R	f24_20_CON_PRE_L	f24_20_CON_POST_L	f24_20_STR_PRE_R	f24_20_STR_POST_R	f24_21_CON_PRE_L	f24_21_CON_POST_L	f24_21_STR_PRE_R	f24_21_STR_POST_R	f24_22_CON_PRE_R	f24_22_CON_POST_R	f24_22_STR_PRE_L	f24_22_STR_POST_L	f24_24_CON_PRE_R	f24_24_CON_POST_R	f24_24_STR_PRE_L	f24_24_STR_POST_L	f24_25_CON_PRE_L	f24_25_CON_POST_L	f24_25_STR_PRE_R	f24_25_STR_POST_R	f24_26_CON_PRE_L	f24_26_CON_POST_L	f24_26_STR_PRE_R	f24_26_STR_POST_R	f24_28_CON_PRE_L	f24_28_CON_POST_L	f24_28_STR_PRE_R	f24_28_STR_POST_R	f24_29_CON_PRE_R	f24_29_CON_POST_R	f24_29_STR_PRE_L	f24_29_STR_POST_L	f24_30_CON_PRE_R	f24_30_CON_POST_R	f24_30_STR_PRE_L	f24_30_STR_POST_L	f24_31_CON_PRE_L	f24_31_CON_POST_L	f24_31_STR_PRE_R	f24_31_STR_POST_R
-7.5	50.080620329039	75.5079194698906	115.482809337149	105.097981759741	52.6940745006063	53.6118245700787	48.2529755764857	32.1403272739567	64.4687806823754	97.4808162208238	61.7494526007085	92.4701204027555	51.4177926339061	NaN	12.7252109200523	54.1022432083856	38.3757343715482	74.0910337408942	48.8654298633242	109.529134471371	71.9114601380797	88.5327549069496	45.7040933346694	83.8146112442606	NaN	NaN	NaN	NaN	99.4601154045457	95.8661873975237	NaN	77.3319387472273	65.6005332902228	78.1694913185749	NaN	76.3422558243835	16.0112233419559	88.14944987463	NaN	74.2388747829579	102.682472505583	119.419127385766	74.2580600932007	63.8330828986817	97.5992103789462	113.96219459323	154.983027497774	119.631358655766	42.3350487121371	42.6185168609176	47.5341429809262	64.8203585537798	NaN	69.1114484479342	106.119282941255	102.215484479544	137.811306098109	114.366704990094	100.332447074491	95.5064391598306	9.51942163861143	23.9946217416041	43.7227892093054	NaN	11.302009067522	36.7780456862873	41.5533274668316	NaN	29.7983645652792	53.7311041475046	49.0688855553474	49.6880926706822	99.4124993992939	114.990979030634	109.197505513549	94.2146319795814	70.7250744681142	65.3856742966763	82.0684458098736	116.240747586901	75.7070782357357	88.7461172217671	73.0319116588798	89.5547304882512	66.3263476679085	80.4822254332924	69.2801334685173	81.7948888704711	59.6993778347865	102.243800811896	95.6483949908215	88.4239193938336	75.2302416927225	31.4356396161189	25.1650885176964	75.0136772563168
-5	90.4058403812882	120.487050235591	140.733724208644	138.690657467977	72.488717958599	75.1590571119704	69.1420695096484	55.5727653430141	96.2144327211793	123.511145462241	101.827879660362	123.796784054405	66.0418164369941	9.8074257295903	25.5823022776572	69.7713735576977	85.9095099547689	116.485172671627	105.261950018696	138.34928433845	101.965692055415	109.549820788031	80.359153443727	107.483868453842	NaN	NaN	NaN	NaN	127.631467204601	121.754193675953	33.6869225112989	102.695343068514	103.618788728088	107.969112933795	47.4278089364099	113.375653041912	44.2649290810249	122.872558748492	8.05452951672047	118.53571615147	142.216690436651	159.866796254172	128.621292268049	114.738553177916	147.561785392039	165.376758368078	175.761368154733	168.625797962101	67.6472974976639	68.9791006411269	72.8405572129105	82.9698308597925	47.1434406876891	122.003784247104	134.88763073983	128.548770335464	174.24677512526	144.232059801755	141.38200147863	129.811537221647	58.3156275111386	84.9193470832973	114.803219028573	69.0275568879051	58.5651810911471	99.6727685727927	94.3535348206942	16.6338074306947	50.6584601918958	75.4993396865804	87.2793939090259	76.3406325575869	132.877620066658	149.250298394164	143.510030486639	135.4672145597	107.724750586237	103.570935398661	128.234087521048	148.638706191531	101.5886783417	107.253698587642	95.7780953812103	104.665722360953	93.4793371060504	97.1772924427401	95.038885271096	100.875465221881	101.226083841303	128.989604409402	135.495002851589	119.323151957322	102.57285522462	66.9597372721081	48.020097199107	107.005567448453
-2.5	118.070549085692	147.289161167827	154.164851379121	155.224623974913	82.8190546462071	86.6485523511834	81.6836545870169	75.0124284449128	115.495617431965	132.723011151079	123.55457795637	134.930440224385	74.8605621859583	27.5665710572682	37.5202358946234	76.4224496053635	115.264777199028	137.739950977425	137.426511869463	151.227354337161	116.109399143635	118.598793065451	104.984163171874	117.280197408877	NaN	NaN	NaN	NaN	138.82593642482	132.466496859893	67.7087012041381	113.846108593484	123.364429933304	125.245725664526	87.584573719507	130.558539112242	85.743123032262	133.757494356766	22.8802922745461	140.214309745318	162.944923872393	181.012394237301	157.351158572925	145.951685099688	163.882038884675	182.931448784277	179.687141031778	188.407374072691	81.294398457837	84.4032559659149	85.4732129075059	90.7414512731307	100.747318764966	141.282046760452	144.467246388135	140.096777776761	182.756225781883	153.724474404415	155.958426744893	148.41920669114	121.021177210522	131.517379572405	163.782233392183	132.387865124588	112.268617506935	147.437646846417	143.731426824948	65.339650575989	64.3938525477058	89.6724014176482	106.950123356784	91.5747459360818	149.623463715552	162.411220179747	152.888000151789	158.449480076059	127.298238230653	125.649064274084	148.39512270408	152.706265113109	109.845537092491	113.224225186923	104.515754578815	110.277311007227	105.258708653111	104.922416663686	109.653841903203	111.075391064629	127.903509699089	143.39498431881	155.720776862219	138.847264206821	115.592127812603	90.4837943767597	66.8845868187974	122.589739073944
0	134.480457528005	155.021686610671	162.784410101327	162.569697161877	87.9166476158462	92.9572253430773	89.0261388941395	85.6048801516916	122.823564593667	136.325788359367	129.802041409364	138.697538018026	78.6622922062377	45.8074402435079	46.2529026604575	79.8476867189458	129.313069610966	145.773102604901	152.011008961537	156.235415931808	122.134248744268	120.160465660081	116.50901119834	119.531802103048	NaN	NaN	NaN	NaN	143.732337082186	135.885355495693	91.8751025201156	116.984054515127	131.284242700369	128.5165922867	116.5899133436	134.874303295433	114.434921088851	136.651200810732	49.091288942554	144.972186492466	170.061384896492	188.152302461834	171.262031356306	162.538806077968	161.387209073527	185.833554735864	174.63894946558	184.633563383212	87.7315770569446	90.820965629073	91.726222763833	92.0263862522611	143.329470882517	142.078575309257	148.40887785046	144.022513550187	181.567084346956	154.759537839277	161.298500624159	156.291275291694	156.30662257971	154.772604467368	188.342368688115	175.196907635499	144.361366724319	165.563828857307	169.689005349521	126.666925406487	75.0573250209164	95.2597893144085	115.769629939861	94.9546412489892	159.790753174067	163.686694134566	155.543458369834	165.048252303843	134.030133064833	134.202112421606	154.211774135708	151.236115252983	112.438166938162	112.584016380402	109.435509427461	109.045521204213	111.216516286644	108.600652207101	115.174448394151	115.493555771048	141.88307743769	151.161523677705	167.973750112161	150.501289427351	122.459804638084	104.011033369272	79.3714301184002	126.330899990014
2.5	141.622952502224	157.103345452372	166.156566223342	161.854743358903	88.0918338831295	93.5806051814809	90.2782814869081	91.3760136141907	126.927224493528	136.102049685777	133.2464393973	140.934474840482	81.0276698127159	60.2859663269909	52.3299668675491	79.6257006300164	132.863361674606	147.729191096956	157.021041274007	157.520399920704	122.100437623998	118.284259190076	120.893024455517	117.230093707008	NaN	NaN	NaN	NaN	144.077365711872	133.699434200643	107.079132962745	117.723522814988	133.064837672582	128.021154633764	126.852324066427	134.1442625115	123.71360711023	132.117907894564	79.7847123402214	144.577320914377	170.8753276695	191.323170476351	175.005154682357	171.000606817253	150.715953696553	181.576960941063	167.114018299051	177.418108087763	89.2701763623042	93.1478557967018	92.5139171583869	91.0508837634645	155.223031904333	135.18301703106	143.892331839202	142.087010598775	173.357348004606	153.506042776831	160.05984712616	156.649802824801	174.109899881718	167.061233587271	197.59554773853	189.765482165321	159.432776357654	172.346035210608	178.640005839486	161.991632853814	83.6848501298657	97.1013256741449	118.700940287734	96.6902009687716	161.904936346771	158.866522367282	157.445021420587	165.194741960686	133.59558932964	134.44629384231	154.345612107916	149.884844686874	110.249501343801	108.047734885007	107.838706276646	105.791979372244	112.724123337587	109.083218863246	116.417450709227	117.036220932685	150.072157525933	155.001341736631	170.082999032275	154.125703148013	123.672945161695	109.211603999475	88.9207313280231	128.16145592176
5	141.129586935927	153.273341987071	161.817618717948	158.718562203965	86.1946734911129	91.3490061638391	88.8816781693584	90.8378738938673	129.21695320431	132.220515627206	130.136388830808	137.581510760257	82.0597961760681	66.5232838412349	56.839251271155	77.2024876812165	132.560501806857	144.485325008125	153.452018392946	153.396222301773	118.546065701631	112.295496153004	118.596141295172	111.841683637084	NaN	NaN	NaN	NaN	143.534027964146	130.105163043458	114.341923292944	114.85409573536	128.809785393006	123.253983911941	128.861003333186	127.688103691988	126.32656646815	124.422388476152	95.935418221435	138.960279752268	160.388924751307	187.184328321889	173.497212997491	173.995427256753	143.234555482342	174.334336102099	159.261734413063	169.911141323643	87.7513392647987	90.7906105272777	84.2553431044335	87.4904092136034	160.687737739286	122.920688399877	134.76315486689	134.628668443164	166.490833784147	148.549479512884	148.579595908053	152.537827612088	186.267112532547	177.836231936149	200.212348056807	196.136499089442	166.309054447417	171.327297846417	181.242488749055	175.051605744221	86.0352066813077	97.3412385826265	115.291645498195	94.4730014728417	154.652284142448	150.135949584596	156.313347778871	158.38948745627	129.817593430035	129.857241277724	151.240099173719	146.840829389833	106.771155434758	102.105426708108	104.621299095605	100.215861772355	111.026621072696	105.175559932523	113.49786351028	114.841112210383	149.918918060874	153.637527702655	167.089868521501	152.706017548489	121.161333528769	108.452684735341	91.4537503450398	124.954642108531
7.5	136.869430232691	146.686022304045	154.861730557875	152.041786468705	80.1899494907734	86.0321908900384	84.6002494312719	88.4435247052883	129.135093911961	124.202461843519	126.248273038907	131.900672346294	80.9776709705473	68.6563013311586	59.0762187638058	73.6735694842319	128.384305905411	139.33702413796	147.019003800291	148.79645983378	112.560526994721	105.855027272289	114.71716376717	106.141226689419	NaN	NaN	NaN	NaN	138.71831840854	123.062740087105	116.235165859204	112.425824571305	122.050674070923	117.249853123885	125.065396707444	119.886605844528	121.102110907703	115.904169838742	102.791404326482	131.56162351296	144.941680812719	180.563735219272	168.817462530683	171.922439437841	137.725503213421	161.423381676427	150.894899571198	163.804063871675	83.5448906589571	88.2419890276857	77.0179924573095	83.7394973090646	158.293451469151	114.720633480073	127.742814119461	123.560179453123	156.046575864622	141.278032797862	136.281127211805	146.519138949305	190.173261271322	179.16957961015	195.43806033935	196.236779821737	169.178188639595	168.770066533706	181.410001599091	178.174036430144	85.2919030984717	97.4419750497148	109.625353453935	90.5278558768766	147.160076243361	143.758868664979	147.706423710684	153.530829957647	119.407507431012	121.326164843367	143.403785713365	136.216363154512	101.708404146249	96.8677858170934	100.688608262558	96.6752343103363	109.115039597678	99.7800264819067	108.818313417062	110.530695617046	147.171332458692	147.81866863578	160.397106240234	147.687803142295	114.773121059643	106.219001526603	88.9280869214202	120.950501073889
10	129.563527579745	138.038751926271	143.870997136255	145.103441682317	73.6603191839185	79.9811385707625	80.1959511501629	83.968887144957	125.031378799516	115.361681147247	121.458775887097	122.944301213391	77.56808590366	66.9382972548889	59.6876970034815	69.8956390599908	122.754402023739	132.74070726914	139.240797256	141.996703054796	105.544207986753	97.9490177077226	107.690726518484	99.5116043737739	NaN	NaN	NaN	NaN	131.154419806174	113.389390665567	112.575951006032	108.076986338717	113.943062707985	109.830798799002	117.796039412065	110.24553183135	113.499791894482	107.717894554677	105.88284894097	118.899175037161	128.13345215574	169.680013802298	158.569207787558	165.692880202952	130.15447944707	142.780022144293	143.79296932069	155.293882816494	76.5362805485159	83.4550206513301	75.1961697637579	77.735973516991	149.869043112018	107.648026182466	114.489203368318	109.583234572121	145.753943155375	130.911258664687	125.59809137268	135.24517792537	190.487548355267	178.373269625634	190.84292631439	187.2732709284	165.800504644971	162.004181871435	175.980884858853	173.898543976979	83.8462356904371	90.1104172139381	103.489223587092	91.1223781213873	139.12211909721	136.76339705036	132.634099474171	144.940635679899	106.42649571025	110.198753667507	133.258530915967	121.398640125824	96.7411964686406	92.469311334383	97.7274580038097	93.4038555429841	105.474166910218	91.8526083646538	102.712099249736	103.39347764166	136.856584464113	137.865027868852	153.407554423637	142.000200774188	106.887423698981	103.066695568315	85.6533216472018	113.71841905194
12.5	122.563141039683	129.431639467959	132.272604567714	136.160495778788	69.1361734155767	74.0545833177597	76.0398078383885	78.9284746962322	119.055976464192	108.19382702388	116.515127777488	113.917117757917	73.5281351811546	65.0558591054471	59.3554994313223	66.6301606965281	115.622829820094	127.326649930085	131.468817941019	134.085129716247	96.2258188445986	90.0346683700548	101.097991429048	92.3721733942781	NaN	NaN	NaN	NaN	120.976435628025	102.704115756805	106.523618338254	102.64598436525	106.198201925167	102.517552795157	108.256839249065	100.897370413104	106.121142846944	95.0880224896216	101.16263818358	107.049052230549	115.761977612795	155.185663962718	146.607319689938	157.107072289987	121.164649534648	127.634260945532	135.610420441392	146.662420316461	71.8549112734977	77.952876117728	73.8490802942708	71.5268006437921	138.154285085401	97.5813163690304	97.845219811896	96.1325312319945	133.665309747813	120.73603941218	118.104383429756	124.156767647546	184.269442064462	175.176740191988	182.805522832202	176.559109277372	160.637365070684	152.116283101195	167.971575550478	165.278073462114	80.9991887158515	80.3428361326525	97.4901053769774	92.7338811451254	129.670256307418	128.714641175936	123.072238207386	134.207624369103	96.7435428082953	98.5185985028181	121.932424639645	111.399519683277	91.7493506647217	87.1161528187178	94.1877965319978	89.8011954418108	100.683840685784	83.2355704803545	96.9436021847953	95.5027132426723	125.24129123308	127.877661635608	145.9011013631	135.134008330194	97.7594874129367	96.3599426430082	79.2931623201975	105.488290864602
15	113.407962833334	117.487304720243	121.632118868155	126.175494156602	64.3504892283865	68.1884824424717	71.510531819536	73.9401566306182	110.872897734756	99.4610721169842	109.874293342162	102.736566456888	68.4789985807186	61.6415896834763	53.1722428673608	63.2091809172215	108.804048903202	120.091295628545	122.552520343257	126.771233539377	85.2753963033572	80.4870292337585	91.8892631817165	85.2339355043355	NaN	NaN	NaN	NaN	111.696808910521	95.3564232314515	96.1097803714482	94.7262736376778	98.0010874912233	95.0591258712821	98.5063924593654	91.9695925731183	96.7733845950041	85.2091957081906	91.865527465728	92.9506264967419	105.204243232829	134.996091873246	135.180230596236	147.313386321514	113.408136679668	119.12614344893	125.021363437787	130.916544173772	67.6728216693099	71.9086341185463	70.9310145711677	65.060595888277	128.937882436627	86.9800827772513	86.840811717418	81.4955171507666	120.981308185443	110.801024351627	108.796255750487	114.05964517256	177.000487221054	170.454475325952	171.734809533187	168.552165000042	151.053236544572	138.637260242091	159.040446008103	153.128656034538	77.3969470023028	75.9076839369811	90.963510480016	88.6639033051255	119.262302606377	119.445834915654	116.541892584568	122.558293290583	89.3533926046048	86.2385212434585	111.498472369545	96.9317504261333	86.7655340109702	79.6453452060907	90.4281728481148	84.7139644051254	92.855151961673	73.3515979142115	90.1321543429498	87.7340272907554	116.533803265386	117.332263708299	138.065386576112	127.388633302839	86.7501137144376	86.6698383975532	66.9593160111419	95.7615224970444
