Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	385.985763146823	467.575065826968	385.61185277203	457.458709063364	382.375562228497	455.530736927641	379.363299785102	454.389783568543
0.5	386.165403706816	467.843168079399	385.840756299186	457.839157652902	382.602328692129	455.873456951361	379.580154758852	454.725622117625
1	386.346139026108	468.138282630186	386.075888822769	458.254322917656	382.837833410765	456.239486771594	379.805010536532	455.119529979809
1.5	386.431913641852	468.435038192542	386.312426646824	458.643042575662	383.051170694303	456.548075178762	380.027884217805	455.496150098177
2	386.617563995032	468.746121272008	386.495046334501	459.08386590911	383.311910620299	456.83807130595	380.285851683524	455.869763213976
2.5	386.742085068487	469.078440162359	386.700411108673	459.477225944203	383.581559210667	457.149213265855	380.518728266768	456.279253739928
3	387.024331927857	469.38132200424	386.960655006683	459.880965970439	383.800405102482	457.451596217693	380.67805412875	456.618589907535
3.5	387.315455789418	469.687971428628	387.185970292212	460.275406531835	384.017385626559	457.72747380133	380.856672861479	456.875257181417
4	387.195122449696	469.981610803711	387.375180724528	460.654796919401	384.240550838038	457.946175414496	381.030064537178	457.164151628667
4.5	387.144637576645	470.252588440921	387.606725592488	461.017701162777	384.442522362706	458.165203944306	381.231549953986	457.480439885722
5	387.323483232963	470.577316269208	387.858088461672	461.443422732394	384.669848876917	458.403375280777	381.433802383633	457.79421989094
5.5	387.478055391438	470.862353887701	388.133315916368	461.838399587481	384.889160479061	458.661816753398	381.675319426816	458.095218071162
6	387.800541619959	471.165135010658	388.35670743548	462.191886167889	385.127926729183	458.939463430584	381.897052688927	458.400244983422
6.5	388.099797281314	471.425747706555	388.575514319888	462.611429096646	385.397285469117	459.20229825212	382.124933928468	458.733126214509
