Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	3.60406241717217	5.73377594012877	2.68711086049873	7.22792052205715	3.64588172880984	NaN	2.38574003289916	NaN
0.5	3.68534144141303	5.78111608187798	2.74851868188975	7.29130125076189	3.74698335893659	NaN	2.43830241976903	NaN
1	3.77015181656171	5.83062435891839	2.79612996812317	7.3566848941687	3.84948553542441	NaN	2.49479414352933	NaN
1.5	3.84959389387166	5.85412033887362	2.83911673903621	7.42245931152476	3.9322202725259	NaN	2.55065623406041	NaN
2	3.93097923705834	5.9049749762178	2.89468107572061	7.47324063414307	4.01656765902537	NaN	2.6029284247205	NaN
2.5	4.01596520077779	5.93908465564346	2.94180748699775	7.53034671610097	4.11239210360756	NaN	2.66315759839781	NaN
3	4.09930179200278	6.01639968052192	2.9925907902713	7.60271311598044	4.20127757150282	NaN	2.72941795577941	NaN
3.5	4.17943434815298	6.09614635564701	3.03726954718015	7.66536686569809	4.29185881679144	NaN	2.77877122794507	NaN
4	4.25762668516517	6.06318380940273	3.08132886058955	7.71798088628052	4.38068165336219	NaN	2.83518494630337	NaN
4.5	4.33290126454934	6.04935464147284	3.11643025523658	7.78236690506081	4.47910876272373	NaN	2.89832647585745	NaN
5	4.40622557940665	6.09834528887436	3.15070053569989	7.85226374431554	4.57636562471887	NaN	2.96675389073371	NaN
5.5	4.48060580455913	6.14068677074145	3.19846125521211	7.92879664363258	4.68637918079484	NaN	3.02318301011306	NaN
6	4.55210712127722	6.22902444378645	3.23371060785703	7.99091544881995	4.79536679709746	NaN	3.07925620000556	NaN
6.5	4.63191700516133	6.31099863812942	3.26992368839544	8.05175939795555	4.90363097869448	NaN	3.12471790549399	NaN
