Joint_angle	STR_PP_15__15	STR_PP_16__16	CON_PP_15__15	CON_PP_16__16
0	-1.13165578670585	-2.08769859701913	-1.22175583159213	NaN
0.5	-1.04385950344393	-2.13335852233648	-1.01005236546621	NaN
1	-0.885180820003541	-2.21097871157787	-0.821245813350799	NaN
1.5	-0.728653150263185	-2.37985778415751	-0.693895631937679	NaN
2	-0.622885449909347	-2.38284532644627	-0.542860806190873	NaN
2.5	-0.461859324624555	-2.45770161291564	-0.381658299442776	NaN
3	-0.31706389365165	-2.43977232121972	-0.284706442342561	NaN
3.5	-0.167021040473664	-2.38362776188482	-0.0940491427212686	NaN
4	-0.0239843758847229	-2.71821088246279	0.0617827655314045	NaN
4.5	0.145604901097869	-3.00890577023048	0.215491817281148	NaN
5	0.311285304999707	-3.08293744060315	0.341120098464934	NaN
5.5	0.419551735686866	-3.19169501251999	0.565547710689643	NaN
6	0.566761687898165	-3.09714777997979	0.805934910362012	NaN
6.5	0.742506689745738	-3.00835945288617	1.08021879094478	NaN
