Joint_angle	STR_PP_7__7	STR_PP_8__8	CON_PP_7__7	CON_PP_8__8
0	-183.420166599673	62.7667216092063	-145.353555385447	-14.7012721805149
0.5	-189.724197399324	60.3841883536127	-150.433275274997	-19.211002789592
1	-196.179437195426	58.4533043528326	-156.270928900908	-23.6770900143674
1.5	-202.512170558067	56.7229052476008	-162.443843029869	-27.5843778554638
2	-208.667315067993	55.1258730633643	-168.874198222783	-31.6639141331674
2.5	-214.856950446879	53.4059822625935	-175.385159461744	-35.942884519526
3	-221.339215691136	51.5316335784458	-181.768762078579	-40.3925497524287
3.5	-228.111816576562	49.7493574109828	-187.897596754922	-44.9689037037911
4	-234.839891115707	48.4217170495461	-193.788414074812	-49.6372731178305
4.5	-241.101427509267	47.7913942586357	-199.583660257321	-54.3640684862831
5	-246.72189486962	47.8481593208312	-205.460193520054	-59.0919857563591
5.5	-251.888823882174	48.3499329382563	-211.528815620743	-63.7355507048194
6	-256.945349492972	48.9836334905207	-217.800475042807	-68.1929464681046
6.5	-262.112493260057	49.5407205750287	-224.239480430545	-72.3696840644117
7	-267.397075311005	49.9935711930275	-230.881508912516	-76.2022152553093
