Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	5.73190768892721	5.70949979339452	7.22764971346713	2.01937845725415	NaN	5.07591532721696	NaN	NaN
0.5	5.78111608187798	5.77011242454047	7.29130125076189	2.10422355446317	NaN	5.15496953206872	NaN	NaN
1	5.83062435891839	5.83683200354586	7.3566848941687	2.19681093213921	NaN	5.2394005381023	NaN	NaN
1.5	5.85412033887362	5.90392258289932	7.42245931152476	2.28350058766048	NaN	5.31058170484709	NaN	NaN
2	5.9049749762178	5.97425233127124	7.47324063414307	2.38181005602731	NaN	5.37747424586668	NaN	NaN
2.5	5.93908465564346	6.04938307762256	7.53034671610097	2.4695345773777	NaN	5.44924443299877	NaN	NaN
3	6.01639968052192	6.11785868794018	7.60271311598044	2.55957397485514	NaN	5.51899420588553	NaN	NaN
3.5	6.09614635564701	6.18718607434946	7.66536686569809	2.64753946794716	NaN	5.58263006460823	NaN	NaN
4	6.06318380940273	6.25357214522523	7.71798088628052	2.73214857203725	NaN	5.6330773128927	NaN	NaN
4.5	6.04935464147284	6.31483484415453	7.78236690506081	2.81308104663067	NaN	5.68359997006329	NaN	NaN
5	6.09834528887436	6.38824940110166	7.85226374431554	2.90802262073919	NaN	5.73853824130543	NaN	NaN
5.5	6.14068677074145	6.45269078447593	7.92879664363258	2.99610771445947	NaN	5.79815216434665	NaN	NaN
6	6.22902444378645	6.52114362423123	7.99091544881995	3.07493992491193	NaN	5.86219609459755	NaN	NaN
6.5	6.31099863812942	6.580063014371	8.05175939795555	3.16850357990406	NaN	5.92282341831886	NaN	NaN
