Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L
0	-0.716774448147973	3.7017112820652	4.57607183603233	-1.49844776139086	5.59164467164714	10.8485104428157	11.3329921850978	10.6734840190012
0.5	-0.619164196279819	3.74712314661009	4.70858805721927	-1.42407940762503	5.70321215987139	10.8830919547692	11.5241781522719	10.9460734349871
1	-0.519683451437039	3.77678572384441	4.86774771856069	-1.26465610837493	5.77476917936282	10.8655599603609	11.7111280073351	11.1642247472253
1.5	-0.429374047683865	3.826936549826	5.01089719240451	-1.22380799008433	5.83715448387153	10.754326591418	11.9077008849859	11.3941407630317
2	-0.314283691502141	3.83784683623934	5.17620783755828	-1.18203425168401	5.96405318177504	10.6163948579533	12.0963939380912	11.6324466923594
2.5	-0.226903225813899	3.88642276553365	5.33296768261825	-1.12493233680683	6.07230594230598	10.5036250877106	12.3358262760036	11.9194768671269
3	-0.102746798669266	3.98585145933745	5.49134539399485	-1.03059357226413	6.1647939645159	10.3708208895809	12.5792539322526	12.1787247295346
3.5	0.0412499210950656	4.05306002301262	5.60137624092726	-1.01499112439337	6.19380330066603	10.2923282521013	12.7792028071566	12.4314176551515
4	0.131862640918584	4.10630996366986	5.70285203385411	-0.918026872747582	6.23775452035772	10.249386203507	12.9947840975227	12.6418795983464
4.5	0.235933615559979	4.18829452141356	5.82214837520791	-0.911894045263935	6.34489585809477	10.2336425015161	13.1896789033532	12.846841044486
5	0.329291155471644	4.288930806973	5.9311040602542	-0.756292228446021	6.46194222651353	10.2851226392424	13.360400362221	13.0604247702328
5.5	0.424032805358813	4.39811407770596	6.01909817548493	-0.779604438377696	6.55906253468756	10.2802917929105	13.5915487303342	13.2536579470163
6	0.597717406455082	4.49356043739984	6.11433339247849	-0.732664276332649	6.60584457252688	10.2842349884302	13.7977716439813	13.4354438748324
6.5	0.74059184642843	4.61404666438625	6.20706251790115	-0.615676889576037	6.65598865681368	10.3012043544505	13.974509956504	13.6215590710415
7	0.852672953751977	4.72969141780957	6.33813405661173	-0.557314668077133	6.74671345665785	10.2534293560845	14.1654437691627	13.8478785823948
