Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	471.890099354034	332.526614224237	536.660739855278	294.564268725495	354.009250882516	305.434524657437	488.375413680222	319.587981944199
0.5	480.725365204779	339.637278345491	546.310879633455	297.755177871747	360.565089934241	310.143853601548	496.503436815573	323.306935768003
1	489.298948336296	346.950191602785	556.018283553855	301.151277350374	367.268861902963	314.554269392924	505.125871173902	326.921111052918
1.5	497.888997108996	354.398063828345	565.732969194286	304.81377931351	374.171054984155	318.584786868068	514.174745944118	330.407578449387
2	506.65752474643	361.848493137594	575.453980524995	308.793383994335	381.440910299461	322.241627100953	523.513498478896	333.736735511148
2.5	515.523184129567	369.399613603694	585.214171876646	313.041592472788	388.99053639219	325.801777776679	533.059745720803	336.979361522964
3	524.536027023642	377.213150675801	595.029520461471	317.521042821076	396.615154820595	329.361347354717	542.804123180239	340.209381780954
3.5	533.845862503062	385.371109478747	605.122377660407	322.219030219903	404.356592404537	333.079869486779	552.818345328772	343.493021356887
4	543.735654492021	394.040697460683	615.6522085048	327.130361936647	412.392007072023	336.898176080988	563.235157498121	346.879075439656
4.5	554.135998770887	403.087927183199	626.669320971385	332.251564297763	420.729804066719	340.763542184255	574.14040757126	350.371225749836
5	565.027899767652	412.323866948794	638.157874922803	337.614681947782	429.627942372428	344.646417396192	585.526939825087	353.971285324512
5.5	576.25702922926	421.448890711705	650.125673139672	343.211711574035	439.248083794655	348.629074203488	597.330927424642	357.602965291095
6	588.009431244246	430.347344022055	662.496101748184	349.046970480073	449.608912816431	352.778241755462	609.439262344255	361.265110354324
6.5	600.030073408795	438.950166028978	675.162027097133	355.140857430718	460.689316400131	357.189486879108	621.722027661374	364.945043371028
