Joint_angle	STR_PP_7__7	STR_PP_8__8	CON_PP_7__7	CON_PP_8__8
0	5.29284628418031	-5.20015904345606	5.74134751345065	-0.175026423814536
0.5	5.32775225349909	-5.17120255423512	5.82096599240051	0.0629814802178643
1	5.38743116999773	-5.04144183221933	5.93635882797231	0.2986647868644
1.5	5.44027124008838	-5.05074453991033	6.07054640111439	0.639814171613644
2	5.49049152906042	-5.01988108792334	6.13234075631613	1.01605183440613
2.5	5.55987090843215	-5.01135510234047	6.26352033369765	1.4158517794163
3	5.59409219266411	-5.01644503160158	6.41445996773675	1.80790383995369
3.5	5.56012631983219	-5.06805114740599	6.58539950649052	2.13908940305026
4	5.57098939293553	-5.02433683641744	6.75702957716498	2.39249339483938
4.5	5.58621475964793	-5.1001885666775	6.8447830452584	2.61319854296993
5	5.60181290478256	-5.04522303541902	6.89845813570742	2.77530213099031
5.5	5.59506537012611	-5.17771851608365	7.03248619564668	2.9733661541058
6	5.51661598602341	-5.22622471373249	7.19192707145438	3.15120888640222
6.5	5.46647067147272	-5.22972355396229	7.3185212996903	3.32035471659105
7	5.48546110285975	-5.2870060858867	7.4187303125048	3.5944492263103
