Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	7.3940075517282	-6.25287263514889	5.846994541636	-8.56727787582346	9.33195902833817	NaN	9.10367658437629	NaN
0.5	7.52948598618058	-6.01677850459257	6.06911189337269	-8.38629308418612	9.3795526682603	NaN	9.35800095488319	NaN
1	7.6478772663177	-5.78990326138472	6.35043033851303	-8.21381504526992	9.41953305979413	NaN	9.59350051102813	NaN
1.5	7.78828556270182	-5.46937118962879	6.65054838879384	-8.04404618182414	9.5435728108603	NaN	9.83022063260584	NaN
2	7.9185845922911	-5.25001873030887	6.89369323847929	-7.82166305700164	9.6590807547877	NaN	10.0811773446329	NaN
2.5	8.03149210372945	-4.97084086626322	7.17243524123923	-7.62332889367305	9.72333690487037	NaN	10.2956000461048	NaN
3	8.15007604370051	-4.85069266313354	7.43349838676711	-7.48117772918377	9.81609594136128	NaN	10.4819563026386	NaN
3.5	8.2811674448033	-4.7407253371942	7.71988047100945	-7.30540182721226	9.89996316668576	NaN	10.7411036106136	NaN
4	8.41921322563434	-4.22060468497249	8.00742036883064	-7.09482494702885	9.98989769187284	NaN	10.9676588994647	NaN
4.5	8.56850859299718	-3.77163637442155	8.33284791907186	-6.92788637748804	10.0366909309335	NaN	11.1630847352258	NaN
5	8.72480247852686	-3.55330246823915	8.66036566319837	-6.78206968417294	10.0870043080432	NaN	11.3337211357106	NaN
5.5	8.87488604934374	-3.3119989392148	8.92688912525953	-6.66142145136874	10.0805241467824	NaN	11.5555650826635	NaN
6	9.03604850720336	-3.23991335523544	9.2469526908315	-6.49024115798067	10.0769391678683	NaN	11.7774261444181	NaN
6.5	9.15913319811872	-3.14590107909081	9.56120041733158	-6.31578010488816	10.0749393067158	NaN	12.0443970695392	NaN
