Joint_angle	STR_PP_7__7	STR_PP_8__8	STR_PP_3__3	CON_PP_7__7	CON_PP_8__8	CON_PP_3__3
0	-10.2751062841803	2.39939591845604	2.02467925225181	-0.846757513450598	-2.06244257618556	6.63372380967644
0.5	-10.3100122534991	2.37043942923509	2.0075053502257	-0.926375992400494	-2.30045048021793	6.64425279300826
1	-10.3696911699977	2.24067870721933	2.03914219021141	-1.04176882797231	-2.53613378686447	6.78143887922982
1.5	-10.4225312400884	2.24998141491028	1.92470758735908	-1.17595640111438	-2.87728317161367	6.85219239077014
2	-10.4727515290604	2.21911796292335	1.92081244704565	-1.23775075631613	-3.25352083440617	6.9232099570068
2.5	-10.5421309084321	2.21059197734053	1.99173173722266	-1.36893033369768	-3.65332077941639	6.89655473648355
3	-10.5763521926641	2.21568190660156	2.02339066551133	-1.51986996773678	-4.04537283995376	6.8351662899737
3.5	-10.5423863198322	2.26728802240598	2.03869065245362	-1.69080950649055	-4.37655840305035	6.83389634633494
4	-10.5532493929355	2.22357371141743	2.12532565566318	-1.86243957716493	-4.62996239483942	6.77490236467173
4.5	-10.5684747596479	2.2994254416775	2.26408215271533	-1.9501930452584	-4.85066754296997	6.79566809679625
5	-10.5840729047825	2.24445991041898	2.41199440214814	-2.00386813570742	-5.01277113099036	6.76846986550527
5.5	-10.5773253701261	2.37695539108364	2.49174575386172	-2.13789619564665	-5.21083515410589	6.84704947277163
6	-10.4988759860234	2.4254615887325	2.56372575309575	-2.29733707145436	-5.38867788640232	6.86905910272878
6.5	-10.4487306714727	2.42896042896228	2.72849705998715	-2.42393129969031	-5.55782371659109	6.89424811383833
7	-10.4677211028597	2.48624296088673	2.89416694343043	-2.52414031250481	-5.83191822631034	6.92609100799024
