Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L
0	-1.6690293309322	6.48895077605761	10.1825848272165	-2.39323267307348	13.6267106885891	22.7266826537558	28.9611600099236	23.0472626264902
0.5	-1.4417411319896	6.56855594545817	10.4774573098977	-2.27445591043887	13.8985981159132	22.7991279034514	29.4497306624529	23.6358651716615
1	-1.21009743788947	6.62055324856959	10.8316162503056	-2.01983438912513	14.0729809423634	22.7623999051419	29.9274760431863	24.106919475628
1.5	-0.999809467786032	6.70846562648785	11.1501496371525	-1.95459417598891	14.2250125083301	22.5293757042804	30.4298128021175	24.603377313471
2	-0.731818357512697	6.72759091911449	11.5179956254663	-1.88787561682921	14.5342617444015	22.2404207596493	30.9120128790688	25.1179514983285
2.5	-0.528350501535106	6.81274256657527	11.8668145419999	-1.7966757953204	14.7980712558456	22.0041779321429	31.5238758484046	25.7377359855509
3	-0.239248791696586	6.98703706192032	12.2192335027631	-1.64600346662246	15.0234624591181	21.7259647265707	32.1459487474522	26.2975301033506
3.5	0.0960515938928815	7.10485096694599	12.4640719739772	-1.621084154127	15.0941575504908	21.5615295009183	32.656912777544	26.8431701408662
4	0.3070458439415	7.19819596806127	12.6898739076904	-1.46621855177632	15.201265671682	21.4715696565647	33.2078250294425	27.297620784073
4.5	0.549378016389884	7.34191159552612	12.9553297744114	-1.45642356025886	15.4623666710954	21.4385879748095	33.7058735204827	27.7401941995647
5	0.766763656710693	7.51832295057814	13.1977758165945	-1.20790548602678	15.747606004646	21.5464343707959	34.1421476665021	28.2013857103466
5.5	0.98737223578486	7.70971682637492	13.3935785869045	-1.24513837724098	15.9842859832907	21.5363141693071	34.7328411714146	28.6186342643851
6	1.39180168260728	7.8770304504299	13.6054941140908	-1.17016830996196	16.0982927438224	21.5445748198075	35.2598383405909	29.0111647645217
6.5	1.72448880834422	8.08823795326667	13.8118331357239	-0.983322933341337	16.2204927349601	21.5801241607434	35.7114883960445	29.4130434573811
7	1.98547279856557	8.29095854795729	14.1034909394422	-0.890110224187778	16.4415870054929	21.4800397083782	36.1994146744182	29.9017353602661
