Joint_angle	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
0	-2.29263449511724	-6.40306357683775	-5.58299269793149	1.89143862323019	-0.893299846516607	-1.69970350458564	0.959911134969648	0.497123604176711	-7.43238100050419	-7.77056614748562	-2.19920777737867	-1.59632683816656	-3.00195505092686	-2.25233383840255	-4.69839804100177	0.626306822062256
0.5	-2.3326103250513	-6.65408912359321	-5.89763240415796	1.89875953597804	-0.988994588633595	-1.77080067299413	1.03303458009243	0.691382231494597	-8.5285385625633	-7.74362729442748	-2.27628192257638	-1.5785430267254	-3.13767202538111	-2.30726729197762	-4.92271739170218	0.652232093610209
1	-2.41822591350669	-6.90562711770524	-6.25284243801769	1.81757012871929	-1.08450577322286	-1.89090672067523	1.10626383143877	0.881877459823317	-9.6789541839479	-7.69533907048872	-2.38220855363247	-1.59863670486029	-3.27027533932839	-2.36629071194022	-5.14725575036198	0.671083337074052
1.5	-2.56117867676297	-7.14557500304679	-6.64633036117923	1.63148013215481	-1.17198448320146	-2.04347017094154	1.17537114720385	1.07629349396333	-10.9149050120964	-7.57765174461749	-2.5160447095826	-1.60174943218109	-3.40318619573972	-2.42509354463231	-5.3688527913111	0.686023982638687
2	-2.7623591546793	-7.37132481843135	-7.0699685854474	1.33401586151978	-1.27179474741477	-2.22601818281956	1.2370878475492	1.27454753533799	-12.2513962765565	-7.42665835480089	-2.68001148489763	-1.5921853541363	-3.54316418151768	-2.47861716723961	-5.59117639321701	0.698930567389624
2.5	-3.01422200767846	-7.58463567590507	-7.52379939649016	0.904857699269243	-1.37939434243835	-2.43806296235205	1.2870998685499	1.49543973229172	-13.6713113699753	-7.25996796357038	-2.88218277937778	-1.56274213878523	-3.69323955170677	-2.52732546380779	-5.82220317098806	0.71339321607879
3	-3.31325728748875	-7.79613440303618	-8.01148662133778	0.334170831154047	-1.50131541992083	-2.67088876006678	1.32227539395432	1.74724718318276	-15.1149232884272	-7.06647229744398	-3.12949602783428	-1.51226809216244	-3.85061193594091	-2.57661494689789	-6.0622329611752	0.731528622176757
3.5	-3.65881168299335	-8.02065048734601	-8.52798095724152	-0.373890667050603	-1.64526947113553	-2.92078915589754	1.33875317425217	2.03028580626979	-16.517326531772	-6.86465839732819	-3.42841532343079	-1.44407686060934	-4.01048895432962	-2.63299590087872	-6.30634551283514	0.756565711916457
4	-4.04737341476199	-8.26051614559032	-9.06295851465591	-1.19172366526772	-1.81416797927642	-3.19449282022243	1.33165707120084	2.34535447547583	-17.8402539715846	-6.62275684285484	-3.7814026001141	-1.3553501133989	-4.16798840557531	-2.69767607050728	-6.5504530660832	0.791223892985427
4.5	-4.49424364504148	-8.51840099282889	-9.59899733286577	-2.05245446604096	-2.00428392043447	-3.50085705486256	1.29799994773898	2.69705261490132	-19.0590009202112	-6.31913771072819	-4.18585871071997	-1.25592032531083	-4.32074881505004	-2.77103580350371	-6.78298755318785	0.836050906275425
