Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L
0	5.6851247448107	4.62759608645723	3.06268048794069	5.2134386757414	1.57086825702865	2.78833915672779	1.37528840907113	2.3048663940067
0.5	5.77173956363965	4.73059765164936	3.13988165326687	5.31038816577266	1.6517639417315	2.89148912313466	1.43730540410153	2.35401084299815
1	5.85752628594896	4.83686490646473	3.21004112257578	5.38725761464494	1.74202873833943	3.00602152423387	1.50001150248356	2.4149638805041
1.5	5.94527816788117	4.93805139436246	3.28386805818195	5.4912489674317	1.83417585950553	3.14130211740677	1.56001747657026	2.47293827669974
2	6.02640628735395	5.04791422441087	3.35177867320169	5.59466165572095	1.91031662070231	3.282241551764	1.62160361764208	2.52868783339579
2.5	6.1141892689661	5.14873988240986	3.42148390583334	5.69415713287208	1.990639782812	3.41716067016892	1.6704347229334	2.57320337016489
3	6.19231410701393	5.23749102781298	3.49043068134195	5.78465691660673	2.07444587124565	3.55623788407272	1.71794194936257	2.62357358912042
3.5	6.26506502282625	5.3333015306415	3.57116378058612	5.89304386126017	2.17331849872307	3.68273017390001	1.77573500667384	2.67505708889518
4	6.35096558810238	5.4319652860646	3.65369256548339	5.98220684374034	2.26821934310621	3.80086258694236	1.82935835295762	2.73562256307456
4.5	6.43310669719896	5.52364891930338	3.73139484178814	6.09206066167107	2.34743508178418	3.91251608219678	1.88769371298665	2.79706579569374
5	6.51760306981858	5.6106747846418	3.81134111977286	6.16690311068267	2.42390184444251	4.00867675551173	1.95159379299372	2.856232286925
5.5	6.60139438637471	5.69537026976939	3.89619802108143	6.28285415081721	2.50486178606269	4.11716515260081	2.00036974526082	2.91959348249875
6	6.66486056306353	5.78286794139831	3.97888462424802	6.38215642135288	2.59769814111453	4.2233238604103	2.05489434410744	2.98516071836019
6.5	6.73576587830169	5.86423648878423	4.06184818361578	6.46485747591107	2.68937397381687	4.3261952822412	2.11628252103807	3.04941011089315
7	6.81410607498521	5.94635836973106	4.13483275395994	6.56078387890975	2.77085363171699	4.44329365946179	2.17385238212252	3.10432851710876
