Joint_angle	STR_PP_16__16	STR_PP_20__20	CON_PP_16__16	CON_PP_20__20
0	-1.78137634265523	-2.84242933065188	0.663686483302813	-4.02047306180501
0.5	-1.9704955487857	-2.88508760141377	0.620744474698645	-5.01638658699849
1	-2.15960196848468	-2.93135800357605	0.585948352043417	-5.807063866267
1.5	-2.34239538422535	-2.98568830896466	0.560943941995362	-6.50845153875926
2	-2.51479014720372	-3.04655664079552	0.543402319759604	-7.14165859257364
2.5	-2.67876401343014	-3.10717679431759	0.528948121445534	-7.70751818310385
3	-2.84175701549193	-3.1591828040466	0.513716726106262	-8.23939327144351
3.5	-3.01313729173932	-3.19756785287678	0.496335295866178	-8.77094965146302
4	-3.19833217610953	-3.2230663612111	0.478046166813293	-9.30636763568107
4.5	-3.39419882069723	-3.24094967176339	0.460974439871404	-9.8326083202795
5	-3.58924314235604	-3.25734150934706	0.446084322040512	-10.3483993493617
5.5	-3.76908521372074	-3.2754872167878	0.430986371271398	-10.8699269418304
6	-3.92470858321299	-3.29449789879094	0.409709015937466	-11.4170305995681
6.5	-4.05548313670939	-3.31202146652161	0.375279534332247	-11.9953434909909
