Joint_angle	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
0	-10.0624056263011	4.78928132335193	-1.145665000458	0.855213241561046	0.681871293960569	-2.70920986831476	9.65760650328258	-7.77630757681254	-2.51708235349537	-1.97567280435112	-7.16924190323238	-7.67723235686202	-5.81137255795193	3.51269311050612	-3.80019189120196	-5.99744059512955
0.5	-10.1694369331284	4.68161537123217	-1.1339112079188	0.978013717816737	0.501003810654026	-2.80428039791894	9.8045348324751	-7.70243717133025	-2.80943226238713	-1.91064850881656	-7.28821409770342	-7.81817588517725	-5.82584127446586	3.36117031254304	-3.87881099018705	-5.92407924562224
1	-10.206422145075	4.60434278104412	-1.18698687986358	0.953807229118524	0.379562413623432	-2.82385280151942	9.99747145748779	-7.66206050905566	-3.14558471509145	-1.70854812931117	-7.46061979179007	-7.80572498456218	-6.01234174475519	3.24002964927035	-3.95699251625564	-5.85610700002451
1.5	-10.0651832911245	4.50940497027352	-1.22156465955635	1.06398041551745	0.359684225293563	-2.83001382876495	10.1703935855714	-7.68169310976708	-3.33330359999928	-1.41415254804906	-7.58689154404175	-7.69021693937361	-6.189869501462	3.18445469875792	-4.02017820145664	-5.80560455113351
2	-10.0600065651087	4.51127496095586	-1.21703930073909	1.14247486293027	0.319627557905619	-2.87298998904026	10.33257408819	-7.60965274054337	-3.571434261234	-1.32999048949216	-7.68009836486232	-7.52294803855239	-6.26606844607181	2.98428655985111	-4.05344088038584	-5.78111937680251
2.5	-9.88978586890079	4.54170170862056	-1.24727082295243	1.07232640526092	0.197363457038136	-2.91090726510186	10.4432725265006	-7.56276603864444	-4.03171589376365	-1.16792855853481	-7.81504175567068	-7.5530969492259	-6.37408339167149	2.76955162494983	-4.14021063373195	-5.69080723840142
3	-9.98952329469239	4.48536309869257	-1.30144730780586	1.09091372464326	0.102932995836056	-2.94593183971352	10.5922837185615	-7.54541144945182	-4.16880894222913	-0.912937095160487	-7.89506702192051	-7.62976378992795	-6.46463112398038	2.53375171315292	-4.17204504063244	-5.62547138706799
3.5	-10.128408313153	4.49110930822042	-1.30528631058701	1.03372655769181	-0.00760855098786806	-2.92879206183028	10.7693517485264	-7.58434827378198	-4.7660382185104	-0.761578290661589	-7.99416378733747	-7.59273340457997	-6.53044707296255	2.30594893952195	-4.19324264784086	-5.61012394890378
4	-10.2684221964089	4.42155082672463	-1.33423415051448	1.06095019084597	-0.131390596432425	-2.96851739887779	10.9185426749382	-7.6527968258419	-5.22469354848573	-0.782751916420182	-8.09231178072343	-7.833983488542	-6.6919331926311	2.19230110435194	-4.23020134412548	-5.59115843666746
4.5	-10.2354076901993	4.36925170077666	-1.48972254464201	0.984273940188132	-0.226776404239843	-3.00177653764297	11.0160115691497	-7.67759615042507	-5.9140302422137	-1.06448453829182	-8.19080398669746	-7.91800555435123	-6.8463612547402	2.03740963582078	-4.28535067691178	-5.52676536535313
