Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_3_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_3_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_3_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_3_CON_POST_L
0	10.934313728603	11.6877345744717	12.1987356474391	16.2949016909605	8.15357594390852	10.4200894736315	13.3390406026544	15.6605640682835	16.7701351720029	12.2917567457901	17.2349474995951	16.1945842298626
0.5	10.8049730172262	11.7060238535201	12.2409394946287	16.2315875129523	8.07082474090071	10.3311674390743	13.2455832042895	15.5982006517026	16.8744998874282	12.2869106435739	17.0973413345193	16.1878788763707
1	10.7068702372329	11.745404359692	12.2472007073248	16.167196271214	7.98572317174562	10.313132829636	13.2212690941446	15.5492923724569	16.9184526997872	12.2076830310522	16.9876965902078	16.1299245254849
1.5	10.6009758528642	11.7709615706366	12.2720075179696	16.1351017922085	7.92797161876318	10.2889989772788	13.2074186251504	15.531962816405	16.9845839276493	12.1448847016749	16.8819601363965	16.1059518047927
2	10.5169395750877	11.833438926133	12.3864151023861	16.1156646919802	7.90713778992767	10.2579038034743	13.1651899235216	15.5783127430286	16.988562675892	12.119478478191	16.7720087404524	16.0369345695854
2.5	10.4394223245705	11.8597339871744	12.5830061751067	16.0869946276607	7.80925507885938	10.2505861777827	13.0536677687753	15.5858210416933	16.9497748853156	12.0507755822447	16.6460618577948	15.9888412471236
3	10.3690318037702	11.8883823338943	12.7526274994981	16.0242342247142	7.77586035142191	10.2533228697656	12.9927360167223	15.5975059565025	16.9289148294038	11.9614210433311	16.537007109466	15.8869175371961
3.5	10.2954895527862	11.9089977137901	12.882662117885	15.9748553525016	7.79311542976926	10.2429759412195	12.9301727846139	15.6053907203384	16.9362387556592	11.9445373256044	16.4353904413879	15.8723112132244
4	10.2375093873144	11.9113960667878	13.0438160534308	15.9668677547734	7.74487017874849	10.1858167984649	12.8628966001943	15.5763504897964	16.9200845555731	11.9050638356614	16.3541954250112	15.8932257883341
4.5	10.1989501237814	11.9221834614079	13.1450595735811	15.9587237201582	7.70471324070727	10.1391249834777	12.7918084493413	15.4776026459316	16.9222024716638	11.8315399175021	16.263119950558	15.8898219869108
5	10.1718683615119	11.9532913226199	13.1889896095478	15.960316863108	7.67236184276568	10.1235501976449	12.7319663175784	15.3922227286252	16.9622585797355	11.7675283692259	16.1814031843206	15.8245046484235
5.5	10.1356061006337	11.9821084599786	13.2850268257486	15.9428817147624	7.5209349591495	10.1316531485801	12.6955437572375	15.4069784990397	16.9243417936318	11.7217339623963	16.0961406877017	15.7610976819687
6	10.0791318805532	11.9810348923112	13.3499691870276	15.9098123661942	7.44704876389354	10.1282616842759	12.646456913403	15.4053326365548	16.9198388495693	11.6346020354172	16.019594941773	15.7553349858895
6.5	10.0622645878383	11.9980278555317	13.4088002929852	15.8974946245485	7.43945362079503	10.1553754702318	12.5681308395584	15.4294419623104	16.9214401038511	11.5753529387149	15.9241261668912	15.7380375099772
7	10.0547046299255	12.036320105582	13.4663496881442	15.8914248054609	7.31704307141952	10.1548479095972	12.528830663013	15.4588110337789	16.931505893641	11.5366763288313	15.8329661491692	15.7054090307353
