Joint_angle	STR_PP_7__7	STR_PP_8__8	CON_PP_7__7	CON_PP_8__8
0	7.28743787868988	0.365335897266768	3.8385985421741	-1.59842437885742
0.5	7.32234384800866	0.394292386487713	3.91821702112397	-1.36041647482502
1	7.3820227645073	0.524053108503495	4.03360985669577	-1.12473316817849
1.5	7.43486283459795	0.514750400812495	4.16779742983785	-0.783583783429243
2	7.48508312356999	0.545613852799484	4.22959178503958	-0.40734612063676
2.5	7.55446250294172	0.554139838382355	4.3607713624211	-0.00754617562658666
3	7.58868378717369	0.549049909121244	4.5117109964602	0.384505884910801
3.5	7.55471791434177	0.49744379331684	4.68265053521397	0.71569144800737
4	7.5655809874451	0.541158104305389	4.85428060588843	0.969095439796497
4.5	7.5808063541575	0.465306374045333	4.94203407398185	1.18980058792704
5	7.59640449929213	0.520271905303808	4.99570916443088	1.35190417594742
5.5	7.58965696463569	0.387776424639178	5.12973722437014	1.54996819906291
6	7.51120758053298	0.339270226990337	5.28917810017784	1.72781093135933
6.5	7.46106226598229	0.335771386760541	5.41577232841376	1.89695676154816
7	7.48005269736932	0.278488854836127	5.51598134122825	2.17105127126742
