Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L
0	-4.87735960038538	2.02729434731336	1.94054919387833	-5.06750118389776	2.72184622229327	8.78477827916124	8.50666809443837	8.05180647894725
0.5	-4.79662696121938	2.07777054964898	2.06193905752635	-5.00509717221944	2.81800070462745	8.80215849029135	8.70138436885892	8.29275196839708
1	-4.70939682781944	2.11692505806931	2.21077197575919	-4.85705806434156	2.88671466912646	8.76948312335796	8.87710027625651	8.48572509468425
1.5	-4.63252878876614	2.1739214249486	2.35137950765316	-4.82454266809762	2.94806566135053	8.64891778262231	9.06587252602544	8.69223515689391
2	-4.52729615111384	2.19923799964716	2.51835219497818	-4.78550220978992	3.07007648964944	8.51939725331189	9.25389073381827	8.90614020642239
2.5	-4.44929296166433	2.25486210513201	2.673966131013	-4.7424874019413	3.15932699013921	8.40453628816043	9.4852680842569	9.16580451636931
3	-4.33287257993634	2.36301625905916	2.82225473987481	-4.65222323749854	3.24235217702348	8.27009540517669	9.71664692721225	9.40178056536349
3.5	-4.1967102690282	2.43643192945668	2.92374070565219	-4.63391643423658	3.25994401037437	8.19091677927308	9.91772346108964	9.63322181481988
4	-4.11263888450675	2.49140499043849	3.02719094430254	-4.54320137738465	3.29200060852146	8.137817387677	10.1303243405846	9.82702790299729
4.5	-4.01220703038919	2.57768034996636	3.14912762773529	-4.54293164460056	3.38817215743295	8.09266470535864	10.3150851610608	10.0119649904543
5	-3.92108447253984	2.68773148953576	3.26287152392464	-4.39067012836999	3.49667704470841	8.12131742303893	10.4769968741315	10.2087929720649
5.5	-3.82982403142081	2.80603080866766	3.3497837187919	-4.43618060099229	3.58924813893072	8.12057543082285	10.7041592521776	10.3832953154272
6	-3.66115726994592	2.90335286582343	3.44008438155409	-4.39940595006922	3.6277972318142	8.1241892368465	10.8977856084463	10.548590243557
6.5	-3.51836309175514	3.03049239997956	3.53324932214235	-4.28250618318673	3.66424626588087	8.14877698498914	11.0667183209128	10.7124949794938
7	-3.40557215377094	3.15770543954839	3.66792490801985	-4.24095949933083	3.74972496201595	8.10773535433069	11.2541075077646	10.9195391711918
