Joint_angle	STR_PP_7__7	STR_PP_8__8	CON_PP_7__7	CON_PP_8__8
0	-10.2751062841803	2.39939591845604	-0.846757513450598	-2.06244257618556
0.5	-10.3100122534991	2.37043942923509	-0.926375992400494	-2.30045048021793
1	-10.3696911699977	2.24067870721933	-1.04176882797231	-2.53613378686447
1.5	-10.4225312400884	2.24998141491028	-1.17595640111438	-2.87728317161367
2	-10.4727515290604	2.21911796292335	-1.23775075631613	-3.25352083440617
2.5	-10.5421309084321	2.21059197734053	-1.36893033369768	-3.65332077941639
3	-10.5763521926641	2.21568190660156	-1.51986996773678	-4.04537283995376
3.5	-10.5423863198322	2.26728802240598	-1.69080950649055	-4.37655840305035
4	-10.5532493929355	2.22357371141743	-1.86243957716493	-4.62996239483942
4.5	-10.5684747596479	2.2994254416775	-1.9501930452584	-4.85066754296997
5	-10.5840729047825	2.24445991041898	-2.00386813570742	-5.01277113099036
5.5	-10.5773253701261	2.37695539108364	-2.13789619564665	-5.21083515410589
6	-10.4988759860234	2.4254615887325	-2.29733707145436	-5.38867788640232
6.5	-10.4487306714727	2.42896042896228	-2.42393129969031	-5.55782371659109
7	-10.4677211028597	2.48624296088673	-2.52414031250481	-5.83191822631034
