Joint_angle	STR_PP_16__16	STR_PP_20__20	CON_PP_16__16	CON_PP_20__20
0	-2.32025161243056	12.3490002499031	NaN	NaN
0.5	-2.36951457959355	12.2366539127965	NaN	NaN
1	-2.4239117838852	12.116603198829	NaN	NaN
1.5	-2.57467499219536	12.0246391031788	NaN	NaN
2	-2.57164432669277	11.8948988491976	NaN	NaN
2.5	-2.65248802740982	11.8338577044547	NaN	NaN
3	-2.63048506605023	11.7329995201007	NaN	NaN
3.5	-2.56467649001806	11.6452083830916	NaN	NaN
4	-2.87422026205635	11.55945737061	NaN	NaN
4.5	-3.15625000306649	11.4675307644425	NaN	NaN
5	-3.22876721593379	11.366537023113	NaN	NaN
5.5	-3.34942251215394	11.2565977865188	NaN	NaN
6	-3.25032780274523	11.2058923290676	NaN	NaN
6.5	-3.16987902579735	11.0469620962074	NaN	NaN
