Joint_angle	STR_PP_21__21	STR_PP_22__22	STR_PP_24__24	STR_PP_25__25	STR_PP_26__26	STR_PP_28__28	STR_PP_30__30	STR_PP_31__31	CON_PP_21__21	CON_PP_22__22	CON_PP_24__24	CON_PP_25__25	CON_PP_26__26	CON_PP_28__28	CON_PP_30__30	CON_PP_31__31
0	-40.3537294061673	-112.161466612309	-119.656787490992	33.6168945960487	-16.9517770178506	-36.2156479607646	20.6949092027945	10.2913160838539	-130.820805661195	-135.464524234826	-47.1342435686573	-28.2340900352565	-56.3795565487073	-47.9905637434042	-101.293669085518	13.114661766679
0.5	-41.0573626400655	-116.558641986781	-126.400263347251	33.7470105560215	-18.7677360560992	-37.7305180631927	22.2713916523489	14.3128047416994	-150.114786337167	-134.994898361538	-48.7861254735699	-27.9195493526125	-58.9284497553196	-49.1610329520493	-106.129813209756	13.657528546321
1	-42.564322557504	-120.964793821721	-134.013257638282	32.3040159419684	-20.5802118000295	-40.2896222416817	23.8501551986735	18.2563845490664	-170.36378843011	-134.153088233698	-51.0563846459687	-28.2749444409088	-61.418865471214	-50.4186472318568	-110.97067896881	14.0522674717179
1.5	-45.0805008399969	-125.167923527912	-142.446637968416	28.99660341319	-22.2402586377727	-43.5402975457085	25.3400531412079	22.2811317996374	-192.118335604837	-132.101441377468	-53.9248111938074	-28.3299989706763	-63.9150571256047	-51.6715614502054	-115.748132292336	14.3651197451625
2	-48.6215722950977	-129.122347855757	-151.526210827807	23.7097149520931	-24.1343162150068	-47.4298550575191	26.6706153812048	26.3853324200586	-215.642541907495	-129.46916886014	-57.4390084444545	-28.160839977565	-66.5439761569892	-52.8119913361834	-120.541249683589	14.6353794447362
2.5	-53.0547278805343	-132.858880896773	-161.252882498706	16.0822061721509	-26.1761886603714	-51.9479013325008	27.7488341828759	30.9581819090153	-240.635129946097	-126.563250023085	-61.7720192379941	-27.6400804606078	-69.3625336225754	-53.8498208849974	-125.522000521048	14.9382226186045
3	-58.3181873591654	-136.56367113304	-171.705177492265	5.93928106892224	-28.4898338796318	-56.9087295613491	28.5071901159261	36.1710304795048	-266.044816858161	-123.190033985049	-67.0725292718387	-26.747350511628	-72.3181359169516	-54.9000337973925	-130.696849038714	15.3179721416786
3.5	-64.400451497214	-140.496484385955	-182.774877263578	-6.64522918709417	-31.2215896126295	-62.2333669091253	28.8624377578217	42.0304181844024	-290.729170653237	-119.671805912053	-73.4790794081841	-25.5412582971435	-75.3207776108377	-56.1013449528693	-135.959718598014	15.842240682259
4	-71.2397078264622	-144.698173732899	-194.240716350865	-21.180728970472	-34.4267058564269	-68.0651814144309	28.7094515042082	48.5528830918742	-314.0146337499	-115.454728498845	-81.0444347361193	-23.9719562536145	-78.2787663439319	-57.4794878154279	-141.222480395589	16.5679717555231
4.5	-79.1052792425671	-149.215502404756	-205.729300776423	-36.4786594715165	-38.0344564394111	-74.5928959479141	27.9838310913433	55.8336412142434	-335.466367414474	-110.16172661179	-89.7128893615625	-22.2133504832015	-81.1477513881032	-59.0425664685734	-146.235736229215	17.5066348781329
