Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	13.5250502253655	14.11132935171	13.4070861883826	16.8325411005814	15.8470085302607	11.2440963145905	16.2147350937018	9.43042401038281
0.5	13.4679405085195	13.9777670442169	13.3476851287219	16.7617068075299	15.8180454702502	11.112107097415	16.1738420293036	9.39780612385239
1	13.418454511539	13.8875402771879	13.2676474796842	16.5845069085255	15.7906136859274	11.0319562693981	16.0977791109888	9.325438447127
1.5	13.3792751643155	13.8124943898066	13.2021003107846	16.4539398239803	15.7022402381471	10.9846093476332	16.0427291941765	9.22041586197444
2	13.3460887394541	13.7280057143196	13.1326066214097	16.3453077673411	15.6406433791764	10.9757857092981	16.0145242426754	9.13070025907959
2.5	13.3032899661661	13.578863492471	13.0571022558571	16.2486901861533	15.6049710311265	10.946217395208	15.9954175145469	9.04442345479378
3	13.2589171591048	13.4924829538689	13.0094024301068	16.1493021813561	15.5684321605504	10.9160908834995	15.95765769525	8.95722959523346
3.5	13.2120676085187	13.4392739176315	12.9298355421237	16.0449733284371	15.4963203224375	10.8706174305891	15.9140920811087	8.8894738596843
4	13.1695855013447	13.3560812490174	12.8506564290421	15.892211592727	15.4672023543051	10.8490878016265	15.930122935001	8.84773786051704
4.5	13.1321910505931	13.2486004706593	12.7736947677593	15.7901613853946	15.4612514913239	10.7940180231766	15.9212164428857	8.7927878448295
5	13.0951961123885	13.1795668469193	12.7016138972169	15.7270303163529	15.4386925107879	10.7857868795145	15.9007088321182	8.71530660056374
5.5	13.0581234167551	13.0808460796094	12.6247963908702	15.7063881702716	15.4059407533475	10.7290647624421	15.8271236155733	8.67230886571282
6	13.0301679798383	13.0537362925061	12.539606903002	15.6425113936226	15.340058886397	10.7279098031677	15.7836047485366	8.62841016493658
6.5	13.0231834657708	12.9441868923844	12.4574159973984	15.5705080470151	15.320736346017	10.7264833220372	15.7482350970333	8.54804671235841
