Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	-13.0764919510764	-6.20329436541539	-16.9765370065558	22.1901074555301	NaN	-9.81116814797339	NaN	NaN
0.5	-12.5964930925329	-5.71757750840222	-16.6197948359548	22.4397990283943	NaN	-9.56352381757112	NaN	NaN
1	-12.1215159213186	-5.29501154367114	-16.2779811655143	22.6051459626731	NaN	-9.3590130080731	NaN	NaN
1.5	-11.4504624622745	-4.87951166626351	-15.9415364870756	22.8283705137623	NaN	-9.05751463112513	NaN	NaN
2	-10.9912346983566	-4.49912218449096	-15.5008218742631	22.9268199794715	NaN	-8.72644046715458	NaN	NaN
2.5	-10.4067587976142	-4.16911431073528	-15.107767032226	23.1320200504993	NaN	-8.43474487151445	NaN	NaN
3	-10.1552211999366	-3.77747254268489	-14.8260545800391	23.3094662115187	NaN	-8.13053637583234	NaN	NaN
3.5	-9.92499789014685	-3.39759777906949	-14.4777052678287	23.5049196167052	NaN	-7.78302114668995	NaN	NaN
4	-8.83609355404847	-2.99240202290689	-14.0603880442698	23.7317525402243	NaN	-7.33897895130998	NaN	NaN
4.5	-7.89615098871982	-2.54054961725583	-13.729552388024	23.993304081539	NaN	-6.89818993129147	NaN	NaN
5	-7.43905562797268	-2.2109538761364	-13.4405756610928	24.1051678048037	NaN	-6.49330378936663	NaN	NaN
5.5	-6.93387195962941	-1.79705899090662	-13.2014773066235	24.2849059727478	NaN	-6.12627668985005	NaN	NaN
6	-6.78295638911703	-1.42582575348414	-12.8622354833878	24.5575055176931	NaN	-5.7952607424975	NaN	NaN
6.5	-6.58613595004564	-0.964815118791692	-12.5164919134749	24.6728854616836	NaN	-5.44122887483293	NaN	NaN
