Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L
0	21.1921809458128	25.8538662945887	11.929308019381	29.4026331265775	21.5804107720384	24.4153962749647	14.1601459858383	23.5842012441477
0.5	21.9770400738674	26.4869722984241	12.3958082815377	29.9010331146009	22.1696310809354	24.921139129969	14.4900477901398	23.8349685006757
1	22.7835891446656	27.1008353554571	12.8763623047387	30.4057259469876	22.7707534809914	25.4439125517371	14.7931593467767	24.1052338766878
1.5	23.5987578921563	27.6867889368401	13.3717226827214	30.8938445165473	23.3856828873894	25.9549443217323	15.0929629399952	24.3953515517929
2	24.4197616544991	28.2549043621719	13.8818864622192	31.3716653606148	24.0111554720348	26.4943780965516	15.390167405748	24.7041324796729
2.5	25.2586145001728	28.8188060477323	14.4081575071103	31.8383261632369	24.6400874838892	27.0618484772713	15.6867163790337	25.0296742110564
3	26.132408703687	29.3829617389865	14.9545918551294	32.2965080793544	25.2654928063698	27.6543174081496	15.9862402906249	25.3705635789572
3.5	27.0474184685839	29.9397834006905	15.5275795700733	32.7525616527087	25.8852924401566	28.2696640659552	16.2931643569121	25.7271678220298
4	27.9930637502401	30.476419646327	16.1334514197726	33.2141344577403	26.504294610119	28.9088199806134	16.6114416893925	26.1023788609438
4.5	28.9514914763606	30.984864754557	16.7756662833001	33.6869417541413	27.1321924531013	29.5754143541747	16.9434935789587	26.5017250145073
5	29.913110800247	31.4670239811419	17.4534472708069	34.172310419817	27.778519956471	30.2735569579378	17.2898254426018	26.9325559670916
5.5	30.8829974666455	31.9333767944436	18.1623996694505	34.6670330049506	28.4478819802794	31.0056259705195	17.6493857367237	27.4020825232761
6	31.8724545142395	32.3964952977268	18.896497914082	35.1659802952667	29.1391967241993	31.7710102903892	18.0205337434958	27.9154502038146
6.5	32.8873003014808	32.8646614330095	19.6503985882836	35.6656435697554	29.8494354659221	32.5663941968747	18.4020627759165	28.4746855993107
7	33.9246339786044	33.3402726647321	20.4208564201024	36.1668585165008	30.5804702126353	33.3872967510592	18.7940235321586	29.078900723849
