Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	59.7803473388704	41.5126321001277	62.6836563761747	41.892388846677	58.6449539839823	45.0942648226636	57.3253412996894	48.1401349978017
0.5	59.9158257733228	41.748726230684	62.9057737279114	42.0733736383144	58.6925476239044	45.3118012453711	57.5796656701963	48.3339751786475
1	60.0342170534599	41.9756014738919	63.1870921730518	42.2458516772306	58.7325280154382	45.4839070892354	57.8151652263413	48.5167299634678
1.5	60.1746253498441	42.2961335456478	63.4872102233326	42.4156205406764	58.8565677665044	45.6768764931972	58.051885347919	48.7001629696955
2	60.3049243794333	42.5154860049677	63.730355073018	42.6380036654989	58.9720757104318	45.8211393797007	58.3028420599461	48.8471983164759
2.5	60.4178318908717	42.7946638690134	64.009097075778	42.8363378288275	59.0363318605145	45.9551897268334	58.517264761418	49.018020670732
3	60.5364158308427	42.9148120721431	64.2701602213058	42.9784889933167	59.1290908970054	46.1387388975177	58.7036210179517	49.2610898712503
3.5	60.6675072319455	43.0247793980824	64.5565423055482	43.1542648952883	59.2129581223299	46.3228495609407	58.9627683259267	49.4835623260209
4	60.8055530127766	43.5449000503041	64.8440822033694	43.3648417754717	59.3028926475169	46.4994716619624	59.1893236147779	49.7099579628215
4.5	60.9548483801394	43.9938683608551	65.1695097536106	43.5317803450125	59.3496858865776	46.6959835747943	59.3847494505389	49.9069559835142
5	61.1111422656691	44.2122022670375	65.4970274977371	43.6775970383276	59.3999992636873	46.8658366230832	59.5553858510237	50.1018831163675
5.5	61.261225836486	44.4535057960618	65.7635509597983	43.7982452711318	59.3935191024265	47.0424007084393	59.7772297979766	50.2562417606839
6	61.4223882943456	44.5255913800412	66.0836145253702	43.9694255645198	59.3899341235124	47.1982062708168	59.9990908597313	50.4290803110734
6.5	61.545472985261	44.6196036561858	66.3978622518703	44.1438866176124	59.3879342623599	47.3221154683828	60.2660617848523	50.5944670090316
