Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	26.6750535994045	15.60619754441	30.3446496747704	13.8248216121134	19.7007767899293	14.3361643592572	27.207993566728	14.9999339457418
0.5	27.242673617251	15.9778860411632	30.9619716009597	14.0073904923775	20.1213035363817	14.5910802668829	27.7273103606055	15.2118247415815
1	27.8019410030941	16.3613439214916	31.5853034209298	14.2017419530069	20.551251806634	14.8323978021059	28.2767832176033	15.4183461541493
1.5	28.3565523445187	16.7518480393616	32.2122997765536	14.4094526551362	20.9898697944665	15.057415441402	28.8520516980237	15.6183593833973
2	28.9189374138009	17.1459473203346	32.8419052988455	14.6311571731309	21.4512919560353	15.268972759335	29.4463920143975	15.8123750790946
2.5	29.4913021390007	17.5453776258109	33.476074109452	14.8666136123807	21.9305905826708	15.4738546370719	30.0548135832841	16.0028027585174
3	30.0789014264699	17.9567336809158	34.1202051855656	15.1149766654238	22.4158585008202	15.6797184598672	30.677052345889	16.1934351859735
3.5	30.688915645702	18.3884051484088	34.7822546702331	15.3752678566695	22.9079342835086	15.8917185321152	31.317497359798	16.3880538279814
4	31.3279423032802	18.8451721437775	35.4703571453127	15.646839967668	23.4135893107453	16.1109392450823	31.9827795394181	16.5889854118956
4.5	31.9996468617601	19.3238075457443	36.1900894645138	15.9296087250471	23.9432253851076	16.335548978299	32.6780520261874	16.7965234181704
5	32.7039728193982	19.813278412011	36.9428356585656	16.2240352696549	24.5078434495816	16.5631569538317	33.4039917493882	17.0092412758722
5.5	33.4380550277521	20.3000325346382	37.7259626283176	16.5309473209175	25.1153142352922	16.793980330438	34.15650748373	17.2249667017094
6	34.1984910057952	20.7759135751086	38.5346872722612	16.8512049918956	25.768240765935	17.0324742968833	34.928736948631	17.4421833128208
6.5	34.9839954416032	21.2406933592369	39.3651128388994	17.1852102225275	26.4649108159872	17.2856601967624	35.7142423344273	17.6609397310947
