Joint_angle	INT_16_STR_PRE_L	INT_20_STR_PRE_L	INT_16_CON_PRE_R	INT_20_CON_PRE_R	INT_16_STR_POST_L	INT_20_STR_POST_L	INT_16_CON_POST_R	INT_20_CON_POST_R
0	41.5194523531771	42.4311561730328	41.8933627279705	52.5475129366367	45.129653271503	51.9754545723592	48.1419157148982	53.1164079314577
0.5	41.748726230684	42.6508816706008	42.0733736383144	52.6548920970981	45.3118012453711	52.1181709861392	48.3339751786475	53.2660058198747
1	41.9756014738919	42.8420393698143	42.2458516772306	52.7259990823441	45.4839070892354	52.2360297284063	48.5167299634678	53.3559865201906
1.5	42.2961335456478	43.0300005574582	42.4156205406764	52.8219961743378	45.6768764931972	52.4097820087375	48.7001629696955	53.4617070893228
2	42.5154860049677	43.2020787279917	42.6380036654989	52.8643340908901	45.8211393797007	52.6005786940496	48.8471983164759	53.5688867860244
2.5	42.7946638690134	43.3513655876413	42.8363378288275	52.9525798057967	45.9551897268334	52.7686816716447	49.018020670732	53.6386411975717
3	42.9148120721431	43.5285339957596	42.9784889933167	53.0288900295611	46.1387388975177	52.9439957823074	49.2610898712503	53.7770020924648
3.5	43.0247793980824	43.7003793213722	43.1542648952883	53.1129442181645	46.3228495609407	53.14426738617	49.4835623260209	53.9964840060828
4	43.5449000503041	43.8836791962885	43.3648417754717	53.2104930805994	46.4994716619624	53.4001670855036	49.7099579628215	54.1821908713333
4.5	43.9938683608551	44.0880853090793	43.5317803450125	53.3229725872226	46.6959835747943	53.6541919931945	49.9069559835142	54.3389560517778
5	44.2122022670375	44.2371857307922	43.6775970383276	53.371079267606	46.8658366230832	53.8875262192229	50.1018831163675	54.4966816090597
5.5	44.4535057960618	44.4244208622991	43.7982452711318	53.4483751625187	47.0424007084393	54.0990424341024	50.2562417606839	54.6656411163383
6	44.5255913800412	44.5923569893424	43.9694255645198	53.5656058321108	47.1982062708168	54.2898055694158	50.4290803110734	54.829024016578
6.5	44.6196036561858	44.8009060434454	44.1438866176124	53.6152246533535	47.3221154683828	54.4938326853802	50.5944670090316	54.9630047229907
