Joint_angle	INT_15_STR_PRE_R	INT_16_STR_PRE_L	INT_15_CON_PRE_L	INT_16_CON_PRE_R	INT_15_STR_POST_R	INT_16_STR_POST_L	INT_15_CON_POST_L	INT_16_CON_POST_R
0	61.4854771590408	42.804302204151	64.439821372335	43.7676036071319	60.9618533330156	45.9767716178994	59.7000975014234	48.7996477645119
0.5	61.6100788490331	43.0226471105912	64.6522193455891	43.9402885882547	61.0025817781395	46.1775395807232	59.9525294126733	48.9915190305881
1	61.719074742732	43.2395497513119	64.9198939227285	44.0795710397341	61.0358636630962	46.3402466464611	60.1746178497454	49.1665211215583
1.5	61.8533473632106	43.5556658258291	65.2106942129474	44.2268080416715	61.1381731413885	46.529368852942	60.4042775094509	49.3376431662437
2	61.978753213781	43.7657311711735	65.4418677638717	44.4338858447273	61.239685528943	46.6749295454149	60.6568247227521	49.4740884161177
2.5	62.0838098570802	44.0252724268547	65.7079505324557	44.6185708139391	61.2957399431957	46.8067991739165	60.8740816437529	49.6351466326029
3	62.1942933246739	44.1328550663463	65.9632294310223	44.7440827451266	61.381128571693	46.9889777307874	61.0564221293505	49.8692533308366
3.5	62.31698893975	44.2361057063916	66.2359678992763	44.9034779445068	61.4466919920426	47.1692759932895	61.3126428493213	50.0851717944635
4	62.447934828582	44.7553886003619	66.5099504526973	45.0881777178991	61.5313572130673	47.3457122344075	61.5531399785987	50.3086014797042
4.5	62.5917174419794	45.1967873319729	66.8233223430772	45.2388815617424	61.5781394397433	47.5370659645296	61.7536312570244	50.5004559849894
5	62.7427700635382	45.4082428150635	67.1400553685379	45.3763053744604	61.623635700429	47.7086721765697	61.9247557988939	50.6871451718861
5.5	62.8874085054147	45.6377280697965	67.3929602411015	45.4970330572765	61.6071972508352	47.8794052037225	62.1327449615249	50.8374728954075
6	63.0457219409537	45.7067141076455	67.6984836288518	45.6605663276657	61.5840064022648	48.037799476639	62.3499413126268	51.00636461983
6.5	63.1702780070739	45.7830079250497	67.9987846968196	45.8256484721635	61.5762395928891	48.1636856873256	62.6164583838338	51.1628056275708
