Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_3_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_3_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_3_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L	INT_3_CON_POST_L
0	417.776799161936	454.258195349609	344.559594108434	410.489361283246	453.892859452343	344.887315656358	418.379586492514	456.423087261956	357.715832738133	414.54098795034	458.021511640813	360.123592848395
0.5	418.119190410068	454.705393860065	344.827624596058	410.796846562059	454.311101473577	345.138172241956	418.71280312929	456.881116125002	357.91081586131	414.794586108166	458.241532599827	360.329104954904
1	418.458308165225	455.16677090783	345.086465607657	411.076285400718	454.642717799327	345.428650093541	419.084611984798	457.38968774441	358.034009438562	415.051002128103	458.514420912589	360.589484618378
1.5	418.805194261472	455.606088956849	345.396351937094	411.370331426874	455.091338556036	345.624101820125	419.46417430529	457.990389988353	358.239065075909	415.296376875452	458.773973771782	360.865293767265
2	419.12589640529	456.083076795435	345.681337322941	411.64081328172	455.537462942636	345.905192065659	419.777804982386	458.616219846818	358.41470269651	415.548213197346	459.023565967455	361.111948954103
2.5	419.472905439602	456.520828241141	345.902728542131	411.91844293666	455.966688402759	346.197502575026	420.108663346855	459.215316992061	358.66609994125	415.747891984434	459.222863167687	361.336690978319
3	419.781735512457	456.906156172337	346.10204193595	412.193051725283	456.357106263216	346.428474897134	420.453868199645	459.83287781519	358.887658610208	415.942157203185	459.44837193028	361.496861200768
3.5	420.069322292693	457.322133483662	346.293976192456	412.514604378351	456.824689690345	346.635709140582	420.861133488495	460.39455632767	359.016754614556	416.178482953281	459.678864879663	361.624687261477
4	420.408890072869	457.750498668005	346.418006082008	412.843309085424	457.209340563699	346.846374033343	421.252038643803	460.919113501264	359.216773389756	416.397758037915	459.950018061468	361.765712055013
4.5	420.733596598228	458.148558485261	346.548238197136	413.15279024407	457.683252111216	347.115362645524	421.578335431066	461.414901578255	359.384524036659	416.636301357085	460.225100990328	361.954228434041
5	421.067613558316	458.526395824702	346.636724267404	413.471209059024	458.006123919398	347.351760965224	421.893308937648	461.841895065529	359.618027885997	416.897599773217	460.489990889581	362.160534052088
5.5	421.398843408429	458.894115428969	346.801956308754	413.809186443793	458.506339004329	347.596744358288	422.226790254474	462.323628786861	359.758851604372	417.097053030103	460.773660587798	362.379937377729
6	421.649727307333	459.274001194275	346.972397331322	414.1385197268	458.934730967284	347.83916538009	422.609191591634	462.795017716341	359.977790893479	417.320013491456	461.067206784982	362.620886296794
6.5	421.930018367359	459.627276342288	347.111094702846	414.468956101377	459.291504955528	348.142634058506	422.986812632347	463.251809725321	360.184655851464	417.571040303934	461.354852963773	362.852940265888
7	422.239699760036	459.983822213865	347.255958410166	414.759647062666	459.705333359029	348.453167649269	423.322434707503	463.771775348687	360.389489704224	417.806453366275	461.600724077419	363.0896170128
