Joint_angle	INT_21_STR_PRE_R	INT_22_STR_PRE_L	INT_24_STR_PRE_L	INT_25_STR_PRE_R	INT_26_STR_PRE_R	INT_28_STR_PRE_R	INT_30_STR_PRE_L	INT_31_STR_PRE_R	INT_21_CON_PRE_L	INT_22_CON_PRE_R	INT_24_CON_PRE_R	INT_25_CON_PRE_L	INT_26_CON_PRE_L	INT_28_CON_PRE_L	INT_30_CON_PRE_R	INT_31_CON_PRE_L	INT_21_STR_POST_R	INT_22_STR_POST_L	INT_24_STR_POST_L	INT_25_STR_POST_R	INT_26_STR_POST_R	INT_28_STR_POST_R	INT_30_STR_POST_L	INT_31_STR_POST_R	INT_21_CON_POST_L	INT_22_CON_POST_R	INT_24_CON_POST_R	INT_25_CON_POST_L	INT_26_CON_POST_L	INT_28_CON_POST_L	INT_30_CON_POST_R	INT_31_CON_POST_L
0	15.0445395085595	14.5270973905318	8.63920850148813	9.38279766371824	-1.80001770758264	-2.61898436513706	16.5175427935847	9.83811470005585	24.6537230148116	11.6072688367191	11.1208102444494	7.08028890126513	2.39325231284808	3.06202399710799	5.95098705030818	19.5735806773308	16.421613438832	15.1101850055064	0.113814433831074	4.40195246206851	-9.60879744886815	1.79952440979815	13.9982975986717	7.96022343511618	21.0122583543925	14.2211134228007	6.50129338649228	10.9321103184823	-0.0426154069219464	2.46517504167667	12.5527454424117	17.3880173326534
0.5	15.2303139220755	14.6985826960387	8.83708791570274	9.50266434260025	-1.68684932222324	-2.53291356352117	16.7978465872423	10.1521220589712	24.9465287351548	11.8864200943458	11.3069358661249	7.07735510389153	2.68728818151394	3.2431653283281	6.08436251477334	19.8137176307639	16.3789801345406	15.4541288985164	0.253553550780588	4.41795299407502	-9.35701312273893	1.88718343595818	14.1967861797892	8.27923544061177	21.261974958993	14.5000330202762	6.76000469791276	11.0890543788041	0.223637635721254	2.70435686579974	12.8298531225143	17.6336679886416
1	15.430673192873	14.8192547907678	8.93811971683244	9.60999512279096	-1.63728889365355	-2.38687689172785	17.1228837690561	10.4955078891413	25.1838732178988	12.0843647792628	11.4610433391993	7.2088923727804	2.85829000711426	3.40877440372191	6.21646307157437	20.1167267986593	16.2772791619604	15.7594780935984	0.396349954914669	4.57046949949061	-9.27966155092287	2.0121457777906	14.3279703428725	8.58804450734755	21.4964264391171	14.6032818358528	7.07520679613354	11.2291199836047	0.487489677826623	2.95045987090487	13.0392188116662	17.8745048097797
1.5	15.651671912319	14.9865388933105	9.0590186150616	9.70662498906738	-1.5344940882248	-2.25717585966996	17.4343860746945	10.7710887228131	25.2636330833944	12.3465866925762	11.6165200171213	7.19534905265789	2.98096300087288	3.54463646302529	6.35504324912917	20.4119402330426	16.1506438748709	16.0147827863695	0.559743881292078	4.72489512080287	-9.21335768959487	2.22174634648528	14.4811693344673	8.9047908941056	21.5575100369354	14.5641909473618	7.36487247476265	11.2680375597283	0.731321295861434	3.21563539011196	13.255603488462	18.1407487476468
2	15.9023364979929	15.1854561735536	9.24590898107314	9.83889892767762	-1.45266082485892	-2.16419828342359	17.6945015323612	11.0703478705957	25.5091209430525	12.5436339821369	11.7988850243156	7.24912854385531	3.10285293162674	3.68059019954698	6.45297820417733	20.6391590116014	16.1583831038707	16.2105946987929	0.719289724365005	4.8903744434914	-9.1016772826117	2.27242959333636	14.691454981101	9.18764590286173	21.8033799271699	14.6758408012282	7.61762513865612	11.2662479815956	0.91920064745441	3.46648677586983	13.4991518140249	18.3991185820719
2.5	16.2218503746073	15.4004103531165	9.39941461199903	9.97646639898088	-1.38430181466388	-2.05549718140976	17.9558484832542	11.3649076208018	25.658414123459	12.7281614140352	11.9826221774548	7.45684447282792	3.29347604268921	3.82720857762238	6.60362671675978	20.8868320599087	15.8416710924035	16.4819421841093	0.858015382657918	5.06076327684365	-8.98974516502928	2.24736826789623	14.8763305969254	9.45810012917354	21.9469495482324	14.7851263555874	7.89129418775741	11.4667857256214	1.1391477106365	3.65616038533098	13.7707971831954	18.5792606699826
3	16.3395902064208	15.5567513140928	9.57080030600159	10.1356339810338	-1.25546410494196	-1.94707728930192	18.2561394664871	11.6699342245404	25.875891381064	12.9408409849393	12.2081843563108	7.59742473549857	3.51674421361322	3.97065304434192	6.75490650793172	21.1745040744546	15.8164107278448	16.8073682980554	1.03116729023444	5.11276386197294	-8.83599910413115	2.28906195301894	15.0834023236997	9.72456211593352	22.0587822321391	14.8555610061591	8.14447136158373	11.5954531514528	1.38344150384346	3.93365398225063	14.0097033168702	18.7803868054092
3.5	16.2655409293192	15.7366249219819	9.75708876758012	10.3244574572779	-1.13438146421466	-1.80153798037028	18.5245748482008	11.9156208156384	25.9407271224231	13.1149683833006	12.3983118206704	7.84343537869407	3.74836840116441	4.09905257539031	6.84627385968046	21.4591274898827	15.3429465778611	17.1035479424884	1.1685571524194	5.25747285382566	-8.65992879739077	2.28302186271588	15.2503969832473	9.99534979519436	22.1825473584367	15.0003818460932	8.38095798918567	11.7031317579575	1.62532775956603	4.15541666557858	14.1978955836262	19.0358270465058
4	16.2683165383261	15.8571511928794	9.9143970492599	10.4688013528933	-1.04583653250869	-1.67689588225365	18.7629539500079	12.1609874940147	26.0835166146859	13.305053135694	12.5845679422777	7.96055564115537	3.96069537831497	4.26342001055446	6.93546203507576	21.772942720319	14.9434098544243	17.1700363483177	1.33560236611899	5.27905521129286	-8.50289642337947	2.37663814058408	15.4274209704945	10.2245088084708	22.2416659649753	15.0880438776811	8.64615119627125	11.9659641993867	1.94384625324594	4.36268077861677	14.4118782671581	19.2460205475459
4.5	16.3689349182725	15.9925624379157	10.0072265869568	10.6012086175797	-0.906657277438185	-1.53723960507103	18.9894672388901	12.4220409060682	26.1511204884227	13.4927635066782	12.8328858741021	8.16963915649957	4.19526044119289	4.43633542650227	7.06450642974646	22.0587954569557	14.3972683516068	17.0977038550951	1.51442765600735	5.39874865059797	-8.35657661133992	2.47815530386074	15.5842783868365	10.4852907096857	22.3848611558857	15.2974440063302	8.92346869213358	12.169679704501	2.24459412739456	4.61908941042456	14.6238850162863	19.4424093774465
