Joint_angle	INT_7_STR_PRE_L	INT_8_STR_PRE_R	INT_7_CON_PRE_R	INT_8_CON_PRE_L	INT_7_STR_POST_L	INT_8_STR_POST_R	INT_7_CON_POST_R	INT_8_CON_POST_L
0	417.776799161936	454.258195349609	410.489361283246	453.892859452343	418.379586492514	456.423087261956	414.54098795034	458.021511640813
0.5	418.119190410068	454.705393860065	410.796846562059	454.311101473577	418.71280312929	456.881116125002	414.794586108166	458.241532599827
1	418.458308165225	455.16677090783	411.076285400718	454.642717799327	419.084611984798	457.38968774441	415.051002128103	458.514420912589
1.5	418.805194261472	455.606088956849	411.370331426874	455.091338556036	419.46417430529	457.990389988353	415.296376875452	458.773973771782
2	419.12589640529	456.083076795435	411.64081328172	455.537462942636	419.777804982386	458.616219846818	415.548213197346	459.023565967455
2.5	419.472905439602	456.520828241141	411.91844293666	455.966688402759	420.108663346855	459.215316992061	415.747891984434	459.222863167687
3	419.781735512457	456.906156172337	412.193051725283	456.357106263216	420.453868199645	459.83287781519	415.942157203185	459.44837193028
3.5	420.069322292693	457.322133483662	412.514604378351	456.824689690345	420.861133488495	460.39455632767	416.178482953281	459.678864879663
4	420.408890072869	457.750498668005	412.843309085424	457.209340563699	421.252038643803	460.919113501264	416.397758037915	459.950018061468
4.5	420.733596598228	458.148558485261	413.15279024407	457.683252111216	421.578335431066	461.414901578255	416.636301357085	460.225100990328
5	421.067613558316	458.526395824702	413.471209059024	458.006123919398	421.893308937648	461.841895065529	416.897599773217	460.489990889581
5.5	421.398843408429	458.894115428969	413.809186443793	458.506339004329	422.226790254474	462.323628786861	417.097053030103	460.773660587798
6	421.649727307333	459.274001194275	414.1385197268	458.934730967284	422.609191591634	462.795017716341	417.320013491456	461.067206784982
6.5	421.930018367359	459.627276342288	414.468956101377	459.291504955528	422.986812632347	463.251809725321	417.571040303934	461.354852963773
7	422.239699760036	459.983822213865	414.759647062666	459.705333359029	423.322434707503	463.771775348687	417.806453366275	461.600724077419
